Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
crowdcoin,"Jul 02, 2018",0.100638,0.102508,0.048758,0.085323,"4,990","299,324"
crowdcoin,"Jul 01, 2018",0.105991,0.112761,0.089899,0.099441,"1,766","313,808"
crowdcoin,"Jun 30, 2018",0.113998,0.146266,0.091750,0.105967,"1,890","335,952"
crowdcoin,"Jun 29, 2018",0.085113,0.132382,0.082094,0.113844,"2,892","249,674"
crowdcoin,"Jun 28, 2018",0.116120,0.121982,0.082314,0.085059,"3,089","339,024"
crowdcoin,"Jun 27, 2018",0.137722,0.138524,0.109388,0.116079,"3,590","400,232"
crowdcoin,"Jun 26, 2018",0.237289,0.246927,0.108831,0.137781,"11,294","686,291"
crowdcoin,"Jun 25, 2018",0.047606,0.216615,0.047428,0.208558,"20,633","137,023"
crowdcoin,"Jun 24, 2018",0.061667,0.064652,0.046525,0.047698,584,"176,665"
crowdcoin,"Jun 23, 2018",0.065119,0.079671,0.060516,0.061675,330,"185,666"
crowdcoin,"Jun 22, 2018",0.073861,0.089751,0.064625,0.065110,734,"209,566"
crowdcoin,"Jun 21, 2018",0.073658,0.091044,0.073500,0.073942,593,"207,989"
crowdcoin,"Jun 20, 2018",0.073089,0.100900,0.071459,0.073643,"3,615","205,375"
crowdcoin,"Jun 19, 2018",0.040583,0.088035,0.040439,0.073111,"1,575","113,475"
crowdcoin,"Jun 18, 2018",0.044498,0.064267,0.035501,0.040605,342,"123,822"
crowdcoin,"Jun 17, 2018",0.055422,0.065169,0.044503,0.044651,617,"153,439"
crowdcoin,"Jun 16, 2018",0.064349,0.065260,0.055276,0.055276,424,"177,287"
crowdcoin,"Jun 15, 2018",0.063448,0.083775,0.058123,0.064585,747,"173,939"
crowdcoin,"Jun 14, 2018",0.050745,0.097687,0.050641,0.063553,"1,593","138,421"
crowdcoin,"Jun 13, 2018",0.061420,0.061433,0.047003,0.050767,627,"166,692"
crowdcoin,"Jun 12, 2018",0.048213,0.067104,0.046265,0.061261,570,"66,982"
crowdcoin,"Jun 11, 2018",0.044921,0.061031,0.041813,0.048239,495,"62,408"
crowdcoin,"Jun 10, 2018",0.041655,0.072977,0.040527,0.044857,"1,724","57,871"
crowdcoin,"Jun 09, 2018",0.053390,0.061130,0.040167,0.041603,180,"74,175"
crowdcoin,"Jun 08, 2018",0.040717,0.059751,0.039535,0.053413,524,"56,569"
crowdcoin,"Jun 07, 2018",0.028866,0.049791,0.028866,0.040686,872,"40,104"
crowdcoin,"Jun 06, 2018",0.029886,0.060918,0.020894,0.028840,444,"41,520"
crowdcoin,"Jun 05, 2018",0.050265,0.070937,0.029894,0.029894,262,"69,834"
crowdcoin,"Jun 04, 2018",0.048720,0.081713,0.047801,0.050241,442,"67,687"
crowdcoin,"Jun 03, 2018",0.067187,0.091465,0.048544,0.048544,708,"93,342"
crowdcoin,"Jun 02, 2018",0.075166,0.105858,0.063751,0.067169,746,"104,428"
crowdcoin,"Jun 01, 2018",0.062181,0.107641,0.042035,0.075199,"1,414","86,388"
crowdcoin,"May 31, 2018",0.022960,0.082031,0.015831,0.062135,869,"31,899"
crowdcoin,"May 30, 2018",0.041130,0.045112,0.021821,0.022964,892,"57,142"
crowdcoin,"May 29, 2018",0.087155,0.110844,0.019319,0.041102,"1,434","121,085"
crowdcoin,"May 28, 2018",0.125091,0.137083,0.087213,0.087215,"5,561","173,789"
crowdcoin,"May 27, 2018",0.147545,0.149702,0.124725,0.125062,"4,269","204,984"
crowdcoin,"May 26, 2018",0.167071,0.167902,0.146352,0.147407,"3,250","232,112"
crowdcoin,"May 25, 2018",0.162699,0.190047,0.126137,0.167290,"22,076","226,037"
crowdcoin,"May 24, 2018",0.211774,0.222176,0.157811,0.166914,"11,466","294,217"
crowdcoin,"May 23, 2018",0.227984,0.236834,0.200368,0.212309,"4,681","316,738"
crowdcoin,"May 22, 2018",0.246732,0.250467,0.222238,0.224619,"3,863","342,784"
crowdcoin,"May 21, 2018",0.260440,0.271819,0.234348,0.246779,"5,920","361,830"
crowdcoin,"May 20, 2018",0.230132,0.325371,0.223949,0.257945,"17,794","319,723"
crowdcoin,"May 19, 2018",0.218741,0.236127,0.208484,0.229960,"5,493","303,896"
crowdcoin,"May 18, 2018",0.220781,0.230199,0.203144,0.218774,"5,856","306,731"
crowdcoin,"May 17, 2018",0.255891,0.267985,0.219322,0.220587,"6,939","355,510"
crowdcoin,"May 16, 2018",0.273505,0.273505,0.246306,0.255736,"5,315","379,981"
crowdcoin,"May 15, 2018",0.322261,0.325168,0.269104,0.273748,"5,894","447,717"
crowdcoin,"May 14, 2018",0.306481,0.352201,0.294002,0.313569,"10,659","425,794"
crowdcoin,"May 13, 2018",0.303995,0.369517,0.300279,0.308353,"10,020","422,340"
crowdcoin,"May 12, 2018",0.321539,0.325311,0.294136,0.304097,"5,995","446,715"
crowdcoin,"May 11, 2018",0.359258,0.407809,0.308751,0.322487,"10,429","499,117"
crowdcoin,"May 10, 2018",0.382041,0.391564,0.346282,0.358829,"12,259","530,770"
crowdcoin,"May 09, 2018",0.392691,0.405529,0.380269,0.382149,"5,631","545,566"
crowdcoin,"May 08, 2018",0.426733,0.490189,0.391736,0.393293,"11,838","592,860"
crowdcoin,"May 07, 2018",0.404601,0.428681,0.390551,0.425922,"25,252","562,112"
crowdcoin,"May 06, 2018",0.452400,0.521481,0.390430,0.404311,"6,979","628,520"
crowdcoin,"May 05, 2018",0.511831,0.517381,0.458311,0.460642,"7,107","711,087"
crowdcoin,"May 04, 2018",0.541487,0.550367,0.482962,0.506647,"11,041","752,288"
crowdcoin,"May 03, 2018",0.539398,0.571852,0.522073,0.541698,"9,550","749,385"
crowdcoin,"May 02, 2018",0.548264,0.582144,0.530216,0.539378,"7,001","761,703"
crowdcoin,"May 01, 2018",0.592944,0.592944,0.523447,0.551454,"11,191","823,778"
crowdcoin,"Apr 30, 2018",0.717264,0.750476,0.545677,0.582272,"18,123","996,495"
