Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
crown,"Jul 02, 2018",0.523042,0.533638,0.475567,0.508289,"36,554","9,956,730"
crown,"Jul 01, 2018",0.530040,0.532900,0.508373,0.523010,"13,134","10,083,400"
crown,"Jun 30, 2018",0.537627,0.638794,0.502085,0.529889,"72,580","10,221,100"
crown,"Jun 29, 2018",0.493859,0.545715,0.472369,0.536852,"22,527","9,382,910"
crown,"Jun 28, 2018",0.503517,0.523069,0.491252,0.493578,"8,269","9,560,140"
crown,"Jun 27, 2018",0.515959,0.660142,0.477036,0.503352,"49,584","9,789,850"
crown,"Jun 26, 2018",0.533822,0.536186,0.513306,0.516193,"3,595","10,122,200"
crown,"Jun 25, 2018",0.523958,0.539385,0.513506,0.533743,"7,116","9,928,660"
crown,"Jun 24, 2018",0.550260,0.571456,0.511802,0.518001,"19,190","10,420,300"
crown,"Jun 23, 2018",0.544109,0.576535,0.521544,0.550307,"9,735","10,297,200"
crown,"Jun 22, 2018",0.621996,0.635184,0.519225,0.544270,"9,126","11,763,500"
crown,"Jun 21, 2018",0.581333,0.676230,0.580796,0.622673,"22,016","10,987,300"
crown,"Jun 20, 2018",0.602581,0.686732,0.572323,0.597864,"45,050","11,381,500"
crown,"Jun 19, 2018",0.653627,0.679299,0.584285,0.602170,"26,574","12,337,600"
crown,"Jun 18, 2018",0.556738,0.654694,0.540345,0.654005,"32,013","10,501,900"
crown,"Jun 17, 2018",0.585874,0.640790,0.555115,0.558621,"31,730","11,044,300"
crown,"Jun 16, 2018",0.623566,0.639641,0.573281,0.580296,"41,056","11,747,100"
crown,"Jun 15, 2018",0.647645,0.658474,0.623057,0.625247,"20,526","12,192,800"
crown,"Jun 14, 2018",0.642949,0.697183,0.631579,0.660413,"23,313","12,096,500"
crown,"Jun 13, 2018",0.736613,0.736772,0.621310,0.646386,"38,228","13,849,600"
crown,"Jun 12, 2018",0.805123,0.805123,0.695129,0.734805,"69,115","15,131,500"
crown,"Jun 11, 2018",0.664288,0.843239,0.641601,0.792403,"124,150","12,476,400"
crown,"Jun 10, 2018",0.749029,0.749029,0.638762,0.667635,"21,607","14,058,800"
crown,"Jun 09, 2018",0.817631,0.828414,0.724997,0.748086,"99,259","15,336,000"
crown,"Jun 08, 2018",0.775084,0.863354,0.771064,0.817784,"33,769","14,528,900"
crown,"Jun 07, 2018",0.708057,0.870464,0.699317,0.774506,"83,754","13,263,800"
crown,"Jun 06, 2018",0.775886,0.799412,0.708097,0.730430,"76,287","14,524,800"
crown,"Jun 05, 2018",0.819178,0.843896,0.756692,0.776045,"84,617","15,325,100"
crown,"Jun 04, 2018",0.874390,0.887023,0.806907,0.818814,"26,877","16,347,100"
crown,"Jun 03, 2018",0.901463,0.910350,0.869879,0.873475,"10,365","16,806,900"
crown,"Jun 02, 2018",0.869854,0.911617,0.858573,0.910985,"20,004","16,206,900"
crown,"Jun 01, 2018",0.901275,0.919530,0.838452,0.852897,"59,803","16,781,200"
crown,"May 31, 2018",0.902741,0.935908,0.895316,0.900595,"29,257","16,797,400"
crown,"May 30, 2018",0.895316,0.953141,0.883414,0.903058,"42,985","16,648,100"
crown,"May 29, 2018",0.864494,0.940393,0.851790,0.894711,"34,643","16,064,300"
crown,"May 28, 2018",0.887768,0.944729,0.853738,0.864824,"34,172","16,485,900"
crown,"May 27, 2018",0.908309,0.916719,0.876610,0.897553,"17,275","16,856,100"
crown,"May 26, 2018",0.915592,0.968467,0.900879,0.908136,"23,655","16,979,900"
crown,"May 25, 2018",0.957929,0.980801,0.905553,0.916760,"28,499","17,753,200"
crown,"May 24, 2018",0.966583,0.981940,0.895092,0.956304,"28,019","17,901,700"
crown,"May 23, 2018",1.03,1.04,0.948997,0.956852,"23,974","19,131,900"
crown,"May 22, 2018",1.07,1.10,1.03,1.05,"20,072","19,757,300"
