Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
crystal-clear,"Jul 02, 2018",0.039142,0.041591,0.037031,0.039237,55,"204,479"
crystal-clear,"Jul 01, 2018",0.048327,0.048580,0.038897,0.039128,"1,134","252,457"
crystal-clear,"Jun 30, 2018",0.035007,0.048590,0.035007,0.048314,229,"182,877"
crystal-clear,"Jun 29, 2018",0.036581,0.037287,0.033394,0.034967,969,"191,099"
crystal-clear,"Jun 28, 2018",0.036105,0.039899,0.035877,0.036560,198,"188,610"
crystal-clear,"Jun 27, 2018",0.038732,0.041108,0.033977,0.036078,81,"202,335"
crystal-clear,"Jun 26, 2018",0.043174,0.043934,0.038711,0.038747,102,"225,542"
crystal-clear,"Jun 25, 2018",0.036928,0.043376,0.035976,0.043174,47,"192,912"
crystal-clear,"Jun 24, 2018",0.038721,0.038840,0.031565,0.037070,"1,423","202,279"
crystal-clear,"Jun 23, 2018",0.043144,0.046599,0.038700,0.038731,"1,433","223,228"
crystal-clear,"Jun 22, 2018",0.047609,0.047610,0.042406,0.043132,"1,026","246,326"
crystal-clear,"Jun 21, 2018",0.050693,0.051336,0.047467,0.047623,255,"262,283"
crystal-clear,"Jun 20, 2018",0.044255,0.050715,0.042773,0.050682,335,"228,974"
crystal-clear,"Jun 19, 2018",0.051585,0.053850,0.043909,0.044227,641,"266,900"
crystal-clear,"Jun 18, 2018",0.049710,0.052001,0.045249,0.051616,"1,529","257,196"
crystal-clear,"Jun 17, 2018",0.045522,0.050326,0.041111,0.049735,636,"235,530"
crystal-clear,"Jun 16, 2018",0.044619,0.050592,0.044517,0.045508,188,"230,855"
crystal-clear,"Jun 15, 2018",0.045546,0.049515,0.043273,0.044768,433,"235,652"
crystal-clear,"Jun 14, 2018",0.045849,0.046722,0.042441,0.045599,375,"237,223"
crystal-clear,"Jun 13, 2018",0.049095,0.051737,0.044816,0.045843,985,"254,015"
crystal-clear,"Jun 12, 2018",0.053064,0.054622,0.048647,0.048963,355,"274,550"
crystal-clear,"Jun 11, 2018",0.049298,0.054013,0.048309,0.053084,512,"255,066"
crystal-clear,"Jun 10, 2018",0.059195,0.059195,0.044950,0.049218,879,"306,271"
crystal-clear,"Jun 09, 2018",0.055096,0.061358,0.055034,0.059088,392,"285,063"
crystal-clear,"Jun 08, 2018",0.049851,0.055807,0.049652,0.055098,"2,107","257,929"
crystal-clear,"Jun 07, 2018",0.053748,0.054947,0.049669,0.049777,856,"278,092"
crystal-clear,"Jun 06, 2018",0.056285,0.059425,0.052970,0.053718,578,"291,216"
crystal-clear,"Jun 05, 2018",0.055712,0.057201,0.050743,0.056320,282,"288,250"
crystal-clear,"Jun 04, 2018",0.056683,0.060446,0.051444,0.055697,857,"293,277"
crystal-clear,"Jun 03, 2018",0.053469,0.057381,0.052090,0.056713,761,"276,649"
crystal-clear,"Jun 02, 2018",0.052748,0.059711,0.049978,0.053532,"1,359","272,918"
crystal-clear,"Jun 01, 2018",0.061467,0.061798,0.051243,0.052763,"2,559","318,028"
crystal-clear,"May 31, 2018",0.050971,0.061981,0.047711,0.061355,"1,975","263,724"
crystal-clear,"May 30, 2018",0.056438,0.057376,0.050043,0.051542,"1,320","292,011"
crystal-clear,"May 29, 2018",0.051877,0.059430,0.049714,0.056401,788,"268,411"
crystal-clear,"May 28, 2018",0.065895,0.065973,0.047753,0.051999,"1,802","340,941"
crystal-clear,"May 27, 2018",0.058718,0.073944,0.057383,0.065894,"3,416","303,804"
crystal-clear,"May 26, 2018",0.059249,0.062325,0.054041,0.058605,"118,833","306,555"
crystal-clear,"May 25, 2018",0.057578,0.062249,0.051029,0.059294,419,"297,909"
crystal-clear,"May 24, 2018",0.057905,0.062504,0.054119,0.057494,894,"299,599"
crystal-clear,"May 23, 2018",0.064366,0.068741,0.056450,0.058135,"1,508","333,026"
crystal-clear,"May 22, 2018",0.065342,0.071637,0.059990,0.064484,"3,618","338,076"
crystal-clear,"May 21, 2018",0.058698,0.075209,0.057568,0.065410,"6,699","303,701"
crystal-clear,"May 20, 2018",0.057731,0.063483,0.057298,0.058623,"1,730","298,698"
crystal-clear,"May 19, 2018",0.066545,0.068755,0.050082,0.057687,"1,818","344,301"
crystal-clear,"May 18, 2018",0.059953,0.066181,0.058991,0.065383,"1,738","310,198"
crystal-clear,"May 17, 2018",0.061872,0.069075,0.058471,0.059991,"4,647","320,124"
crystal-clear,"May 16, 2018",0.062482,0.069199,0.058179,0.061817,"3,069","323,280"
crystal-clear,"May 15, 2018",0.065347,0.072329,0.061826,0.062508,"3,110","338,102"
crystal-clear,"May 14, 2018",0.067189,0.072776,0.057733,0.072050,"6,882","347,633"
crystal-clear,"May 13, 2018",0.067777,0.069748,0.066180,0.067204,957,"350,678"
crystal-clear,"May 12, 2018",0.067859,0.070774,0.060346,0.067853,"1,879","351,099"
crystal-clear,"May 11, 2018",0.072593,0.080382,0.061736,0.067986,"5,395","375,592"
crystal-clear,"May 10, 2018",0.081868,0.095064,0.066657,0.072537,"31,535","423,583"
crystal-clear,"May 09, 2018",0.080884,0.095524,0.069919,0.081808,"31,455","418,492"
crystal-clear,"May 08, 2018",0.083525,0.087083,0.067070,0.080992,"12,881","432,157"
crystal-clear,"May 07, 2018",0.082961,0.108701,0.075810,0.083097,"10,297","429,239"
crystal-clear,"May 06, 2018",0.097984,0.105193,0.081157,0.082867,"7,412","506,965"
crystal-clear,"May 05, 2018",0.101725,0.117404,0.089018,0.097969,"15,624","526,321"
crystal-clear,"May 04, 2018",0.122117,0.132122,0.100689,0.101634,"56,049","631,832"
crystal-clear,"May 03, 2018",0.174349,0.174641,0.108236,0.122453,"44,570","902,075"
crystal-clear,"May 02, 2018",0.109369,0.211716,0.097238,0.179363,"108,906","559,309"
crystal-clear,"May 01, 2018",0.079112,0.138169,0.074332,0.109190,"27,491","404,578"
crystal-clear,"Apr 30, 2018",0.100733,0.105874,0.078519,0.078977,"15,883","515,146"
crystal-clear,"Apr 29, 2018",0.129716,0.146571,0.097073,0.100755,"14,766","663,366"
crystal-clear,"Apr 28, 2018",0.153626,0.161571,0.128665,0.129702,"1,429","785,637"
crystal-clear,"Apr 27, 2018",0.182242,0.184689,0.154175,0.154175,"29,220","904,643"
crystal-clear,"Apr 26, 2018",0.192177,0.194306,0.158300,0.179348,"31,341","944,354"
crystal-clear,"Apr 25, 2018",0.165285,0.199634,0.164297,0.190576,"47,244","805,759"
crystal-clear,"Apr 24, 2018",0.145259,0.188379,0.145143,0.183666,"43,199","708,132"
crystal-clear,"Apr 23, 2018",0.137555,0.153914,0.121622,0.145199,"12,842","670,576"
crystal-clear,"Apr 22, 2018",0.131273,0.155146,0.129433,0.141789,"10,558","639,951"
crystal-clear,"Apr 21, 2018",0.136257,0.165060,0.130945,0.133562,"18,260","664,251"
crystal-clear,"Apr 20, 2018",0.166475,0.201053,0.114436,0.136233,"47,765","811,559"
crystal-clear,"Apr 19, 2018",0.203397,0.229988,0.164176,0.166388,"28,910","991,553"
crystal-clear,"Apr 18, 2018",0.170634,0.274537,0.160062,0.206666,"126,996","831,834"
crystal-clear,"Apr 17, 2018",0.089413,0.277478,0.074037,0.159274,"117,532","364,354"
crystal-clear,"Apr 16, 2018",0.064424,0.095934,0.061820,0.089380,"4,697","330,052"
crystal-clear,"Apr 15, 2018",0.067826,0.072848,0.060599,0.064407,"1,632","347,477"
crystal-clear,"Apr 14, 2018",0.064994,0.068247,0.056554,0.067758,340,"332,972"
crystal-clear,"Apr 13, 2018",0.052143,0.066712,0.051025,0.064994,845,"267,135"
crystal-clear,"Apr 12, 2018",0.055979,0.059689,0.048262,0.052061,567,"286,787"
crystal-clear,"Apr 11, 2018",0.050190,0.056249,0.047057,0.056249,442,"257,130"
crystal-clear,"Apr 10, 2018",0.049710,0.053476,0.048245,0.050082,"1,171","254,669"
crystal-clear,"Apr 09, 2018",0.060041,0.064424,0.049383,0.049530,"1,791","307,595"
crystal-clear,"Apr 08, 2018",0.050480,0.232953,0.040628,0.059900,"112,926","258,617"
crystal-clear,"Apr 07, 2018",0.048273,0.056967,0.048171,0.050450,539,"247,309"
crystal-clear,"Apr 06, 2018",0.048586,0.049093,0.044220,0.048262,93,"248,914"
crystal-clear,"Apr 05, 2018",0.049630,0.050696,0.048244,0.048835,673,"254,261"
crystal-clear,"Apr 04, 2018",0.051902,0.053894,0.048788,0.049678,383,"265,899"
crystal-clear,"Apr 03, 2018",0.056751,0.059145,0.051656,0.051862,181,"290,740"
crystal-clear,"Apr 02, 2018",0.045985,0.056767,0.045699,0.056709,255,"235,588"
crystal-clear,"Apr 01, 2018",0.047235,0.048282,0.043029,0.045833,394,"241,992"
crystal-clear,"Mar 31, 2018",0.051657,0.054244,0.046602,0.047235,503,"264,646"
crystal-clear,"Mar 30, 2018",0.046589,0.053818,0.042136,0.051682,385,"238,679"
crystal-clear,"Mar 29, 2018",0.048270,0.051582,0.043744,0.046716,"1,661","247,290"
crystal-clear,"Mar 28, 2018",0.042515,0.049922,0.042187,0.048199,797,"217,807"
crystal-clear,"Mar 27, 2018",0.056975,0.057161,0.042139,0.042510,"1,219","291,887"
crystal-clear,"Mar 26, 2018",0.062692,0.063045,0.052409,0.057058,81,"321,177"
crystal-clear,"Mar 25, 2018",0.073458,0.073693,0.052436,0.062754,"1,728","376,331"
crystal-clear,"Mar 24, 2018",0.069665,0.079392,0.067746,0.074384,"1,297","356,903"
crystal-clear,"Mar 23, 2018",0.055327,0.073003,0.050856,0.068971,"6,421","283,447"
crystal-clear,"Mar 22, 2018",0.052173,0.056861,0.047840,0.055329,821,"267,286"
crystal-clear,"Mar 21, 2018",0.051953,0.055686,0.046544,0.052175,"1,090","266,161"
crystal-clear,"Mar 20, 2018",0.047945,0.052574,0.045321,0.051821,"1,402","245,628"
crystal-clear,"Mar 19, 2018",0.042297,0.051661,0.041604,0.047416,224,"216,690"
crystal-clear,"Mar 18, 2018",0.040025,0.044471,0.036565,0.042472,501,"205,055"
crystal-clear,"Mar 17, 2018",0.050655,0.051158,0.039897,0.040078,981,"259,513"
crystal-clear,"Mar 16, 2018",0.051311,0.054030,0.049675,0.050595,180,"262,869"
crystal-clear,"Mar 15, 2018",0.051216,0.059294,0.048237,0.051359,"1,721","262,382"
crystal-clear,"Mar 14, 2018",0.059095,0.064123,0.049582,0.051206,566,"302,751"
crystal-clear,"Mar 13, 2018",0.059622,0.062076,0.052834,0.059080,465,"305,450"
crystal-clear,"Mar 12, 2018",0.062575,0.064277,0.057501,0.059966,226,"320,578"
crystal-clear,"Mar 11, 2018",0.057252,0.069541,0.055474,0.062720,"2,228","293,306"
crystal-clear,"Mar 10, 2018",0.070694,0.074436,0.057284,0.057442,"3,833","362,172"
crystal-clear,"Mar 09, 2018",0.060935,0.075442,0.055092,0.068912,"2,888","312,178"
crystal-clear,"Mar 08, 2018",0.064130,0.083636,0.057116,0.061284,856,"328,542"
crystal-clear,"Mar 07, 2018",0.067571,0.078430,0.052957,0.064222,"1,813","346,173"
crystal-clear,"Mar 06, 2018",0.072729,0.079437,0.065295,0.067655,"1,278","372,596"
crystal-clear,"Mar 05, 2018",0.090144,0.100882,0.067248,0.072918,807,"461,817"
crystal-clear,"Mar 04, 2018",0.090525,0.101229,0.079506,0.090236,"1,528","463,767"
crystal-clear,"Mar 03, 2018",0.087823,0.090644,0.075821,0.090642,"1,036","449,926"
crystal-clear,"Mar 02, 2018",0.094561,0.096876,0.076828,0.087922,"2,090","484,444"
crystal-clear,"Mar 01, 2018",0.086946,0.098991,0.084007,0.094732,"2,867","445,433"
crystal-clear,"Feb 28, 2018",0.090697,0.097949,0.086051,0.086821,"1,606","464,649"
crystal-clear,"Feb 27, 2018",0.091228,0.100015,0.085369,0.090716,"4,577","467,368"
crystal-clear,"Feb 26, 2018",0.085824,0.103112,0.076845,0.086754,"4,884","439,684"
crystal-clear,"Feb 25, 2018",0.077642,0.136164,0.072159,0.087841,"20,717","397,765"
crystal-clear,"Feb 24, 2018",0.082329,0.088439,0.074975,0.077782,"2,271","421,778"
crystal-clear,"Feb 23, 2018",0.093984,0.094812,0.079893,0.082417,"2,467","481,489"
crystal-clear,"Feb 22, 2018",0.083332,0.102153,0.081227,0.093865,"1,957","426,916"
crystal-clear,"Feb 21, 2018",0.094463,0.108760,0.082304,0.083434,"1,665","483,942"
crystal-clear,"Feb 20, 2018",0.105224,0.113908,0.094036,0.094580,"3,030","539,074"
crystal-clear,"Feb 19, 2018",0.120294,0.121162,0.100013,0.105169,"3,849","616,278"
crystal-clear,"Feb 18, 2018",0.115006,0.132395,0.102286,0.120734,"4,319","589,190"
crystal-clear,"Feb 17, 2018",0.097122,0.123254,0.096348,0.114746,"3,271","497,566"
crystal-clear,"Feb 16, 2018",0.111819,0.117205,0.093082,0.097114,"3,353","572,859"
crystal-clear,"Feb 15, 2018",0.115823,0.131652,0.110010,0.112237,"2,107","593,374"
crystal-clear,"Feb 14, 2018",0.109203,0.124277,0.109203,0.115761,727,"559,459"
crystal-clear,"Feb 13, 2018",0.123658,0.124208,0.106886,0.109400,"1,772","633,510"
crystal-clear,"Feb 12, 2018",0.106639,0.125450,0.106639,0.115767,"1,056","546,321"
crystal-clear,"Feb 11, 2018",0.122812,0.122812,0.106025,0.106025,"1,786","629,177"
crystal-clear,"Feb 10, 2018",0.135846,0.144538,0.112825,0.122980,"2,066","695,951"
crystal-clear,"Feb 09, 2018",0.115050,0.155237,0.104261,0.135844,"6,632","589,413"
crystal-clear,"Feb 08, 2018",0.105714,0.123390,0.105612,0.114804,"2,503","541,583"
crystal-clear,"Feb 07, 2018",0.103767,0.150985,0.094430,0.105985,"4,358","531,611"
crystal-clear,"Feb 06, 2018",0.124367,0.133806,0.096689,0.103876,"2,948","637,147"
crystal-clear,"Feb 05, 2018",0.187272,0.190362,0.104919,0.124153,"22,047","959,410"
crystal-clear,"Feb 04, 2018",0.151338,0.539266,0.126684,0.189104,"76,133","775,318"
crystal-clear,"Feb 03, 2018",0.147655,0.165295,0.136499,0.151308,"3,542","756,451"
crystal-clear,"Feb 02, 2018",0.165968,0.165968,0.115321,0.147127,"3,244","850,273"
crystal-clear,"Feb 01, 2018",0.176965,0.185967,0.137261,0.166433,"8,260","906,609"
