Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cube,"Jul 02, 2018",0.005322,0.006056,0.005253,0.006056,"1,063,980","33,395,600"
cube,"Jul 01, 2018",0.005521,0.005817,0.005229,0.005334,"505,624","34,642,100"
cube,"Jun 30, 2018",0.004646,0.005533,0.004496,0.005520,"376,428","29,150,900"
cube,"Jun 29, 2018",0.004609,0.004717,0.004423,0.004643,"792,217","28,920,400"
cube,"Jun 28, 2018",0.004745,0.004788,0.004524,0.004527,"544,402","29,776,800"
cube,"Jun 27, 2018",0.004586,0.004778,0.004459,0.004745,"619,761","28,775,000"
cube,"Jun 26, 2018",0.004911,0.004927,0.004376,0.004585,"749,621","30,814,600"
cube,"Jun 25, 2018",0.004753,0.004972,0.004616,0.004756,"982,694","29,821,900"
cube,"Jun 24, 2018",0.005101,0.005142,0.004508,0.004755,"1,165,580","32,007,800"
cube,"Jun 23, 2018",0.005265,0.005391,0.005083,0.005102,"149,333","33,039,100"
cube,"Jun 22, 2018",0.006294,0.006352,0.005263,0.005265,"1,318,280","39,496,500"
cube,"Jun 21, 2018",0.005729,0.006295,0.005729,0.006295,"994,079","35,950,200"
cube,"Jun 20, 2018",0.005904,0.005921,0.005378,0.005730,"1,332,340","37,046,200"
cube,"Jun 19, 2018",0.005994,0.006238,0.005843,0.005909,"1,912,540","37,613,600"
cube,"Jun 18, 2018",0.005915,0.006033,0.005873,0.005995,"1,473,260","37,116,100"
cube,"Jun 17, 2018",0.006007,0.006104,0.005888,0.005918,"703,120","37,695,100"
cube,"Jun 16, 2018",0.006010,0.006118,0.005890,0.006005,"1,150,290","37,714,300"
cube,"Jun 15, 2018",0.006061,0.006226,0.005920,0.006015,"1,521,990","38,034,700"
cube,"Jun 14, 2018",0.005983,0.006239,0.005876,0.006056,"2,149,820","37,544,600"
cube,"Jun 13, 2018",0.006344,0.006410,0.005889,0.005983,"1,986,670","39,805,100"
cube,"Jun 12, 2018",0.006684,0.006954,0.006234,0.006336,"1,404,330","41,941,900"
cube,"Jun 11, 2018",0.005826,0.006775,0.005515,0.006736,"533,011","36,555,300"
cube,"Jun 10, 2018",0.007154,0.007353,0.005419,0.005862,"1,223,080","44,891,900"
cube,"Jun 09, 2018",0.007784,0.008273,0.007119,0.007119,"1,195,320","48,842,500"
cube,"Jun 08, 2018",0.008602,0.008745,0.007553,0.007786,"1,086,320","53,977,100"
cube,"Jun 07, 2018",0.008503,0.008733,0.008256,0.008595,"912,799","53,355,800"
cube,"Jun 06, 2018",0.008837,0.008923,0.008351,0.008499,"409,588","55,454,800"
cube,"Jun 05, 2018",0.008722,0.009057,0.008344,0.008857,"487,744","54,730,400"
cube,"Jun 04, 2018",0.009132,0.009154,0.008621,0.008719,"457,190","57,301,700"
cube,"Jun 03, 2018",0.008948,0.009297,0.008921,0.009071,"716,845","56,147,900"
cube,"Jun 02, 2018",0.008922,0.009181,0.008753,0.009073,"452,333","55,982,000"
cube,"Jun 01, 2018",0.009173,0.009263,0.008766,0.009039,"507,915","57,559,600"
cube,"May 31, 2018",0.008982,0.009381,0.008726,0.009166,"906,908","56,362,400"
