Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
cybermiles,"Jul 02, 2018",0.161362,0.215257,0.157738,0.204005,"30,538,200","111,737,000"
cybermiles,"Jul 01, 2018",0.156603,0.162811,0.154354,0.161264,"18,098,500","108,441,000"
cybermiles,"Jun 30, 2018",0.142352,0.155224,0.142352,0.153204,"17,480,100","98,573,200"
cybermiles,"Jun 29, 2018",0.132347,0.144503,0.129299,0.142274,"12,346,000","91,645,100"
cybermiles,"Jun 28, 2018",0.140122,0.145764,0.131465,0.132792,"12,909,200","97,028,800"
cybermiles,"Jun 27, 2018",0.141774,0.143715,0.130661,0.139885,"11,602,900","98,173,200"
cybermiles,"Jun 26, 2018",0.146923,0.152764,0.140017,0.141298,"10,132,700","101,738,000"
cybermiles,"Jun 25, 2018",0.138573,0.156185,0.133296,0.150274,"13,534,000","95,956,600"
cybermiles,"Jun 24, 2018",0.147795,0.149333,0.124004,0.139102,"15,989,300","102,342,000"
cybermiles,"Jun 23, 2018",0.161944,0.166962,0.143855,0.147939,"14,476,200","112,140,000"
cybermiles,"Jun 22, 2018",0.198206,0.200451,0.156985,0.161978,"19,325,700","137,250,000"
cybermiles,"Jun 21, 2018",0.208631,0.211717,0.198225,0.198272,"18,185,900","144,469,000"
cybermiles,"Jun 20, 2018",0.210386,0.213291,0.202227,0.208185,"17,532,200","145,684,000"
cybermiles,"Jun 19, 2018",0.215931,0.223984,0.208399,0.209797,"22,463,900","149,523,000"
cybermiles,"Jun 18, 2018",0.212078,0.217316,0.203736,0.216156,"31,520,600","146,855,000"
cybermiles,"Jun 17, 2018",0.216570,0.219113,0.211185,0.212472,"25,091,700","149,966,000"
cybermiles,"Jun 16, 2018",0.213894,0.218504,0.212473,0.216154,"20,800,800","148,092,000"
cybermiles,"Jun 15, 2018",0.223608,0.226213,0.210373,0.214655,"23,383,500","154,784,000"
cybermiles,"Jun 14, 2018",0.206986,0.224515,0.205844,0.224515,"27,929,700","143,278,000"
cybermiles,"Jun 13, 2018",0.231419,0.231419,0.198123,0.207052,"23,858,500","160,191,000"
cybermiles,"Jun 12, 2018",0.257702,0.263022,0.216431,0.229683,"36,131,100","178,384,000"
cybermiles,"Jun 11, 2018",0.228236,0.258646,0.207849,0.255704,"37,800,900","157,464,000"
cybermiles,"Jun 10, 2018",0.283047,0.283047,0.223312,0.227924,"66,712,300","195,279,000"
cybermiles,"Jun 09, 2018",0.299306,0.306284,0.280084,0.280516,"75,260,700","206,489,000"
cybermiles,"Jun 08, 2018",0.317437,0.317437,0.282298,0.298692,"86,119,800","218,996,000"
cybermiles,"Jun 07, 2018",0.315233,0.321257,0.307621,0.316402,"105,769,000","217,476,000"
cybermiles,"Jun 06, 2018",0.331947,0.333124,0.297234,0.315187,"83,408,300","229,006,000"
cybermiles,"Jun 05, 2018",0.347828,0.354586,0.314090,0.332096,"69,191,500","239,963,000"
cybermiles,"Jun 04, 2018",0.332081,0.350121,0.301528,0.347136,"69,477,900","229,099,000"
cybermiles,"Jun 03, 2018",0.331288,0.337204,0.326524,0.332786,"42,869,000","228,552,000"
cybermiles,"Jun 02, 2018",0.335625,0.354097,0.322837,0.331621,"51,115,300","231,544,000"
cybermiles,"Jun 01, 2018",0.349235,0.358103,0.319693,0.335084,"56,299,600","240,933,000"
cybermiles,"May 31, 2018",0.368773,0.389840,0.341505,0.349025,"70,942,000","254,421,000"
cybermiles,"May 30, 2018",0.412699,0.412699,0.361981,0.369970,"76,167,400","261,601,000"
cybermiles,"May 29, 2018",0.373388,0.455458,0.355367,0.411733,"120,593,000","236,683,000"
cybermiles,"May 28, 2018",0.333955,0.378337,0.315883,0.368620,"65,911,700","211,687,000"
cybermiles,"May 27, 2018",0.323178,0.331541,0.313929,0.331508,"30,112,900","204,856,000"
cybermiles,"May 26, 2018",0.335648,0.340713,0.317339,0.323596,"35,426,400","212,761,000"
cybermiles,"May 25, 2018",0.309620,0.343521,0.300594,0.335962,"84,047,100","196,262,000"
cybermiles,"May 24, 2018",0.275456,0.310849,0.267657,0.308265,"87,336,200","174,606,000"
cybermiles,"May 23, 2018",0.322520,0.322520,0.271043,0.276453,"91,806,200","204,439,000"
cybermiles,"May 22, 2018",0.327637,0.346052,0.309414,0.322558,"112,021,000","207,682,000"
cybermiles,"May 21, 2018",0.293637,0.334394,0.288911,0.329179,"87,103,600","186,130,000"
cybermiles,"May 20, 2018",0.285319,0.306055,0.273871,0.293570,"81,845,800","180,858,000"
cybermiles,"May 19, 2018",0.304225,0.308802,0.279339,0.285684,"70,368,900","192,842,000"
cybermiles,"May 18, 2018",0.294241,0.305104,0.286095,0.303390,"170,788,000","186,513,000"
cybermiles,"May 17, 2018",0.308211,0.330622,0.287082,0.294402,"102,631,000","195,369,000"
cybermiles,"May 16, 2018",0.309453,0.310427,0.288120,0.306807,"92,974,700","196,156,000"
cybermiles,"May 15, 2018",0.320041,0.344778,0.307442,0.309741,"63,533,700","202,867,000"
cybermiles,"May 14, 2018",0.292348,0.344348,0.270077,0.318270,"89,683,800","185,314,000"
cybermiles,"May 13, 2018",0.253641,0.305244,0.247001,0.292286,"62,314,300","160,778,000"
cybermiles,"May 12, 2018",0.252858,0.267450,0.223143,0.253144,"29,773,400","160,282,000"
cybermiles,"May 11, 2018",0.293319,0.297477,0.240627,0.250099,"74,562,500","185,929,000"
cybermiles,"May 10, 2018",0.311899,0.317889,0.291349,0.291349,"43,605,100","197,707,000"
cybermiles,"May 09, 2018",0.311120,0.318185,0.292834,0.311550,"51,265,800","197,213,000"
cybermiles,"May 08, 2018",0.319935,0.335262,0.295568,0.311096,"63,243,300","202,800,000"
cybermiles,"May 07, 2018",0.335289,0.335289,0.288827,0.319498,"88,554,600","212,533,000"
cybermiles,"May 06, 2018",0.367409,0.367409,0.305781,0.336202,"108,629,000","232,893,000"
cybermiles,"May 05, 2018",0.279803,0.366831,0.277989,0.366759,"90,407,800","177,362,000"
cybermiles,"May 04, 2018",0.313435,0.313435,0.259871,0.280550,"59,510,900","198,680,000"
cybermiles,"May 03, 2018",0.285627,0.317204,0.277389,0.308089,"59,201,000","181,053,000"
cybermiles,"May 02, 2018",0.274618,0.287988,0.263445,0.285953,"71,150,400","174,075,000"
cybermiles,"May 01, 2018",0.246472,0.274659,0.221435,0.274659,"83,078,100","156,234,000"
cybermiles,"Apr 30, 2018",0.247990,0.297867,0.240720,0.246620,"119,560,000","157,196,000"
cybermiles,"Apr 29, 2018",0.205517,0.247637,0.205517,0.247637,"70,972,000","130,273,000"
cybermiles,"Apr 28, 2018",0.173987,0.215256,0.173987,0.205277,"58,702,000","110,287,000"
cybermiles,"Apr 27, 2018",0.167266,0.186967,0.163957,0.175193,"53,421,800","106,026,000"
cybermiles,"Apr 26, 2018",0.150870,0.167254,0.144285,0.167050,"37,324,700","95,633,700"
cybermiles,"Apr 25, 2018",0.171710,0.172658,0.143123,0.149956,"24,610,200","108,844,000"
cybermiles,"Apr 24, 2018",0.155413,0.183890,0.155413,0.171725,"52,279,500","98,512,800"
cybermiles,"Apr 23, 2018",0.146358,0.155586,0.146087,0.155178,"36,622,400","92,773,500"
cybermiles,"Apr 22, 2018",0.141058,0.154821,0.135700,0.146672,"35,010,700","89,413,800"
cybermiles,"Apr 21, 2018",0.149805,0.149821,0.125403,0.140561,"35,100,400","94,958,500"
cybermiles,"Apr 20, 2018",0.133218,0.154540,0.131489,0.149827,"46,864,100","84,444,200"
cybermiles,"Apr 19, 2018",0.119447,0.133197,0.117798,0.133197,"41,833,000","75,715,100"
cybermiles,"Apr 18, 2018",0.105439,0.122645,0.103966,0.119371,"35,346,800","66,835,800"
cybermiles,"Apr 17, 2018",0.100894,0.109621,0.100279,0.105734,"44,610,400","63,954,700"
cybermiles,"Apr 16, 2018",0.109725,0.110147,0.098877,0.100886,"22,902,700","69,552,600"
cybermiles,"Apr 15, 2018",0.103427,0.110243,0.103427,0.109927,"13,850,100","65,560,400"
cybermiles,"Apr 14, 2018",0.103831,0.107971,0.098921,0.103641,"11,576,300","65,816,100"
cybermiles,"Apr 13, 2018",0.101950,0.111099,0.099428,0.104321,"11,138,700","64,624,000"
cybermiles,"Apr 12, 2018",0.088114,0.102724,0.084574,0.101765,"20,853,500","55,853,700"
cybermiles,"Apr 11, 2018",0.085560,0.088575,0.082868,0.088575,"14,195,000","54,234,500"
cybermiles,"Apr 10, 2018",0.080799,0.086588,0.079056,0.085337,"13,347,600","51,216,800"
cybermiles,"Apr 09, 2018",0.077946,0.082315,0.077493,0.080723,"12,870,900","49,408,400"
cybermiles,"Apr 08, 2018",0.074810,0.078731,0.074694,0.077846,"13,123,800","47,420,200"
cybermiles,"Apr 07, 2018",0.071500,0.076202,0.071288,0.074687,"8,542,920","45,322,300"
cybermiles,"Apr 06, 2018",0.074067,0.075589,0.069772,0.071413,"10,062,700","46,949,700"
cybermiles,"Apr 05, 2018",0.071077,0.078628,0.067880,0.074239,"8,722,290","42,657,000"
cybermiles,"Apr 04, 2018",0.079037,0.079037,0.070299,0.071109,"7,898,420","47,433,800"
cybermiles,"Apr 03, 2018",0.079528,0.081171,0.077956,0.079010,"9,353,630","47,728,700"
cybermiles,"Apr 02, 2018",0.074835,0.081727,0.074504,0.079455,"10,490,500","44,912,000"
cybermiles,"Apr 01, 2018",0.081520,0.084863,0.071373,0.074604,"15,330,600","48,924,400"
cybermiles,"Mar 31, 2018",0.089628,0.092314,0.080574,0.081473,"14,082,200","53,790,300"
cybermiles,"Mar 30, 2018",0.105657,0.106084,0.085370,0.089978,"13,258,700","63,410,000"
cybermiles,"Mar 29, 2018",0.101737,0.118489,0.094703,0.106288,"28,578,900","61,057,300"
cybermiles,"Mar 28, 2018",0.100683,0.103450,0.098302,0.101473,"14,682,400","60,424,800"
cybermiles,"Mar 27, 2018",0.099214,0.105209,0.093580,0.101049,"12,712,400","59,543,500"
cybermiles,"Mar 26, 2018",0.094348,0.102382,0.089861,0.098915,"9,451,360","56,623,100"
cybermiles,"Mar 25, 2018",0.095836,0.096619,0.091957,0.094292,"11,000,400","57,516,100"
cybermiles,"Mar 24, 2018",0.100285,0.103342,0.093780,0.097267,"13,852,500","60,185,700"
cybermiles,"Mar 23, 2018",0.090348,0.099520,0.084193,0.099200,"18,228,600","54,222,300"
cybermiles,"Mar 22, 2018",0.086255,0.092458,0.082307,0.089732,"10,522,100","51,766,200"
cybermiles,"Mar 21, 2018",0.082260,0.097405,0.082066,0.085955,"12,730,600","49,368,200"
cybermiles,"Mar 20, 2018",0.079076,0.084409,0.075347,0.082080,"5,845,100","47,457,700"
cybermiles,"Mar 19, 2018",0.072098,0.081442,0.071428,0.077930,"3,865,440","43,269,800"
cybermiles,"Mar 18, 2018",0.074019,0.074019,0.062340,0.072340,"4,344,780","44,422,600"
cybermiles,"Mar 17, 2018",0.080335,0.081423,0.073443,0.074059,"3,082,260","48,213,100"
cybermiles,"Mar 16, 2018",0.081350,0.083758,0.078174,0.080185,"3,525,340","36,216,800"
cybermiles,"Mar 15, 2018",0.084273,0.084975,0.076818,0.081340,"4,408,090","37,518,000"
cybermiles,"Mar 14, 2018",0.093091,0.094202,0.081331,0.083974,"4,621,600","41,444,100"
cybermiles,"Mar 13, 2018",0.091908,0.096194,0.089534,0.092900,"4,918,870","40,917,100"
cybermiles,"Mar 12, 2018",0.096253,0.098987,0.088876,0.092202,"9,301,120","42,851,600"
cybermiles,"Mar 11, 2018",0.089351,0.097231,0.086325,0.096461,"3,780,490","39,778,800"
cybermiles,"Mar 10, 2018",0.094782,0.101173,0.088492,0.089796,"2,704,430","42,196,900"
cybermiles,"Mar 09, 2018",0.102255,0.103406,0.084652,0.094640,"3,906,630","45,523,900"
cybermiles,"Mar 08, 2018",0.111225,0.113215,0.099869,0.102726,"3,887,740","49,517,100"
cybermiles,"Mar 07, 2018",0.133265,0.140383,0.102874,0.111259,"12,311,200","59,329,500"
cybermiles,"Mar 06, 2018",0.127936,0.146393,0.118441,0.134323,"18,816,300","56,956,800"
cybermiles,"Mar 05, 2018",0.141253,0.141342,0.127490,0.129624,"7,104,010","62,885,400"
cybermiles,"Mar 04, 2018",0.137570,0.143291,0.132442,0.141136,"5,649,420","61,246,000"
cybermiles,"Mar 03, 2018",0.136677,0.140671,0.135468,0.137530,"4,366,680","60,848,100"
cybermiles,"Mar 02, 2018",0.141351,0.141809,0.134783,0.136927,"4,619,810","62,929,000"
cybermiles,"Mar 01, 2018",0.138529,0.145350,0.137086,0.141636,"5,836,440","61,672,800"
cybermiles,"Feb 28, 2018",0.150695,0.153113,0.137852,0.138069,"5,315,590","67,088,900"
cybermiles,"Feb 27, 2018",0.154850,0.159804,0.148373,0.150822,"3,334,400","68,938,900"
cybermiles,"Feb 26, 2018",0.156100,0.156786,0.152659,0.154249,"2,849,820","69,495,200"
cybermiles,"Feb 25, 2018",0.156999,0.158597,0.150471,0.155990,"4,685,180","69,895,700"
cybermiles,"Feb 24, 2018",0.158943,0.174260,0.153421,0.157268,"6,394,310","70,834,300"
cybermiles,"Feb 23, 2018",0.154676,0.164807,0.146850,0.159356,"6,525,790","69,056,500"
cybermiles,"Feb 22, 2018",0.164992,0.175087,0.151645,0.155471,"4,529,320","73,661,700"
cybermiles,"Feb 21, 2018",0.183203,0.183404,0.163572,0.165908,"4,919,850","81,792,600"
cybermiles,"Feb 20, 2018",0.191577,0.193686,0.183555,0.183875,"5,134,690","85,530,900"
cybermiles,"Feb 19, 2018",0.189557,0.195462,0.187499,0.191368,"5,218,510","84,629,300"
cybermiles,"Feb 18, 2018",0.205501,0.206126,0.188269,0.190865,"7,172,180","91,747,500"
cybermiles,"Feb 17, 2018",0.195454,0.206060,0.192866,0.205195,"5,597,490","87,262,100"
cybermiles,"Feb 16, 2018",0.188433,0.197038,0.184051,0.196149,"7,061,530","84,127,300"
cybermiles,"Feb 15, 2018",0.188320,0.194703,0.184930,0.188782,"6,052,130","84,076,700"
cybermiles,"Feb 14, 2018",0.180958,0.191999,0.178735,0.188088,"6,978,180","80,789,900"
cybermiles,"Feb 13, 2018",0.183942,0.185230,0.172567,0.181807,"5,251,020","81,562,100"
cybermiles,"Feb 12, 2018",0.169116,0.190221,0.169116,0.183933,"5,668,740","74,988,000"
cybermiles,"Feb 11, 2018",0.185272,0.185272,0.162765,0.176229,"5,822,840","82,151,900"
cybermiles,"Feb 10, 2018",0.187902,0.198891,0.176232,0.185644,"8,989,820","83,318,100"
