Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
daex,"Jul 02, 2018",0.066122,0.071729,0.065762,0.071069,"8,438,080","24,484,900"
daex,"Jul 01, 2018",0.065829,0.066612,0.065029,0.065820,"7,764,690","24,376,400"
daex,"Jun 30, 2018",0.063586,0.066799,0.063430,0.065853,"7,365,830","23,545,800"
daex,"Jun 29, 2018",0.067672,0.068059,0.053867,0.063716,"7,246,360","25,058,800"
daex,"Jun 28, 2018",0.071845,0.072701,0.067404,0.067828,"7,788,480","26,604,300"
daex,"Jun 27, 2018",0.073321,0.074494,0.070177,0.072375,"7,947,090","27,150,700"
daex,"Jun 26, 2018",0.077059,0.077408,0.071556,0.073597,"8,552,290","28,534,900"
daex,"Jun 25, 2018",0.075623,0.078041,0.073545,0.076705,"8,964,470","28,003,300"
daex,"Jun 24, 2018",0.080837,0.080837,0.072638,0.076087,"8,273,740","29,933,900"
daex,"Jun 23, 2018",0.080106,0.082106,0.079578,0.080823,"9,389,580","29,663,400"
daex,"Jun 22, 2018",0.095519,0.095585,0.078924,0.080154,"10,642,300","35,370,600"
daex,"Jun 21, 2018",0.082527,0.095727,0.082484,0.095602,"12,683,300","30,559,700"
daex,"Jun 20, 2018",0.081563,0.083242,0.072060,0.082556,"7,545,950","30,202,700"
daex,"Jun 19, 2018",0.078623,0.091134,0.072329,0.081791,"4,502,400","29,114,000"
daex,"Jun 18, 2018",0.089591,0.089642,0.075246,0.078667,"197,894","33,175,400"
daex,"Jun 17, 2018",0.089673,0.093418,0.084209,0.089606,"315,245","33,205,800"
daex,"Jun 16, 2018",0.088026,0.092093,0.082070,0.089682,"128,044","32,596,100"
daex,"Jun 15, 2018",0.087742,0.095237,0.085124,0.088216,"53,555","32,490,800"
daex,"Jun 14, 2018",0.090374,0.093094,0.057167,0.087810,"1,677,400","33,465,600"
daex,"Jun 13, 2018",0.104887,0.105425,0.089040,0.090321,"5,210,920","38,839,700"
daex,"Jun 12, 2018",0.109622,0.109793,0.099975,0.104610,"3,579,000","40,592,900"
daex,"Jun 11, 2018",0.105744,0.109971,0.101627,0.109478,"4,941,130","39,157,100"
daex,"Jun 10, 2018",0.116826,0.116826,0.103564,0.105598,"3,451,940","43,260,700"
daex,"Jun 09, 2018",0.118440,0.121427,0.116666,0.116666,"3,819,400","43,858,500"
daex,"Jun 08, 2018",0.123367,0.124077,0.116217,0.118449,"3,664,390","45,682,800"
daex,"Jun 07, 2018",0.123305,0.125848,0.121943,0.123222,"5,944,950","45,659,800"
daex,"Jun 06, 2018",0.134793,0.135182,0.119549,0.123235,"4,841,850","49,914,000"
daex,"Jun 05, 2018",0.131719,0.135504,0.126752,0.134950,"8,064,640","48,762,300"
daex,"Jun 04, 2018",0.138374,0.138374,0.121126,0.131699,"3,886,470","51,226,000"
daex,"Jun 03, 2018",0.116529,0.138722,0.113848,0.138178,"3,304,010","43,138,900"
daex,"Jun 02, 2018",0.116495,0.118656,0.114024,0.116558,"3,871,920","43,126,400"
daex,"Jun 01, 2018",0.115909,0.117956,0.113884,0.116196,"4,804,320","42,909,500"
daex,"May 31, 2018",0.110163,0.118168,0.106082,0.115777,"4,111,370","40,782,200"
daex,"May 30, 2018",0.116438,0.127246,0.103997,0.110238,"3,670,570","43,105,400"
daex,"May 29, 2018",0.109150,0.117626,0.106341,0.116370,"1,388,090","40,407,200"
daex,"May 28, 2018",0.121475,0.121907,0.106717,0.109413,"1,142,440","44,970,200"
daex,"May 27, 2018",0.121199,0.123234,0.116854,0.121614,"1,750,610","44,868,000"
daex,"May 26, 2018",0.122957,0.127127,0.117973,0.120956,"2,722,120","45,518,700"
daex,"May 25, 2018",0.121419,0.126386,0.114407,0.123168,"3,544,360","43,735,100"
daex,"May 24, 2018",0.129624,0.130989,0.104330,0.121089,"5,910,890","46,690,400"
daex,"May 23, 2018",0.130039,0.130520,0.114203,0.130074,"7,134,480","46,840,100"
daex,"May 22, 2018",0.150397,0.150946,0.113964,0.130235,"10,214,300","54,172,900"
daex,"May 21, 2018",0.154634,0.156062,0.148534,0.150615,"13,644,300","55,699,100"
daex,"May 20, 2018",0.146071,0.156013,0.142863,0.153679,"13,634,500","52,614,800"
daex,"May 19, 2018",0.141098,0.147900,0.138436,0.145963,"7,439,940","50,823,500"
daex,"May 18, 2018",0.139092,0.141459,0.128631,0.140673,"4,198,680","50,101,000"
daex,"May 17, 2018",0.144955,0.146406,0.134756,0.139086,"7,756,820","52,212,600"
daex,"May 16, 2018",0.149181,0.149967,0.136775,0.144840,"4,750,640","53,734,900"
daex,"May 15, 2018",0.156147,0.161162,0.147309,0.148787,"3,172,920","56,244,200"
daex,"May 14, 2018",0.158096,0.164159,0.140345,0.156331,"11,397,000","56,946,300"
daex,"May 13, 2018",0.149286,0.162317,0.145205,0.158155,"4,038,700","53,772,900"
daex,"May 12, 2018",0.154133,0.158356,0.141659,0.149566,"11,389,300","55,518,800"
daex,"May 11, 2018",0.167246,0.168265,0.150163,0.154405,"13,677,400","60,242,100"
daex,"May 10, 2018",0.177743,0.178825,0.166397,0.167127,"3,965,880","64,023,000"
daex,"May 09, 2018",0.184149,0.184372,0.164941,0.177684,"6,048,600",-
daex,"May 08, 2018",0.172521,0.194065,0.168655,0.184338,"8,301,370",-
daex,"May 07, 2018",0.189409,0.189702,0.142901,0.171744,"3,987,550",-
daex,"May 06, 2018",0.193961,0.195964,0.185434,0.189298,"14,735,400",-
daex,"May 05, 2018",0.190351,0.196406,0.190007,0.193886,"15,036,000",-
daex,"May 04, 2018",0.193692,0.197745,0.187237,0.190356,"15,103,600",-
daex,"May 03, 2018",0.175541,0.204251,0.168096,0.193914,"12,236,600",-
daex,"May 02, 2018",0.174564,0.176397,0.174564,0.175549,"817,700",-
