Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
daneel,"Jul 02, 2018",0.042443,0.045632,0.040211,0.044626,"23,124","1,450,740"
daneel,"Jul 01, 2018",0.043498,0.043604,0.040051,0.042438,"86,558","1,486,800"
daneel,"Jun 30, 2018",0.042350,0.044946,0.039037,0.043488,"99,803","1,447,580"
daneel,"Jun 29, 2018",0.040896,0.043101,0.037848,0.042297,"92,373","1,396,240"
daneel,"Jun 28, 2018",0.044637,0.044799,0.040535,0.040873,"88,945","1,523,950"
daneel,"Jun 27, 2018",0.043030,0.045518,0.040301,0.044621,"81,785","1,465,640"
daneel,"Jun 26, 2018",0.049243,0.049346,0.043877,0.044491,"111,748","1,677,260"
daneel,"Jun 25, 2018",0.048407,0.051911,0.040472,0.049209,"100,364","1,648,800"
daneel,"Jun 24, 2018",0.043102,0.049393,0.037554,0.048519,"99,216","1,465,090"
daneel,"Jun 23, 2018",0.047086,0.047972,0.038395,0.043110,"126,740","1,592,030"
daneel,"Jun 22, 2018",0.059192,0.060213,0.044853,0.047080,"78,030","2,001,370"
daneel,"Jun 21, 2018",0.062148,0.062148,0.056700,0.059255,"92,078","2,101,300"
daneel,"Jun 20, 2018",0.065614,0.068481,0.048776,0.062133,"110,325","2,211,290"
daneel,"Jun 19, 2018",0.053295,0.070783,0.053295,0.063830,"115,853","1,782,780"
daneel,"Jun 18, 2018",0.041454,0.057199,0.039919,0.053292,"53,805","1,393,440"
daneel,"Jun 17, 2018",0.038196,0.042493,0.035739,0.041583,"6,079","1,283,170"
daneel,"Jun 16, 2018",0.039822,0.040543,0.036140,0.038136,"11,189","1,335,560"
daneel,"Jun 15, 2018",0.043095,0.043354,0.038903,0.039931,"4,865","1,444,900"
daneel,"Jun 14, 2018",0.041144,0.043427,0.038028,0.043117,"8,968","1,371,260"
daneel,"Jun 13, 2018",0.045636,0.045636,0.039065,0.042040,"6,458","1,520,960"
daneel,"Jun 12, 2018",0.055425,0.055425,0.043018,0.045506,"28,329","1,841,690"
daneel,"Jun 11, 2018",0.053297,0.055528,0.050495,0.055379,"15,628","1,767,780"
daneel,"Jun 10, 2018",0.062416,0.062416,0.052868,0.053223,"12,120","2,069,320"
daneel,"Jun 09, 2018",0.061483,0.065853,0.060692,0.062389,"9,026","2,038,070"
daneel,"Jun 08, 2018",0.065289,0.069546,0.061502,0.061502,"8,888","2,161,960"
daneel,"Jun 07, 2018",0.069453,0.070911,0.062376,0.063261,"7,948","2,296,510"
daneel,"Jun 06, 2018",0.070246,0.070305,0.059130,0.069397,"12,776","2,321,160"
daneel,"Jun 05, 2018",0.069015,0.074631,0.062863,0.070238,"24,889","2,275,720"
daneel,"Jun 04, 2018",0.069931,0.080094,0.064532,0.068983,"50,084","2,301,620"
daneel,"Jun 03, 2018",0.064180,0.072303,0.062666,0.069630,"24,744","2,099,470"
daneel,"Jun 02, 2018",0.066863,0.069008,0.058765,0.064186,"24,774","2,179,230"
daneel,"Jun 01, 2018",0.067929,0.074494,0.063285,0.066859,"19,581","2,209,200"
daneel,"May 31, 2018",0.076071,0.080178,0.061764,0.067875,"28,242","2,474,010"
daneel,"May 30, 2018",0.079341,0.080491,0.069407,0.076073,"19,215","2,557,250"
daneel,"May 29, 2018",0.074803,0.082270,0.074240,0.079312,"25,864","2,410,300"
daneel,"May 28, 2018",0.086969,0.086981,0.072799,0.076812,"30,768","2,802,320"
daneel,"May 27, 2018",0.085050,0.091983,0.082287,0.086945,"21,962","2,727,710"
daneel,"May 26, 2018",0.087646,0.098297,0.081306,0.085001,"29,217","2,808,360"
daneel,"May 25, 2018",0.092214,0.096936,0.082372,0.088274,"40,302","2,951,950"
daneel,"May 24, 2018",0.099145,0.100125,0.089056,0.092194,"39,197","3,170,050"
daneel,"May 23, 2018",0.107816,0.114759,0.091803,0.100149,"37,037","3,445,160"
daneel,"May 22, 2018",0.124798,0.128693,0.108007,0.108007,"38,693","3,985,920"
daneel,"May 21, 2018",0.138322,0.138429,0.124624,0.124773,"54,989","4,417,160"
daneel,"May 20, 2018",0.118639,0.142361,0.115806,0.133457,"106,559","3,788,620"
daneel,"May 19, 2018",0.119647,0.126725,0.108323,0.117905,"64,078","3,818,400"
daneel,"May 18, 2018",0.125359,0.131865,0.112164,0.112229,"69,197","3,984,660"
daneel,"May 17, 2018",0.133146,0.141683,0.124166,0.125135,"94,831","4,228,180"
daneel,"May 16, 2018",0.147741,0.152710,0.130398,0.133031,"88,125","4,683,670"
daneel,"May 15, 2018",0.145221,0.166020,0.139384,0.147848,"203,041","4,544,970"
daneel,"May 14, 2018",0.151119,0.155919,0.129289,0.145468,"144,480","4,598,090"
daneel,"May 13, 2018",0.158309,0.159329,0.147329,0.151151,"41,216","4,813,680"
daneel,"May 12, 2018",0.151171,0.158379,0.141549,0.158379,"90,014","4,596,650"
daneel,"May 11, 2018",0.171843,0.176627,0.144554,0.150580,"128,796","5,131,920"
daneel,"May 10, 2018",0.159451,0.186395,0.155707,0.173331,"194,474","4,736,720"
daneel,"May 09, 2018",0.150311,0.181585,0.131760,0.159586,"223,467","4,457,860"
daneel,"May 08, 2018",0.179376,0.186515,0.137506,0.150541,"212,847","4,690,420"
daneel,"May 07, 2018",0.199965,0.200548,0.167175,0.178996,"164,528","5,231,960"
daneel,"May 06, 2018",0.205419,0.212175,0.175857,0.199821,"194,711","5,419,380"
daneel,"May 05, 2018",0.162886,0.225653,0.148109,0.205280,"415,182","4,336,410"
daneel,"May 04, 2018",0.180047,0.198517,0.139550,0.162963,"438,152","4,803,810"
daneel,"May 03, 2018",0.184216,0.210923,0.159873,0.175282,"455,071","4,944,510"
daneel,"May 02, 2018",0.198659,0.214106,0.173984,0.184202,"315,279","5,358,690"
daneel,"May 01, 2018",0.244121,0.251007,0.170729,0.210562,"803,418","6,532,190"
daneel,"Apr 30, 2018",0.307374,0.307374,0.212211,0.243843,"709,095","8,287,110"
daneel,"Apr 29, 2018",0.301919,0.358151,0.244260,0.307441,"1,405,180","8,253,300"
daneel,"Apr 28, 2018",0.325491,0.451501,0.288338,0.291903,"1,915,800","9,901,070"
daneel,"Apr 27, 2018",0.204276,0.383851,0.168706,0.327924,"1,742,330","5,319,050"
daneel,"Apr 26, 2018",0.151218,0.222984,0.126487,0.203813,"707,660","3,937,510"
daneel,"Apr 25, 2018",0.095848,0.226651,0.065345,0.155303,"688,936",-
daneel,"Apr 24, 2018",0.035938,0.082428,0.035344,0.082428,"329,622",-
daneel,"Apr 23, 2018",0.035037,0.035927,0.026734,0.035820,"147,861",-
daneel,"Apr 22, 2018",0.043523,0.043523,0.027309,0.035108,"54,621",-
daneel,"Apr 21, 2018",0.043498,0.048609,0.031138,0.043523,"73,989",-
daneel,"Apr 20, 2018",0.016718,0.054398,0.016718,0.048364,"130,556",-
