Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
daostack,"Jul 02, 2018",0.158891,0.180660,0.136932,0.180259,"139,604","5,605,090"
daostack,"Jul 01, 2018",0.166423,0.167221,0.157590,0.158820,"109,636","5,870,790"
daostack,"Jun 30, 2018",0.160641,0.167899,0.160641,0.166341,"60,155","5,666,820"
daostack,"Jun 29, 2018",0.156018,0.162302,0.150482,0.160575,"137,701","5,503,740"
daostack,"Jun 28, 2018",0.162176,0.167606,0.155111,0.156112,"16,164","5,720,960"
daostack,"Jun 27, 2018",0.173519,0.176177,0.151233,0.161906,"29,628","6,121,110"
daostack,"Jun 26, 2018",0.193234,0.194043,0.173712,0.173902,"27,631","6,816,570"
daostack,"Jun 25, 2018",0.193938,0.195920,0.184370,0.193157,"28,072","6,841,420"
daostack,"Jun 24, 2018",0.222706,0.223365,0.191175,0.194690,"37,526","7,856,260"
daostack,"Jun 23, 2018",0.230653,0.233190,0.208692,0.222613,"41,665","8,136,580"
daostack,"Jun 22, 2018",0.248645,0.261341,0.220535,0.230526,"37,646","8,771,300"
daostack,"Jun 21, 2018",0.268493,0.282296,0.240322,0.248775,"62,407","9,471,430"
daostack,"Jun 20, 2018",0.245571,0.275368,0.235764,0.268242,"101,580","8,662,860"
daostack,"Jun 19, 2018",0.263766,0.273270,0.241027,0.245663,"113,882","9,304,710"
daostack,"Jun 18, 2018",0.241571,0.287421,0.237993,0.264828,"105,045","8,521,730"
daostack,"Jun 17, 2018",0.194055,0.250810,0.190431,0.241773,"98,880","6,845,540"
daostack,"Jun 16, 2018",0.228106,0.230456,0.174493,0.193763,"90,266","8,046,760"
daostack,"Jun 15, 2018",0.262700,0.263374,0.217073,0.228793,"121,520","9,267,110"
daostack,"Jun 14, 2018",0.253321,0.270129,0.237229,0.263038,"125,628","8,936,220"
daostack,"Jun 13, 2018",0.306604,0.306604,0.240046,0.252941,"142,040","10,815,900"
daostack,"Jun 12, 2018",0.324238,0.334531,0.299517,0.305583,"153,419","11,437,900"
daostack,"Jun 11, 2018",0.320694,0.341298,0.307124,0.324106,"31,865","11,312,900"
daostack,"Jun 10, 2018",0.391835,0.391835,0.303244,0.320135,"39,430","13,822,500"
daostack,"Jun 09, 2018",0.397953,0.444981,0.367444,0.391068,"74,286","14,038,300"
daostack,"Jun 08, 2018",0.392466,0.407162,0.365664,0.374077,"109,633","13,844,700"
daostack,"Jun 07, 2018",0.392745,0.413449,0.387465,0.391796,"32,841","13,854,600"
daostack,"Jun 06, 2018",0.412925,0.414978,0.376699,0.392863,"91,113","14,566,500"
daostack,"Jun 05, 2018",0.425694,0.427498,0.373204,0.413757,"77,942","15,016,900"
daostack,"Jun 04, 2018",0.463976,0.488766,0.390256,0.425726,"79,685","15,486,700"
daostack,"Jun 03, 2018",0.503277,0.540940,0.397952,0.467140,"138,871","16,798,500"
daostack,"Jun 02, 2018",0.511658,0.535961,0.496805,0.509193,"83,665","17,078,300"
daostack,"Jun 01, 2018",0.526190,0.556609,0.491003,0.511769,"109,837","17,563,300"
daostack,"May 31, 2018",0.569523,0.577939,0.521035,0.525058,"97,397","19,009,700"
daostack,"May 30, 2018",0.559353,0.610408,0.485361,0.570071,"193,482","18,670,300"
daostack,"May 29, 2018",0.477342,0.581879,0.477342,0.564630,"108,659","15,932,800"
daostack,"May 28, 2018",0.524445,0.532840,0.458371,0.478725,"108,511","17,505,100"
daostack,"May 27, 2018",0.548865,0.558526,0.495144,0.524476,"105,307","18,320,200"
daostack,"May 26, 2018",0.562634,0.590112,0.534272,0.547808,"95,936","18,779,800"
daostack,"May 25, 2018",0.593515,0.623051,0.535281,0.562552,"124,591","19,810,500"
daostack,"May 24, 2018",0.631747,0.637640,0.544795,0.614251,"91,818","21,086,600"
daostack,"May 23, 2018",0.643689,0.713837,0.525121,0.634598,"161,355","21,485,200"
daostack,"May 22, 2018",0.724665,0.728326,0.631889,0.644973,"139,365","24,188,100"
daostack,"May 21, 2018",0.761767,0.854675,0.674238,0.726195,"257,229","25,426,500"
daostack,"May 20, 2018",0.814631,0.845371,0.755237,0.760636,"187,387","27,191,000"
daostack,"May 19, 2018",0.803430,0.914951,0.799991,0.813298,"287,039","26,817,100"
daostack,"May 18, 2018",0.691417,0.803611,0.646406,0.803419,"268,685",-
daostack,"May 17, 2018",0.812208,0.819867,0.686874,0.692102,"315,431",-
daostack,"May 16, 2018",0.898197,0.907335,0.699199,0.809291,"604,187",-
daostack,"May 15, 2018",1.04,1.06,0.820533,0.897779,"537,217",-
daostack,"May 14, 2018",1.01,1.11,0.962024,1.04,"486,196",-
daostack,"May 13, 2018",0.985710,1.08,0.973446,1.01,"662,568",-
daostack,"May 12, 2018",1.15,1.16,0.947295,0.987688,"418,231",-
daostack,"May 11, 2018",1.31,1.34,0.987216,1.15,"777,345",-
daostack,"May 10, 2018",1.22,1.36,1.18,1.31,"1,927,100",-
