Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
dash,"Jul 02, 2018",235.71,252.16,234.73,249.79,"156,646,000","1,924,490,000"
dash,"Jul 01, 2018",239.14,240.26,231.65,235.70,"206,254,000","1,952,090,000"
dash,"Jun 30, 2018",234.47,244.09,232.00,238.36,"104,743,000","1,913,510,000"
dash,"Jun 29, 2018",219.49,238.44,217.36,234.24,"144,490,000","1,790,870,000"
dash,"Jun 28, 2018",229.32,229.64,218.07,219.82,"164,233,000","1,870,710,000"
dash,"Jun 27, 2018",231.92,231.92,224.62,229.20,"152,626,000","1,891,480,000"
dash,"Jun 26, 2018",241.22,241.61,229.01,230.96,"185,207,000","1,966,840,000"
dash,"Jun 25, 2018",237.62,246.21,235.69,241.20,"129,569,000","1,937,110,000"
dash,"Jun 24, 2018",242.93,243.88,227.58,238.04,"107,736,000","1,979,940,000"
dash,"Jun 23, 2018",236.82,248.37,236.39,243.00,"55,232,200","1,929,670,000"
dash,"Jun 22, 2018",260.89,261.55,233.42,236.48,"58,715,100","2,125,370,000"
dash,"Jun 21, 2018",265.52,268.98,259.62,260.83,"50,978,600","2,162,570,000"
dash,"Jun 20, 2018",262.40,265.65,254.47,265.30,"93,710,200","2,136,710,000"
dash,"Jun 19, 2018",265.38,271.04,259.50,261.52,"144,064,000","2,160,460,000"
dash,"Jun 18, 2018",264.75,267.79,251.96,265.46,"138,831,000","2,154,880,000"
dash,"Jun 17, 2018",266.60,270.87,262.93,265.77,"119,911,000","2,169,450,000"
dash,"Jun 16, 2018",257.24,268.16,256.03,266.17,"129,594,000","2,092,810,000"
dash,"Jun 15, 2018",268.27,270.09,256.45,258.06,"146,774,000","2,182,010,000"
dash,"Jun 14, 2018",245.91,270.58,245.64,268.32,"112,286,000","1,999,750,000"
dash,"Jun 13, 2018",261.78,262.32,241.77,245.96,"116,406,000","2,128,300,000"
dash,"Jun 12, 2018",270.25,276.97,259.55,261.12,"70,134,300","2,196,630,000"
dash,"Jun 11, 2018",273.82,279.12,260.75,271.81,"66,282,200","2,225,150,000"
dash,"Jun 10, 2018",299.50,300.49,271.59,274.04,"72,081,400","2,433,330,000"
dash,"Jun 09, 2018",310.50,313.02,299.00,299.00,"76,867,500","2,522,070,000"
dash,"Jun 08, 2018",312.64,316.39,303.59,310.70,"68,043,600","2,538,880,000"
dash,"Jun 07, 2018",314.40,318.47,311.96,312.67,"75,098,900","2,552,660,000"
dash,"Jun 06, 2018",317.56,319.52,307.71,314.55,"75,630,800","2,577,680,000"
dash,"Jun 05, 2018",317.03,319.87,307.91,317.42,"79,467,900","2,572,800,000"
dash,"Jun 04, 2018",330.73,334.10,312.33,316.89,"79,868,600","2,683,400,000"
dash,"Jun 03, 2018",322.31,334.65,321.38,331.19,"75,377,100","2,612,610,000"
dash,"Jun 02, 2018",315.34,326.78,310.95,321.43,"80,244,500","2,555,530,000"
