Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
dashcoin,"Jul 02, 2018",0.017770,0.028454,0.017655,0.023415,"16,899","312,314"
dashcoin,"Jul 01, 2018",0.018459,0.018880,0.017157,0.017768,648,"324,423"
dashcoin,"Jun 30, 2018",0.019241,0.021984,0.016586,0.018455,"1,820","338,165"
dashcoin,"Jun 29, 2018",0.018180,0.020053,0.017549,0.019215,296,"319,522"
dashcoin,"Jun 28, 2018",0.018402,0.022507,0.018066,0.018169,"1,615","323,409"
dashcoin,"Jun 27, 2018",0.017481,0.018744,0.017367,0.018395,244,"307,229"
dashcoin,"Jun 26, 2018",0.017926,0.018774,0.017472,0.017488,190,"315,045"
dashcoin,"Jun 25, 2018",0.017868,0.019478,0.017174,0.017926,106,"314,022"
dashcoin,"Jun 24, 2018",0.017563,0.019149,0.016193,0.017902,457,"308,665"
dashcoin,"Jun 23, 2018",0.017357,0.018880,0.016558,0.017565,235,"305,048"
dashcoin,"Jun 22, 2018",0.019640,0.020624,0.015885,0.017355,"1,140","345,176"
dashcoin,"Jun 21, 2018",0.018431,0.020273,0.018345,0.019662,508,"323,933"
dashcoin,"Jun 20, 2018",0.020265,0.020611,0.018264,0.018428,545,"356,156"
dashcoin,"Jun 19, 2018",0.022667,0.022870,0.019618,0.020252,"1,611","398,378"
dashcoin,"Jun 18, 2018",0.023836,0.028504,0.019441,0.022700,"19,615","418,917"
dashcoin,"Jun 17, 2018",0.016849,0.033205,0.016841,0.023918,"38,694","296,114"
dashcoin,"Jun 16, 2018",0.022214,0.022274,0.015988,0.016804,"1,290","390,408"
dashcoin,"Jun 15, 2018",0.025306,0.025306,0.015754,0.022295,"5,395","444,753"
dashcoin,"Jun 14, 2018",0.016923,0.028513,0.015889,0.020177,"14,587","297,427"
dashcoin,"Jun 13, 2018",0.019756,0.021982,0.016135,0.016931,"3,979","347,204"
dashcoin,"Jun 12, 2018",0.030278,0.039107,0.019525,0.019705,"23,176","532,128"
dashcoin,"Jun 11, 2018",0.019737,0.030308,0.018674,0.030308,"10,857","346,870"
dashcoin,"Jun 10, 2018",0.020370,0.022918,0.017935,0.019708,906,"357,995"
dashcoin,"Jun 09, 2018",0.023964,0.024698,0.017643,0.020344,"3,581","421,174"
dashcoin,"Jun 08, 2018",0.024469,0.027947,0.019738,0.023975,"6,044","430,039"
dashcoin,"Jun 07, 2018",0.019724,0.054520,0.019206,0.024450,"120,522","346,645"
dashcoin,"Jun 06, 2018",0.019083,0.020362,0.018944,0.019706,87,"335,376"
