Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
data,"Jul 02, 2018",0.007176,0.007785,0.006821,0.007785,"1,015,880","33,200,800"
data,"Jul 01, 2018",0.006926,0.007224,0.006735,0.007125,"815,979","32,041,100"
data,"Jun 30, 2018",0.006613,0.006978,0.006605,0.006888,"750,145","30,595,700"
data,"Jun 29, 2018",0.006238,0.006671,0.006167,0.006638,"863,154","28,861,500"
data,"Jun 28, 2018",0.006458,0.006865,0.006208,0.006243,"4,097,560","29,876,400"
data,"Jun 27, 2018",0.006177,0.006485,0.006114,0.006438,"601,318","28,577,500"
data,"Jun 26, 2018",0.006694,0.006729,0.006198,0.006201,"884,445","30,969,000"
data,"Jun 25, 2018",0.006495,0.007022,0.006236,0.006684,"1,943,410","30,047,800"
data,"Jun 24, 2018",0.006239,0.006708,0.005587,0.006482,"2,677,250","28,862,700"
data,"Jun 23, 2018",0.006352,0.006483,0.006087,0.006240,"896,880","29,387,900"
data,"Jun 22, 2018",0.007657,0.007689,0.006266,0.006371,"2,054,030","35,423,500"
data,"Jun 21, 2018",0.007971,0.008182,0.007518,0.007670,"1,498,410","36,879,900"
data,"Jun 20, 2018",0.007979,0.008308,0.007673,0.007898,"1,512,490","36,913,000"
data,"Jun 19, 2018",0.007881,0.008045,0.007556,0.007929,"1,851,550","36,462,400"
data,"Jun 18, 2018",0.007667,0.007951,0.007499,0.007891,"1,307,350","35,472,300"
data,"Jun 17, 2018",0.007895,0.008007,0.007654,0.007675,"788,291","36,525,300"
data,"Jun 16, 2018",0.007886,0.008135,0.007800,0.007902,"937,802","36,484,500"
data,"Jun 15, 2018",0.008634,0.008635,0.007761,0.007884,"1,829,190","39,945,800"
data,"Jun 14, 2018",0.008301,0.008636,0.007983,0.008636,"3,771,200","38,403,500"
data,"Jun 13, 2018",0.008209,0.008488,0.007670,0.008313,"2,428,580","37,977,700"
data,"Jun 12, 2018",0.009186,0.009738,0.007963,0.008246,"2,911,520","42,497,600"
data,"Jun 11, 2018",0.008946,0.009265,0.008388,0.009192,"2,339,340","41,389,600"
data,"Jun 10, 2018",0.011267,0.011267,0.008590,0.008900,"4,048,410","52,129,100"
data,"Jun 09, 2018",0.011935,0.012081,0.011318,0.011318,"2,275,090","55,217,500"
data,"Jun 08, 2018",0.012384,0.012666,0.011758,0.011947,"3,051,850","57,292,200"
data,"Jun 07, 2018",0.012324,0.012633,0.012184,0.012353,"1,936,100","57,015,300"
