Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
datarius-credit,"Jul 02, 2018",0.004994,0.005193,0.004954,0.005167,"170,433","637,955"
datarius-credit,"Jul 01, 2018",0.004953,0.005070,0.004924,0.004992,"152,144","632,752"
datarius-credit,"Jun 30, 2018",0.004900,0.005043,0.004844,0.004950,"150,908","626,016"
datarius-credit,"Jun 29, 2018",0.004781,0.004927,0.004688,0.004892,"128,509","610,752"
datarius-credit,"Jun 28, 2018",0.004588,0.004925,0.004559,0.004780,"104,131","586,091"
datarius-credit,"Jun 27, 2018",0.005940,0.005968,0.004515,0.004584,"102,343","758,922"
datarius-credit,"Jun 26, 2018",0.006082,0.006109,0.005956,0.005959,"76,622","776,956"
datarius-credit,"Jun 25, 2018",0.005793,0.006155,0.005747,0.006082,"64,258","740,137"
datarius-credit,"Jun 24, 2018",0.006194,0.006194,0.005699,0.005801,"63,842","791,304"
datarius-credit,"Jun 23, 2018",0.005975,0.006235,0.005697,0.006195,"59,431","763,302"
datarius-credit,"Jun 22, 2018",0.006794,0.006798,0.005866,0.005977,"69,592","867,915"
datarius-credit,"Jun 21, 2018",0.006651,0.006796,0.006539,0.006796,"43,900","849,760"
datarius-credit,"Jun 20, 2018",0.007097,0.007101,0.006569,0.006649,"60,641","906,748"
datarius-credit,"Jun 19, 2018",0.007040,0.007218,0.006927,0.007093,"37,741","899,423"
datarius-credit,"Jun 18, 2018",0.006727,0.007041,0.006600,0.007041,"30,564","784,027"
datarius-credit,"Jun 17, 2018",0.006682,0.007067,0.006545,0.006734,"32,144","778,806"
datarius-credit,"Jun 16, 2018",0.007040,0.007412,0.006628,0.006686,"13,524","822,976"
datarius-credit,"Jun 15, 2018",0.007926,0.008246,0.007004,0.007036,"15,584","929,612"
datarius-credit,"Jun 14, 2018",0.007226,0.008067,0.007062,0.007914,"14,276","846,897"
datarius-credit,"Jun 13, 2018",0.007443,0.008326,0.006960,0.007202,"27,965","871,594"
datarius-credit,"Jun 12, 2018",0.008822,0.010909,0.006830,0.007414,"137,935","1,037,820"
datarius-credit,"Jun 11, 2018",0.007225,0.011574,0.007102,0.008789,"84,138","841,934"
datarius-credit,"Jun 10, 2018",0.008227,0.008234,0.006939,0.007227,"17,317","960,695"
datarius-credit,"Jun 09, 2018",0.008743,0.009067,0.007435,0.008289,"46,302","1,022,480"
datarius-credit,"Jun 08, 2018",0.008477,0.009712,0.008340,0.008748,"39,141","990,215"
datarius-credit,"Jun 07, 2018",0.009694,0.010985,0.007475,0.008416,"131,557","1,139,720"
datarius-credit,"Jun 06, 2018",0.011023,0.011073,0.009600,0.009695,"25,203","1,299,910"
datarius-credit,"Jun 05, 2018",0.012147,0.012231,0.010039,0.011021,"51,134","1,439,100"
datarius-credit,"Jun 04, 2018",0.013396,0.014119,0.011774,0.012150,"52,801","1,589,080"
datarius-credit,"Jun 03, 2018",0.011741,0.013680,0.011737,0.013172,"49,538","1,386,590"
datarius-credit,"Jun 02, 2018",0.010062,0.012431,0.009706,0.011761,"60,356","1,185,240"
datarius-credit,"Jun 01, 2018",0.009816,0.012891,0.009243,0.010076,"108,860","1,154,860"
datarius-credit,"May 31, 2018",0.010466,0.010725,0.009327,0.009807,"41,819","1,234,950"
datarius-credit,"May 30, 2018",0.010677,0.011734,0.009193,0.010461,"101,852","1,260,650"
datarius-credit,"May 29, 2018",0.008837,0.011743,0.007763,0.010660,"133,684","1,046,360"
datarius-credit,"May 28, 2018",0.014401,0.014420,0.008659,0.009081,"100,891","1,738,130"
datarius-credit,"May 27, 2018",0.011721,0.016071,0.009017,0.014362,"182,437","1,414,640"
datarius-credit,"May 26, 2018",0.015260,0.015297,0.009549,0.011753,"169,836","1,841,780"
datarius-credit,"May 25, 2018",0.016350,0.021686,0.012664,0.015136,"309,470","1,973,400"
datarius-credit,"May 24, 2018",0.017612,0.020834,0.011751,0.018835,"697,399",-
datarius-credit,"May 23, 2018",0.010203,0.020574,0.010203,0.017598,"786,979",-
datarius-credit,"May 22, 2018",0.005790,0.013522,0.005395,0.010221,"705,609",-
datarius-credit,"May 21, 2018",0.004108,0.005787,0.004068,0.005782,"120,773",-
