Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
debitcoin,"Jul 02, 2018",0.004125,0.004321,0.004082,0.004294,1,"74,254"
debitcoin,"Jul 01, 2018",0.004152,0.004175,0.004085,0.004125,1,"74,730"
debitcoin,"Jun 30, 2018",0.003537,0.004166,0.003537,0.004151,35,"63,661"
debitcoin,"Jun 29, 2018",0.003345,0.003593,0.003307,0.003532,4,"60,209"
debitcoin,"Jun 28, 2018",0.003496,0.003507,0.003324,0.003343,3,"62,933"
debitcoin,"Jun 27, 2018",0.003891,0.003914,0.003429,0.003495,1,"70,044"
debitcoin,"Jun 26, 2018",0.003918,0.003944,0.003725,0.003893,7,"70,516"
debitcoin,"Jun 25, 2018",0.001861,0.003931,0.001845,0.003918,2,"33,502"
debitcoin,"Jun 24, 2018",0.003611,0.003929,0.001792,0.001865,18,"65,004"
debitcoin,"Jun 23, 2018",0.003692,0.003752,0.003388,0.003612,141,"66,449"
debitcoin,"Jun 22, 2018",0.004029,0.004062,0.003626,0.003691,7,"72,516"
debitcoin,"Jun 21, 2018",0.004118,0.004137,0.004018,0.004033,39,"74,130"
debitcoin,"Jun 20, 2018",0.006417,0.006423,0.003236,0.004118,27,"115,508"
debitcoin,"Jun 19, 2018",0.004055,0.006420,0.004054,0.006413,246,"72,995"
debitcoin,"Jun 18, 2018",0.003174,0.004058,0.003148,0.004058,18,"57,128"
debitcoin,"Jun 17, 2018",0.003917,0.003946,0.003174,0.003185,64,"70,500"
debitcoin,"Jun 16, 2018",0.003147,0.003944,0.003147,0.003906,9,"56,641"
debitcoin,"Jun 15, 2018",0.002885,0.003224,0.002871,0.003158,7,"51,926"
debitcoin,"Jun 12, 2018",0.004113,0.004113,0.003141,0.003157,2,"74,028"
debitcoin,"Jun 11, 2018",0.003988,0.004136,0.003987,0.004115,77,"71,775"
debitcoin,"Jun 10, 2018",0.004276,0.004276,0.003478,0.003980,1,"76,959"
debitcoin,"Jun 09, 2018",0.004271,0.004426,0.004231,0.004270,115,"76,880"
debitcoin,"Jun 08, 2018",0.004456,0.004522,0.004273,0.004273,95,"80,204"
debitcoin,"Jun 07, 2018",0.004474,0.004477,0.004437,0.004452,9,"80,530"
debitcoin,"Jun 06, 2018",0.004651,0.004690,0.004576,0.004671,61,"83,709"
debitcoin,"Jun 05, 2018",0.003901,0.004655,0.003838,0.004652,93,"70,220"
debitcoin,"Jun 04, 2018",0.004452,0.004464,0.003893,0.003899,18,"80,131"
debitcoin,"Jun 03, 2018",0.003665,0.004462,0.003648,0.004450,11,"65,964"
debitcoin,"Jun 02, 2018",0.004117,0.004679,0.003650,0.003664,3,"74,105"
debitcoin,"Jun 01, 2018",0.003221,0.004835,0.002369,0.004119,243,"57,984"
debitcoin,"May 31, 2018",0.003175,0.003262,0.003159,0.003219,1,"57,141"
debitcoin,"May 30, 2018",0.003956,0.004002,0.003142,0.003175,1,"71,211"
debitcoin,"May 29, 2018",0.002847,0.003977,0.002832,0.003954,66,"51,252"
debitcoin,"May 28, 2018",0.002938,0.002965,0.002840,0.002848,22,"52,886"
debitcoin,"May 27, 2018",0.002787,0.002946,0.002749,0.002937,26,"50,171"
debitcoin,"May 26, 2018",0.002833,0.002897,0.002771,0.002786,14,"50,997"
debitcoin,"May 25, 2018",0.003176,0.003214,0.003092,0.003156,6,"57,173"
debitcoin,"May 24, 2018",0.002707,0.003192,0.002619,0.003170,26,"48,726"
debitcoin,"May 23, 2018",0.002721,0.002749,0.002540,0.002714,4,"48,980"
debitcoin,"May 22, 2018",0.002859,0.003005,0.002709,0.002724,2,"51,454"
debitcoin,"May 21, 2018",0.003070,0.003089,0.002834,0.002859,3,"55,257"
debitcoin,"May 20, 2018",0.003562,0.003597,0.002749,0.003066,24,"64,121"
debitcoin,"May 19, 2018",0.002801,0.002845,0.002779,0.002837,3,"50,421"
debitcoin,"May 18, 2018",0.002908,0.002930,0.002756,0.002802,3,"52,345"
debitcoin,"May 17, 2018",0.003005,0.003728,0.002889,0.002906,8,"54,096"
debitcoin,"May 16, 2018",0.003394,0.003827,0.002973,0.003004,23,"61,099"
debitcoin,"May 15, 2018",0.003704,0.004410,0.003182,0.003396,3,"66,674"
debitcoin,"May 14, 2018",0.004773,0.005031,0.002670,0.003711,353,"85,907"
debitcoin,"May 13, 2018",0.003387,0.005374,0.003355,0.004774,11,"60,966"
debitcoin,"May 12, 2018",0.003442,0.003466,0.003294,0.003388,5,"61,953"
debitcoin,"May 11, 2018",0.003615,0.003615,0.003415,0.003452,2,"65,072"
debitcoin,"May 10, 2018",0.003912,0.003943,0.003607,0.003611,29,"70,414"
debitcoin,"May 09, 2018",0.004967,0.005048,0.004856,0.005025,41,"89,412"
debitcoin,"May 08, 2018",0.003747,0.004997,0.003713,0.004975,41,"67,440"
debitcoin,"May 07, 2018",0.004230,0.004232,0.003683,0.003739,75,"76,139"
debitcoin,"May 06, 2018",0.006487,0.006548,0.004170,0.004227,31,"116,762"
debitcoin,"May 05, 2018",0.006028,0.006502,0.004535,0.006483,12,"108,509"
debitcoin,"May 04, 2018",0.005069,0.006297,0.004973,0.006031,8,"91,236"
debitcoin,"May 03, 2018",0.004333,0.005095,0.004317,0.005071,11,"77,993"
debitcoin,"May 02, 2018",0.004262,0.004749,0.004224,0.004333,8,"76,721"
debitcoin,"May 01, 2018",0.004805,0.004805,0.004610,0.004713,1,"86,492"
debitcoin,"Apr 30, 2018",0.004889,0.004918,0.004758,0.004801,23,"87,996"
debitcoin,"Apr 29, 2018",0.006542,0.006668,0.004318,0.004890,27,"117,750"
debitcoin,"Apr 28, 2018",0.004725,0.006560,0.004713,0.006544,5,"85,053"
debitcoin,"Apr 27, 2018",0.004370,0.004943,0.004297,0.004742,8,"78,652"
debitcoin,"Apr 26, 2018",0.003905,0.004564,0.003810,0.004364,8,"70,295"
