Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
decent,"Jul 02, 2018",0.360695,0.388550,0.333016,0.379655,"293,247","18,505,800"
decent,"Jul 01, 2018",0.356457,0.376898,0.327089,0.358853,"263,825","18,288,400"
decent,"Jun 30, 2018",0.328350,0.381790,0.320511,0.353244,"238,942","16,846,400"
decent,"Jun 29, 2018",0.338127,0.366018,0.295483,0.348682,"159,750","17,348,000"
decent,"Jun 28, 2018",0.332528,0.355628,0.307326,0.315705,"161,104","17,060,700"
decent,"Jun 27, 2018",0.352889,0.356004,0.313954,0.340124,"167,580","18,105,300"
decent,"Jun 26, 2018",0.329431,0.377968,0.321005,0.335284,"150,816","16,901,800"
decent,"Jun 25, 2018",0.322078,0.373904,0.308776,0.352912,"108,740","16,524,500"
decent,"Jun 24, 2018",0.335881,0.343371,0.296265,0.322708,"175,999","17,232,700"
decent,"Jun 23, 2018",0.364705,0.380225,0.328022,0.341238,"468,102","18,711,600"
decent,"Jun 22, 2018",0.413823,0.424737,0.352537,0.364587,"224,825","21,231,600"
decent,"Jun 21, 2018",0.420720,0.440324,0.398655,0.417139,"319,092","21,585,500"
decent,"Jun 20, 2018",0.411523,0.440931,0.396607,0.440931,"222,123","21,113,700"
decent,"Jun 19, 2018",0.405968,0.446691,0.405968,0.411992,"269,157","20,828,600"
decent,"Jun 18, 2018",0.390687,0.437642,0.378517,0.413843,"195,036","20,044,600"
decent,"Jun 17, 2018",0.416949,0.427328,0.378670,0.397606,"145,055","21,392,000"
decent,"Jun 16, 2018",0.390156,0.425581,0.374557,0.384287,"149,107","20,017,400"
decent,"Jun 15, 2018",0.417424,0.438170,0.387878,0.388895,"205,784","21,416,400"
decent,"Jun 14, 2018",0.392245,0.442220,0.388238,0.412052,"201,700","20,124,500"
decent,"Jun 13, 2018",0.416543,0.431294,0.365955,0.404295,"319,237","21,371,200"
decent,"Jun 12, 2018",0.436873,0.470312,0.404667,0.415149,"254,767","22,414,200"
decent,"Jun 11, 2018",0.437817,0.458652,0.410152,0.448118,"231,031","22,462,700"
decent,"Jun 10, 2018",0.538817,0.543060,0.431181,0.447191,"356,417","27,644,600"
decent,"Jun 09, 2018",0.545807,0.563307,0.522032,0.541837,"328,721","28,003,200"
decent,"Jun 08, 2018",0.541842,0.580827,0.522160,0.526593,"238,342","27,799,800"
decent,"Jun 07, 2018",0.525517,0.552371,0.520057,0.535123,"250,387","26,962,200"
decent,"Jun 06, 2018",0.545131,0.548310,0.513909,0.529102,"274,004","27,968,500"
decent,"Jun 05, 2018",0.507630,0.552227,0.492602,0.537715,"384,718","26,044,500"
decent,"Jun 04, 2018",0.527473,0.547905,0.486920,0.508608,"269,598","27,062,600"
decent,"Jun 03, 2018",0.548926,0.552916,0.520181,0.540542,"258,360","28,163,200"
decent,"Jun 02, 2018",0.527483,0.583395,0.518299,0.548790,"743,312","27,063,100"
decent,"Jun 01, 2018",0.526321,0.590307,0.490270,0.552020,"1,111,280","27,003,500"
decent,"May 31, 2018",0.503981,0.565379,0.480223,0.511874,"2,374,880","25,857,300"
decent,"May 30, 2018",0.522387,0.538871,0.470512,0.494127,"2,226,540","26,801,600"
decent,"May 29, 2018",0.525404,0.594112,0.408949,0.518276,"2,570,650","26,956,400"
decent,"May 28, 2018",0.548376,0.577845,0.404602,0.497640,"2,310,450","28,135,000"
decent,"May 27, 2018",0.547740,0.577452,0.540935,0.567849,"2,047,490","28,102,400"
decent,"May 26, 2018",0.547466,0.581339,0.538843,0.561423,"2,881,430","28,088,300"
decent,"May 25, 2018",0.628396,0.628396,0.530395,0.566010,"3,023,900","32,240,500"
decent,"May 24, 2018",0.623475,0.642979,0.545411,0.620124,"5,009,700","31,988,000"
decent,"May 23, 2018",0.654845,0.783879,0.575459,0.629646,"12,318,800","33,597,500"
decent,"May 22, 2018",0.723475,0.730836,0.635379,0.652616,"2,916,140","37,118,700"
decent,"May 21, 2018",0.774175,0.774175,0.717509,0.723164,"1,658,830","39,719,900"
decent,"May 20, 2018",0.749628,0.779424,0.708711,0.753206,"1,715,510","38,460,500"
decent,"May 19, 2018",0.745374,0.765186,0.682131,0.749035,"809,125","38,242,200"
decent,"May 18, 2018",0.752419,0.767360,0.695128,0.706438,"1,334,230","38,603,700"
decent,"May 17, 2018",0.781331,0.816132,0.747246,0.758436,"1,658,690","40,087,000"
decent,"May 16, 2018",0.790855,0.820995,0.736945,0.782622,"838,379","40,575,700"
decent,"May 15, 2018",0.946806,0.979279,0.781530,0.791379,"937,906","48,576,900"
decent,"May 14, 2018",0.815995,0.988660,0.808435,0.940832,"1,646,080","41,865,500"
decent,"May 13, 2018",0.727797,0.862050,0.698952,0.849372,"713,177","37,340,400"
decent,"May 12, 2018",0.812888,0.857890,0.698265,0.763017,"842,195","41,706,100"
decent,"May 11, 2018",0.940281,0.955560,0.769340,0.806984,"1,360,730","48,242,100"
decent,"May 10, 2018",0.978284,1.04,0.936628,0.945597,"1,648,150","50,191,900"
decent,"May 09, 2018",1.01,1.04,0.956484,0.974721,"1,874,580","51,682,500"
decent,"May 08, 2018",0.955754,1.04,0.933065,1.01,"3,574,030","49,036,000"
decent,"May 07, 2018",0.859983,0.964413,0.837427,0.956532,"2,941,350","44,122,400"
decent,"May 06, 2018",0.892277,0.903277,0.828855,0.852837,"1,495,580","45,779,200"
decent,"May 05, 2018",0.930156,0.994502,0.831851,0.894584,"2,081,340","47,722,700"
decent,"May 04, 2018",0.860887,1.08,0.832742,0.930894,"5,949,480","44,168,800"
decent,"May 03, 2018",0.790599,0.879665,0.736123,0.856191,"1,881,120","40,562,600"
decent,"May 02, 2018",0.756748,0.797891,0.724480,0.785608,"1,786,880","38,825,800"
decent,"May 01, 2018",0.783706,0.808316,0.678544,0.751614,"1,429,830","40,208,900"
decent,"Apr 30, 2018",0.850588,0.866674,0.690689,0.787615,"1,264,840","43,640,300"
decent,"Apr 29, 2018",0.870374,0.883406,0.813990,0.839270,"1,350,830","44,655,500"
decent,"Apr 28, 2018",0.827968,0.885585,0.827968,0.870866,"884,754","42,479,800"
decent,"Apr 27, 2018",0.847406,0.900386,0.817332,0.829558,"1,736,270","43,477,100"
decent,"Apr 26, 2018",0.790390,0.860080,0.776448,0.855358,"1,245,780","40,551,800"
decent,"Apr 25, 2018",0.937632,0.937632,0.776491,0.784790,"1,140,680","48,106,300"
decent,"Apr 24, 2018",0.841251,0.940396,0.841251,0.906888,"1,410,420","43,161,300"
decent,"Apr 23, 2018",0.831975,0.898816,0.815572,0.851281,"1,279,050","42,685,400"
decent,"Apr 22, 2018",0.829831,0.840181,0.780422,0.832932,"1,501,850","42,575,400"
decent,"Apr 21, 2018",0.874221,0.874221,0.765762,0.834964,"1,785,430","44,852,900"
decent,"Apr 20, 2018",0.710383,1.06,0.706050,0.879529,"8,715,710","36,447,000"
decent,"Apr 19, 2018",0.621772,0.737760,0.599092,0.710610,"1,316,040","31,900,700"
decent,"Apr 18, 2018",0.622783,0.660819,0.576702,0.595902,"834,846","31,952,600"
decent,"Apr 17, 2018",0.620384,0.657543,0.559016,0.621017,"1,419,450","31,829,500"
decent,"Apr 16, 2018",0.680034,0.686031,0.593551,0.606220,"1,307,640","34,889,900"
decent,"Apr 15, 2018",0.566283,0.704799,0.566283,0.679307,"3,414,960","29,053,700"
decent,"Apr 14, 2018",0.557923,0.602406,0.540938,0.570795,"841,621","28,624,900"
decent,"Apr 13, 2018",0.572623,0.593379,0.534166,0.557705,"464,269","29,379,100"
decent,"Apr 12, 2018",0.618886,0.618886,0.505951,0.571742,"1,452,320","31,752,600"
decent,"Apr 11, 2018",0.454578,0.636160,0.454578,0.547302,"7,973,490","23,322,600"
decent,"Apr 10, 2018",0.393914,0.533746,0.385438,0.457657,"3,753,520","20,210,200"
decent,"Apr 09, 2018",0.408376,0.426507,0.382803,0.393582,"326,139","20,952,200"
decent,"Apr 08, 2018",0.391730,0.425094,0.386316,0.410030,"477,926","20,098,200"
decent,"Apr 07, 2018",0.357620,0.403840,0.356401,0.391039,"179,808","18,348,100"
decent,"Apr 06, 2018",0.372207,0.372207,0.347132,0.359799,"134,931","19,096,500"
decent,"Apr 05, 2018",0.369683,0.423957,0.351954,0.374097,"1,271,220","18,967,000"
decent,"Apr 04, 2018",0.394473,0.394473,0.345623,0.369450,"220,537","20,238,900"
decent,"Apr 03, 2018",0.349493,0.397761,0.347404,0.394766,"203,175","17,931,100"
decent,"Apr 02, 2018",0.338738,0.367526,0.334834,0.349359,"245,149","17,379,300"
decent,"Apr 01, 2018",0.343650,0.351153,0.313909,0.336005,"116,112","17,631,400"
decent,"Mar 31, 2018",0.334424,0.356644,0.327392,0.340322,"101,126","17,158,000"
decent,"Mar 30, 2018",0.343052,0.346377,0.319615,0.334426,"112,649","17,600,700"
decent,"Mar 29, 2018",0.404833,0.413207,0.338189,0.342745,"160,335","20,770,400"
decent,"Mar 28, 2018",0.397036,0.418577,0.389785,0.404138,"172,161","20,370,300"
decent,"Mar 27, 2018",0.427145,0.428696,0.393322,0.397395,"230,458","21,915,100"
decent,"Mar 26, 2018",0.440155,0.471895,0.401396,0.428280,"407,261","22,582,600"
decent,"Mar 25, 2018",0.427272,0.476614,0.421768,0.440504,"561,778","21,921,700"
decent,"Mar 24, 2018",0.456825,0.467841,0.431814,0.434535,"130,441","23,437,900"
decent,"Mar 23, 2018",0.487756,0.491666,0.427460,0.444154,"174,501","25,024,800"
decent,"Mar 22, 2018",0.460437,0.496584,0.431228,0.468114,"232,504","23,623,200"
decent,"Mar 21, 2018",0.463372,0.494345,0.454288,0.459228,"365,242","23,773,800"
decent,"Mar 20, 2018",0.419288,0.502362,0.414025,0.467631,"1,379,450","21,512,000"
decent,"Mar 19, 2018",0.394700,0.456797,0.388826,0.423428,"265,646","20,250,500"
decent,"Mar 18, 2018",0.406545,0.412928,0.346244,0.396406,"202,476","20,858,200"
decent,"Mar 17, 2018",0.444910,0.468219,0.405067,0.408880,"198,317","22,826,600"
decent,"Mar 16, 2018",0.519468,0.521366,0.414559,0.444315,"374,466","26,651,900"
decent,"Mar 15, 2018",0.517325,0.534741,0.475434,0.508254,"415,911","26,541,900"
decent,"Mar 14, 2018",0.609020,0.637038,0.508487,0.522741,"542,162","31,246,400"
decent,"Mar 13, 2018",0.616384,0.637995,0.591041,0.610212,"506,943","31,624,300"
decent,"Mar 12, 2018",0.659519,0.699372,0.591400,0.619629,"605,640","33,837,300"
decent,"Mar 11, 2018",0.614937,0.708927,0.578044,0.642971,"583,652","31,550,000"
decent,"Mar 10, 2018",0.648281,0.727997,0.597046,0.615878,"1,327,920","33,260,800"
decent,"Mar 09, 2018",0.687655,0.750643,0.582946,0.665793,"1,082,660","35,280,900"
decent,"Mar 08, 2018",0.714531,0.864267,0.681918,0.689626,"5,341,740","36,659,800"
decent,"Mar 07, 2018",0.805835,0.831547,0.679910,0.724925,"505,624","41,344,300"
decent,"Mar 06, 2018",0.866889,0.866889,0.749475,0.806924,"472,867","44,476,700"
decent,"Mar 05, 2018",0.901162,0.915563,0.853679,0.872563,"540,207","46,235,100"
decent,"Mar 04, 2018",0.954914,0.954914,0.860084,0.920627,"1,295,920","48,992,900"
decent,"Mar 03, 2018",0.892822,0.969582,0.822221,0.946470,"1,598,970","45,807,200"
decent,"Mar 02, 2018",0.835488,0.988519,0.835488,0.902528,"3,488,820","42,865,600"
decent,"Mar 01, 2018",0.713349,0.879910,0.707095,0.837641,"1,788,980","36,599,100"
decent,"Feb 28, 2018",0.737542,0.780630,0.703228,0.708781,"308,151","37,840,400"
decent,"Feb 27, 2018",0.716216,0.807827,0.709552,0.738412,"516,753","36,746,200"
decent,"Feb 26, 2018",0.709957,0.743699,0.699250,0.713844,"208,916","36,425,100"
decent,"Feb 25, 2018",0.700442,0.728342,0.675431,0.709050,"187,633","35,936,900"
decent,"Feb 24, 2018",0.702290,0.732651,0.648948,0.701672,"180,698","36,031,700"
decent,"Feb 23, 2018",0.691697,0.747202,0.668684,0.703151,"172,045","35,488,300"
decent,"Feb 22, 2018",0.729414,0.788489,0.652901,0.692344,"303,990","37,423,400"
decent,"Feb 21, 2018",0.820474,0.831650,0.724647,0.730155,"299,719","42,095,300"
decent,"Feb 20, 2018",0.919728,0.939885,0.809234,0.821515,"527,632","47,187,600"
decent,"Feb 19, 2018",0.816035,1.15,0.813854,0.918607,"4,128,510","41,867,600"
decent,"Feb 18, 2018",0.916973,0.928817,0.814894,0.819500,"240,052","47,046,300"
decent,"Feb 17, 2018",0.920141,0.945143,0.873947,0.915932,"355,751","47,208,800"
