Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
decentralized-machine-learning,"Jul 02, 2018",0.017844,0.017859,0.014664,0.016739,"1,698",-
decentralized-machine-learning,"Jul 01, 2018",0.017248,0.017915,0.016938,0.017830,697,-
decentralized-machine-learning,"Jun 30, 2018",0.016530,0.017438,0.016530,0.017231,74,-
decentralized-machine-learning,"Jun 29, 2018",0.013149,0.016756,0.013098,0.016519,"1,534",-
decentralized-machine-learning,"Jun 28, 2018",0.013895,0.013941,0.013061,0.013144,"3,164",-
decentralized-machine-learning,"Jun 27, 2018",0.013676,0.013961,0.013235,0.013869,309,-
decentralized-machine-learning,"Jun 26, 2018",0.015890,0.016191,0.013703,0.013723,"2,244",-
decentralized-machine-learning,"Jun 25, 2018",0.015645,0.018581,0.015336,0.015890,822,-
decentralized-machine-learning,"Jun 24, 2018",0.018575,0.018638,0.015654,0.015710,"2,318",-
decentralized-machine-learning,"Jun 23, 2018",0.020127,0.020684,0.018212,0.018580,29,-
decentralized-machine-learning,"Jun 22, 2018",0.023999,0.023999,0.017925,0.020114,"11,382",-
decentralized-machine-learning,"Jun 21, 2018",0.023210,0.026698,0.021604,0.024005,"8,199",-
decentralized-machine-learning,"Jun 20, 2018",0.022092,0.023502,0.021311,0.023223,"1,218",-
decentralized-machine-learning,"Jun 19, 2018",0.022887,0.026328,0.021743,0.022077,"12,528",-
decentralized-machine-learning,"Jun 18, 2018",0.025310,0.027637,0.022228,0.022900,"2,213",-
decentralized-machine-learning,"Jun 17, 2018",0.025828,0.026318,0.020958,0.025314,"7,349",-
decentralized-machine-learning,"Jun 16, 2018",0.025425,0.028078,0.024570,0.025831,"3,124",-
decentralized-machine-learning,"Jun 15, 2018",0.035542,0.035693,0.025251,0.025495,"9,377",-
decentralized-machine-learning,"Jun 14, 2018",0.029375,0.034766,0.028986,0.032231,"5,759",-
decentralized-machine-learning,"Jun 13, 2018",0.038753,0.039123,0.028741,0.029306,"5,005",-
