Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
deeponion,"Jul 02, 2018",0.603684,0.703343,0.591430,0.702848,"81,146","9,341,140"
deeponion,"Jul 01, 2018",0.650339,0.654567,0.593513,0.603623,"13,295","10,058,700"
deeponion,"Jun 30, 2018",0.613118,0.691835,0.597489,0.650171,"25,806","9,479,690"
deeponion,"Jun 29, 2018",0.592193,0.648592,0.549556,0.591754,"39,362","9,152,900"
deeponion,"Jun 28, 2018",0.677835,0.687620,0.588940,0.591826,"30,675","10,472,600"
deeponion,"Jun 27, 2018",0.673699,0.698707,0.664605,0.677538,"22,028","10,404,400"
deeponion,"Jun 26, 2018",0.730750,0.743415,0.673581,0.674288,"17,228","11,279,600"
deeponion,"Jun 25, 2018",0.727109,0.752560,0.698000,0.730750,"28,671","11,219,100"
deeponion,"Jun 24, 2018",0.712456,0.751964,0.655303,0.728719,"19,828","10,985,900"
deeponion,"Jun 23, 2018",0.710286,0.739098,0.702674,0.712558,"15,832","10,948,700"
deeponion,"Jun 22, 2018",0.807598,0.822723,0.693069,0.706828,"34,536","12,444,500"
deeponion,"Jun 21, 2018",0.838330,0.839554,0.795723,0.808494,"30,510","12,913,500"
deeponion,"Jun 20, 2018",0.812907,0.864109,0.775610,0.838251,"30,392","12,515,800"
deeponion,"Jun 19, 2018",0.804500,0.894286,0.785019,0.793654,"44,798","12,381,900"
deeponion,"Jun 18, 2018",0.779537,0.819675,0.723510,0.804904,"44,575","11,993,200"
deeponion,"Jun 17, 2018",0.803973,0.828413,0.751569,0.782652,"42,420","12,364,600"
deeponion,"Jun 16, 2018",0.946009,0.949588,0.792726,0.804135,"54,630","14,544,100"
deeponion,"Jun 15, 2018",0.896775,0.982210,0.879662,0.949457,"40,616","13,782,400"
deeponion,"Jun 14, 2018",0.824050,0.910362,0.811571,0.898154,"25,219","12,660,200"
deeponion,"Jun 13, 2018",0.818423,0.852347,0.740343,0.824243,"39,927","12,517,700"
deeponion,"Jun 12, 2018",0.855955,0.943012,0.803711,0.816109,"46,211","13,083,500"
