Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
delphy,"Jul 02, 2018",0.606978,0.642688,0.584618,0.616365,"1,629,180","25,871,100"
delphy,"Jul 01, 2018",0.607527,0.615613,0.592328,0.611424,"793,853","25,894,500"
delphy,"Jun 30, 2018",0.588452,0.615346,0.586362,0.608259,"1,259,990","25,547,300"
delphy,"Jun 29, 2018",0.571411,0.587191,0.557737,0.586021,"1,445,320","24,807,500"
delphy,"Jun 28, 2018",0.599548,0.604741,0.570162,0.571495,"990,249","26,029,000"
delphy,"Jun 27, 2018",0.605404,0.616050,0.585405,0.600948,"1,122,400","26,283,200"
delphy,"Jun 26, 2018",0.689069,0.690146,0.593679,0.604866,"1,397,510","28,479,900"
delphy,"Jun 25, 2018",0.611992,0.684631,0.598100,0.684631,"1,181,760","25,294,300"
delphy,"Jun 24, 2018",0.650788,0.653264,0.522249,0.623875,"1,281,980","26,897,700"
delphy,"Jun 23, 2018",0.581604,0.676143,0.576588,0.655013,"877,330","24,038,300"
delphy,"Jun 22, 2018",0.737823,0.750172,0.557724,0.580690,"1,342,060","30,495,000"
delphy,"Jun 21, 2018",0.765769,0.824887,0.735483,0.743277,"1,159,060","31,650,000"
delphy,"Jun 20, 2018",0.840054,0.847381,0.759760,0.759760,"1,262,890","34,720,300"
delphy,"Jun 19, 2018",0.862929,0.910483,0.830212,0.838448,"1,474,630","35,665,800"
delphy,"Jun 18, 2018",0.954138,0.957691,0.820606,0.868044,"1,315,780","39,435,500"
delphy,"Jun 17, 2018",1.01,1.03,0.914794,0.954826,"1,424,990","41,573,000"
delphy,"Jun 16, 2018",1.16,1.19,0.944362,1.01,"2,226,480","47,791,200"
delphy,"Jun 15, 2018",1.31,1.31,1.16,1.16,"2,227,000","54,262,900"
delphy,"Jun 14, 2018",1.29,1.33,1.20,1.30,"1,284,180","53,248,900"
delphy,"Jun 13, 2018",1.34,1.39,1.12,1.29,"1,339,880","55,376,500"
delphy,"Jun 12, 2018",1.42,1.45,1.30,1.35,"1,552,570","58,709,400"
delphy,"Jun 11, 2018",1.46,1.48,1.19,1.45,"1,805,680","60,252,500"
delphy,"Jun 10, 2018",1.74,1.75,1.31,1.45,"1,961,480","71,866,200"
delphy,"Jun 09, 2018",1.99,1.99,1.65,1.76,"1,956,690","82,221,800"
delphy,"Jun 08, 2018",2.04,2.08,1.94,1.98,"2,110,750","84,269,300"
delphy,"Jun 07, 2018",2.06,2.08,1.99,2.04,"3,259,940","85,076,800"
delphy,"Jun 06, 2018",2.17,2.35,1.98,2.06,"2,759,370","89,736,400"
delphy,"Jun 05, 2018",2.22,2.27,2.01,2.16,"3,431,010","91,549,200"
delphy,"Jun 04, 2018",2.36,2.40,2.13,2.19,"4,074,090","97,498,600"
delphy,"Jun 03, 2018",2.41,2.44,2.30,2.36,"4,055,070","99,472,900"
delphy,"Jun 02, 2018",2.49,2.62,2.38,2.39,"4,418,340","102,863,000"
delphy,"Jun 01, 2018",2.59,2.68,2.42,2.48,"4,901,260","106,953,000"
delphy,"May 31, 2018",2.30,2.64,2.27,2.57,"3,096,530","96,815,400"
delphy,"May 30, 2018",2.22,2.41,2.18,2.31,"2,815,810","88,738,500"
delphy,"May 29, 2018",2.25,2.27,1.85,2.21,"3,311,950","90,114,100"
delphy,"May 28, 2018",2.41,2.61,2.22,2.24,"2,559,050","96,386,800"
delphy,"May 27, 2018",2.43,2.49,2.39,2.41,"2,057,080","97,112,000"
delphy,"May 26, 2018",2.35,2.54,2.34,2.43,"2,337,840","94,169,000"
delphy,"May 25, 2018",2.24,2.42,2.11,2.39,"2,615,110","89,723,000"
delphy,"May 24, 2018",2.12,2.29,2.00,2.24,"2,264,580","84,852,300"
delphy,"May 23, 2018",2.25,2.32,2.02,2.12,"2,169,980","89,918,700"
delphy,"May 22, 2018",2.49,2.50,2.17,2.29,"2,511,980","99,661,700"
delphy,"May 21, 2018",2.55,2.65,2.41,2.50,"3,344,250","102,166,000"
delphy,"May 20, 2018",2.68,2.76,2.47,2.55,"3,436,470","107,352,000"
delphy,"May 19, 2018",2.14,2.76,2.14,2.69,"4,501,830","85,657,100"
delphy,"May 18, 2018",2.13,2.18,1.97,2.14,"2,181,370","85,326,900"
delphy,"May 17, 2018",1.97,2.19,1.93,2.12,"2,247,650","78,862,700"
delphy,"May 16, 2018",2.03,2.08,1.92,1.96,"1,949,660","81,324,500"
delphy,"May 15, 2018",2.17,2.19,2.01,2.05,"1,894,850","86,933,100"
delphy,"May 14, 2018",2.25,2.28,1.96,2.17,"2,712,190","90,263,000"
delphy,"May 13, 2018",2.17,2.34,2.08,2.27,"4,741,020","86,912,100"
delphy,"May 12, 2018",2.33,2.47,1.95,2.16,"15,555,900","93,402,300"
delphy,"May 11, 2018",2.48,2.67,2.08,2.37,"27,243,700","99,315,400"
delphy,"May 10, 2018",2.61,2.70,2.46,2.46,"15,464,800","104,471,000"
delphy,"May 09, 2018",2.36,2.70,2.26,2.62,"11,659,300","94,570,100"
delphy,"May 08, 2018",2.59,2.63,2.26,2.35,"8,554,220","103,629,000"
delphy,"May 07, 2018",2.66,2.73,2.35,2.58,"10,180,800","106,544,000"
delphy,"May 06, 2018",2.22,2.82,2.12,2.66,"5,947,600","88,923,300"
delphy,"May 05, 2018",1.54,2.46,1.53,2.20,"7,264,260","61,691,600"
delphy,"May 04, 2018",1.49,1.75,1.46,1.53,"3,155,230","59,532,000"
delphy,"May 03, 2018",1.60,1.66,1.44,1.48,"3,146,640","63,951,300"
delphy,"May 02, 2018",1.68,1.80,1.52,1.60,"4,916,060","67,382,400"
delphy,"May 01, 2018",1.21,1.78,1.16,1.67,"4,554,820","49,497,000"
delphy,"Apr 30, 2018",1.33,1.34,1.20,1.22,"1,676,900","51,500,400"
delphy,"Apr 29, 2018",1.16,1.35,1.16,1.33,"3,366,360","44,788,700"
delphy,"Apr 28, 2018",1.18,1.19,1.13,1.16,"3,528,880","45,847,000"
delphy,"Apr 27, 2018",1.18,1.24,1.17,1.17,"2,312,730","45,904,900"
delphy,"Apr 26, 2018",1.06,1.20,1.03,1.18,"2,958,780","40,891,500"
delphy,"Apr 25, 2018",1.25,1.34,1.05,1.05,"4,247,480","48,376,200"
delphy,"Apr 24, 2018",1.13,1.29,1.10,1.25,"4,611,650","43,600,100"
delphy,"Apr 23, 2018",1.09,1.18,1.07,1.13,"2,935,480","42,308,100"
delphy,"Apr 22, 2018",0.994528,1.25,0.983006,1.08,"2,128,190","38,538,000"
delphy,"Apr 21, 2018",1.11,1.20,0.973387,1.01,"1,941,940","42,920,500"
delphy,"Apr 20, 2018",0.986230,1.20,0.984731,1.11,"2,366,430","38,216,400"
delphy,"Apr 19, 2018",0.860530,0.990541,0.851651,0.984000,"1,546,620","33,345,500"
delphy,"Apr 18, 2018",0.831281,0.872698,0.818318,0.857981,"1,115,360","32,212,100"
delphy,"Apr 17, 2018",0.823911,0.849738,0.819150,0.830331,"1,024,080","31,926,600"
delphy,"Apr 16, 2018",0.818663,0.863355,0.806364,0.828587,"1,077,750","31,723,200"
delphy,"Apr 15, 2018",0.790574,0.852470,0.772793,0.821489,"1,109,320","30,634,700"
delphy,"Apr 14, 2018",0.862586,0.872703,0.771960,0.790527,"1,220,860","33,425,200"
delphy,"Apr 13, 2018",0.770273,0.908726,0.759862,0.877227,"1,484,880","29,848,100"
delphy,"Apr 12, 2018",0.668076,0.778627,0.663281,0.778627,"1,313,010","25,887,900"
delphy,"Apr 11, 2018",0.651495,0.697017,0.642746,0.669498,"1,028,080","25,245,400"
delphy,"Apr 10, 2018",0.631373,0.726577,0.630277,0.647025,"971,978","24,465,700"
delphy,"Apr 09, 2018",0.699181,0.757435,0.628198,0.631159,"1,016,050","27,093,300"
delphy,"Apr 08, 2018",0.664172,0.745546,0.663299,0.698065,"940,304","25,736,700"
delphy,"Apr 07, 2018",0.629990,0.676310,0.624170,0.663944,"826,516","24,412,100"
delphy,"Apr 06, 2018",0.644878,0.650163,0.586803,0.629822,"916,585","24,989,000"
delphy,"Apr 05, 2018",0.655269,0.674032,0.638319,0.646481,"785,870","25,391,700"
delphy,"Apr 04, 2018",0.711863,0.713167,0.652549,0.655302,"741,478","27,584,700"
delphy,"Apr 03, 2018",0.664813,0.715142,0.656918,0.711812,"909,036","25,761,500"
delphy,"Apr 02, 2018",0.654097,0.706779,0.641182,0.664536,"777,652","25,346,200"
delphy,"Apr 01, 2018",0.731591,0.737235,0.644873,0.651990,"802,571","28,349,200"
delphy,"Mar 31, 2018",0.766092,0.800884,0.730742,0.730742,"852,388","29,686,100"
delphy,"Mar 30, 2018",0.842030,0.929752,0.759546,0.765075,"1,310,510","31,541,100"
delphy,"Mar 29, 2018",0.791741,0.914694,0.787787,0.839064,"1,562,460","29,657,300"
delphy,"Mar 28, 2018",0.800157,0.834079,0.790188,0.791184,"985,194","29,972,600"
delphy,"Mar 27, 2018",0.855808,0.873798,0.799639,0.800002,"1,005,660","32,057,100"
delphy,"Mar 26, 2018",0.866813,1.04,0.847462,0.856071,"2,021,260","32,469,400"
delphy,"Mar 25, 2018",0.821805,0.904652,0.816644,0.868988,"624,628","30,783,500"
delphy,"Mar 24, 2018",0.894333,0.912300,0.821735,0.825985,"606,023","33,500,200"
delphy,"Mar 23, 2018",0.870354,0.904698,0.864697,0.887889,"918,704","32,602,000"
delphy,"Mar 22, 2018",0.886540,0.909701,0.851048,0.870268,"978,760","32,914,500"
delphy,"Mar 21, 2018",0.855319,0.936582,0.855057,0.886988,"1,341,040","31,755,400"
delphy,"Mar 20, 2018",0.867895,0.995420,0.818239,0.855169,"3,395,760","32,222,300"
delphy,"Mar 19, 2018",0.843927,0.873892,0.810826,0.861792,"1,852,440","31,332,400"
delphy,"Mar 18, 2018",0.870099,0.870099,0.740765,0.843294,"3,121,190","32,304,100"
delphy,"Mar 17, 2018",0.985154,1.01,0.855052,0.874011,"4,047,260","36,575,700"
delphy,"Mar 16, 2018",0.957035,1.02,0.954684,0.991663,"3,611,370","35,531,800"
delphy,"Mar 15, 2018",0.999564,1.01,0.926674,0.957234,"4,181,430","37,110,700"
delphy,"Mar 14, 2018",1.02,1.15,0.983283,0.998578,"3,895,880","37,926,400"
delphy,"Mar 13, 2018",1.02,1.06,1.01,1.02,"5,001,100","37,948,700"
delphy,"Mar 12, 2018",1.17,1.17,1.02,1.02,"9,099,240","43,281,600"
delphy,"Mar 11, 2018",1.11,1.17,1.10,1.16,"4,959,550","41,344,500"
delphy,"Mar 10, 2018",1.17,1.25,1.10,1.11,"7,560,480","43,605,700"
delphy,"Mar 09, 2018",1.31,1.31,1.11,1.17,"6,781,770","44,799,200"
delphy,"Mar 08, 2018",1.42,1.62,1.21,1.31,"5,377,540","48,543,800"
delphy,"Mar 07, 2018",1.69,1.70,1.40,1.42,"5,494,400","53,070,300"
