Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
dentacoin,"Jul 02, 2018",0.000373,0.000416,0.000360,0.000391,"50,591","121,431,000"
dentacoin,"Jul 01, 2018",0.000372,0.000396,0.000365,0.000373,"34,995","120,945,000"
dentacoin,"Jun 30, 2018",0.000355,0.000391,0.000355,0.000372,"42,898","115,460,000"
dentacoin,"Jun 29, 2018",0.000349,0.000361,0.000319,0.000355,"60,496","113,372,000"
dentacoin,"Jun 28, 2018",0.000334,0.000372,0.000311,0.000348,"100,340","108,670,000"
dentacoin,"Jun 27, 2018",0.000375,0.000385,0.000331,0.000334,"47,860","122,054,000"
dentacoin,"Jun 26, 2018",0.000381,0.000408,0.000358,0.000376,"36,643","123,807,000"
dentacoin,"Jun 25, 2018",0.000365,0.000417,0.000351,0.000381,"68,326","118,646,000"
dentacoin,"Jun 24, 2018",0.000385,0.000389,0.000349,0.000365,"104,134","125,370,000"
dentacoin,"Jun 23, 2018",0.000371,0.000398,0.000368,0.000386,"26,395","120,695,000"
dentacoin,"Jun 22, 2018",0.000432,0.000439,0.000365,0.000371,"80,038","140,376,000"
dentacoin,"Jun 21, 2018",0.000452,0.000457,0.000426,0.000432,"50,589","146,912,000"
dentacoin,"Jun 20, 2018",0.000447,0.000459,0.000430,0.000452,"56,912","145,311,000"
dentacoin,"Jun 19, 2018",0.000460,0.000500,0.000440,0.000447,"140,262","149,655,000"
dentacoin,"Jun 18, 2018",0.000403,0.000464,0.000403,0.000458,"79,525","131,176,000"
dentacoin,"Jun 17, 2018",0.000424,0.000434,0.000404,0.000406,"38,238","137,835,000"
dentacoin,"Jun 16, 2018",0.000424,0.000440,0.000413,0.000423,"38,983","137,953,000"
dentacoin,"Jun 15, 2018",0.000458,0.000461,0.000420,0.000425,"34,758","148,811,000"
dentacoin,"Jun 14, 2018",0.000413,0.000470,0.000402,0.000459,"131,153","134,376,000"
dentacoin,"Jun 13, 2018",0.000454,0.000461,0.000403,0.000410,"162,143","147,584,000"
dentacoin,"Jun 12, 2018",0.000483,0.000499,0.000446,0.000453,"73,947","157,146,000"
dentacoin,"Jun 11, 2018",0.000482,0.000499,0.000466,0.000482,"90,997","156,619,000"
dentacoin,"Jun 10, 2018",0.000559,0.000574,0.000452,0.000481,"87,926","181,835,000"
dentacoin,"Jun 09, 2018",0.000572,0.000597,0.000558,0.000558,"76,807","186,085,000"
dentacoin,"Jun 08, 2018",0.000611,0.000633,0.000568,0.000571,"90,121","198,582,000"
dentacoin,"Jun 07, 2018",0.000612,0.000647,0.000591,0.000610,"100,893","199,063,000"
dentacoin,"Jun 06, 2018",0.000629,0.000637,0.000596,0.000612,"116,913","204,473,000"
dentacoin,"Jun 05, 2018",0.000620,0.000639,0.000591,0.000630,"136,431","201,629,000"
dentacoin,"Jun 04, 2018",0.000670,0.000678,0.000619,0.000620,"127,789","217,897,000"
dentacoin,"Jun 03, 2018",0.000661,0.000690,0.000651,0.000675,"111,795","214,922,000"
dentacoin,"Jun 02, 2018",0.000649,0.000710,0.000638,0.000662,"129,641","210,918,000"
dentacoin,"Jun 01, 2018",0.000656,0.000666,0.000621,0.000649,"104,222","213,214,000"
dentacoin,"May 31, 2018",0.000626,0.000673,0.000617,0.000655,"186,430","203,511,000"
dentacoin,"May 30, 2018",0.000655,0.000684,0.000615,0.000634,"63,746","213,184,000"
dentacoin,"May 29, 2018",0.000599,0.000684,0.000586,0.000655,"201,846","194,945,000"
dentacoin,"May 28, 2018",0.000604,0.000736,0.000587,0.000605,"494,761","196,569,000"
dentacoin,"May 27, 2018",0.000650,0.000651,0.000592,0.000608,"161,142","211,556,000"
dentacoin,"May 26, 2018",0.000696,0.000698,0.000640,0.000646,"132,045","226,371,000"
dentacoin,"May 25, 2018",0.000684,0.000719,0.000670,0.000694,"129,618","222,375,000"
dentacoin,"May 24, 2018",0.000656,0.000699,0.000621,0.000685,"188,250","213,201,000"
dentacoin,"May 23, 2018",0.000740,0.000754,0.000643,0.000656,"230,345","240,628,000"
dentacoin,"May 22, 2018",0.000784,0.000801,0.000729,0.000741,"180,723","254,958,000"
dentacoin,"May 21, 2018",0.000844,0.000845,0.000779,0.000784,"209,927","274,363,000"
dentacoin,"May 20, 2018",0.000838,0.000866,0.000813,0.000839,"176,404","272,512,000"
dentacoin,"May 19, 2018",0.000861,0.000900,0.000832,0.000838,"218,821","280,057,000"
dentacoin,"May 18, 2018",0.000855,0.000918,0.000814,0.000861,"384,063","278,101,000"
dentacoin,"May 17, 2018",0.000922,0.000957,0.000840,0.000859,"386,234","299,883,000"
dentacoin,"May 16, 2018",0.000938,0.000949,0.000864,0.000922,"347,758","305,132,000"
dentacoin,"May 15, 2018",0.001021,0.001046,0.000935,0.000938,"533,408","332,091,000"
dentacoin,"May 14, 2018",0.001069,0.001136,0.001010,0.001023,"1,428,080","347,541,000"
dentacoin,"May 13, 2018",0.000943,0.001140,0.000931,0.001065,"1,070,190","306,621,000"
dentacoin,"May 12, 2018",0.000962,0.001007,0.000870,0.000950,"1,184,400","312,990,000"
dentacoin,"May 11, 2018",0.001221,0.001221,0.000941,0.000969,"3,271,710","397,191,000"
dentacoin,"May 10, 2018",0.001019,0.001429,0.001012,0.001235,"6,057,760","331,446,000"
dentacoin,"May 09, 2018",0.000769,0.001063,0.000729,0.001039,"1,925,380","249,951,000"
dentacoin,"May 08, 2018",0.000762,0.000814,0.000698,0.000765,"503,291","247,911,000"
dentacoin,"May 07, 2018",0.000727,0.000793,0.000678,0.000760,"298,132","236,416,000"
dentacoin,"May 06, 2018",0.000756,0.000766,0.000710,0.000727,"270,127","245,951,000"
dentacoin,"May 05, 2018",0.000764,0.000785,0.000742,0.000756,"450,629","248,618,000"
dentacoin,"May 04, 2018",0.000787,0.000817,0.000756,0.000764,"356,026","255,948,000"
dentacoin,"May 03, 2018",0.000772,0.000811,0.000719,0.000792,"549,477","251,109,000"
dentacoin,"May 02, 2018",0.000769,0.000809,0.000721,0.000767,"317,301","249,990,000"
dentacoin,"May 01, 2018",0.000763,0.000805,0.000700,0.000770,"333,849","248,097,000"
dentacoin,"Apr 30, 2018",0.000832,0.000842,0.000729,0.000762,"360,381","270,539,000"
dentacoin,"Apr 29, 2018",0.000855,0.000887,0.000806,0.000835,"378,919","278,180,000"
dentacoin,"Apr 28, 2018",0.000831,0.000890,0.000827,0.000851,"495,943","270,357,000"
dentacoin,"Apr 27, 2018",0.000910,0.000944,0.000834,0.000836,"563,102","295,831,000"
dentacoin,"Apr 26, 2018",0.000796,0.000960,0.000754,0.000940,"651,370","258,885,000"
dentacoin,"Apr 25, 2018",0.000945,0.000974,0.000779,0.000802,"817,325","307,280,000"
dentacoin,"Apr 24, 2018",0.000959,0.001015,0.000864,0.000947,"1,370,520","311,970,000"
dentacoin,"Apr 23, 2018",0.001077,0.001100,0.000789,0.000970,"1,969,500","350,359,000"
dentacoin,"Apr 22, 2018",0.000823,0.001256,0.000781,0.001038,"3,149,410","267,636,000"
dentacoin,"Apr 21, 2018",0.000738,0.000823,0.000677,0.000823,"932,568","240,080,000"
dentacoin,"Apr 20, 2018",0.000559,0.000739,0.000548,0.000739,"662,561","181,944,000"
dentacoin,"Apr 19, 2018",0.000514,0.000576,0.000490,0.000559,"231,206","167,089,000"
dentacoin,"Apr 18, 2018",0.000518,0.000539,0.000460,0.000511,"384,728","168,510,000"
dentacoin,"Apr 17, 2018",0.000416,0.000743,0.000405,0.000546,"1,468,850","135,328,000"
dentacoin,"Apr 16, 2018",0.000374,0.000447,0.000341,0.000412,"253,932","121,539,000"
dentacoin,"Apr 15, 2018",0.000354,0.000381,0.000338,0.000374,"57,945","115,189,000"
dentacoin,"Apr 14, 2018",0.000346,0.000375,0.000326,0.000348,"57,928","112,510,000"
dentacoin,"Apr 13, 2018",0.000359,0.000397,0.000334,0.000343,"97,904","116,857,000"
dentacoin,"Apr 12, 2018",0.000319,0.000373,0.000304,0.000363,"76,783","103,802,000"
dentacoin,"Apr 11, 2018",0.000307,0.000326,0.000296,0.000320,"59,250","99,982,900"
dentacoin,"Apr 10, 2018",0.000298,0.000320,0.000288,0.000304,"83,627","97,078,900"
dentacoin,"Apr 09, 2018",0.000307,0.000329,0.000288,0.000298,"55,480","99,862,100"
dentacoin,"Apr 08, 2018",0.000304,0.000311,0.000288,0.000308,"27,252","98,805,600"
dentacoin,"Apr 07, 2018",0.000297,0.000312,0.000287,0.000305,"37,062","96,672,000"
dentacoin,"Apr 06, 2018",0.000278,0.000310,0.000267,0.000297,"43,608","90,360,700"
dentacoin,"Apr 05, 2018",0.000293,0.000310,0.000277,0.000279,"47,662","95,164,400"
dentacoin,"Apr 04, 2018",0.000339,0.000340,0.000287,0.000293,"75,286","110,414,000"
dentacoin,"Apr 03, 2018",0.000294,0.000345,0.000279,0.000338,"108,202","95,605,400"
dentacoin,"Apr 02, 2018",0.000283,0.000298,0.000277,0.000298,"41,445","92,063,100"
dentacoin,"Apr 01, 2018",0.000296,0.000298,0.000270,0.000283,"48,526","96,416,800"
dentacoin,"Mar 31, 2018",0.000291,0.000317,0.000284,0.000296,"61,740","94,742,500"
dentacoin,"Mar 30, 2018",0.000281,0.000302,0.000265,0.000289,"64,639","91,485,500"
dentacoin,"Mar 29, 2018",0.000347,0.000350,0.000276,0.000279,"199,486","112,857,000"
dentacoin,"Mar 28, 2018",0.000341,0.000356,0.000317,0.000347,"162,691","111,003,000"
dentacoin,"Mar 27, 2018",0.000367,0.000374,0.000331,0.000340,"44,587","119,373,000"
dentacoin,"Mar 26, 2018",0.000394,0.000399,0.000338,0.000367,"98,233","128,004,000"
dentacoin,"Mar 25, 2018",0.000386,0.000400,0.000370,0.000394,"97,719","125,622,000"
dentacoin,"Mar 24, 2018",0.000409,0.000432,0.000387,0.000390,"131,055","132,986,000"
dentacoin,"Mar 23, 2018",0.000386,0.000445,0.000366,0.000407,"266,106","125,676,000"
dentacoin,"Mar 22, 2018",0.000403,0.000436,0.000373,0.000386,"103,614","131,209,000"
dentacoin,"Mar 21, 2018",0.000392,0.000422,0.000387,0.000403,"87,812","127,568,000"
dentacoin,"Mar 20, 2018",0.000409,0.000425,0.000373,0.000394,"82,099","132,888,000"
dentacoin,"Mar 19, 2018",0.000425,0.000443,0.000383,0.000405,"186,788","138,083,000"
dentacoin,"Mar 18, 2018",0.000407,0.000424,0.000349,0.000423,"101,944","132,231,000"
dentacoin,"Mar 17, 2018",0.000450,0.000464,0.000406,0.000407,"52,690","146,208,000"
dentacoin,"Mar 16, 2018",0.000470,0.000535,0.000443,0.000443,"203,057","152,924,000"
dentacoin,"Mar 15, 2018",0.000473,0.000523,0.000429,0.000471,"149,726","153,720,000"
dentacoin,"Mar 14, 2018",0.000504,0.000537,0.000443,0.000471,"78,439","163,832,000"
dentacoin,"Mar 13, 2018",0.000521,0.000556,0.000494,0.000499,"66,627","169,329,000"
dentacoin,"Mar 12, 2018",0.000609,0.000624,0.000511,0.000526,"154,545","198,174,000"
dentacoin,"Mar 11, 2018",0.000538,0.000623,0.000508,0.000610,"176,375","174,832,000"
dentacoin,"Mar 10, 2018",0.000506,0.000729,0.000506,0.000531,"500,415","164,458,000"
dentacoin,"Mar 09, 2018",0.000463,0.000505,0.000419,0.000505,"142,256","150,566,000"
dentacoin,"Mar 08, 2018",0.000504,0.000541,0.000458,0.000464,"105,969","164,018,000"
dentacoin,"Mar 07, 2018",0.000599,0.000601,0.000481,0.000506,"156,446","194,671,000"
dentacoin,"Mar 06, 2018",0.000598,0.000635,0.000551,0.000597,"155,642","194,589,000"
dentacoin,"Mar 05, 2018",0.000629,0.000652,0.000573,0.000601,"188,994","204,635,000"
dentacoin,"Mar 04, 2018",0.000635,0.000648,0.000590,0.000629,"113,698","206,373,000"
dentacoin,"Mar 03, 2018",0.000705,0.000707,0.000616,0.000636,"175,750","229,131,000"
dentacoin,"Mar 02, 2018",0.000723,0.000742,0.000664,0.000705,"165,187","235,265,000"
dentacoin,"Mar 01, 2018",0.000606,0.000840,0.000547,0.000722,"617,895","197,109,000"
dentacoin,"Feb 28, 2018",0.000752,0.000784,0.000609,0.000609,"320,735","244,703,000"
dentacoin,"Feb 27, 2018",0.000777,0.000808,0.000753,0.000755,"196,155","252,750,000"
dentacoin,"Feb 26, 2018",0.000806,0.000832,0.000776,0.000790,"225,642","262,253,000"
dentacoin,"Feb 25, 2018",0.000800,0.000831,0.000741,0.000803,"231,028","260,324,000"
dentacoin,"Feb 24, 2018",0.000856,0.000897,0.000776,0.000801,"202,905","278,380,000"
dentacoin,"Feb 23, 2018",0.000835,0.000892,0.000815,0.000856,"199,986","271,629,000"
dentacoin,"Feb 22, 2018",0.000817,0.000991,0.000798,0.000836,"620,844","265,869,000"
dentacoin,"Feb 21, 2018",0.000923,0.000936,0.000803,0.000813,"432,003","300,201,000"
dentacoin,"Feb 20, 2018",0.000969,0.001036,0.000918,0.000924,"464,902","315,257,000"
dentacoin,"Feb 19, 2018",0.000999,0.001059,0.000937,0.000953,"546,605","324,869,000"
dentacoin,"Feb 18, 2018",0.001070,0.001107,0.000988,0.001002,"461,624","348,145,000"
dentacoin,"Feb 17, 2018",0.001069,0.001106,0.001028,0.001070,"586,665","347,530,000"
dentacoin,"Feb 16, 2018",0.001109,0.001145,0.001050,0.001063,"516,918","360,668,000"
dentacoin,"Feb 15, 2018",0.001104,0.001150,0.001076,0.001111,"390,628","359,061,000"
dentacoin,"Feb 14, 2018",0.000992,0.001149,0.000981,0.001123,"527,393","322,776,000"
dentacoin,"Feb 13, 2018",0.001097,0.001098,0.000978,0.000998,"424,101","356,656,000"
dentacoin,"Feb 12, 2018",0.001050,0.001140,0.001037,0.001091,"479,369","341,353,000"
