Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
digitex-futures,"Jul 02, 2018",0.007330,0.008088,0.006843,0.007446,"4,775","5,131,180"
digitex-futures,"Jul 01, 2018",0.007122,0.007480,0.006591,0.007326,"4,152","4,985,350"
digitex-futures,"Jun 30, 2018",0.007389,0.007979,0.006820,0.007116,"5,471","5,172,500"
digitex-futures,"Jun 29, 2018",0.006407,0.007407,0.006220,0.007382,"5,055","4,484,890"
digitex-futures,"Jun 28, 2018",0.007361,0.007385,0.006366,0.006404,"5,867","5,152,570"
digitex-futures,"Jun 27, 2018",0.007053,0.007395,0.006214,0.007350,"7,225","4,936,840"
digitex-futures,"Jun 26, 2018",0.007557,0.007580,0.006111,0.006888,"3,502","5,289,820"
digitex-futures,"Jun 25, 2018",0.007480,0.007824,0.006769,0.007557,"12,075","5,236,160"
digitex-futures,"Jun 24, 2018",0.007688,0.007709,0.006814,0.007503,"2,642","5,381,500"
digitex-futures,"Jun 23, 2018",0.007404,0.007733,0.006648,0.007690,"3,651","5,182,510"
digitex-futures,"Jun 22, 2018",0.008456,0.008488,0.006711,0.007399,"9,363","5,919,510"
digitex-futures,"Jun 21, 2018",0.007743,0.008764,0.007565,0.008530,"9,779","5,419,970"
digitex-futures,"Jun 20, 2018",0.008297,0.008532,0.007226,0.007746,"5,880","5,808,170"
digitex-futures,"Jun 19, 2018",0.007875,0.008756,0.007801,0.008292,"3,486","5,512,300"
digitex-futures,"Jun 18, 2018",0.007443,0.008483,0.006963,0.007845,"11,256","5,210,160"
digitex-futures,"Jun 17, 2018",0.007415,0.007555,0.006971,0.007446,"4,977","5,190,680"
digitex-futures,"Jun 16, 2018",0.006887,0.007511,0.006887,0.007415,"6,797","4,821,230"
digitex-futures,"Jun 15, 2018",0.007874,0.007931,0.006763,0.006911,"8,212","5,512,010"
digitex-futures,"Jun 14, 2018",0.007206,0.008014,0.006555,0.007885,"3,316","5,043,890"
digitex-futures,"Jun 13, 2018",0.007210,0.007481,0.006249,0.007198,"6,605","5,046,790"
digitex-futures,"Jun 12, 2018",0.007123,0.008093,0.006936,0.007125,"15,489","4,986,140"
digitex-futures,"Jun 11, 2018",0.008135,0.008223,0.006507,0.007123,"25,995","5,694,380"
digitex-futures,"Jun 10, 2018",0.008325,0.008970,0.007518,0.008100,"8,497","5,827,360"
digitex-futures,"Jun 09, 2018",0.008703,0.008845,0.007892,0.008389,"8,665","6,091,890"
digitex-futures,"Jun 08, 2018",0.009425,0.009496,0.008584,0.008584,"14,227","6,597,710"
digitex-futures,"Jun 07, 2018",0.007877,0.009453,0.007877,0.009410,"10,710","5,513,940"
digitex-futures,"Jun 06, 2018",0.009960,0.009971,0.007607,0.007873,"27,044","6,971,890"
digitex-futures,"Jun 05, 2018",0.010102,0.010225,0.008960,0.009964,"87,305","7,071,550"
digitex-futures,"Jun 04, 2018",0.010680,0.010732,0.009597,0.010233,"95,601","7,476,280"
digitex-futures,"Jun 03, 2018",0.010013,0.010682,0.009171,0.010682,"31,606","7,009,050"
digitex-futures,"Jun 02, 2018",0.011154,0.011350,0.009255,0.010017,"25,386","7,808,050"
digitex-futures,"Jun 01, 2018",0.011419,0.011459,0.007978,0.011158,"27,914","7,993,060"
digitex-futures,"May 31, 2018",0.011025,0.012263,0.010407,0.011407,"96,248","7,717,700"
digitex-futures,"May 30, 2018",0.013447,0.013633,0.010836,0.011030,"39,430","9,412,750"
digitex-futures,"May 29, 2018",0.013484,0.013616,0.012259,0.013438,"143,556","9,438,530"
digitex-futures,"May 28, 2018",0.014043,0.014248,0.012974,0.013489,"118,504","9,830,160"
digitex-futures,"May 27, 2018",0.014303,0.014392,0.013859,0.014040,"81,620","10,012,400"
digitex-futures,"May 26, 2018",0.014366,0.014907,0.013623,0.014292,"71,599","10,055,900"
digitex-futures,"May 25, 2018",0.013467,0.014559,0.013288,0.014374,"55,813","9,426,910"
digitex-futures,"May 24, 2018",0.014155,0.015158,0.011698,0.013440,"87,518",-
digitex-futures,"May 23, 2018",0.014775,0.015085,0.014271,0.014554,"120,854",-
