Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
digix-gold-token,"Jul 02, 2018",42.03,44.28,40.39,40.47,"1,214","1,779,780"
digix-gold-token,"Jul 01, 2018",42.97,43.12,40.95,42.00,"7,545","1,819,660"
digix-gold-token,"Jun 30, 2018",42.04,44.35,40.14,42.93,"14,331","1,780,340"
digix-gold-token,"Jun 29, 2018",40.55,43.89,39.64,42.02,"28,228","1,716,910"
digix-gold-token,"Jun 28, 2018",41.86,42.00,40.27,40.53,"2,136",-
digix-gold-token,"Jun 27, 2018",40.49,42.75,40.21,41.78,"21,235",-
digix-gold-token,"Jun 26, 2018",41.11,42.58,39.52,40.62,"21,712",-
digix-gold-token,"Jun 25, 2018",41.90,44.79,41.07,41.11,"9,059",-
digix-gold-token,"Jun 24, 2018",42.82,44.14,39.31,42.08,"33,830",-
digix-gold-token,"Jun 23, 2018",41.82,43.45,41.41,42.83,632,-
digix-gold-token,"Jun 22, 2018",41.78,43.13,39.50,41.80,"26,099",-
digix-gold-token,"Jun 21, 2018",41.62,43.09,41.38,41.79,923,-
digix-gold-token,"Jun 20, 2018",43.13,44.53,41.57,41.82,311,-
digix-gold-token,"Jun 19, 2018",41.94,44.03,41.67,43.10,"14,843",-
digix-gold-token,"Jun 18, 2018",41.87,45.00,41.35,41.97,"16,499",-
digix-gold-token,"Jun 17, 2018",41.88,43.45,41.79,41.88,"16,412",-
digix-gold-token,"Jun 16, 2018",42.79,44.28,41.11,41.89,"4,643",-
digix-gold-token,"Jun 15, 2018",42.96,44.82,41.49,42.91,"2,256",-
digix-gold-token,"Jun 14, 2018",44.46,48.69,41.90,42.97,"35,293",-
digix-gold-token,"Jun 13, 2018",44.60,44.84,41.34,44.36,"26,364",-
digix-gold-token,"Jun 12, 2018",43.96,44.43,42.03,44.43,"62,108",-
digix-gold-token,"Jun 11, 2018",44.10,45.09,42.08,43.94,"36,187",-
digix-gold-token,"Jun 10, 2018",43.58,44.78,40.06,44.03,"105,646",-
digix-gold-token,"Jun 09, 2018",44.09,44.70,42.05,43.50,"42,001",-
digix-gold-token,"Jun 08, 2018",43.78,44.31,42.10,44.08,"11,554",-
digix-gold-token,"Jun 07, 2018",42.53,44.22,42.53,43.71,"17,717",-
digix-gold-token,"Jun 06, 2018",43.90,44.49,42.44,42.55,"14,228",-
digix-gold-token,"Jun 05, 2018",42.68,44.62,42.55,43.99,"10,285",-
digix-gold-token,"Jun 04, 2018",43.61,44.26,41.65,42.68,"26,870",-
digix-gold-token,"Jun 03, 2018",43.52,44.90,42.33,43.67,"25,365",-
digix-gold-token,"Jun 02, 2018",43.69,45.42,42.09,43.58,"13,382",-
digix-gold-token,"Jun 01, 2018",42.79,44.93,42.79,43.70,"20,286",-
digix-gold-token,"May 31, 2018",43.63,45.99,42.40,42.70,"35,612",-
digix-gold-token,"May 30, 2018",44.61,45.16,41.59,43.68,"36,860",-
digix-gold-token,"May 29, 2018",44.44,45.61,42.11,44.58,"50,420",-
digix-gold-token,"May 28, 2018",43.22,44.84,38.61,44.57,"90,210",-
digix-gold-token,"May 27, 2018",44.64,45.09,41.79,43.22,"101,943",-
digix-gold-token,"May 26, 2018",45.39,46.39,41.91,44.56,"48,584",-
digix-gold-token,"May 25, 2018",43.16,46.16,42.69,45.38,"37,696",-
digix-gold-token,"May 24, 2018",43.52,46.26,41.44,43.12,"25,442",-
digix-gold-token,"May 23, 2018",42.32,45.11,40.22,43.71,"30,488",-
digix-gold-token,"May 22, 2018",44.43,44.95,41.57,44.36,"29,028",-
digix-gold-token,"May 21, 2018",44.20,44.64,42.05,44.52,"33,971",-
digix-gold-token,"May 20, 2018",44.97,45.20,43.12,44.14,"4,118",-
digix-gold-token,"May 19, 2018",44.51,45.77,42.15,44.93,"21,845",-
digix-gold-token,"May 18, 2018",43.08,44.64,41.70,44.51,"49,104",-
digix-gold-token,"May 17, 2018",42.21,44.49,41.54,43.12,"25,897",-
digix-gold-token,"May 16, 2018",44.39,44.90,41.89,42.16,"137,569",-
digix-gold-token,"May 15, 2018",44.44,44.66,41.71,44.37,"41,865",-
