Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
docademic,"Jul 02, 2018",0.252003,0.267240,0.228398,0.251001,"736,665","73,021,700"
docademic,"Jul 01, 2018",0.274124,0.274848,0.249366,0.253062,"337,381","79,431,600"
docademic,"Jun 30, 2018",0.263961,0.286605,0.257569,0.274188,"770,748","76,486,800"
docademic,"Jun 29, 2018",0.251943,0.263905,0.238961,0.262657,"580,557","72,903,600"
docademic,"Jun 28, 2018",0.278646,0.283408,0.249090,0.251599,"576,762","80,630,600"
docademic,"Jun 27, 2018",0.263620,0.284445,0.249752,0.278530,"628,886","76,150,700"
docademic,"Jun 26, 2018",0.297634,0.299116,0.261688,0.263648,"718,339","85,976,100"
docademic,"Jun 25, 2018",0.293736,0.310971,0.288614,0.297665,"1,106,130","84,850,100"
docademic,"Jun 24, 2018",0.301144,0.307941,0.270854,0.292414,"1,143,830","86,990,100"
docademic,"Jun 23, 2018",0.293738,0.332846,0.292134,0.300255,"1,501,750","84,850,800"
docademic,"Jun 22, 2018",0.271068,0.308929,0.266236,0.294693,"1,125,310","78,302,000"
docademic,"Jun 21, 2018",0.329289,0.334148,0.266619,0.274937,"1,220,040","94,157,600"
docademic,"Jun 20, 2018",0.366602,0.368158,0.307924,0.328097,"2,245,530","104,643,000"
docademic,"Jun 19, 2018",0.377716,0.382524,0.254698,0.363943,"4,698,210","107,786,000"
docademic,"Jun 18, 2018",0.335402,0.442940,0.316045,0.376647,"6,760,540","94,523,700"
docademic,"Jun 17, 2018",0.290656,0.361550,0.278514,0.337559,"2,261,000","81,855,200"
docademic,"Jun 16, 2018",0.228116,0.303474,0.227932,0.292428,"3,023,870","64,242,500"
docademic,"Jun 15, 2018",0.201159,0.232208,0.182330,0.227786,"1,210,200","56,598,500"
docademic,"Jun 14, 2018",0.188536,0.216992,0.178818,0.200694,"1,329,950","52,782,900"
docademic,"Jun 13, 2018",0.167640,0.187312,0.152845,0.187312,"597,940","46,914,100"
docademic,"Jun 12, 2018",0.166246,0.174365,0.154766,0.165618,"489,085","46,523,900"
docademic,"Jun 11, 2018",0.160176,0.167667,0.147001,0.166263,"458,531","44,780,400"
docademic,"Jun 10, 2018",0.201229,0.202537,0.154163,0.159983,"755,290","56,257,400"
docademic,"Jun 09, 2018",0.160901,0.234934,0.160901,0.201986,"1,613,120","44,983,100"
docademic,"Jun 08, 2018",0.205183,0.211357,0.146349,0.161448,"1,693,490","56,784,500"
docademic,"Jun 07, 2018",0.266578,0.266770,0.199388,0.205913,"849,835","73,045,600"
docademic,"Jun 06, 2018",0.267929,0.274299,0.215020,0.266219,"1,256,650","73,343,000"
docademic,"Jun 05, 2018",0.251726,0.272880,0.234209,0.271449,"804,777","68,907,500"
docademic,"Jun 04, 2018",0.281666,0.282326,0.241708,0.251632,"1,209,200","77,103,300"
docademic,"Jun 03, 2018",0.240585,0.303592,0.240503,0.275931,"1,934,030","65,857,800"
docademic,"Jun 02, 2018",0.232069,0.246960,0.225966,0.240535,"901,025","63,526,700"
docademic,"Jun 01, 2018",0.260625,0.260625,0.216223,0.234615,"1,341,750","71,029,000"
docademic,"May 31, 2018",0.308819,0.366442,0.208529,0.260811,"3,036,090","83,866,100"
docademic,"May 30, 2018",0.254046,0.324384,0.198695,0.308820,"1,994,920","68,991,300"
docademic,"May 29, 2018",0.337924,0.362647,0.235117,0.251963,"4,790,880","91,469,100"
docademic,"May 28, 2018",0.383114,0.419391,0.296791,0.332640,"7,853,780","103,701,000"
docademic,"May 27, 2018",0.201046,0.491499,0.191205,0.380293,"12,050,300","54,418,900"
docademic,"May 26, 2018",0.145615,0.231144,0.139975,0.201298,"5,253,330","39,415,000"
docademic,"May 25, 2018",0.146034,0.148703,0.125078,0.145317,"1,066,960","39,528,300"
docademic,"May 24, 2018",0.166804,0.173742,0.131220,0.144725,"1,847,590","30,953,800"
docademic,"May 23, 2018",0.110682,0.222103,0.096010,0.167537,"4,355,070","20,539,300"
docademic,"May 22, 2018",0.084810,0.109462,0.077164,0.109462,"956,802","15,738,300"
docademic,"May 21, 2018",0.070020,0.085464,0.065921,0.084453,"576,618","12,993,600"
docademic,"May 20, 2018",0.061920,0.070492,0.061864,0.069681,"234,888","11,490,500"
docademic,"May 19, 2018",0.059536,0.065174,0.058917,0.062126,"503,548","11,048,200"
docademic,"May 18, 2018",0.065788,0.067120,0.059332,0.060131,"403,037","12,208,300"
docademic,"May 17, 2018",0.070285,0.072996,0.064349,0.064508,"805,666","13,042,800"
docademic,"May 16, 2018",0.074127,0.076476,0.068946,0.070265,"752,158","13,755,800"
docademic,"May 15, 2018",0.081357,0.084468,0.064981,0.074637,"1,523,700","15,097,400"
docademic,"May 14, 2018",0.042758,0.116573,0.042445,0.085947,"4,089,640","7,934,620"
docademic,"May 13, 2018",0.020022,0.043172,0.019505,0.043172,"821,444","3,715,460"
docademic,"May 12, 2018",0.017097,0.022047,0.017097,0.020034,"186,546","3,172,650"
docademic,"May 11, 2018",0.021244,0.021378,0.017257,0.017334,"59,188","3,942,340"
docademic,"May 10, 2018",0.023856,0.023875,0.020975,0.021226,"105,237","8,005,280"
docademic,"May 09, 2018",0.023480,0.025204,0.020472,0.023630,"220,008",-
docademic,"May 08, 2018",0.035799,0.041143,0.017801,0.023602,"716,822",-
