Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
dovu,"Jul 02, 2018",0.064423,0.076809,0.061365,0.074586,"5,852","5,137,440"
dovu,"Jul 01, 2018",0.065622,0.066551,0.062698,0.064394,"1,830","5,233,090"
dovu,"Jun 30, 2018",0.055385,0.070517,0.055385,0.065847,"1,828","4,416,670"
dovu,"Jun 29, 2018",0.051178,0.055904,0.050483,0.055324,471,"4,081,190"
dovu,"Jun 28, 2018",0.052592,0.054356,0.050856,0.051147,"1,106","4,194,010"
dovu,"Jun 27, 2018",0.062894,0.063273,0.051525,0.052532,"1,582","5,015,540"
dovu,"Jun 26, 2018",0.064173,0.078178,0.060468,0.062996,"14,147","5,117,500"
dovu,"Jun 25, 2018",0.046648,0.090937,0.046248,0.064173,"40,243","3,719,950"
dovu,"Jun 24, 2018",0.049950,0.050031,0.044425,0.046772,"1,242","3,983,300"
dovu,"Jun 23, 2018",0.050214,0.051404,0.048311,0.050053,328,"4,004,340"
dovu,"Jun 22, 2018",0.055059,0.059731,0.046699,0.047756,"4,296","4,390,720"
dovu,"Jun 21, 2018",0.058843,0.059709,0.054895,0.055120,"1,575","4,692,460"
dovu,"Jun 20, 2018",0.055207,0.058873,0.053476,0.058873,219,"4,402,470"
dovu,"Jun 19, 2018",0.055106,0.060247,0.054268,0.055171,"1,003","4,394,460"
dovu,"Jun 18, 2018",0.049544,0.058790,0.049243,0.055137,"2,033","3,950,920"
dovu,"Jun 17, 2018",0.052267,0.054779,0.048596,0.049621,"2,416","4,168,060"
dovu,"Jun 16, 2018",0.052417,0.060097,0.049915,0.052207,"2,538","4,180,060"
dovu,"Jun 15, 2018",0.053612,0.055707,0.051974,0.052584,672,"3,978,310"
dovu,"Jun 14, 2018",0.052668,0.058680,0.052668,0.053654,"3,298","3,907,700"
dovu,"Jun 13, 2018",0.058389,0.058778,0.051873,0.052627,"2,070","4,332,210"
dovu,"Jun 12, 2018",0.066295,0.066295,0.057785,0.058202,"2,280","4,918,820"
dovu,"Jun 11, 2018",0.059194,0.068291,0.057682,0.066319,"2,524","4,391,920"
dovu,"Jun 10, 2018",0.072257,0.073294,0.056083,0.059102,"4,636","5,361,120"
dovu,"Jun 09, 2018",0.080066,0.084805,0.070553,0.072161,"1,496","5,940,500"
dovu,"Jun 08, 2018",0.081977,0.083495,0.080013,0.080097,642,"6,082,300"
dovu,"Jun 07, 2018",0.084369,0.090470,0.081889,0.081889,"2,065","6,259,810"
dovu,"Jun 06, 2018",0.081677,0.087180,0.078940,0.084316,"3,244","6,060,050"
dovu,"Jun 05, 2018",0.075212,0.083165,0.073961,0.081734,"1,470","5,580,420"
dovu,"Jun 04, 2018",0.078224,0.085275,0.073261,0.075190,"2,893","5,803,840"
dovu,"Jun 03, 2018",0.087483,0.098786,0.072996,0.078232,"5,396","6,490,850"
dovu,"Jun 02, 2018",0.092196,0.092729,0.081028,0.087496,"1,868","6,840,540"
dovu,"Jun 01, 2018",0.084080,0.098356,0.084020,0.092225,"4,528","6,238,340"
dovu,"May 31, 2018",0.085446,0.097660,0.083457,0.083994,"7,034","6,339,720"
dovu,"May 30, 2018",0.090040,0.097782,0.083342,0.086636,"76,029","6,680,560"
dovu,"May 29, 2018",0.074211,0.090238,0.073972,0.089980,491,"5,506,100"
dovu,"May 28, 2018",0.093073,0.094474,0.072078,0.074325,"1,848","6,905,560"
dovu,"May 27, 2018",0.089504,0.102768,0.088269,0.093051,"4,393","6,640,770"
dovu,"May 26, 2018",0.098454,0.105312,0.090764,0.090927,"31,177","7,304,810"
dovu,"May 25, 2018",0.098530,0.105239,0.092104,0.098455,799,"7,310,460"
dovu,"May 24, 2018",0.093158,0.105234,0.090173,0.098416,"2,934","6,876,040"
dovu,"May 23, 2018",0.109719,0.110432,0.089931,0.093517,"2,135","8,098,410"
dovu,"May 22, 2018",0.118574,0.123065,0.109198,0.109900,"1,436","8,752,020"
dovu,"May 21, 2018",0.123066,0.125573,0.114774,0.118713,"2,352","9,083,590"
dovu,"May 20, 2018",0.125356,0.129722,0.119042,0.122910,"5,653","9,252,590"
dovu,"May 19, 2018",0.126629,0.137844,0.122838,0.125262,"1,989","9,346,530"
dovu,"May 18, 2018",0.126767,0.136372,0.120071,0.126641,"3,265","9,356,700"
dovu,"May 17, 2018",0.138254,0.139519,0.125932,0.126781,"2,100","10,204,600"
dovu,"May 16, 2018",0.136899,0.138197,0.131592,0.138118,"4,614","10,104,600"
dovu,"May 15, 2018",0.136329,0.139838,0.134449,0.136905,"1,648","10,062,500"
dovu,"May 14, 2018",0.149879,0.154301,0.135250,0.136530,"12,527","11,062,600"
dovu,"May 13, 2018",0.139879,0.156271,0.132045,0.149926,"5,509","10,324,600"
dovu,"May 12, 2018",0.151281,0.152410,0.132546,0.140022,"5,528","11,166,100"
dovu,"May 11, 2018",0.160946,0.161942,0.142336,0.151660,"7,652","11,879,500"
dovu,"May 10, 2018",0.168495,0.188393,0.148152,0.160789,"29,558","12,436,700"
dovu,"May 09, 2018",0.191855,0.192081,0.137892,0.168451,"61,702","14,157,600"
dovu,"May 08, 2018",0.134143,0.198979,0.124437,0.185511,"56,274","9,898,880"
dovu,"May 07, 2018",0.162996,0.167086,0.132509,0.133531,"9,365","12,028,000"
dovu,"May 06, 2018",0.144275,0.165643,0.138541,0.162888,"10,893","10,646,500"
dovu,"May 05, 2018",0.149082,0.154930,0.142529,0.144216,"9,250","11,001,200"
dovu,"May 04, 2018",0.173867,0.178737,0.146250,0.149081,"16,566","12,830,200"
dovu,"May 03, 2018",0.183472,0.331893,0.143998,0.170391,"264,289","13,539,000"
dovu,"May 02, 2018",0.085924,0.177618,0.084432,0.172112,"92,897","6,340,640"
dovu,"May 01, 2018",0.095258,0.095287,0.082891,0.086089,"3,110","7,029,370"
dovu,"Apr 30, 2018",0.112423,0.112788,0.094623,0.095084,967,"8,296,090"
dovu,"Apr 29, 2018",0.096711,0.112473,0.089236,0.112420,"41,192","7,136,590"
dovu,"Apr 28, 2018",0.100623,0.110332,0.089223,0.096720,"16,668","7,425,330"
dovu,"Apr 27, 2018",0.102056,0.108882,0.098710,0.101061,"2,039","7,531,030"
dovu,"Apr 26, 2018",0.090201,0.112025,0.087998,0.101897,"8,263","6,656,210"
dovu,"Apr 25, 2018",0.104975,0.108014,0.089291,0.089420,"2,344","7,746,430"
dovu,"Apr 24, 2018",0.099233,0.112672,0.097911,0.105281,"11,542","7,322,720"
dovu,"Apr 23, 2018",0.099744,0.111189,0.097043,0.099175,"3,348","6,362,990"
dovu,"Apr 22, 2018",0.123250,0.123250,0.095341,0.100059,"16,331","7,862,490"
dovu,"Apr 21, 2018",0.129480,0.129574,0.092600,0.123250,"9,378","8,259,930"
dovu,"Apr 20, 2018",0.086902,0.142858,0.086480,0.129537,"59,538","5,543,770"
dovu,"Apr 19, 2018",0.083117,0.095576,0.082808,0.086856,965,"5,302,340"
dovu,"Apr 18, 2018",0.097779,0.098679,0.060832,0.083065,"10,184","6,237,620"
dovu,"Apr 17, 2018",0.094654,0.118113,0.086557,0.097715,"13,890","6,038,260"
dovu,"Apr 16, 2018",0.076847,0.122084,0.074402,0.094657,"57,947","4,902,330"
