Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
e-coin,"Jul 02, 2018",6.35,6.35,5.02,5.28,47,"2,223,750"
e-coin,"Jul 01, 2018",3.11,6.39,3.06,6.35,275,"1,091,080"
e-coin,"Jun 30, 2018",3.12,3.12,3.11,3.11,240,"1,094,700"
e-coin,"Jun 25, 2018",6.15,6.31,6.10,6.28,2,"2,155,080"
e-coin,"Jun 24, 2018",6.17,6.26,5.78,6.16,2,"2,160,580"
e-coin,"Jun 23, 2018",6.14,6.24,6.10,6.17,9,"2,152,060"
e-coin,"Jun 22, 2018",12.18,12.20,12.02,12.10,7,"4,268,540"
e-coin,"Jun 21, 2018",12.28,12.28,12.15,12.20,7,"4,303,180"
e-coin,"Jun 20, 2018",8.67,8.71,8.45,8.65,15,"3,037,540"
e-coin,"Jun 19, 2018",8.62,13.08,8.57,8.66,216,"3,019,020"
e-coin,"Jun 18, 2018",8.29,8.68,8.22,8.62,3,"2,905,510"
e-coin,"Jun 17, 2018",8.36,8.42,8.29,8.32,97,"2,928,240"
e-coin,"Jun 16, 2018",7.86,8.42,7.84,8.34,152,"2,754,830"
e-coin,"Jun 15, 2018",6.75,8.07,6.59,7.89,86,"2,364,340"
e-coin,"Jun 14, 2018",7.52,7.79,6.51,6.76,108,"2,636,300"
e-coin,"Jun 13, 2018",17.03,17.07,7.27,7.53,150,"5,967,650"
e-coin,"Jun 12, 2018",9.45,9.45,9.23,9.26,8,"3,312,540"
e-coin,"Jun 11, 2018",10.16,17.67,9.22,9.46,333,"3,560,750"
e-coin,"Jun 10, 2018",11.25,11.25,5.09,10.15,197,"3,940,020"
e-coin,"Jun 09, 2018",6.03,11.42,6.02,11.23,24,"2,111,430"
e-coin,"Jun 08, 2018",5.78,6.06,5.74,6.03,12,"2,024,190"
e-coin,"Jun 07, 2018",5.83,19.99,5.75,5.77,"1,362","2,041,470"
e-coin,"Jun 06, 2018",5.81,5.85,5.72,5.82,81,"2,035,090"
e-coin,"Jun 04, 2018",7.49,7.51,7.30,7.32,10,"2,623,830"
e-coin,"Jun 03, 2018",7.43,7.52,5.84,7.49,17,"2,602,720"
e-coin,"Jun 02, 2018",5.65,7.43,5.62,7.43,292,"1,980,560"
e-coin,"Jun 01, 2018",7.12,7.41,5.54,5.66,305,"2,493,550"
e-coin,"May 31, 2018",7.20,7.21,7.00,7.11,87,"2,520,940"
e-coin,"May 30, 2018",7.49,7.57,7.48,7.56,5,"2,622,850"
e-coin,"May 29, 2018",7.83,9.66,7.41,7.48,10,"2,743,470"
e-coin,"May 28, 2018",7.82,7.85,7.81,7.83,7,"2,740,010"
e-coin,"May 26, 2018",7.49,7.65,7.41,7.55,70,"2,624,030"
e-coin,"May 25, 2018",7.52,7.53,7.40,7.50,47,"2,635,000"
e-coin,"May 24, 2018",7.54,7.74,7.30,7.58,199,"2,642,180"
e-coin,"May 23, 2018",7.63,7.66,7.50,7.56,3,"2,672,190"
e-coin,"May 22, 2018",8.43,8.44,8.24,8.27,107,"2,953,960"
e-coin,"May 21, 2018",8.55,8.60,8.36,8.43,4,"2,995,910"
e-coin,"May 20, 2018",8.26,14.11,8.26,8.54,146,"2,893,820"
e-coin,"May 19, 2018",8.24,8.37,8.17,8.32,118,"2,886,620"
