Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
eaglecoin,"Jul 02, 2018",0.038699,0.085081,0.038575,0.079288,477,"81,014"
eaglecoin,"Jul 01, 2018",0.050180,0.094689,0.038695,0.038695,"2,064","105,048"
eaglecoin,"Jun 30, 2018",0.072338,0.112098,0.049803,0.050161,"5,232","151,433"
eaglecoin,"Jun 29, 2018",0.066314,0.073130,0.057588,0.072273,"3,077","138,823"
eaglecoin,"Jun 28, 2018",0.064406,0.070281,0.063556,0.066271,378,"134,829"
eaglecoin,"Jun 27, 2018",0.041163,0.064691,0.040896,0.064383,"1,019","86,172"
eaglecoin,"Jun 26, 2018",0.044861,0.054509,0.038525,0.041233,"1,551","93,914"
eaglecoin,"Jun 25, 2018",0.053021,0.056698,0.044857,0.044861,450,"110,995"
eaglecoin,"Jun 24, 2018",0.051675,0.053187,0.036841,0.053187,"2,423","108,178"
eaglecoin,"Jun 23, 2018",0.060783,0.064539,0.051321,0.051682,578,"127,244"
eaglecoin,"Jun 22, 2018",0.041085,0.065512,0.039869,0.060751,"1,696","86,007"
eaglecoin,"Jun 21, 2018",0.046961,0.062079,0.040977,0.041130,"1,207","98,309"
eaglecoin,"Jun 20, 2018",0.064949,0.066164,0.046765,0.046969,"1,751","135,965"
eaglecoin,"Jun 19, 2018",0.049534,0.072366,0.049277,0.064907,"1,987","103,696"
eaglecoin,"Jun 18, 2018",0.060159,0.062211,0.049349,0.049561,762,"125,938"
eaglecoin,"Jun 17, 2018",0.047785,0.062041,0.047763,0.060365,702,"100,033"
eaglecoin,"Jun 16, 2018",0.063077,0.068093,0.047658,0.047658,746,"132,047"
eaglecoin,"Jun 15, 2018",0.057269,0.065306,0.052933,0.063267,"3,429","119,888"
eaglecoin,"Jun 14, 2018",0.054970,0.060177,0.053063,0.057364,"1,144","115,075"
eaglecoin,"Jun 13, 2018",0.061625,0.065207,0.052401,0.054987,784,"129,007"
eaglecoin,"Jun 12, 2018",0.063080,0.068252,0.059236,0.061419,"2,480","132,053"
eaglecoin,"Jun 11, 2018",0.060903,0.064196,0.058101,0.063113,660,"127,497"
eaglecoin,"Jun 10, 2018",0.065251,0.065251,0.059854,0.060817,833,"136,598"
eaglecoin,"Jun 09, 2018",0.068089,0.068598,0.064475,0.065169,552,"142,538"
eaglecoin,"Jun 08, 2018",0.069902,0.070051,0.053104,0.068116,"1,145","146,334"
eaglecoin,"Jun 07, 2018",0.072933,0.074293,0.064832,0.069847,650,"152,679"
eaglecoin,"Jun 06, 2018",0.060824,0.073074,0.059742,0.072902,"2,865","127,330"
eaglecoin,"Jun 05, 2018",0.064417,0.100765,0.059545,0.060878,"3,601","134,853"
eaglecoin,"Jun 04, 2018",0.071431,0.073559,0.064268,0.064387,638,"149,535"
eaglecoin,"Jun 03, 2018",0.095899,0.096631,0.063219,0.071399,575,"200,757"
eaglecoin,"Jun 02, 2018",0.072100,0.103122,0.071696,0.095977,"3,614","150,936"
eaglecoin,"Jun 01, 2018",0.071332,0.075946,0.045686,0.072132,"1,512","149,328"
eaglecoin,"May 31, 2018",0.063034,0.079924,0.062622,0.071278,753,"131,957"
eaglecoin,"May 30, 2018",0.069976,0.096566,0.062643,0.063047,408,"146,489"
eaglecoin,"May 29, 2018",0.074916,0.075172,0.051438,0.069930,"2,049","156,832"
eaglecoin,"May 28, 2018",0.077181,0.088304,0.058681,0.075034,"2,018","161,573"
eaglecoin,"May 27, 2018",0.078756,0.079690,0.068864,0.077163,256,"164,870"
eaglecoin,"May 26, 2018",0.067286,0.081350,0.066938,0.078665,"1,399","140,858"
eaglecoin,"May 25, 2018",0.090860,0.092162,0.066517,0.067375,743,"190,209"
eaglecoin,"May 24, 2018",0.082788,0.091337,0.028370,0.090708,683,"173,311"
eaglecoin,"May 23, 2018",0.087980,0.088702,0.079864,0.083071,"2,265","184,179"
eaglecoin,"May 22, 2018",0.091440,0.092127,0.081631,0.088138,24,"191,422"
eaglecoin,"May 21, 2018",0.105207,0.111673,0.084108,0.091555,"2,739","220,243"
eaglecoin,"May 20, 2018",0.070333,0.105944,0.065131,0.105074,"1,724","147,237"
eaglecoin,"May 19, 2018",0.084307,0.084533,0.069973,0.070280,"4,048","176,490"
eaglecoin,"May 18, 2018",0.081166,0.093794,0.037793,0.084315,"5,071","169,915"
eaglecoin,"May 17, 2018",0.083006,0.095474,0.032327,0.081179,"2,720","173,767"
eaglecoin,"May 16, 2018",0.072981,0.087167,0.072667,0.082958,789,"152,780"
eaglecoin,"May 15, 2018",0.088690,0.098647,0.072603,0.073023,824,"185,666"
eaglecoin,"May 14, 2018",0.082558,0.105526,0.081908,0.088825,"3,030","172,828"
eaglecoin,"May 13, 2018",0.089846,0.101029,0.081775,0.082573,173,"188,085"
eaglecoin,"May 12, 2018",0.068780,0.090786,0.058424,0.089941,"2,587","143,985"
eaglecoin,"May 11, 2018",0.064803,0.098328,0.063772,0.068985,"1,982","135,659"
eaglecoin,"May 10, 2018",0.093607,0.094414,0.064662,0.064725,"1,273","195,958"
eaglecoin,"May 09, 2018",0.082784,0.100082,0.080484,0.093538,"1,505","173,302"
eaglecoin,"May 08, 2018",0.068100,0.089754,0.055788,0.082904,"2,075","142,561"
eaglecoin,"May 07, 2018",0.092658,0.096357,0.067285,0.067890,"5,796","193,973"
eaglecoin,"May 06, 2018",0.091895,0.094641,0.064704,0.092600,"2,635","192,374"
eaglecoin,"May 05, 2018",0.101840,0.114107,0.090223,0.091885,"2,059","213,194"
eaglecoin,"May 04, 2018",0.072177,0.102135,0.070804,0.101787,"1,930","151,097"
eaglecoin,"May 03, 2018",0.090466,0.100005,0.070932,0.072204,"1,485","189,384"
eaglecoin,"May 02, 2018",0.053958,0.090827,0.053229,0.090468,"1,481","112,958"
eaglecoin,"May 01, 2018",0.052616,0.125996,0.045874,0.054060,"5,647","110,146"
eaglecoin,"Apr 30, 2018",0.095410,0.095752,0.049578,0.052569,452,"199,734"
eaglecoin,"Apr 29, 2018",0.058879,0.103709,0.057233,0.095417,"2,502","123,259"
eaglecoin,"Apr 28, 2018",0.057163,0.112359,0.057100,0.058899,"2,975","119,666"
