Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ebitcoin-cash,"Jul 02, 2018",0.111573,0.111646,0.088118,0.107008,428,"1,036,010"
ebitcoin-cash,"Jul 01, 2018",0.114908,0.115555,0.089112,0.111560,297,"1,066,980"
ebitcoin-cash,"Jun 30, 2018",0.088109,0.120669,0.088104,0.114882,407,"818,139"
ebitcoin-cash,"Jun 29, 2018",0.110445,0.111473,0.083385,0.087990,108,"1,025,540"
ebitcoin-cash,"Jun 28, 2018",0.110349,0.115440,0.085540,0.110374,236,"1,024,640"
ebitcoin-cash,"Jun 27, 2018",0.109447,0.110838,0.085373,0.110310,180,"1,016,270"
ebitcoin-cash,"Jun 26, 2018",0.087661,0.112171,0.086753,0.109491,164,"813,975"
ebitcoin-cash,"Jun 25, 2018",0.086792,0.116556,0.085499,0.087661,80,"805,905"
ebitcoin-cash,"Jun 24, 2018",0.094909,0.095231,0.074785,0.087089,"1,207","881,276"
ebitcoin-cash,"Jun 23, 2018",0.096566,0.099090,0.081694,0.094936,720,"896,660"
ebitcoin-cash,"Jun 22, 2018",0.085200,0.096822,0.082640,0.096508,"1,477","791,122"
ebitcoin-cash,"Jun 21, 2018",0.094311,0.117294,0.074623,0.085233,"1,810","875,724"
ebitcoin-cash,"Jun 20, 2018",0.108045,0.108757,0.079327,0.094324,462,"1,003,250"
ebitcoin-cash,"Jun 19, 2018",0.112569,0.130555,0.092106,0.130555,"1,838","1,045,260"
ebitcoin-cash,"Jun 18, 2018",0.094693,0.130715,0.090202,0.112633,"1,558","879,277"
ebitcoin-cash,"Jun 17, 2018",0.100618,0.102397,0.094546,0.094865,663,"934,285"
ebitcoin-cash,"Jun 16, 2018",0.106054,0.108754,0.097967,0.100608,316,"984,762"
ebitcoin-cash,"Jun 15, 2018",0.102751,0.123393,0.099060,0.106397,"1,673","954,094"
ebitcoin-cash,"Jun 14, 2018",0.121069,0.149184,0.079491,0.102816,"7,691","1,124,190"
ebitcoin-cash,"Jun 13, 2018",0.087960,0.126593,0.079337,0.121007,"3,837","816,750"
ebitcoin-cash,"Jun 12, 2018",0.125753,0.125753,0.086771,0.087654,"1,360","1,167,680"
ebitcoin-cash,"Jun 11, 2018",0.071185,0.126312,0.069784,0.125798,"2,702","660,991"
ebitcoin-cash,"Jun 10, 2018",0.122537,0.122537,0.068350,0.071062,531,"1,137,820"
ebitcoin-cash,"Jun 09, 2018",0.095876,0.167547,0.065206,0.122297,"6,011","890,258"
ebitcoin-cash,"Jun 08, 2018",0.070333,0.096337,0.070293,0.095854,"2,379","653,075"
ebitcoin-cash,"Jun 07, 2018",0.106818,0.107019,0.051174,0.070218,"1,050","991,855"
ebitcoin-cash,"Jun 06, 2018",0.069176,0.110057,0.056013,0.106721,"2,104","642,331"
ebitcoin-cash,"Jun 05, 2018",0.056914,0.088330,0.054464,0.069237,"4,054","528,474"
ebitcoin-cash,"Jun 04, 2018",0.073580,0.074921,0.043576,0.056888,93,"683,223"
ebitcoin-cash,"Jun 03, 2018",0.070965,0.075006,0.064520,0.073690,"1,364","658,947"
ebitcoin-cash,"Jun 02, 2018",0.046198,0.071900,0.045878,0.071057,660,"428,971"
ebitcoin-cash,"Jun 01, 2018",0.054267,0.058510,0.045398,0.046209,"1,772","503,894"
ebitcoin-cash,"May 31, 2018",0.046946,0.060720,0.034874,0.054193,688,"435,921"
ebitcoin-cash,"May 30, 2018",0.041017,0.063127,0.041005,0.046984,266,"380,867"
ebitcoin-cash,"May 29, 2018",0.028226,0.041381,0.028207,0.040991,386,"262,092"
ebitcoin-cash,"May 28, 2018",0.036648,0.039688,0.028296,0.028308,351,"340,294"
ebitcoin-cash,"May 27, 2018",0.028014,0.048936,0.023528,0.036644,208,"260,123"
ebitcoin-cash,"May 26, 2018",0.035921,0.058311,0.027931,0.027975,80,"333,543"
ebitcoin-cash,"May 25, 2018",0.059025,0.059904,0.035510,0.035968,99,"548,081"
ebitcoin-cash,"May 24, 2018",0.041674,0.059304,0.041674,0.058939,89,"386,959"
ebitcoin-cash,"May 23, 2018",0.054876,0.055165,0.037832,0.041819,434,"509,554"
ebitcoin-cash,"May 22, 2018",0.059256,0.074752,0.052400,0.054956,"1,162","550,227"
ebitcoin-cash,"May 21, 2018",0.055315,0.059536,0.052690,0.059382,31,"513,631"
ebitcoin-cash,"May 20, 2018",0.052412,0.069114,0.046863,0.055245,137,"486,668"
ebitcoin-cash,"May 19, 2018",0.065752,0.068205,0.051538,0.052370,"1,721","610,536"
ebitcoin-cash,"May 18, 2018",0.051271,0.065989,0.044002,0.065761,272,"476,074"
ebitcoin-cash,"May 17, 2018",0.061545,0.064888,0.047934,0.051295,284,"571,471"
ebitcoin-cash,"May 16, 2018",0.064687,0.068612,0.050878,0.061488,"1,240","600,648"
ebitcoin-cash,"May 15, 2018",0.056610,0.065829,0.056350,0.064697,156,"525,648"
ebitcoin-cash,"May 14, 2018",0.134001,0.134228,0.052658,0.056689,"1,454","1,244,260"
ebitcoin-cash,"May 13, 2018",0.050604,0.145069,0.049477,0.134056,"1,441","469,882"
ebitcoin-cash,"May 12, 2018",0.047452,0.057663,0.044814,0.050699,548,"440,619"
ebitcoin-cash,"May 11, 2018",0.050535,0.051249,0.046789,0.047538,717,"469,244"
ebitcoin-cash,"May 10, 2018",0.051775,0.054584,0.047222,0.050498,400,"480,756"
