Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
echolink,"Jul 02, 2018",0.018003,0.020464,0.017559,0.019811,"384,055","6,711,880"
echolink,"Jul 01, 2018",0.017790,0.019511,0.017378,0.018045,"137,310","6,632,400"
echolink,"Jun 30, 2018",0.016721,0.018919,0.016629,0.018093,"203,102","6,233,900"
echolink,"Jun 29, 2018",0.016482,0.017406,0.015070,0.016637,"330,574","6,144,730"
echolink,"Jun 28, 2018",0.017516,0.018178,0.016270,0.016521,"602,619","6,530,230"
echolink,"Jun 27, 2018",0.017859,0.018543,0.016893,0.017809,"186,869","6,658,010"
echolink,"Jun 26, 2018",0.018599,0.018913,0.017160,0.017718,"203,297","6,933,900"
echolink,"Jun 25, 2018",0.018731,0.019288,0.017800,0.018727,"263,606","6,983,090"
echolink,"Jun 24, 2018",0.019974,0.020115,0.017159,0.019128,"314,245","7,446,420"
echolink,"Jun 23, 2018",0.019481,0.020537,0.019430,0.019915,"312,616","7,262,660"
echolink,"Jun 22, 2018",0.024050,0.024050,0.019074,0.019680,"399,579","8,966,200"
echolink,"Jun 21, 2018",0.023581,0.025107,0.023387,0.024276,"361,668","8,791,220"
echolink,"Jun 20, 2018",0.024839,0.025388,0.022870,0.023829,"394,499","9,260,380"
echolink,"Jun 19, 2018",0.024978,0.026200,0.024302,0.024806,"350,588","9,312,070"
echolink,"Jun 18, 2018",0.026378,0.026723,0.024708,0.024984,"445,440","9,834,170"
echolink,"Jun 17, 2018",0.027014,0.027353,0.026378,0.026427,"290,659","10,071,100"
echolink,"Jun 16, 2018",0.026419,0.027431,0.025833,0.027009,"371,753","9,849,070"
echolink,"Jun 15, 2018",0.028800,0.029064,0.026102,0.026463,"555,504","10,737,100"
echolink,"Jun 14, 2018",0.027707,0.029399,0.026941,0.028643,"459,202","10,329,300"
echolink,"Jun 13, 2018",0.028811,0.028970,0.026257,0.027687,"562,689","10,740,900"
echolink,"Jun 12, 2018",0.030752,0.031717,0.028323,0.028862,"598,676","11,464,500"
echolink,"Jun 11, 2018",0.027116,0.030742,0.027012,0.030537,"503,067","10,109,100"
echolink,"Jun 10, 2018",0.034202,0.034202,0.026715,0.027293,"1,046,200","12,750,700"
echolink,"Jun 09, 2018",0.032175,0.036947,0.032175,0.034010,"1,574,240","11,995,200"
echolink,"Jun 08, 2018",0.032425,0.032670,0.031740,0.032290,"281,759","12,088,400"
echolink,"Jun 07, 2018",0.033895,0.034592,0.032049,0.032339,"265,079","12,636,500"
echolink,"Jun 06, 2018",0.035514,0.035634,0.033344,0.033675,"406,680","13,239,800"
echolink,"Jun 05, 2018",0.033043,0.038561,0.030851,0.035363,"1,336,300","12,318,700"
echolink,"Jun 04, 2018",0.035965,0.037744,0.032453,0.033083,"566,747","13,408,200"
echolink,"Jun 03, 2018",0.036599,0.038195,0.035468,0.036162,"1,000,040","13,644,600"
echolink,"Jun 02, 2018",0.036053,0.037629,0.035597,0.036708,"874,910","13,441,100"
echolink,"Jun 01, 2018",0.036862,0.037503,0.035077,0.036536,"809,857","13,742,400"
echolink,"May 31, 2018",0.034661,0.038675,0.034061,0.036761,"880,370","12,922,100"
echolink,"May 30, 2018",0.035266,0.035973,0.033849,0.034698,"719,050","13,147,500"
echolink,"May 29, 2018",0.031106,0.035646,0.030818,0.035277,"704,917","11,596,400"
echolink,"May 28, 2018",0.033545,0.034437,0.031086,0.031237,"718,770","12,505,800"
echolink,"May 27, 2018",0.034478,0.034883,0.033045,0.033579,"623,390","12,853,600"
echolink,"May 26, 2018",0.035870,0.037634,0.034141,0.034381,"464,964","13,372,900"
echolink,"May 25, 2018",0.037040,0.037361,0.034371,0.036038,"275,480","13,808,900"
echolink,"May 24, 2018",0.033143,0.038204,0.032084,0.036988,"847,925","12,356,200"
echolink,"May 23, 2018",0.040274,0.040845,0.032701,0.033264,"555,320","15,014,600"
echolink,"May 22, 2018",0.043724,0.044052,0.040195,0.040260,"390,223","16,300,700"
echolink,"May 21, 2018",0.046060,0.047798,0.043510,0.043767,"690,393","17,171,700"
echolink,"May 20, 2018",0.044503,0.046582,0.042187,0.045986,"688,268","16,591,200"
echolink,"May 19, 2018",0.043423,0.045981,0.040684,0.044422,"948,178","16,188,700"
echolink,"May 18, 2018",0.042794,0.044059,0.041373,0.043523,"684,213","15,954,100"
echolink,"May 17, 2018",0.045619,0.056285,0.042776,0.043040,"764,854","17,007,100"
echolink,"May 16, 2018",0.048170,0.048628,0.042451,0.045249,"878,184","17,958,500"
echolink,"May 15, 2018",0.051261,0.053722,0.047730,0.048221,"803,568","19,110,500"
echolink,"May 14, 2018",0.053077,0.055625,0.047752,0.051439,"1,258,220","19,787,700"
echolink,"May 13, 2018",0.046927,0.060087,0.045916,0.053462,"1,544,120","17,494,900"
echolink,"May 12, 2018",0.047131,0.049890,0.039768,0.046947,"1,235,960","17,570,700"
echolink,"May 11, 2018",0.059069,0.060203,0.045645,0.047340,"1,429,970","22,021,400"
echolink,"May 10, 2018",0.065352,0.068579,0.058931,0.058931,"1,524,460","24,364,000"
echolink,"May 09, 2018",0.067106,0.068420,0.063361,0.065358,"1,403,230","25,017,700"
echolink,"May 08, 2018",0.064557,0.069644,0.061556,0.066901,"2,310,340","24,067,600"
echolink,"May 07, 2018",0.077869,0.077869,0.063433,0.064142,"3,837,470","29,030,300"
echolink,"May 06, 2018",0.065822,0.080344,0.058465,0.078134,"5,875,920","24,539,000"
echolink,"May 05, 2018",0.064805,0.074399,0.063005,0.066803,"3,541,300","24,159,800"
echolink,"May 04, 2018",0.069432,0.069432,0.060927,0.066350,"2,373,290","25,885,000"
echolink,"May 03, 2018",0.063878,0.073042,0.063828,0.069735,"3,453,000","23,814,300"
echolink,"May 02, 2018",0.072959,0.079165,0.063867,0.064031,"5,288,420","27,199,900"
echolink,"May 01, 2018",0.059895,0.096023,0.052894,0.090881,"6,646,600","22,329,400"
echolink,"Apr 30, 2018",0.050582,0.067865,0.049122,0.058871,"4,049,270","18,857,600"
echolink,"Apr 29, 2018",0.052642,0.054877,0.046307,0.049693,"2,653,990","19,625,600"
echolink,"Apr 28, 2018",0.042935,0.052611,0.042876,0.052564,"2,411,830","16,006,400"
