Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ecobit,"Jul 02, 2018",0.016368,0.016767,0.013412,0.016035,249,"7,274,840"
ecobit,"Jul 01, 2018",0.016926,0.017022,0.013392,0.016367,356,"7,522,840"
ecobit,"Jun 30, 2018",0.012571,0.016983,0.009586,0.016923,495,"5,587,240"
ecobit,"Jun 29, 2018",0.014634,0.014760,0.011897,0.012554,130,"6,504,000"
ecobit,"Jun 28, 2018",0.016867,0.016916,0.014542,0.014625,418,"7,496,350"
ecobit,"Jun 27, 2018",0.013319,0.017533,0.013231,0.016861,793,"5,919,520"
ecobit,"Jun 26, 2018",0.013132,0.013725,0.013078,0.013324,21,"5,836,550"
ecobit,"Jun 25, 2018",0.013224,0.014417,0.012521,0.013132,545,"5,877,260"
ecobit,"Jun 24, 2018",0.014368,0.015248,0.010386,0.013249,634,"6,385,950"
ecobit,"Jun 23, 2018",0.012830,0.018255,0.012808,0.014370,650,"5,702,280"
ecobit,"Jun 22, 2018",0.015871,0.015898,0.012603,0.012828,250,"7,053,680"
ecobit,"Jun 21, 2018",0.018104,0.018612,0.015848,0.015888,328,"8,046,240"
ecobit,"Jun 20, 2018",0.015874,0.018768,0.014103,0.018100,697,"7,055,200"
ecobit,"Jun 19, 2018",0.015278,0.020192,0.015198,0.015864,881,"6,790,030"
ecobit,"Jun 18, 2018",0.015089,0.020278,0.014914,0.015286,639,"6,706,290"
ecobit,"Jun 17, 2018",0.015079,0.019705,0.014823,0.015141,803,"6,702,010"
ecobit,"Jun 16, 2018",0.014835,0.019321,0.014699,0.015040,459,"6,593,310"
ecobit,"Jun 15, 2018",0.016012,0.016031,0.014804,0.014889,123,"7,116,200"
ecobit,"Jun 14, 2018",0.014345,0.016248,0.014190,0.016038,110,"6,375,560"
ecobit,"Jun 13, 2018",0.016472,0.016489,0.013875,0.014351,529,"7,320,670"
ecobit,"Jun 12, 2018",0.019791,0.020420,0.016370,0.016429,788,"8,795,800"
ecobit,"Jun 11, 2018",0.018287,0.028557,0.018154,0.019801,"1,444","8,127,530"
ecobit,"Jun 10, 2018",0.015311,0.029022,0.014681,0.018261,"4,453","6,804,880"
ecobit,"Jun 09, 2018",0.017568,0.018359,0.015292,0.015292,455,"7,808,090"
ecobit,"Jun 08, 2018",0.013598,0.024281,0.013144,0.017576,"1,601","6,043,580"
ecobit,"Jun 07, 2018",0.014165,0.014334,0.013368,0.013588,207,"6,295,550"
ecobit,"Jun 06, 2018",0.013333,0.015890,0.013081,0.014152,473,"5,925,620"
ecobit,"Jun 05, 2018",0.014670,0.014686,0.012383,0.013336,96,"6,520,000"
ecobit,"Jun 04, 2018",0.013876,0.014750,0.012857,0.014663,201,"6,167,120"
ecobit,"Jun 03, 2018",0.014430,0.014978,0.014210,0.014948,171,"6,413,270"
ecobit,"Jun 02, 2018",0.015540,0.015553,0.014344,0.014426,425,"6,906,640"
ecobit,"Jun 01, 2018",0.012586,0.019025,0.012568,0.015547,"1,666","5,593,750"
ecobit,"May 31, 2018",0.011812,0.012750,0.011766,0.012577,12,"5,249,900"
ecobit,"May 30, 2018",0.012017,0.012156,0.011688,0.011815,37,"5,340,740"
ecobit,"May 29, 2018",0.012176,0.013701,0.011967,0.012009,198,"5,411,350"
ecobit,"May 28, 2018",0.012248,0.014485,0.012162,0.012179,704,"5,443,400"
ecobit,"May 27, 2018",0.013932,0.013932,0.012131,0.012245,300,"6,191,850"
ecobit,"May 26, 2018",0.015550,0.015867,0.013850,0.013926,29,"6,911,210"
ecobit,"May 25, 2018",0.012762,0.018947,0.012157,0.015571,"2,393","5,672,170"
ecobit,"May 24, 2018",0.016150,0.016568,0.011542,0.012738,"1,597","7,177,590"
ecobit,"May 23, 2018",0.017707,0.017758,0.015776,0.016190,415,"7,869,630"
ecobit,"May 22, 2018",0.020370,0.021345,0.017623,0.017729,"1,201","9,053,510"
ecobit,"May 21, 2018",0.018985,0.033497,0.018579,0.020374,"4,609","8,437,720"
ecobit,"May 20, 2018",0.011550,0.019344,0.011475,0.018961,"6,729","5,133,260"
ecobit,"May 19, 2018",0.011491,0.011737,0.011412,0.011541,46,"5,107,250"
ecobit,"May 18, 2018",0.011026,0.011525,0.010213,0.011493,52,"4,900,600"
ecobit,"May 17, 2018",0.011467,0.012084,0.010953,0.011017,41,"5,096,620"
ecobit,"May 16, 2018",0.012285,0.012295,0.011104,0.011460,14,"5,460,100"
ecobit,"May 15, 2018",0.011635,0.012388,0.011523,0.012292,369,"5,171,030"
ecobit,"May 14, 2018",0.012845,0.012872,0.011351,0.011655,33,"5,708,720"
ecobit,"May 13, 2018",0.012019,0.012942,0.011702,0.012847,726,"5,341,940"
ecobit,"May 12, 2018",0.013684,0.013795,0.011533,0.012023,243,"6,081,660"
ecobit,"May 11, 2018",0.014732,0.014732,0.013634,0.013724,13,"6,547,490"
ecobit,"May 10, 2018",0.014716,0.015289,0.013798,0.014714,203,"6,540,390"
ecobit,"May 09, 2018",0.016354,0.016880,0.014597,0.014720,43,"7,268,600"
ecobit,"May 08, 2018",0.014551,0.019215,0.014551,0.016379,"1,526","6,467,310"
ecobit,"May 07, 2018",0.016151,0.016860,0.013947,0.014521,"1,404","7,178,210"
ecobit,"May 06, 2018",0.019038,0.019217,0.016109,0.016139,30,"8,461,420"
ecobit,"May 05, 2018",0.015935,0.019225,0.015910,0.019025,631,"7,082,380"
ecobit,"May 04, 2018",0.015994,0.016897,0.008271,0.015943,767,"7,108,510"
ecobit,"May 03, 2018",0.019288,0.021069,0.015812,0.016000,2,"8,572,420"
ecobit,"May 02, 2018",0.010897,0.019287,0.009271,0.019287,434,"4,843,150"
ecobit,"May 01, 2018",0.020180,0.020180,0.010280,0.010913,"1,232","8,968,810"
ecobit,"Apr 30, 2018",0.022471,0.022868,0.020162,0.020162,323,"9,987,100"
ecobit,"Apr 29, 2018",0.021588,0.022478,0.018462,0.022478,38,"9,594,670"
ecobit,"Apr 28, 2018",0.017801,0.021796,0.017755,0.021596,185,"7,911,480"
ecobit,"Apr 27, 2018",0.021336,0.022334,0.017862,0.017862,55,"9,482,850"
ecobit,"Apr 26, 2018",0.019814,0.021354,0.018243,0.021307,237,"8,806,310"
ecobit,"Apr 25, 2018",0.022149,0.022149,0.019242,0.019757,147,"9,844,240"
ecobit,"Apr 24, 2018",0.018304,0.022358,0.018296,0.022358,259,"8,135,290"
ecobit,"Apr 23, 2018",0.019269,0.019356,0.016713,0.018289,79,"8,564,130"
ecobit,"Apr 22, 2018",0.021257,0.021721,0.017755,0.019308,126,"9,447,380"
ecobit,"Apr 21, 2018",0.020291,0.021386,0.018883,0.021257,230,"9,018,050"
ecobit,"Apr 20, 2018",0.018737,0.037982,0.018725,0.020284,"4,030","8,327,660"
ecobit,"Apr 19, 2018",0.018854,0.021081,0.017281,0.018725,191,"8,379,500"
ecobit,"Apr 18, 2018",0.017685,0.019022,0.017211,0.018840,78,"7,860,020"
ecobit,"Apr 17, 2018",0.019713,0.020496,0.017663,0.017669,114,"8,761,510"
ecobit,"Apr 16, 2018",0.020580,0.021196,0.018273,0.019703,427,"9,146,770"
ecobit,"Apr 15, 2018",0.020558,0.022308,0.017989,0.020589,"4,654","9,136,940"
ecobit,"Apr 14, 2018",0.018483,0.020751,0.017020,0.020536,225,"8,214,830"
