Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
edgeless,"Jul 02, 2018",0.316577,0.364808,0.314915,0.359934,"786,165","27,886,300"
edgeless,"Jul 01, 2018",0.312729,0.317279,0.308348,0.316143,"443,924","27,547,400"
edgeless,"Jun 30, 2018",0.290482,0.318430,0.287806,0.311742,"529,869","25,587,700"
edgeless,"Jun 29, 2018",0.293693,0.295478,0.271507,0.290061,"489,492","25,870,500"
edgeless,"Jun 28, 2018",0.296997,0.299452,0.284601,0.293931,"463,729","26,161,500"
edgeless,"Jun 27, 2018",0.315238,0.316172,0.293033,0.298499,"506,765","27,768,400"
edgeless,"Jun 26, 2018",0.329607,0.334383,0.311739,0.314397,"431,678","29,034,100"
edgeless,"Jun 25, 2018",0.323473,0.339970,0.311898,0.331039,"579,997","28,493,800"
edgeless,"Jun 24, 2018",0.350262,0.355873,0.303407,0.323672,"645,242","30,853,500"
edgeless,"Jun 23, 2018",0.344277,0.363707,0.344084,0.351111,"539,375","30,326,300"
edgeless,"Jun 22, 2018",0.396327,0.397091,0.339473,0.347373,"616,586","34,911,300"
edgeless,"Jun 21, 2018",0.400015,0.431234,0.395314,0.396665,"866,906","35,236,200"
edgeless,"Jun 20, 2018",0.397970,0.401656,0.376653,0.399558,"521,758","35,056,000"
edgeless,"Jun 19, 2018",0.414144,0.415616,0.390751,0.395861,"808,565","36,480,800"
edgeless,"Jun 18, 2018",0.392981,0.420026,0.382160,0.414463,"629,726","34,420,100"
edgeless,"Jun 17, 2018",0.400647,0.406060,0.391536,0.393506,"611,807","35,091,500"
edgeless,"Jun 16, 2018",0.398455,0.409765,0.391517,0.399579,"551,708","34,899,500"
edgeless,"Jun 15, 2018",0.394123,0.422767,0.394123,0.399687,"852,121","34,520,000"
edgeless,"Jun 14, 2018",0.349202,0.396994,0.346601,0.395296,"963,421","30,585,600"
edgeless,"Jun 13, 2018",0.357334,0.379626,0.341367,0.349894,"670,308","31,297,900"
edgeless,"Jun 12, 2018",0.408874,0.409696,0.351013,0.356437,"936,043","35,812,100"
edgeless,"Jun 11, 2018",0.402711,0.415584,0.395558,0.409441,"764,535","35,272,200"
edgeless,"Jun 10, 2018",0.462913,0.462913,0.394049,0.401247,"864,921","40,545,200"
edgeless,"Jun 09, 2018",0.480224,0.485406,0.461048,0.461048,"523,706","42,061,400"
edgeless,"Jun 08, 2018",0.483167,0.487776,0.467286,0.482505,"516,701","42,319,200"
edgeless,"Jun 07, 2018",0.486840,0.500232,0.476162,0.484326,"532,139","42,640,900"
edgeless,"Jun 06, 2018",0.500115,0.502233,0.468719,0.484451,"610,570","43,803,600"
edgeless,"Jun 05, 2018",0.485920,0.501905,0.477485,0.496563,"719,707","42,560,300"
edgeless,"Jun 04, 2018",0.514177,0.515369,0.481595,0.485686,"741,416","45,035,300"
edgeless,"Jun 03, 2018",0.536040,0.543487,0.502307,0.514986,"971,624","46,950,200"
edgeless,"Jun 02, 2018",0.533338,0.545585,0.526347,0.534748,"765,278","46,713,500"
edgeless,"Jun 01, 2018",0.543668,0.550663,0.527431,0.533443,"776,561","47,618,200"
edgeless,"May 31, 2018",0.517525,0.557318,0.515380,0.543189,"901,815","45,328,500"
edgeless,"May 30, 2018",0.529640,0.541349,0.505831,0.517287,"548,970","46,389,600"
edgeless,"May 29, 2018",0.486541,0.534720,0.484304,0.528256,"772,366","42,614,700"
edgeless,"May 28, 2018",0.511340,0.514432,0.485188,0.487036,"747,316","44,786,700"
edgeless,"May 27, 2018",0.514400,0.517377,0.502306,0.512728,"496,705","45,054,800"
edgeless,"May 26, 2018",0.514238,0.538165,0.511762,0.515664,"558,163","45,040,600"
edgeless,"May 25, 2018",0.521746,0.530474,0.505624,0.514787,"864,495","45,698,200"
edgeless,"May 24, 2018",0.492954,0.522597,0.477833,0.519872,"727,880","43,176,300"
edgeless,"May 23, 2018",0.543081,0.543460,0.489560,0.494402,"707,356","47,566,800"
edgeless,"May 22, 2018",0.566812,0.569543,0.539935,0.543918,"538,491","49,645,400"
edgeless,"May 21, 2018",0.583474,0.583474,0.557681,0.570193,"639,336","47,871,900"
edgeless,"May 20, 2018",0.556799,0.586465,0.551372,0.582499,"729,758","45,683,300"
edgeless,"May 19, 2018",0.551843,0.566481,0.546949,0.554847,"533,469","45,276,700"
edgeless,"May 18, 2018",0.550315,0.555602,0.539462,0.552744,"724,349","45,151,300"
edgeless,"May 17, 2018",0.594823,0.603142,0.545968,0.546999,"629,064","48,803,100"
edgeless,"May 16, 2018",0.584669,0.596367,0.552504,0.592984,"610,184","47,970,000"
edgeless,"May 15, 2018",0.599520,0.610141,0.581543,0.585214,"572,777","49,188,400"
edgeless,"May 14, 2018",0.589300,0.620279,0.546741,0.600471,"860,633","48,349,900"
edgeless,"May 13, 2018",0.577360,0.599655,0.569857,0.591732,"467,541","47,370,200"
edgeless,"May 12, 2018",0.579732,0.591464,0.545134,0.578422,"526,634","47,564,900"
edgeless,"May 11, 2018",0.610726,0.617115,0.535510,0.580411,"1,520,020","50,107,800"
edgeless,"May 10, 2018",0.652977,0.652977,0.610861,0.610861,"959,638","53,574,400"
edgeless,"May 09, 2018",0.650712,0.661883,0.619754,0.657635,"1,090,150","53,388,500"
edgeless,"May 08, 2018",0.672431,0.691716,0.635550,0.651756,"1,158,410","55,170,500"
edgeless,"May 07, 2018",0.700941,0.701919,0.653495,0.670970,"717,526","57,509,600"
edgeless,"May 06, 2018",0.732082,0.742387,0.686333,0.700496,"863,198","60,064,600"
edgeless,"May 05, 2018",0.711592,0.757111,0.710470,0.733565,"1,442,940","58,383,500"
edgeless,"May 04, 2018",0.729226,0.729226,0.692607,0.711841,"1,118,680","59,830,300"
edgeless,"May 03, 2018",0.703239,0.742044,0.683432,0.734607,"1,878,610","57,698,100"
edgeless,"May 02, 2018",0.680765,0.710624,0.675064,0.703099,"1,741,000","55,854,200"
edgeless,"May 01, 2018",0.686415,0.687755,0.634688,0.686590,"2,543,690","56,317,800"
edgeless,"Apr 30, 2018",0.714394,0.720982,0.679985,0.685729,"1,233,060","58,613,400"
edgeless,"Apr 29, 2018",0.710677,0.728624,0.678551,0.712564,"1,924,770","58,308,400"
edgeless,"Apr 28, 2018",0.671865,0.719363,0.670873,0.710464,"1,524,910","55,124,000"
edgeless,"Apr 27, 2018",0.716421,0.718379,0.672379,0.672379,"1,613,170","58,779,700"
edgeless,"Apr 26, 2018",0.684486,0.723328,0.653517,0.715401,"1,004,460","56,159,600"
edgeless,"Apr 25, 2018",0.765503,0.773833,0.669234,0.679604,"1,873,680","62,806,700"
edgeless,"Apr 24, 2018",0.710979,0.781106,0.698626,0.780659,"2,353,590","58,333,200"
edgeless,"Apr 23, 2018",0.687806,0.725548,0.683720,0.713936,"1,537,380","56,431,900"
edgeless,"Apr 22, 2018",0.670387,0.715133,0.662627,0.689318,"1,538,190","55,002,800"
edgeless,"Apr 21, 2018",0.691270,0.691270,0.632831,0.670111,"1,472,570","56,716,200"
edgeless,"Apr 20, 2018",0.681999,0.695669,0.655742,0.693907,"1,908,630","55,955,500"
edgeless,"Apr 19, 2018",0.637604,0.692422,0.636044,0.683613,"2,064,920","52,313,000"
edgeless,"Apr 18, 2018",0.600518,0.642886,0.597576,0.637076,"1,367,600","49,270,200"
edgeless,"Apr 17, 2018",0.616788,0.625667,0.595225,0.595492,"848,134","50,605,100"
edgeless,"Apr 16, 2018",0.656189,0.661297,0.590869,0.616518,"1,244,290","53,837,900"
