Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
edu-coin,"Jul 02, 2018",0.001545,0.001687,0.001523,0.001653,"2,785,000",-
edu-coin,"Jul 01, 2018",0.001533,0.001554,0.001492,0.001540,"2,624,980",-
edu-coin,"Jun 30, 2018",0.001503,0.001560,0.001493,0.001531,"3,052,520",-
edu-coin,"Jun 29, 2018",0.001409,0.001514,0.001382,0.001492,"3,107,770",-
edu-coin,"Jun 28, 2018",0.001613,0.001615,0.001387,0.001414,"2,849,050",-
edu-coin,"Jun 27, 2018",0.001590,0.001618,0.001510,0.001617,"3,433,990",-
edu-coin,"Jun 26, 2018",0.001681,0.001816,0.001516,0.001604,"3,098,060",-
edu-coin,"Jun 25, 2018",0.001543,0.001859,0.001447,0.001700,"1,713,580",-
edu-coin,"Jun 24, 2018",0.001640,0.001647,0.001384,0.001548,"3,198,550",-
edu-coin,"Jun 23, 2018",0.001685,0.001729,0.001621,0.001642,"3,885,050",-
edu-coin,"Jun 22, 2018",0.001903,0.001909,0.001676,0.001681,"3,156,290",-
edu-coin,"Jun 21, 2018",0.002099,0.002191,0.001901,0.001908,"3,898,090",-
edu-coin,"Jun 20, 2018",0.002176,0.002203,0.001993,0.002097,"3,606,170",-
edu-coin,"Jun 19, 2018",0.001985,0.002177,0.001931,0.002177,"3,307,450",-
edu-coin,"Jun 18, 2018",0.001937,0.002079,0.001882,0.001986,"2,826,730",-
edu-coin,"Jun 17, 2018",0.001775,0.002005,0.001757,0.001923,"1,935,060",-
edu-coin,"Jun 16, 2018",0.001808,0.001822,0.001734,0.001783,"2,281,280",-
edu-coin,"Jun 15, 2018",0.002090,0.002096,0.001807,0.001815,"2,623,180",-
edu-coin,"Jun 14, 2018",0.001692,0.002104,0.001657,0.002097,"3,279,340",-
edu-coin,"Jun 13, 2018",0.001895,0.001896,0.001594,0.001681,"3,890,930",-
edu-coin,"Jun 12, 2018",0.002256,0.002268,0.001839,0.001875,"7,404,540",-
edu-coin,"Jun 11, 2018",0.002365,0.002365,0.002106,0.002237,"4,339,100",-
edu-coin,"Jun 10, 2018",0.002858,0.002858,0.002257,0.002383,"4,673,620",-
edu-coin,"Jun 09, 2018",0.002907,0.003001,0.002852,0.002852,"4,349,510",-
edu-coin,"Jun 08, 2018",0.003135,0.003324,0.002878,0.002906,"4,474,940",-
edu-coin,"Jun 07, 2018",0.002799,0.003234,0.002788,0.003131,"5,772,040",-
edu-coin,"Jun 06, 2018",0.002615,0.002959,0.002615,0.002794,"4,289,430",-
edu-coin,"Jun 05, 2018",0.002763,0.002775,0.002520,0.002615,"3,738,490",-
edu-coin,"Jun 04, 2018",0.003007,0.003044,0.002658,0.002762,"4,469,040",-
edu-coin,"Jun 03, 2018",0.003063,0.003116,0.002925,0.003011,"4,027,830",-
edu-coin,"Jun 02, 2018",0.003032,0.003097,0.002965,0.003073,"5,272,230",-
edu-coin,"Jun 01, 2018",0.003039,0.003090,0.002914,0.003039,"4,698,890",-
edu-coin,"May 31, 2018",0.003164,0.003243,0.003020,0.003038,"5,373,760",-
edu-coin,"May 30, 2018",0.003268,0.003454,0.003073,0.003165,"4,238,530",-
edu-coin,"May 29, 2018",0.002845,0.003315,0.002835,0.003261,"9,122,900",-
edu-coin,"May 28, 2018",0.004080,0.004113,0.002836,0.002846,"11,103,200",-
edu-coin,"May 27, 2018",0.003199,0.004093,0.003154,0.004080,"21,520,200",-
edu-coin,"May 26, 2018",0.003229,0.003315,0.003187,0.003195,"21,717,900",-
edu-coin,"May 25, 2018",0.003308,0.003366,0.003175,0.003231,"21,967,100",-
edu-coin,"May 24, 2018",0.003249,0.003366,0.003128,0.003303,"22,329,200",-
edu-coin,"May 23, 2018",0.003899,0.003926,0.003201,0.003260,"22,042,300",-
edu-coin,"May 22, 2018",0.004199,0.004532,0.003829,0.003871,"25,114,900",-
edu-coin,"May 21, 2018",0.005415,0.005524,0.004015,0.004185,"27,582,200",-
edu-coin,"May 20, 2018",0.006152,0.006185,0.005015,0.005406,"23,217,700",-
edu-coin,"May 19, 2018",0.005628,0.006125,0.005614,0.006125,"16,988,100",-
edu-coin,"May 18, 2018",0.005007,0.005695,0.004784,0.005635,"27,384,400",-
edu-coin,"May 17, 2018",0.005100,0.005382,0.004944,0.004997,"25,327,100",-
edu-coin,"May 16, 2018",0.005294,0.005306,0.004787,0.005106,"23,512,000",-
edu-coin,"May 15, 2018",0.005681,0.005727,0.005266,0.005332,"18,474,700",-
