Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
eggcoin,"Jul 02, 2018",0.018342,0.018354,0.010632,0.011099,31,-
eggcoin,"Jul 01, 2018",0.018459,0.018563,0.018164,0.018340,5,-
eggcoin,"Jun 30, 2018",0.018471,0.018559,0.018267,0.018455,5,-
eggcoin,"Jun 25, 2018",0.018083,0.018548,0.017925,0.018457,5,-
eggcoin,"Jun 24, 2018",0.017267,0.018395,0.016985,0.018118,5,-
eggcoin,"Jun 20, 2018",0.012902,0.012969,0.012580,0.012897,9,-
eggcoin,"Jun 19, 2018",0.013057,0.013191,0.012834,0.012894,9,-
eggcoin,"Jun 18, 2018",0.013019,0.019871,0.012912,0.013064,10,-
eggcoin,"Jun 17, 2018",0.013085,0.013220,0.013020,0.013064,3,-
eggcoin,"Jun 10, 2018",0.012684,0.012684,0.012341,0.012368,1,-
eggcoin,"Jun 09, 2018",0.012969,0.012969,0.012668,0.012668,1,-
eggcoin,"Jun 07, 2018",0.014854,0.015031,0.014854,0.014923,190,-
eggcoin,"Jun 06, 2018",0.024662,0.024748,0.014582,0.014840,190,-
eggcoin,"Jun 05, 2018",0.017405,0.017716,0.017125,0.017691,3,-
eggcoin,"Jun 04, 2018",0.020814,0.020870,0.017369,0.017397,3,-
eggcoin,"Jun 03, 2018",0.021049,0.021092,0.020715,0.020804,15,-
eggcoin,"May 28, 2018",0.020053,0.020233,0.019625,0.019755,3,-
eggcoin,"May 27, 2018",0.020010,0.020143,0.019905,0.020048,3,-
eggcoin,"May 25, 2018",0.024655,0.024945,0.024118,0.024230,1,-
eggcoin,"May 24, 2018",0.017445,0.024779,0.017445,0.024608,1,-
eggcoin,"May 23, 2018",0.018451,0.018465,0.017334,0.017490,6,-
eggcoin,"May 16, 2018",0.022913,0.022932,0.021963,0.022208,7,-
eggcoin,"May 15, 2018",0.025676,0.026105,0.022794,0.022926,8,-
eggcoin,"May 14, 2018",0.025244,0.025863,0.024315,0.025721,2,-
eggcoin,"May 09, 2018",0.030633,0.030960,0.029945,0.030960,78,-
eggcoin,"May 08, 2018",0.025384,0.030812,0.025384,0.030679,77,-
