Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
elcoin-el,"Jul 02, 2018",0.044823,0.054843,0.044369,0.054824,448,"502,414"
elcoin-el,"Jul 01, 2018",0.041518,0.046377,0.041165,0.044818,643,"465,371"
elcoin-el,"Jun 30, 2018",0.050903,0.053029,0.039969,0.041508,427,"570,571"
elcoin-el,"Jun 29, 2018",0.042062,0.051701,0.041208,0.050835,318,"471,473"
elcoin-el,"Jun 28, 2018",0.048284,0.049584,0.041833,0.042039,702,"541,217"
elcoin-el,"Jun 27, 2018",0.053386,0.053697,0.046532,0.048268,"1,954","598,398"
elcoin-el,"Jun 26, 2018",0.052000,0.055483,0.052000,0.053407,869,"582,866"
elcoin-el,"Jun 25, 2018",0.052020,0.052021,0.052000,0.052000,571,"583,092"
elcoin-el,"Jun 24, 2018",0.053725,0.054459,0.048740,0.052021,362,"602,205"
elcoin-el,"Jun 23, 2018",0.051376,0.058899,0.051289,0.053732,871,"575,872"
elcoin-el,"Jun 22, 2018",0.057075,0.057161,0.046978,0.051369,818,"639,757"
elcoin-el,"Jun 21, 2018",0.055408,0.061108,0.053974,0.057131,969,"621,071"
elcoin-el,"Jun 20, 2018",0.055714,0.056379,0.051334,0.055399,267,"624,501"
elcoin-el,"Jun 19, 2018",0.048880,0.064337,0.048869,0.055689,901,"547,899"
elcoin-el,"Jun 18, 2018",0.053357,0.055000,0.044429,0.048900,870,"598,071"
elcoin-el,"Jun 17, 2018",0.053484,0.054657,0.051702,0.053359,143,"599,505"
elcoin-el,"Jun 16, 2018",0.048170,0.058348,0.048089,0.053382,265,"539,935"
elcoin-el,"Jun 15, 2018",0.049263,0.057064,0.048083,0.048342,908,"552,192"
elcoin-el,"Jun 14, 2018",0.049662,0.057582,0.049002,0.049339,650,"556,663"
elcoin-el,"Jun 13, 2018",0.053959,0.054584,0.048867,0.049682,339,"604,828"
elcoin-el,"Jun 12, 2018",0.049112,0.053871,0.046073,0.053835,823,"550,499"
elcoin-el,"Jun 11, 2018",0.049316,0.051539,0.048332,0.049136,25,"552,777"
elcoin-el,"Jun 10, 2018",0.051212,0.052681,0.048401,0.049266,266,"574,038"
elcoin-el,"Jun 09, 2018",0.052954,0.053149,0.051179,0.051179,90,"593,554"
elcoin-el,"Jun 08, 2018",0.058186,0.061053,0.053150,0.053150,159,"652,201"
elcoin-el,"Jun 07, 2018",0.055084,0.057743,0.055071,0.057269,74,"617,433"
elcoin-el,"Jun 06, 2018",0.056365,0.056606,0.050387,0.055060,239,"631,792"
elcoin-el,"Jun 05, 2018",0.058577,0.065210,0.054331,0.056379,782,"656,585"
elcoin-el,"Jun 04, 2018",0.071795,0.071968,0.058443,0.058553,"1,422","804,748"
elcoin-el,"Jun 03, 2018",0.067482,0.073282,0.063618,0.071765,"2,517","756,399"
elcoin-el,"Jun 02, 2018",0.057690,0.068330,0.055856,0.067464,"2,117","646,640"
elcoin-el,"Jun 01, 2018",0.058069,0.058849,0.051490,0.057697,239,"650,895"
elcoin-el,"May 31, 2018",0.056583,0.062501,0.056078,0.058031,931,"634,241"
elcoin-el,"May 30, 2018",0.054034,0.063330,0.051671,0.056602,"2,921","605,663"
elcoin-el,"May 29, 2018",0.055322,0.055700,0.050225,0.052816,871,"620,099"
elcoin-el,"May 28, 2018",0.050815,0.059013,0.048448,0.055327,"1,432","569,587"
elcoin-el,"May 27, 2018",0.048526,0.054560,0.047237,0.050805,726,"543,923"
