Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
electrifyasia,"Jul 02, 2018",0.028429,0.032968,0.028188,0.032449,"381,162","12,412,200"
electrifyasia,"Jul 01, 2018",0.027099,0.028708,0.027099,0.028414,"54,514","11,831,600"
electrifyasia,"Jun 30, 2018",0.025628,0.029484,0.025064,0.027077,"421,985","11,189,500"
electrifyasia,"Jun 29, 2018",0.025035,0.026261,0.024045,0.025580,"370,120","10,930,500"
electrifyasia,"Jun 28, 2018",0.028512,0.029072,0.024904,0.025037,"465,124","12,448,700"
electrifyasia,"Jun 27, 2018",0.026039,0.028078,0.025226,0.028078,"166,550","11,369,000"
electrifyasia,"Jun 26, 2018",0.028280,0.028352,0.026148,0.026148,"429,943","12,347,100"
electrifyasia,"Jun 25, 2018",0.030942,0.031484,0.025351,0.027351,"572,048","13,416,800"
electrifyasia,"Jun 24, 2018",0.034403,0.034556,0.028947,0.031084,"185,619","14,917,400"
electrifyasia,"Jun 23, 2018",0.033408,0.035215,0.032384,0.034448,"159,327","14,485,900"
electrifyasia,"Jun 22, 2018",0.036733,0.036748,0.031140,0.033363,"308,383","15,927,900"
electrifyasia,"Jun 21, 2018",0.037733,0.040500,0.034152,0.036761,"300,806","16,361,400"
electrifyasia,"Jun 20, 2018",0.036538,0.039129,0.033569,0.037734,"286,052","15,843,200"
electrifyasia,"Jun 19, 2018",0.033559,0.038623,0.032918,0.037116,"334,765","14,551,600"
electrifyasia,"Jun 18, 2018",0.034464,0.035232,0.029706,0.033504,"584,158","14,943,700"
electrifyasia,"Jun 17, 2018",0.037270,0.038113,0.034113,0.034509,"482,165","16,160,700"
electrifyasia,"Jun 16, 2018",0.035924,0.037440,0.030009,0.037253,"498,377","15,505,200"
electrifyasia,"Jun 15, 2018",0.040741,0.041287,0.034616,0.036121,"528,816","17,531,800"
electrifyasia,"Jun 14, 2018",0.040337,0.044657,0.034870,0.040332,"887,630","17,282,400"
electrifyasia,"Jun 13, 2018",0.046649,0.047483,0.039892,0.040265,"314,779","19,986,700"
electrifyasia,"Jun 12, 2018",0.049265,0.050857,0.043848,0.045864,"296,852","20,615,200"
electrifyasia,"Jun 11, 2018",0.045417,0.052778,0.044645,0.049717,"380,100","19,004,900"
electrifyasia,"Jun 10, 2018",0.056928,0.056928,0.044612,0.045522,"692,287","23,821,800"
electrifyasia,"Jun 09, 2018",0.059331,0.060268,0.056499,0.056845,"406,280","24,827,100"
electrifyasia,"Jun 08, 2018",0.058502,0.060599,0.056879,0.059492,"376,697","24,480,300"
electrifyasia,"Jun 07, 2018",0.058522,0.061261,0.055455,0.058191,"417,023","24,450,700"
electrifyasia,"Jun 06, 2018",0.062091,0.062283,0.055745,0.058520,"685,387","25,942,100"
electrifyasia,"Jun 05, 2018",0.063928,0.064480,0.056765,0.062227,"751,864","26,754,000"
electrifyasia,"Jun 04, 2018",0.073488,0.073876,0.060947,0.064041,"792,171","30,534,700"
electrifyasia,"Jun 03, 2018",0.071183,0.079729,0.071183,0.074083,"611,752","29,576,900"
electrifyasia,"Jun 02, 2018",0.078508,0.080973,0.069996,0.071346,"1,144,660","32,311,200"
electrifyasia,"Jun 01, 2018",0.074532,0.095414,0.071657,0.077762,"1,648,490","30,674,700"
electrifyasia,"May 31, 2018",0.066338,0.078128,0.065633,0.074437,"572,662","27,302,700"
electrifyasia,"May 30, 2018",0.065176,0.068881,0.063628,0.066472,"432,598","26,824,400"
electrifyasia,"May 29, 2018",0.058800,0.066923,0.058416,0.065151,"558,058","24,200,100"
electrifyasia,"May 28, 2018",0.065700,0.069261,0.058441,0.058999,"481,536","27,040,200"
electrifyasia,"May 27, 2018",0.069658,0.069658,0.064337,0.065908,"384,037","28,669,100"
electrifyasia,"May 26, 2018",0.072720,0.073155,0.066699,0.069633,"469,348","29,929,000"
electrifyasia,"May 25, 2018",0.075353,0.083197,0.069377,0.072774,"627,154","31,012,600"
electrifyasia,"May 24, 2018",0.072094,0.077795,0.071529,0.075135,"592,863","29,671,700"
electrifyasia,"May 23, 2018",0.093450,0.093537,0.070519,0.072496,"1,405,030","35,161,400"
electrifyasia,"May 22, 2018",0.089554,0.127502,0.082505,0.093930,"2,071,290","33,605,700"
electrifyasia,"May 21, 2018",0.096306,0.100041,0.079849,0.089962,"1,313,370","35,513,600"
electrifyasia,"May 20, 2018",0.105368,0.105368,0.093855,0.096183,"632,552","38,756,600"
electrifyasia,"May 19, 2018",0.106969,0.109222,0.103937,0.105286,"121,156","39,345,500"
electrifyasia,"May 18, 2018",0.111085,0.111579,0.101934,0.106833,"349,218","40,859,200"
electrifyasia,"May 17, 2018",0.117297,0.123936,0.108727,0.111020,"236,136","43,144,400"
electrifyasia,"May 16, 2018",0.122703,0.137121,0.110744,0.117151,"853,877","45,132,800"
electrifyasia,"May 15, 2018",0.121504,0.124356,0.113498,0.123034,"676,968","44,691,900"
electrifyasia,"May 14, 2018",0.125457,0.129095,0.115815,0.121866,"249,343","46,135,600"
electrifyasia,"May 13, 2018",0.121725,0.131485,0.118325,0.125490,"317,320","44,763,400"
electrifyasia,"May 12, 2018",0.117586,0.142651,0.112256,0.121865,"613,934","43,241,300"
electrifyasia,"May 11, 2018",0.138782,0.142728,0.117811,0.117811,"708,659","49,647,900"
electrifyasia,"May 10, 2018",0.146270,0.149108,0.137930,0.139252,"769,451","52,326,600"
electrifyasia,"May 09, 2018",0.144330,0.154609,0.139064,0.145865,"1,048,810","51,632,800"
electrifyasia,"May 08, 2018",0.151896,0.154573,0.141832,0.144584,"597,721","54,339,300"
electrifyasia,"May 07, 2018",0.160644,0.161013,0.137404,0.150689,"464,901","57,468,800"
electrifyasia,"May 06, 2018",0.166572,0.168341,0.145944,0.160542,"370,668","59,490,900"
electrifyasia,"May 05, 2018",0.167990,0.184287,0.161163,0.166571,"861,863","59,997,400"
electrifyasia,"May 04, 2018",0.170159,0.185915,0.160564,0.167877,"1,481,190","60,771,900"
electrifyasia,"May 03, 2018",0.158665,0.173041,0.153223,0.170622,"1,303,270","56,666,900"
electrifyasia,"May 02, 2018",0.144592,0.164027,0.140753,0.158668,"1,168,640","51,640,600"
electrifyasia,"May 01, 2018",0.149509,0.150457,0.135850,0.145004,"773,323","53,396,900"
electrifyasia,"Apr 30, 2018",0.167280,0.170453,0.144323,0.150141,"1,021,610","59,743,800"
electrifyasia,"Apr 29, 2018",0.160742,0.172661,0.150992,0.167386,"1,073,590","57,408,500"
electrifyasia,"Apr 28, 2018",0.168673,0.179220,0.156276,0.161242,"1,035,630","60,125,800"
electrifyasia,"Apr 27, 2018",0.195148,0.207647,0.162244,0.168295,"2,097,390","69,592,800"
electrifyasia,"Apr 26, 2018",0.169617,0.196798,0.165070,0.196167,"2,262,650","57,292,600"
electrifyasia,"Apr 25, 2018",0.156807,0.191047,0.130127,0.167838,"3,486,610","52,937,100"
electrifyasia,"Apr 24, 2018",0.133494,0.158995,0.130739,0.158752,"2,246,540","45,066,700"
electrifyasia,"Apr 23, 2018",0.105371,0.134234,0.105335,0.134067,"2,548,380","33,991,900"
electrifyasia,"Apr 22, 2018",0.102070,0.108083,0.097124,0.105745,"1,692,900","32,589,300"
electrifyasia,"Apr 21, 2018",0.100945,0.102060,0.091965,0.102060,"1,648,100","32,230,100"
electrifyasia,"Apr 20, 2018",0.087300,0.100467,0.081244,0.100467,"1,755,350","26,342,300"
electrifyasia,"Apr 19, 2018",0.081144,0.087306,0.078010,0.087306,"1,349,510","24,484,800"
electrifyasia,"Apr 18, 2018",0.074634,0.082389,0.074501,0.081055,"1,250,870","22,257,200"
electrifyasia,"Apr 17, 2018",0.081599,0.082061,0.074469,0.074507,"1,088,300","24,334,300"
electrifyasia,"Apr 16, 2018",0.086000,0.087781,0.077508,0.081506,"1,471,210","25,646,900"
electrifyasia,"Apr 15, 2018",0.076294,0.087442,0.076294,0.085617,"1,663,790","22,752,200"
electrifyasia,"Apr 14, 2018",0.079803,0.081576,0.070411,0.076060,"1,395,510","22,869,600"
electrifyasia,"Apr 13, 2018",0.064186,0.085509,0.061810,0.079892,"1,994,490","18,393,900"
electrifyasia,"Apr 12, 2018",0.057878,0.064383,0.053699,0.064066,"617,518","16,318,700"
electrifyasia,"Apr 11, 2018",0.058815,0.060268,0.055758,0.058131,"1,020,740","16,276,900"
electrifyasia,"Apr 10, 2018",0.051398,0.061744,0.051398,0.058647,"919,640","14,224,300"
electrifyasia,"Apr 09, 2018",0.048996,0.053490,0.048996,0.051251,"743,175","13,559,400"
electrifyasia,"Apr 08, 2018",0.049186,0.050162,0.047932,0.048843,"727,726","13,612,100"
electrifyasia,"Apr 07, 2018",0.048721,0.050558,0.047598,0.049217,"696,275","13,483,500"
electrifyasia,"Apr 06, 2018",0.050150,0.050550,0.046417,0.048583,"750,813","13,878,800"
electrifyasia,"Apr 05, 2018",0.052167,0.053075,0.049260,0.050584,"862,332","14,181,400"
electrifyasia,"Apr 04, 2018",0.058150,0.058350,0.051718,0.052077,"808,565","15,807,900"
electrifyasia,"Apr 03, 2018",0.053491,0.059412,0.053052,0.058195,"913,452","14,541,400"
electrifyasia,"Apr 02, 2018",0.055517,0.056862,0.052554,0.053412,"839,259","15,092,100"
electrifyasia,"Apr 01, 2018",0.058384,0.059059,0.051848,0.055317,"905,203","15,871,600"
electrifyasia,"Mar 31, 2018",0.058386,0.065777,0.057621,0.058362,"971,698","15,872,000"
electrifyasia,"Mar 30, 2018",0.060060,0.063606,0.053821,0.058473,"994,495","16,327,200"
electrifyasia,"Mar 29, 2018",0.074623,0.075491,0.059864,0.060197,"1,152,880","20,286,200"
electrifyasia,"Mar 28, 2018",0.066297,0.074447,0.065176,0.074447,"1,109,390","18,022,600"
electrifyasia,"Mar 27, 2018",0.068395,0.069162,0.064306,0.066192,"942,547","18,593,100"
electrifyasia,"Mar 26, 2018",0.066404,0.071928,0.064434,0.068668,"1,113,280","17,907,500"
electrifyasia,"Mar 25, 2018",0.065651,0.068397,0.062773,0.066493,"667,507","17,704,400"
electrifyasia,"Mar 24, 2018",0.065755,0.071124,0.065318,0.066303,"752,622","17,732,700"
electrifyasia,"Mar 23, 2018",0.069379,0.070544,0.059141,0.065014,"622,693","18,621,400"
electrifyasia,"Mar 22, 2018",0.066403,0.073418,0.061039,0.069692,"271,634","17,675,300"
electrifyasia,"Mar 21, 2018",0.066956,0.073236,0.064647,0.065441,"245,223","17,814,700"
