Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
eltcoin,"Jul 02, 2018",0.003193,0.004738,0.003175,0.004517,"3,277","287,349"
eltcoin,"Jul 01, 2018",0.005226,0.005399,0.003163,0.003191,"2,096","470,351"
eltcoin,"Jun 30, 2018",0.004192,0.005236,0.003161,0.005222,"3,368","377,303"
eltcoin,"Jun 29, 2018",0.003819,0.004242,0.003337,0.004189,"2,578","343,755"
eltcoin,"Jun 28, 2018",0.004218,0.004642,0.003135,0.003818,"2,351","379,591"
eltcoin,"Jun 27, 2018",0.003247,0.004313,0.003066,0.004211,"2,377","292,262"
eltcoin,"Jun 26, 2018",0.004641,0.004660,0.003329,0.003333,"2,744","417,689"
eltcoin,"Jun 25, 2018",0.004801,0.004884,0.004218,0.004671,"1,555","432,126"
eltcoin,"Jun 24, 2018",0.005585,0.005603,0.004170,0.004820,"1,793","502,634"
eltcoin,"Jun 23, 2018",0.004816,0.005595,0.003932,0.005586,"1,226","433,436"
eltcoin,"Jun 22, 2018",0.005694,0.005694,0.003665,0.004813,"3,034","512,473"
eltcoin,"Jun 21, 2018",0.005462,0.005697,0.003776,0.005696,"3,251","491,539"
eltcoin,"Jun 20, 2018",0.005839,0.005909,0.004052,0.005463,"2,795","525,553"
eltcoin,"Jun 19, 2018",0.004686,0.006176,0.003714,0.005836,"1,759","421,764"
eltcoin,"Jun 18, 2018",0.006422,0.006426,0.003985,0.004689,"4,321","577,981"
eltcoin,"Jun 17, 2018",0.005815,0.006804,0.005677,0.006424,"2,669","523,328"
eltcoin,"Jun 16, 2018",0.005910,0.005985,0.005517,0.005812,"4,196","531,891"
eltcoin,"Jun 15, 2018",0.006248,0.006274,0.002733,0.005928,"5,144","562,321"
eltcoin,"Jun 14, 2018",0.005709,0.006324,0.005339,0.006250,"1,724","513,824"
eltcoin,"Jun 13, 2018",0.005606,0.005950,0.005120,0.005698,"1,749","504,584"
eltcoin,"Jun 12, 2018",0.006155,0.006165,0.005113,0.005589,"3,064","553,910"
eltcoin,"Jun 11, 2018",0.006523,0.006941,0.004839,0.006153,"2,934","587,047"
eltcoin,"Jun 10, 2018",0.006974,0.006974,0.004960,0.006512,"2,869","627,674"
eltcoin,"Jun 09, 2018",0.006375,0.007478,0.005132,0.006963,"3,497","573,781"
eltcoin,"Jun 08, 2018",0.007709,0.007725,0.005515,0.006374,"2,466","693,835"
eltcoin,"Jun 07, 2018",0.008339,0.008365,0.006600,0.007696,"4,579","750,476"
eltcoin,"Jun 06, 2018",0.007778,0.008386,0.006216,0.008340,"2,408","700,036"
eltcoin,"Jun 05, 2018",0.007995,0.009205,0.007089,0.007793,"1,659","719,506"
eltcoin,"Jun 04, 2018",0.007609,0.008838,0.006390,0.007994,"2,801","684,837"
eltcoin,"Jun 03, 2018",0.007419,0.007951,0.007274,0.007616,"4,208","667,749"
eltcoin,"Jun 02, 2018",0.008208,0.009845,0.006801,0.007428,"3,391","738,730"
eltcoin,"Jun 01, 2018",0.006099,0.010541,0.006035,0.008210,"1,626","548,950"
eltcoin,"May 31, 2018",0.007287,0.008880,0.005858,0.006089,"4,330","655,852"
eltcoin,"May 30, 2018",0.008166,0.008264,0.002536,0.007293,"2,724","734,900"
eltcoin,"May 29, 2018",0.006870,0.008682,0.003135,0.008160,"3,401","618,286"
eltcoin,"May 28, 2018",0.006851,0.008896,0.006634,0.006875,"7,022","616,617"
eltcoin,"May 27, 2018",0.007942,0.009431,0.006667,0.006850,"2,669","714,743"
eltcoin,"May 26, 2018",0.008624,0.008624,0.007554,0.007935,"1,124","776,204"
eltcoin,"May 25, 2018",0.008181,0.009155,0.008043,0.008636,"1,140","736,316"
eltcoin,"May 24, 2018",0.008658,0.009998,0.008076,0.008167,"2,094","779,198"
eltcoin,"May 23, 2018",0.009385,0.010203,0.008131,0.008680,"2,655","844,634"
eltcoin,"May 22, 2018",0.012927,0.012934,0.009306,0.009396,"2,540","1,163,470"
eltcoin,"May 21, 2018",0.012837,0.014016,0.011180,0.012932,"3,223","1,155,340"
eltcoin,"May 20, 2018",0.012204,0.013020,0.010895,0.012821,"4,351","1,098,320"
eltcoin,"May 19, 2018",0.010718,0.013706,0.007278,0.012194,"3,078","964,586"
eltcoin,"May 18, 2018",0.009549,0.012362,0.009375,0.010718,630,"859,424"
eltcoin,"May 17, 2018",0.015207,0.015359,0.009486,0.009550,"5,711","1,368,640"
eltcoin,"May 16, 2018",0.011400,0.015265,0.010118,0.015196,"9,755","1,025,980"
eltcoin,"May 15, 2018",0.012571,0.012793,0.011080,0.011404,"2,011","1,131,360"
eltcoin,"May 14, 2018",0.012764,0.013733,0.011458,0.012591,"1,829","1,148,800"
eltcoin,"May 13, 2018",0.012216,0.012946,0.011575,0.012769,"1,164","1,099,470"
eltcoin,"May 12, 2018",0.012858,0.013106,0.012032,0.012224,"3,843","1,157,260"
eltcoin,"May 11, 2018",0.012474,0.013884,0.011718,0.012895,"1,408","1,122,660"
eltcoin,"May 10, 2018",0.014498,0.015173,0.012448,0.012460,"2,009","1,304,870"
eltcoin,"May 09, 2018",0.013971,0.018600,0.013419,0.014500,"5,247","1,257,380"
eltcoin,"May 08, 2018",0.014578,0.015924,0.011598,0.013992,"2,835","1,312,030"
eltcoin,"May 07, 2018",0.016006,0.016216,0.013758,0.014520,"2,347","1,440,580"
eltcoin,"May 06, 2018",0.014886,0.016170,0.012833,0.015995,"4,671","1,339,730"
eltcoin,"May 05, 2018",0.016622,0.017959,0.014719,0.014877,"8,507","1,495,990"
eltcoin,"May 04, 2018",0.016694,0.017879,0.016391,0.016617,"1,489","1,502,490"
eltcoin,"May 03, 2018",0.017464,0.017762,0.016202,0.016717,"2,876","1,571,720"
eltcoin,"May 02, 2018",0.016263,0.017661,0.015913,0.017463,"4,107","1,463,670"
eltcoin,"May 01, 2018",0.017207,0.017234,0.015048,0.016297,"2,339","1,548,600"
eltcoin,"Apr 30, 2018",0.017184,0.017989,0.016333,0.017180,"2,325","1,546,610"
eltcoin,"Apr 29, 2018",0.017802,0.019465,0.016255,0.017189,"1,854","1,602,160"
eltcoin,"Apr 28, 2018",0.020202,0.020704,0.016706,0.017808,"2,631","1,818,210"
eltcoin,"Apr 27, 2018",0.016549,0.020480,0.015388,0.020275,"7,735","1,489,440"
eltcoin,"Apr 26, 2018",0.016135,0.021747,0.013808,0.016526,"4,116","1,452,190"
eltcoin,"Apr 25, 2018",0.017951,0.020443,0.013606,0.016002,"8,872","1,615,550"
eltcoin,"Apr 24, 2018",0.014777,0.018469,0.014728,0.018017,"3,531","1,329,930"
eltcoin,"Apr 23, 2018",0.015701,0.016615,0.012668,0.014770,"6,745","1,413,070"
eltcoin,"Apr 22, 2018",0.013187,0.016138,0.011732,0.015754,"3,339","1,186,780"
eltcoin,"Apr 21, 2018",0.015224,0.017781,0.012837,0.013187,"1,522","1,370,130"
eltcoin,"Apr 20, 2018",0.017351,0.017852,0.013856,0.015225,"6,518","1,561,610"
eltcoin,"Apr 19, 2018",0.013806,0.017367,0.013203,0.017367,"2,830","1,242,550"
eltcoin,"Apr 18, 2018",0.010897,0.015849,0.010609,0.013796,"11,401","980,716"
eltcoin,"Apr 17, 2018",0.017948,0.017967,0.010888,0.010888,"7,077","1,615,330"
eltcoin,"Apr 16, 2018",0.012554,0.017952,0.011948,0.017944,"1,199","1,129,890"
eltcoin,"Apr 15, 2018",0.017253,0.017560,0.010359,0.012546,"10,133","1,552,800"
eltcoin,"Apr 14, 2018",0.016882,0.017601,0.011210,0.017256,"4,132","1,519,370"
eltcoin,"Apr 13, 2018",0.016930,0.017126,0.014827,0.016882,521,"1,523,690"
eltcoin,"Apr 12, 2018",0.012701,0.016978,0.012309,0.016907,"2,839","1,143,110"
eltcoin,"Apr 11, 2018",0.014280,0.014935,0.012182,0.012755,"3,063","1,285,190"
eltcoin,"Apr 10, 2018",0.011677,0.014372,0.011244,0.014257,"1,129","1,050,930"
eltcoin,"Apr 09, 2018",0.011786,0.012654,0.011159,0.011645,"2,460","1,060,750"
eltcoin,"Apr 08, 2018",0.010732,0.011809,0.010655,0.011765,862,"965,842"
eltcoin,"Apr 07, 2018",0.009838,0.010732,0.009348,0.010732,"1,585","885,405"
eltcoin,"Apr 06, 2018",0.010571,0.010946,0.009422,0.009835,316,"951,401"
eltcoin,"Apr 05, 2018",0.009474,0.011743,0.009190,0.010618,"2,219","852,631"
eltcoin,"Apr 04, 2018",0.013517,0.013517,0.008579,0.009475,"1,741","1,216,540"
eltcoin,"Apr 03, 2018",0.011101,0.013540,0.010068,0.013514,"1,786","999,065"
eltcoin,"Apr 02, 2018",0.011604,0.011960,0.009387,0.011092,"2,532","1,044,320"
eltcoin,"Apr 01, 2018",0.012245,0.012344,0.010625,0.011548,"1,159","1,102,070"
eltcoin,"Mar 31, 2018",0.009699,0.012345,0.009446,0.012243,"1,777","872,940"
eltcoin,"Mar 30, 2018",0.011043,0.011196,0.009204,0.009705,"1,933","993,907"
eltcoin,"Mar 29, 2018",0.013136,0.013166,0.009807,0.010047,"1,295","1,182,240"
eltcoin,"Mar 28, 2018",0.014399,0.014922,0.013109,0.013119,471,"1,295,910"
eltcoin,"Mar 27, 2018",0.017431,0.017709,0.013093,0.014397,"3,189","1,568,830"
eltcoin,"Mar 26, 2018",0.014074,0.017920,0.013997,0.017453,"1,767","1,266,690"
eltcoin,"Mar 25, 2018",0.014795,0.015887,0.014032,0.014091,438,"1,331,570"
eltcoin,"Mar 24, 2018",0.014915,0.015534,0.013239,0.014989,898,"1,342,310"
eltcoin,"Mar 23, 2018",0.014665,0.018355,0.014027,0.014701,704,"1,319,830"
eltcoin,"Mar 22, 2018",0.014720,0.020569,0.014392,0.014666,"1,789","1,324,780"
eltcoin,"Mar 21, 2018",0.015358,0.020292,0.014733,0.014733,"3,696","1,382,210"
eltcoin,"Mar 20, 2018",0.016853,0.017642,0.014991,0.015291,"3,983","1,516,740"
eltcoin,"Mar 19, 2018",0.014735,0.016749,0.013717,0.016706,"2,880","1,326,130"
eltcoin,"Mar 18, 2018",0.018122,0.018122,0.010739,0.014797,"1,524","1,630,970"
eltcoin,"Mar 17, 2018",0.017467,0.018794,0.015405,0.018165,"1,537","1,572,010"
eltcoin,"Mar 16, 2018",0.020303,0.020512,0.015886,0.017451,"7,376","1,827,230"
eltcoin,"Mar 15, 2018",0.017118,0.021653,0.016071,0.020325,"2,177","1,540,630"
eltcoin,"Mar 14, 2018",0.024700,0.025232,0.016589,0.017116,"6,467","2,222,980"
eltcoin,"Mar 13, 2018",0.022099,0.025685,0.018986,0.024691,"30,184","1,988,870"
eltcoin,"Mar 12, 2018",0.024428,0.025652,0.020832,0.022190,453,"2,198,480"
eltcoin,"Mar 11, 2018",0.019712,0.024811,0.019117,0.024501,899,"1,774,080"
eltcoin,"Mar 10, 2018",0.023979,0.026250,0.019776,0.019776,"2,684","2,158,130"
eltcoin,"Mar 09, 2018",0.018318,0.024064,0.016650,0.023983,"3,015","1,648,610"
eltcoin,"Mar 08, 2018",0.020951,0.022187,0.014333,0.019104,"2,202","1,885,580"
eltcoin,"Mar 07, 2018",0.021841,0.024671,0.012941,0.020983,"6,104","1,965,670"
eltcoin,"Mar 06, 2018",0.023836,0.023836,0.016353,0.021852,"10,264","2,145,200"
eltcoin,"Mar 05, 2018",0.024043,0.026604,0.023409,0.023880,"5,935","2,163,860"
eltcoin,"Mar 04, 2018",0.027477,0.030737,0.022800,0.024047,"6,093","2,472,900"
eltcoin,"Mar 03, 2018",0.026628,0.030435,0.021251,0.027521,"2,231","2,396,550"
eltcoin,"Mar 02, 2018",0.029727,0.030224,0.026101,0.026657,"5,974","2,675,430"
eltcoin,"Mar 01, 2018",0.023784,0.032057,0.021375,0.029780,"9,301","2,140,540"
eltcoin,"Feb 28, 2018",0.028801,0.029448,0.022583,0.023772,"4,352","2,592,060"
eltcoin,"Feb 27, 2018",0.029390,0.029911,0.026114,0.028807,"2,575","2,645,100"
eltcoin,"Feb 26, 2018",0.028798,0.033872,0.023787,0.029308,"7,461","2,591,800"
