Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
elysium,"Jul 02, 2018",0.003681,0.003856,0.003643,0.003832,10,"46,965"
elysium,"Jul 01, 2018",0.002874,0.003927,0.002850,0.003681,584,"36,660"
elysium,"Jun 30, 2018",0.003129,0.003153,0.002844,0.002874,61,"39,900"
elysium,"Jun 29, 2018",0.002993,0.003021,0.002959,0.003012,3,"38,142"
elysium,"Jun 28, 2018",0.004171,0.004183,0.002974,0.002991,3,"53,127"
elysium,"Jun 27, 2018",0.003709,0.004190,0.003685,0.004170,35,"47,220"
elysium,"Jun 26, 2018",0.003874,0.003882,0.002906,0.003711,41,"49,300"
elysium,"Jun 25, 2018",0.003444,0.003916,0.003436,0.003874,21,"43,816"
elysium,"Jun 24, 2018",0.003515,0.003566,0.003293,0.003451,5,"44,697"
elysium,"Jun 23, 2018",0.003118,0.003556,0.002817,0.003515,48,"39,646"
elysium,"Jun 22, 2018",0.003492,0.003498,0.003290,0.003313,14,"44,362"
elysium,"Jun 21, 2018",0.003842,0.003842,0.003482,0.003495,17,"48,798"
elysium,"Jun 20, 2018",0.004458,0.004463,0.004347,0.004375,10,"56,599"
elysium,"Jun 19, 2018",0.004711,0.004723,0.004366,0.004456,11,"59,794"
elysium,"Jun 18, 2018",0.003627,0.004724,0.003343,0.004714,103,"46,023"
elysium,"Jun 17, 2018",0.004439,0.004472,0.003628,0.003640,5,"56,303"
elysium,"Jun 16, 2018",0.004303,0.004470,0.003402,0.004427,56,"54,554"
elysium,"Jun 15, 2018",0.004651,0.004656,0.003307,0.004319,11,"58,943"
elysium,"Jun 14, 2018",0.004740,0.005015,0.003834,0.004658,3,"60,052"
elysium,"Jun 13, 2018",0.005201,0.005232,0.003500,0.004742,54,"65,871"
elysium,"Jun 12, 2018",0.005303,0.005303,0.003513,0.005187,119,"67,156"
elysium,"Jun 11, 2018",0.005353,0.005386,0.003773,0.005306,75,"67,760"
elysium,"Jun 10, 2018",0.005929,0.005929,0.005253,0.005345,19,"75,031"
elysium,"Jun 09, 2018",0.006025,0.006070,0.005598,0.005922,76,"76,214"
elysium,"Jun 08, 2018",0.005685,0.006055,0.005216,0.006028,467,"71,880"
elysium,"Jun 07, 2018",0.005743,0.005811,0.005301,0.005681,12,"72,577"
elysium,"Jun 06, 2018",0.005870,0.005961,0.004951,0.005737,92,"74,167"
elysium,"Jun 05, 2018",0.004651,0.005959,0.004651,0.005872,270,"58,742"
elysium,"Jun 04, 2018",0.005396,0.005411,0.004642,0.004649,34,"68,121"
elysium,"Jun 03, 2018",0.005268,0.005408,0.004537,0.005394,115,"66,473"
elysium,"Jun 02, 2018",0.005337,0.005341,0.004265,0.005267,18,"67,305"
elysium,"Jun 01, 2018",0.004944,0.005351,0.003756,0.005339,143,"62,325"
elysium,"May 31, 2018",0.004577,0.005009,0.003536,0.004941,87,"57,666"
elysium,"May 30, 2018",0.005897,0.005965,0.003506,0.004578,34,"74,226"
elysium,"May 29, 2018",0.006122,0.006628,0.003044,0.005893,293,"76,996"
elysium,"May 28, 2018",0.002938,0.006240,0.002934,0.006124,435,"36,928"
elysium,"May 27, 2018",0.003285,0.004339,0.002916,0.002937,44,"41,259"
elysium,"May 26, 2018",0.004481,0.004574,0.004435,0.004522,7,"56,201"
elysium,"May 25, 2018",0.004689,0.004744,0.004430,0.004487,7,"58,750"
elysium,"May 24, 2018",0.004061,0.005017,0.003363,0.004680,106,"50,830"
elysium,"May 23, 2018",0.005122,0.006053,0.004038,0.004071,26,"20,515"
elysium,"May 22, 2018",0.007062,0.007068,0.005099,0.005128,193,"28,285"
elysium,"May 21, 2018",0.007334,0.007378,0.005528,0.007064,52,"29,371"
elysium,"May 20, 2018",0.007174,0.007381,0.005758,0.007324,3,"28,730"
elysium,"May 19, 2018",0.007250,0.007280,0.007143,0.007168,20,"29,037"
elysium,"May 18, 2018",0.007028,0.007278,0.005590,0.007251,11,"28,147"
elysium,"May 17, 2018",0.007096,0.007430,0.005756,0.007022,45,"28,420"
elysium,"May 16, 2018",0.006025,0.007092,0.005214,0.007092,190,"24,131"
elysium,"May 15, 2018",0.006332,0.007320,0.005286,0.006029,218,"25,361"
elysium,"May 14, 2018",0.005996,0.006466,0.004423,0.006343,551,"24,015"
elysium,"May 13, 2018",0.003980,0.006018,0.003933,0.005997,"1,097","15,939"
