Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
emerald,"Jul 02, 2018",0.007937,0.008143,0.007873,0.008126,64,"151,741"
emerald,"Jul 01, 2018",0.007026,0.007066,0.006966,0.007003,"1,032","134,318"
emerald,"Jun 30, 2018",0.007756,0.008212,0.006953,0.007024,"1,056","148,274"
emerald,"Jun 29, 2018",0.006665,0.007879,0.006595,0.007746,59,"127,425"
emerald,"Jun 27, 2018",0.006688,0.006749,0.006617,0.006735,161,"127,863"
emerald,"Jun 26, 2018",0.006873,0.007193,0.006685,0.006691,344,"131,390"
emerald,"Jun 25, 2018",0.006827,0.006947,0.006707,0.006873,49,"130,516"
emerald,"Jun 24, 2018",0.007092,0.007103,0.006528,0.006840,40,"135,573"
emerald,"Jun 23, 2018",0.006960,0.007174,0.006948,0.007093,28,"133,050"
emerald,"Jun 22, 2018",0.008058,0.008071,0.006837,0.006959,29,"154,037"
emerald,"Jun 21, 2018",0.008102,0.008138,0.008035,0.008066,12,"154,882"
emerald,"Jun 20, 2018",0.007971,0.008148,0.007772,0.008100,28,"152,380"
emerald,"Jun 19, 2018",0.007672,0.007985,0.007633,0.007966,52,"146,675"
emerald,"Jun 18, 2018",0.007567,0.007902,0.007457,0.007677,147,"144,664"
emerald,"Jun 17, 2018",0.007703,0.007761,0.007650,0.007683,4,"147,259"
emerald,"Jun 16, 2018",0.007706,0.007823,0.007509,0.007683,7,"147,326"
emerald,"Jun 15, 2018",0.007908,0.007979,0.007692,0.007735,77,"151,171"
emerald,"Jun 14, 2018",0.007646,0.008090,0.007631,0.008066,4,"146,178"
emerald,"Jun 13, 2018",0.008295,0.008345,0.007563,0.007650,39,"158,569"
emerald,"Jun 12, 2018",0.008472,0.008797,0.008198,0.008273,31,"161,954"
emerald,"Jun 11, 2018",0.008672,0.008727,0.008232,0.008476,23,"165,792"
emerald,"Jun 10, 2018",0.009382,0.009382,0.008533,0.008660,51,"179,352"
emerald,"Jun 09, 2018",0.008390,0.009572,0.008387,0.009370,146,"160,389"
emerald,"Jun 08, 2018",0.010448,0.010470,0.009538,0.009538,88,"199,740"
emerald,"Jun 07, 2018",0.009954,0.010440,0.009954,0.010440,49,"190,288"
emerald,"Jun 06, 2018",0.010216,0.010224,0.009721,0.009945,168,"195,301"
emerald,"Jun 05, 2018",0.009453,0.010237,0.009227,0.010219,107,"180,712"
emerald,"Jun 04, 2018",0.009549,0.009581,0.009339,0.009448,24,"182,548"
emerald,"Jun 03, 2018",0.009544,0.009658,0.009501,0.009635,5,"182,445"
emerald,"Jun 02, 2018",0.009922,0.010279,0.009529,0.009541,9,"189,679"
emerald,"Jun 01, 2018",0.010039,0.010173,0.009766,0.009926,20,"191,913"
emerald,"May 31, 2018",0.009967,0.010242,0.009918,0.010032,6,"190,533"
emerald,"May 30, 2018",0.009629,0.010193,0.009617,0.009968,16,"184,085"
emerald,"May 29, 2018",0.008827,0.009932,0.008797,0.009623,50,"168,746"
emerald,"May 28, 2018",0.009476,0.009561,0.007692,0.008830,620,"181,146"
emerald,"May 27, 2018",0.010122,0.010182,0.009405,0.009473,881,"193,512"
emerald,"May 26, 2018",0.010231,0.010647,0.010063,0.010118,67,"195,589"
emerald,"May 25, 2018",0.010437,0.010560,0.010084,0.010245,67,"199,518"
emerald,"May 24, 2018",0.010603,0.011196,0.010127,0.010417,92,"202,690"
emerald,"May 23, 2018",0.011125,0.011157,0.010385,0.010629,135,"212,674"
emerald,"May 22, 2018",0.011518,0.011617,0.011136,0.011136,192,"220,201"
emerald,"May 21, 2018",0.012073,0.012183,0.011372,0.011521,507,"230,802"
emerald,"May 19, 2018",0.011864,0.012049,0.011771,0.011985,9,"226,807"
emerald,"May 18, 2018",0.011875,0.012860,0.011646,0.011866,17,"227,011"
emerald,"May 17, 2018",0.011354,0.012251,0.011334,0.011864,41,"217,051"
emerald,"May 16, 2018",0.012050,0.012060,0.011097,0.011347,35,"230,368"
emerald,"May 15, 2018",0.011797,0.013670,0.011647,0.012057,776,"225,530"
emerald,"May 14, 2018",0.011210,0.012141,0.010853,0.011817,16,"214,312"
emerald,"May 13, 2018",0.012786,0.012905,0.011052,0.011213,299,"244,437"
emerald,"May 12, 2018",0.013768,0.014725,0.011777,0.012791,"1,345","263,199"
emerald,"May 11, 2018",0.013557,0.014121,0.013062,0.013808,122,"259,169"
emerald,"May 10, 2018",0.013971,0.015899,0.013175,0.013541,433,"267,081"
emerald,"May 09, 2018",0.013798,0.016427,0.013489,0.013975,144,"263,787"
emerald,"May 08, 2018",0.014050,0.014180,0.013609,0.013820,55,"268,602"
emerald,"May 07, 2018",0.015093,0.015101,0.013932,0.014021,201,"288,544"
emerald,"May 06, 2018",0.015529,0.015675,0.014828,0.015083,16,"296,876"
emerald,"May 05, 2018",0.016671,0.017229,0.014864,0.015519,99,"318,708"
emerald,"May 04, 2018",0.015206,0.017344,0.014483,0.016679,253,"290,701"
emerald,"May 03, 2018",0.012907,0.016574,0.012865,0.015212,496,"246,742"
emerald,"May 02, 2018",0.012444,0.014050,0.012312,0.012906,32,"237,896"
emerald,"May 01, 2018",0.013954,0.014485,0.012290,0.012463,120,"266,754"
emerald,"Apr 30, 2018",0.014760,0.014850,0.013870,0.013941,243,"282,176"
emerald,"Apr 29, 2018",0.014859,0.015145,0.013890,0.014765,54,"284,067"
emerald,"Apr 28, 2018",0.013908,0.014961,0.013873,0.014865,162,"265,888"
emerald,"Apr 27, 2018",0.014504,0.014619,0.013956,0.013956,39,"277,265"
emerald,"Apr 26, 2018",0.013383,0.014516,0.013056,0.014483,42,"255,846"
emerald,"Apr 25, 2018",0.014547,0.014930,0.013255,0.013273,31,"278,098"
emerald,"Apr 24, 2018",0.014012,0.015700,0.013843,0.014647,"4,445","267,872"
emerald,"Apr 23, 2018",0.013874,0.014010,0.013331,0.014000,197,"265,236"
emerald,"Apr 22, 2018",0.013928,0.014550,0.013736,0.013902,25,"266,266"
emerald,"Apr 21, 2018",0.013351,0.014045,0.013249,0.013928,71,"255,238"
emerald,"Apr 20, 2018",0.013313,0.013767,0.012814,0.013347,160,"254,502"
emerald,"Apr 19, 2018",0.013390,0.013390,0.010973,0.013304,"1,401","255,969"
emerald,"Apr 18, 2018",0.011291,0.013464,0.011280,0.013380,25,"215,860"
emerald,"Apr 17, 2018",0.011430,0.011634,0.011244,0.011281,40,"218,514"
emerald,"Apr 16, 2018",0.011934,0.012702,0.011204,0.011425,244,"228,139"
emerald,"Apr 15, 2018",0.012322,0.013728,0.011829,0.011939,52,"235,559"
emerald,"Apr 14, 2018",0.012036,0.013891,0.011276,0.012309,172,"230,102"
emerald,"Apr 13, 2018",0.010927,0.012226,0.010727,0.012037,181,"208,898"
emerald,"Apr 12, 2018",0.010420,0.010970,0.009426,0.010913,12,"199,192"
emerald,"Apr 11, 2018",0.010110,0.010445,0.009695,0.010445,25,"193,271"
emerald,"Apr 10, 2018",0.009194,0.010161,0.009160,0.010100,56,"175,766"
emerald,"Apr 09, 2018",0.010327,0.010540,0.008935,0.009119,460,"197,423"
emerald,"Apr 08, 2018",0.010149,0.010431,0.010149,0.010310,9,"194,025"
emerald,"Apr 07, 2018",0.010937,0.011265,0.010098,0.010140,28,"209,093"
emerald,"Apr 06, 2018",0.010368,0.010476,0.010023,0.010035,6,"198,203"
emerald,"Apr 05, 2018",0.011342,0.011414,0.010147,0.010421,6,"216,832"
emerald,"Apr 04, 2018",0.010383,0.011449,0.009099,0.011338,631,"198,492"
emerald,"Apr 03, 2018",0.009798,0.010552,0.009767,0.010390,94,"187,316"
emerald,"Apr 02, 2018",0.009541,0.009867,0.009501,0.009791,39,"182,406"
emerald,"Apr 01, 2018",0.009425,0.009559,0.008770,0.009455,47,"180,170"
emerald,"Mar 31, 2018",0.009230,0.011046,0.009203,0.009425,77,"176,454"
emerald,"Mar 30, 2018",0.010130,0.010296,0.008929,0.009229,11,"193,653"
emerald,"Mar 29, 2018",0.009927,0.010794,0.009369,0.010155,62,"189,767"
emerald,"Mar 28, 2018",0.009967,0.012478,0.009905,0.009915,25,"190,542"
emerald,"Mar 27, 2018",0.012580,0.012621,0.009957,0.009969,143,"240,500"
emerald,"Mar 26, 2018",0.012238,0.012725,0.011762,0.012599,125,"233,952"
emerald,"Mar 25, 2018",0.012585,0.012775,0.012146,0.012247,29,"240,580"
emerald,"Mar 24, 2018",0.013368,0.014339,0.012730,0.012760,325,"255,554"
emerald,"Mar 23, 2018",0.014096,0.014964,0.012556,0.013176,328,"269,478"
emerald,"Mar 22, 2018",0.012988,0.014163,0.012543,0.014096,84,"248,283"
emerald,"Mar 21, 2018",0.012110,0.014425,0.011356,0.013011,"1,075","231,506"
emerald,"Mar 20, 2018",0.011814,0.012344,0.011435,0.012088,107,"225,846"
emerald,"Mar 19, 2018",0.011794,0.012498,0.011437,0.011683,113,"225,468"
emerald,"Mar 18, 2018",0.009464,0.012172,0.008776,0.011844,"2,363","180,922"
emerald,"Mar 17, 2018",0.010128,0.010149,0.009297,0.009487,610,"193,613"
emerald,"Mar 16, 2018",0.010326,0.010467,0.009786,0.010111,93,"197,399"
emerald,"Mar 15, 2018",0.009848,0.011517,0.009357,0.010332,298,"188,275"
emerald,"Mar 14, 2018",0.010339,0.010576,0.008230,0.009853,"2,861","197,647"
emerald,"Mar 13, 2018",0.009452,0.011189,0.009332,0.010337,572,"180,701"
emerald,"Mar 12, 2018",0.010117,0.011485,0.009165,0.009507,141,"193,408"
emerald,"Mar 11, 2018",0.010179,0.011218,0.009806,0.010149,95,"194,599"
emerald,"Mar 10, 2018",0.009723,0.011003,0.009704,0.010214,14,"185,869"
