Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
emercoin,"Jul 02, 2018",2.93,3.22,2.88,3.18,"2,476,390","122,864,000"
emercoin,"Jul 01, 2018",2.70,3.08,2.67,2.91,"2,826,480","113,055,000"
emercoin,"Jun 30, 2018",2.56,2.75,2.53,2.69,"1,859,690","107,316,000"
emercoin,"Jun 29, 2018",2.39,2.56,2.36,2.55,"1,867,060","100,073,000"
emercoin,"Jun 28, 2018",2.40,2.42,2.36,2.37,"2,277,770","100,559,000"
emercoin,"Jun 27, 2018",2.40,2.43,2.38,2.40,"1,928,180","100,807,000"
emercoin,"Jun 26, 2018",2.42,2.43,2.38,2.41,"2,160,050","101,632,000"
emercoin,"Jun 25, 2018",2.40,2.43,2.35,2.41,"1,594,800","100,659,000"
emercoin,"Jun 24, 2018",2.53,2.54,2.37,2.40,"2,880,450","105,905,000"
emercoin,"Jun 23, 2018",2.56,2.60,2.51,2.53,"1,212,350","107,244,000"
emercoin,"Jun 22, 2018",2.72,2.75,2.55,2.56,"1,907,890","114,098,000"
emercoin,"Jun 21, 2018",2.77,2.78,2.69,2.72,"1,883,310","115,917,000"
emercoin,"Jun 20, 2018",2.70,2.82,2.68,2.79,"2,020,280","113,165,000"
emercoin,"Jun 19, 2018",2.67,2.73,2.62,2.71,"2,344,820","111,669,000"
emercoin,"Jun 18, 2018",2.64,2.75,2.56,2.67,"1,915,610","110,631,000"
emercoin,"Jun 17, 2018",2.64,2.66,2.59,2.65,"1,422,870","110,581,000"
emercoin,"Jun 16, 2018",2.62,2.72,2.59,2.63,"1,432,030","109,788,000"
emercoin,"Jun 15, 2018",2.55,2.69,2.41,2.63,"2,252,490","106,703,000"
emercoin,"Jun 14, 2018",2.47,2.56,2.40,2.54,"2,302,240","135,678,000"
emercoin,"Jun 13, 2018",2.62,2.83,2.43,2.47,"1,869,660","109,609,000"
emercoin,"Jun 12, 2018",2.35,2.64,2.28,2.60,"2,185,700","98,581,300"
emercoin,"Jun 11, 2018",2.41,2.72,2.30,2.35,"2,066,840","100,871,000"
emercoin,"Jun 10, 2018",2.53,2.62,2.30,2.40,"1,810,860","106,011,000"
emercoin,"Jun 09, 2018",2.46,2.61,2.46,2.54,"2,030,310","103,132,000"
emercoin,"Jun 08, 2018",2.52,2.53,2.37,2.47,"1,641,750","105,665,000"
emercoin,"Jun 07, 2018",2.56,2.77,2.51,2.54,"1,951,450","107,207,000"
emercoin,"Jun 06, 2018",2.41,2.59,2.32,2.58,"2,087,320","100,805,000"
emercoin,"Jun 05, 2018",2.35,2.47,2.34,2.41,"1,938,380","98,409,100"
emercoin,"Jun 04, 2018",2.34,2.44,2.23,2.37,"1,925,190","97,671,500"
