Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
encrypgen,"Jul 02, 2018",0.068206,0.076685,0.067972,0.076490,"33,514","4,243,790"
encrypgen,"Jul 01, 2018",0.070580,0.071577,0.067802,0.068197,"17,149","4,391,460"
encrypgen,"Jun 30, 2018",0.069223,0.076372,0.068595,0.070564,"65,342","4,307,070"
encrypgen,"Jun 29, 2018",0.067762,0.069654,0.065022,0.069166,"9,499","4,216,160"
encrypgen,"Jun 28, 2018",0.075614,0.075746,0.067518,0.067744,"51,828","4,704,690"
encrypgen,"Jun 27, 2018",0.070030,0.076243,0.068517,0.075595,"148,570","4,357,240"
encrypgen,"Jun 26, 2018",0.071448,0.079525,0.069373,0.070057,"26,133","4,445,490"
encrypgen,"Jun 25, 2018",0.072451,0.077707,0.068412,0.071452,"21,746","4,507,880"
encrypgen,"Jun 24, 2018",0.073271,0.077877,0.065930,0.072567,"39,256","4,558,880"
encrypgen,"Jun 23, 2018",0.073185,0.077361,0.068551,0.073306,"36,343","4,553,570"
encrypgen,"Jun 22, 2018",0.085623,0.086005,0.072051,0.073246,"66,797","5,327,480"
encrypgen,"Jun 21, 2018",0.088284,0.090196,0.082217,0.085670,"58,480","5,493,000"
encrypgen,"Jun 20, 2018",0.083126,0.102507,0.081203,0.088295,"235,369","5,172,070"
encrypgen,"Jun 19, 2018",0.083816,0.088963,0.081369,0.082575,"62,585","5,215,040"
encrypgen,"Jun 18, 2018",0.081001,0.087488,0.078941,0.083849,"64,778","5,039,840"
encrypgen,"Jun 17, 2018",0.085626,0.088062,0.080993,0.081157,"12,271","5,327,670"
encrypgen,"Jun 16, 2018",0.086799,0.088418,0.082120,0.085447,"30,404","5,400,640"
encrypgen,"Jun 15, 2018",0.087256,0.090363,0.085033,0.086895,"21,297","5,429,080"
encrypgen,"Jun 14, 2018",0.079997,0.087808,0.078714,0.087304,"45,253","4,977,410"
encrypgen,"Jun 13, 2018",0.084720,0.090778,0.076861,0.079970,"374,927","5,271,300"
encrypgen,"Jun 12, 2018",0.088130,0.090287,0.078047,0.084605,"107,964","5,483,420"
encrypgen,"Jun 11, 2018",0.093756,0.096534,0.080275,0.087729,"186,313","5,833,510"
encrypgen,"Jun 10, 2018",0.103673,0.107381,0.091355,0.093673,"281,817","6,450,540"
encrypgen,"Jun 09, 2018",0.104418,0.106542,0.102403,0.102403,"20,481","6,496,860"
encrypgen,"Jun 08, 2018",0.108195,0.108284,0.102420,0.104430,"35,071","6,731,860"
encrypgen,"Jun 07, 2018",0.106599,0.111901,0.105939,0.108144,"44,919","6,632,600"
encrypgen,"Jun 06, 2018",0.113194,0.113690,0.104573,0.106553,"73,537","7,042,980"
encrypgen,"Jun 05, 2018",0.103957,0.113561,0.100819,0.113234,"131,204","6,468,220"
encrypgen,"Jun 04, 2018",0.107587,0.111364,0.099425,0.104789,"73,449","6,694,080"
encrypgen,"Jun 03, 2018",0.105102,0.112074,0.103664,0.107570,"75,899","6,539,480"
encrypgen,"Jun 02, 2018",0.100727,0.106344,0.100727,0.104030,"61,907","6,267,300"
encrypgen,"Jun 01, 2018",0.101981,0.117485,0.100233,0.101177,"87,318","6,345,300"
encrypgen,"May 31, 2018",0.103637,0.107731,0.099222,0.101934,"148,965","6,448,360"
encrypgen,"May 30, 2018",0.116937,0.122121,0.086941,0.103552,"316,822","7,275,880"
encrypgen,"May 29, 2018",0.104492,0.122301,0.104459,0.116883,"386,603","6,501,510"
encrypgen,"May 28, 2018",0.128336,0.131004,0.102633,0.104536,"177,367","7,985,110"
encrypgen,"May 27, 2018",0.125465,0.132419,0.121548,0.128299,"269,444","7,806,480"
encrypgen,"May 26, 2018",0.122944,0.129853,0.122888,0.125453,"78,904","7,649,610"
encrypgen,"May 25, 2018",0.131894,0.133093,0.121675,0.122983,"218,288","8,206,480"
encrypgen,"May 24, 2018",0.144138,0.144608,0.126679,0.131940,"351,993","8,968,340"
encrypgen,"May 23, 2018",0.173900,0.181885,0.133393,0.145049,"340,985","10,820,100"
encrypgen,"May 22, 2018",0.142951,0.197374,0.140663,0.173956,"1,069,740","8,858,750"
encrypgen,"May 21, 2018",0.154394,0.161709,0.140644,0.143174,"178,711","9,567,830"
encrypgen,"May 20, 2018",0.149439,0.159932,0.139536,0.154238,"106,304","9,260,780"
encrypgen,"May 19, 2018",0.159130,0.169103,0.148458,0.149278,"491,429","9,861,320"
encrypgen,"May 18, 2018",0.152832,0.166878,0.148046,0.159099,"133,689","9,471,190"
encrypgen,"May 17, 2018",0.165153,0.180031,0.144569,0.152757,"109,821","10,234,700"
encrypgen,"May 16, 2018",0.184472,0.184472,0.156175,0.165072,"169,965","11,379,400"
encrypgen,"May 15, 2018",0.170265,0.208356,0.168891,0.184528,"218,773","10,503,000"
encrypgen,"May 14, 2018",0.185680,0.187831,0.153098,0.166597,"234,771","11,442,800"
encrypgen,"May 13, 2018",0.191730,0.193807,0.171829,0.184767,"49,147","11,805,100"
encrypgen,"May 12, 2018",0.188483,0.193788,0.165460,0.191799,"147,212","11,586,200"
encrypgen,"May 11, 2018",0.221133,0.221133,0.185442,0.188851,"88,601","13,593,300"
encrypgen,"May 10, 2018",0.239129,0.242082,0.220747,0.221085,"129,602","14,699,500"
encrypgen,"May 09, 2018",0.244125,0.244200,0.223204,0.239150,"171,684","15,006,600"
encrypgen,"May 08, 2018",0.248053,0.253568,0.227932,0.244341,"85,894","15,248,000"
encrypgen,"May 07, 2018",0.263637,0.268711,0.232577,0.247710,"122,176","16,206,000"
encrypgen,"May 06, 2018",0.271049,0.288985,0.257355,0.264484,"270,629","16,682,500"
encrypgen,"May 05, 2018",0.254422,0.283351,0.254151,0.272135,"267,630","15,659,100"
encrypgen,"May 04, 2018",0.254354,0.260841,0.240977,0.254455,"129,760","15,754,100"
encrypgen,"May 03, 2018",0.245653,0.270797,0.239653,0.254434,"169,725","15,215,200"
encrypgen,"May 02, 2018",0.235390,0.272053,0.232557,0.245649,"255,874","14,579,500"
encrypgen,"May 01, 2018",0.230597,0.243519,0.224731,0.235638,"211,146","14,282,700"
encrypgen,"Apr 30, 2018",0.264139,0.307382,0.229847,0.230419,"406,631","16,360,300"
encrypgen,"Apr 29, 2018",0.235900,0.270812,0.229396,0.255788,"297,676","14,611,200"
encrypgen,"Apr 28, 2018",0.226771,0.250715,0.222288,0.235691,"234,918","14,045,800"
encrypgen,"Apr 27, 2018",0.237556,0.251306,0.227325,0.227325,"158,871","14,713,800"
encrypgen,"Apr 26, 2018",0.237688,0.254145,0.218611,0.237354,"229,952","14,722,000"
encrypgen,"Apr 25, 2018",0.276154,0.276154,0.216033,0.236472,"186,180","17,104,500"
encrypgen,"Apr 24, 2018",0.250202,0.296117,0.239223,0.277247,"507,580","15,497,100"
encrypgen,"Apr 23, 2018",0.252152,0.292368,0.252068,0.252986,"224,032","15,617,900"
encrypgen,"Apr 22, 2018",0.229554,0.345028,0.224346,0.252271,"585,243","14,218,200"
encrypgen,"Apr 21, 2018",0.240038,0.267530,0.210961,0.230877,"387,328","14,867,600"
encrypgen,"Apr 20, 2018",0.224735,0.240534,0.216301,0.240002,"189,188","13,919,700"
encrypgen,"Apr 19, 2018",0.214693,0.227213,0.206966,0.221155,"118,683","13,297,700"
encrypgen,"Apr 18, 2018",0.208969,0.236022,0.202970,0.213529,"49,262","12,943,200"
encrypgen,"Apr 17, 2018",0.210133,0.226975,0.204275,0.208860,"58,220","13,015,300"
encrypgen,"Apr 16, 2018",0.225330,0.225330,0.194667,0.210062,"71,711","13,956,600"
encrypgen,"Apr 15, 2018",0.202502,0.233494,0.201924,0.225195,"18,445","12,542,600"
encrypgen,"Apr 14, 2018",0.205393,0.220446,0.199396,0.202330,"13,744","12,721,700"
encrypgen,"Apr 13, 2018",0.202389,0.234452,0.194934,0.205107,"61,604","12,535,600"
encrypgen,"Apr 12, 2018",0.192156,0.204274,0.161739,0.202170,"99,803","11,901,800"
encrypgen,"Apr 11, 2018",0.200004,0.202386,0.189263,0.192546,"53,720","12,387,900"
encrypgen,"Apr 10, 2018",0.195097,0.201851,0.187749,0.199803,"35,392","12,083,900"
encrypgen,"Apr 09, 2018",0.196638,0.207935,0.188284,0.194685,"21,236","12,179,400"
encrypgen,"Apr 08, 2018",0.194044,0.210094,0.193971,0.196353,"19,904","12,018,700"
encrypgen,"Apr 07, 2018",0.197342,0.208131,0.186986,0.193915,"29,239","12,223,000"
encrypgen,"Apr 06, 2018",0.204915,0.208876,0.190439,0.197173,"20,256","12,692,100"
encrypgen,"Apr 05, 2018",0.209345,0.219137,0.199538,0.205487,"44,472","12,966,400"
encrypgen,"Apr 04, 2018",0.212421,0.227584,0.183652,0.215818,"111,481","13,157,000"
encrypgen,"Apr 03, 2018",0.218754,0.222734,0.202908,0.212485,"33,696","13,549,300"
encrypgen,"Apr 02, 2018",0.188894,0.219447,0.184017,0.218598,"31,926","11,699,800"
encrypgen,"Apr 01, 2018",0.186862,0.194213,0.178868,0.188058,"17,516","11,573,900"
encrypgen,"Mar 31, 2018",0.172851,0.264250,0.172851,0.186849,"66,802","10,706,100"
encrypgen,"Mar 30, 2018",0.180759,0.185420,0.160270,0.173565,"43,155","11,195,900"
encrypgen,"Mar 29, 2018",0.227187,0.229206,0.181030,0.181065,"94,329","14,071,500"
encrypgen,"Mar 28, 2018",0.206088,0.234807,0.199640,0.226412,"53,524","12,764,800"
encrypgen,"Mar 27, 2018",0.244361,0.246859,0.206100,0.206100,"137,667","15,135,300"
encrypgen,"Mar 26, 2018",0.206284,0.296309,0.197342,0.244663,"323,140","12,776,900"
encrypgen,"Mar 25, 2018",0.202083,0.234009,0.193838,0.195747,"83,664","12,516,900"
encrypgen,"Mar 24, 2018",0.225615,0.229003,0.195563,0.203773,"72,517","13,974,400"
encrypgen,"Mar 23, 2018",0.218213,0.233522,0.192285,0.222600,"61,845","13,515,900"
encrypgen,"Mar 22, 2018",0.230321,0.243749,0.215116,0.218199,"55,159","14,265,900"
encrypgen,"Mar 21, 2018",0.225029,0.247194,0.217052,0.230470,"53,331","13,938,100"
encrypgen,"Mar 20, 2018",0.223035,0.233300,0.212964,0.224637,"84,072","13,814,600"
encrypgen,"Mar 19, 2018",0.208164,0.225279,0.192974,0.220990,"57,641","12,893,500"
encrypgen,"Mar 18, 2018",0.215240,0.216214,0.163138,0.208942,"75,419","13,331,800"
encrypgen,"Mar 17, 2018",0.224225,0.228177,0.200658,0.220987,"14,118","13,888,300"
encrypgen,"Mar 16, 2018",0.230042,0.252343,0.219211,0.224001,"68,615","14,248,600"
encrypgen,"Mar 15, 2018",0.235160,0.244739,0.211191,0.230181,"36,312","14,565,600"
encrypgen,"Mar 14, 2018",0.293920,0.348065,0.226190,0.232756,"89,326","18,205,300"
encrypgen,"Mar 13, 2018",0.301955,0.318052,0.283745,0.296201,"40,674","18,703,000"
encrypgen,"Mar 12, 2018",0.285484,0.325119,0.284896,0.303149,"71,649","17,682,800"
encrypgen,"Mar 11, 2018",0.272640,0.328568,0.269169,0.285873,"54,032","16,948,200"
encrypgen,"Mar 10, 2018",0.286737,0.330416,0.266449,0.273539,"117,229","17,824,500"
encrypgen,"Mar 09, 2018",0.251937,0.294939,0.218038,0.289379,"118,855","15,661,300"
encrypgen,"Mar 08, 2018",0.250885,0.264905,0.225038,0.251625,"79,173","15,595,900"
encrypgen,"Mar 07, 2018",0.301287,0.304732,0.229001,0.251179,"240,832","18,729,000"
encrypgen,"Mar 06, 2018",0.325933,0.345056,0.295182,0.301499,"119,867","20,261,100"
encrypgen,"Mar 05, 2018",0.339341,0.370327,0.304189,0.326435,"191,566","21,094,600"
encrypgen,"Mar 04, 2018",0.360902,0.414204,0.316860,0.339501,"266,907","22,434,900"
encrypgen,"Mar 03, 2018",0.417668,0.435549,0.349506,0.362671,"264,677","25,963,700"
encrypgen,"Mar 02, 2018",0.512259,0.548784,0.314550,0.405954,"764,487","31,843,800"
encrypgen,"Mar 01, 2018",0.560460,0.637020,0.349754,0.512496,"2,647,050","34,841,800"
encrypgen,"Feb 28, 2018",0.220536,0.552808,0.217389,0.538458,"1,111,250","13,709,900"
encrypgen,"Feb 27, 2018",0.238170,0.252300,0.219438,0.231201,"96,603","14,806,200"
encrypgen,"Feb 26, 2018",0.240406,0.264395,0.233385,0.237494,"50,053","14,945,100"
encrypgen,"Feb 25, 2018",0.239451,0.248678,0.228394,0.238506,"70,303","14,885,800"
encrypgen,"Feb 24, 2018",0.274113,0.283015,0.228512,0.239849,"72,827","17,040,600"
encrypgen,"Feb 23, 2018",0.253234,0.316595,0.251083,0.274411,"56,471","15,742,600"
encrypgen,"Feb 22, 2018",0.290894,0.297837,0.224957,0.253452,"278,616","18,083,900"
encrypgen,"Feb 21, 2018",0.311711,0.320220,0.274306,0.291063,"87,013","19,377,900"
encrypgen,"Feb 20, 2018",0.354309,0.362585,0.318946,0.321735,"56,624","22,026,100"
encrypgen,"Feb 19, 2018",0.390571,0.440668,0.348856,0.355554,"119,599","24,280,400"
encrypgen,"Feb 18, 2018",0.403546,0.431404,0.337553,0.366126,"124,366","25,087,000"
encrypgen,"Feb 17, 2018",0.327689,0.441467,0.322762,0.406633,"119,932","20,371,200"
encrypgen,"Feb 16, 2018",0.342740,0.342740,0.308656,0.328190,"49,901","21,306,900"
encrypgen,"Feb 15, 2018",0.327554,0.346176,0.315697,0.335279,"68,662","20,362,800"
encrypgen,"Feb 14, 2018",0.299082,0.337076,0.296271,0.329547,"80,964","18,592,800"
encrypgen,"Feb 13, 2018",0.328952,0.328952,0.292112,0.299430,"55,643","20,449,800"
encrypgen,"Feb 12, 2018",0.338513,0.349888,0.296877,0.328477,"128,902","21,044,100"
encrypgen,"Feb 11, 2018",0.343825,0.355852,0.296348,0.336593,"105,077","21,484,800"
encrypgen,"Feb 10, 2018",0.381608,0.400316,0.335542,0.348173,"88,655","23,845,700"
encrypgen,"Feb 09, 2018",0.360190,0.382954,0.338235,0.380899,"144,330","22,507,400"
encrypgen,"Feb 08, 2018",0.367511,0.410764,0.356304,0.359270,"53,497","22,964,800"
encrypgen,"Feb 07, 2018",0.373734,0.473416,0.339246,0.369533,"169,795","23,353,700"
encrypgen,"Feb 06, 2018",0.253088,0.404234,0.209925,0.373930,"293,465","15,814,800"
encrypgen,"Feb 05, 2018",0.356478,0.372394,0.220740,0.252625,"142,505","22,275,400"
encrypgen,"Feb 04, 2018",0.466930,0.508571,0.333531,0.359520,"105,485","29,177,300"
