Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
endor-protocol,"Jul 02, 2018",0.066994,0.072506,0.065233,0.069189,"146,896","23,574,700"
endor-protocol,"Jul 01, 2018",0.066315,0.070797,0.065248,0.066952,"97,394","23,335,700"
endor-protocol,"Jun 30, 2018",0.066487,0.069066,0.063297,0.066257,"121,276","23,396,300"
endor-protocol,"Jun 29, 2018",0.069614,0.076411,0.061239,0.066435,"236,982","24,496,600"
endor-protocol,"Jun 28, 2018",0.067912,0.072761,0.062645,0.069776,"802,800","23,747,700"
endor-protocol,"Jun 27, 2018",0.080020,0.080644,0.067083,0.068140,"661,349","27,981,600"
endor-protocol,"Jun 26, 2018",0.091247,0.091731,0.080158,0.080207,"866,247","31,907,400"
endor-protocol,"Jun 25, 2018",0.091900,0.104778,0.088725,0.090509,"959,819","32,135,700"
endor-protocol,"Jun 24, 2018",0.110044,0.111016,0.086393,0.093150,"951,197","38,480,300"
endor-protocol,"Jun 23, 2018",0.108338,0.113557,0.107554,0.110073,"971,471","37,883,700"
endor-protocol,"Jun 22, 2018",0.114667,0.120899,0.106129,0.108507,"1,003,260","40,097,000"
endor-protocol,"Jun 21, 2018",0.102924,0.114790,0.098051,0.114757,"925,847","33,822,900"
endor-protocol,"Jun 20, 2018",0.115060,0.115309,0.095906,0.103015,"1,150,110","37,811,100"
endor-protocol,"Jun 19, 2018",0.118427,0.146515,0.104964,0.114465,"1,193,020",-
endor-protocol,"Jun 18, 2018",0.098918,0.143168,0.089249,0.118495,"1,129,550",-
endor-protocol,"Jun 17, 2018",0.092473,0.105144,0.084422,0.098641,"725,790",-
endor-protocol,"Jun 16, 2018",0.077947,0.092201,0.074551,0.092120,"649,254",-
endor-protocol,"Jun 15, 2018",0.087051,0.097543,0.074819,0.078199,"783,112",-
endor-protocol,"Jun 14, 2018",0.090931,0.100693,0.076138,0.085025,"777,690",-
endor-protocol,"Jun 13, 2018",0.111465,0.111465,0.088450,0.090877,"804,703",-
endor-protocol,"Jun 12, 2018",0.127236,0.129082,0.103716,0.111106,"1,055,680",-
endor-protocol,"Jun 11, 2018",0.123523,0.127860,0.117532,0.127535,"550,453",-
endor-protocol,"Jun 10, 2018",0.156626,0.158294,0.120729,0.123327,"1,348,430",-
endor-protocol,"Jun 09, 2018",0.160057,0.170075,0.154266,0.156376,"1,517,880",-
endor-protocol,"Jun 08, 2018",0.150244,0.162678,0.132769,0.159207,"621,118",-
endor-protocol,"Jun 07, 2018",0.158196,0.179999,0.148629,0.149995,"393,107",-
endor-protocol,"Jun 06, 2018",0.193864,0.198376,0.129499,0.158519,"772,099",-
endor-protocol,"Jun 05, 2018",0.203532,0.205592,0.188896,0.197801,"356,786",-
endor-protocol,"Jun 04, 2018",0.243342,0.248048,0.184502,0.203527,"960,508",-
endor-protocol,"Jun 03, 2018",0.266953,0.278021,0.221897,0.244020,"1,201,340",-
endor-protocol,"Jun 02, 2018",0.277984,0.300633,0.267295,0.267295,"1,062,540",-
endor-protocol,"Jun 01, 2018",0.250064,0.287231,0.234859,0.276885,"1,175,160",-
endor-protocol,"May 31, 2018",0.250693,0.257570,0.242665,0.246012,"1,353,390",-
