Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
energo,"Jul 02, 2018",0.015244,0.016053,0.013772,0.015299,"843,738","10,511,700"
energo,"Jul 01, 2018",0.014220,0.015517,0.013927,0.015351,"488,994","9,799,140"
energo,"Jun 30, 2018",0.014378,0.015558,0.013855,0.014240,"531,137","9,899,880"
energo,"Jun 29, 2018",0.013663,0.014770,0.013246,0.013684,"767,391","9,268,590"
energo,"Jun 28, 2018",0.014398,0.015199,0.013548,0.013917,"1,018,930","9,767,340"
energo,"Jun 27, 2018",0.014244,0.015463,0.014112,0.014731,"942,554","9,662,880"
energo,"Jun 26, 2018",0.014850,0.015582,0.014268,0.014632,"787,589","10,073,500"
energo,"Jun 25, 2018",0.013806,0.015326,0.013401,0.014987,"937,945","9,365,320"
energo,"Jun 24, 2018",0.015814,0.016273,0.012834,0.013649,"472,893","10,727,300"
energo,"Jun 23, 2018",0.016197,0.016897,0.014998,0.016076,"663,714","10,987,200"
energo,"Jun 22, 2018",0.019005,0.019234,0.016220,0.016661,"1,254,260","12,892,200"
energo,"Jun 21, 2018",0.019215,0.019801,0.018792,0.019082,"939,085","13,034,600"
energo,"Jun 20, 2018",0.019577,0.020038,0.018610,0.019307,"1,209,280","13,280,500"
energo,"Jun 19, 2018",0.020331,0.021159,0.019405,0.019792,"588,681","13,792,100"
energo,"Jun 18, 2018",0.020089,0.020981,0.019240,0.020335,"620,645","13,627,500"
energo,"Jun 17, 2018",0.020814,0.021281,0.019941,0.020448,"344,681","14,119,800"
energo,"Jun 16, 2018",0.020897,0.022856,0.020191,0.020845,"590,555","14,176,000"
energo,"Jun 15, 2018",0.020991,0.021849,0.020112,0.020991,"1,341,400","14,239,800"
energo,"Jun 14, 2018",0.020283,0.021189,0.019895,0.020998,"1,467,010","13,759,300"
energo,"Jun 13, 2018",0.020623,0.021297,0.019449,0.020430,"962,656","13,990,000"
energo,"Jun 12, 2018",0.020565,0.022125,0.020212,0.020602,"1,172,790","13,903,200"
energo,"Jun 11, 2018",0.020479,0.021428,0.019604,0.020290,"1,104,410","13,802,200"
energo,"Jun 10, 2018",0.025132,0.025132,0.020157,0.021069,"788,753","16,926,500"
energo,"Jun 09, 2018",0.027119,0.027756,0.024712,0.025208,"720,665","18,231,000"
energo,"Jun 08, 2018",0.028125,0.028375,0.026465,0.027006,"1,249,190","18,900,400"
energo,"Jun 07, 2018",0.027806,0.029287,0.027184,0.028140,"1,357,320","18,655,800"
energo,"Jun 06, 2018",0.029030,0.029465,0.026451,0.027602,"1,173,590","19,444,000"
energo,"Jun 05, 2018",0.029405,0.030743,0.028518,0.029101,"1,240,300","19,664,900"
