Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ethbits,"Jul 02, 2018",1.25,1.40,0.919669,0.924955,"1,573","1,743,800"
ethbits,"Jul 01, 2018",0.894227,1.37,0.886625,1.25,82,"1,244,410"
ethbits,"Jun 30, 2018",1.05,1.10,0.886909,0.894026,1,"1,467,910"
ethbits,"Jun 29, 2018",0.829945,1.07,0.829824,1.05,87,"1,154,950"
ethbits,"Jun 28, 2018",1.14,1.16,0.824735,0.829415,106,"1,584,020"
ethbits,"Jun 27, 2018",0.893738,1.22,0.893738,1.14,662,"1,243,730"
ethbits,"Jun 26, 2018",1.19,1.19,1.17,1.18,1,"1,652,030"
ethbits,"Jun 25, 2018",1.17,1.39,1.04,1.19,829,"1,626,250"
ethbits,"Jun 24, 2018",1.30,1.30,1.16,1.17,771,"1,802,130"
ethbits,"Jun 23, 2018",1.33,1.42,1.29,1.30,256,"1,852,820"
ethbits,"Jun 22, 2018",1.14,1.78,1.08,1.33,"5,756","1,588,490"
ethbits,"Jun 21, 2018",1.01,1.22,1.01,1.14,"1,771","1,409,300"
ethbits,"Jun 20, 2018",1.08,1.22,1.01,1.01,531,"1,504,040"
ethbits,"Jun 19, 2018",1.14,1.21,1.07,1.08,341,"1,592,180"
ethbits,"Jun 18, 2018",1.34,1.35,1.10,1.14,"19,647","1,866,170"
ethbits,"Jun 17, 2018",1.60,1.61,1.18,1.35,85,"2,232,760"
ethbits,"Jun 16, 2018",1.52,1.80,1.50,1.60,185,"2,114,760"
ethbits,"Jun 15, 2018",1.20,1.65,1.18,1.53,312,"1,664,190"
ethbits,"Jun 14, 2018",1.01,1.20,1.01,1.20,162,"1,407,050"
ethbits,"Jun 13, 2018",1.18,1.31,1.00,1.01,"1,716","1,648,970"
ethbits,"Jun 12, 2018",1.31,1.31,1.17,1.18,249,"1,821,100"
ethbits,"Jun 11, 2018",1.15,1.32,1.14,1.31,207,"1,606,590"
ethbits,"Jun 10, 2018",1.74,1.74,1.13,1.15,"3,517","2,424,490"
ethbits,"Jun 09, 2018",1.68,2.22,1.62,1.74,354,"2,335,060"
ethbits,"Jun 08, 2018",1.77,1.77,1.36,1.68,413,"2,458,940"
ethbits,"Jun 07, 2018",1.61,2.07,1.31,1.77,"5,530","2,237,590"
ethbits,"Jun 06, 2018",1.45,1.83,1.28,1.61,"1,673","2,015,790"
ethbits,"Jun 05, 2018",1.43,1.64,1.41,1.45,"1,173","1,983,640"
ethbits,"Jun 04, 2018",1.70,2.08,1.34,1.42,"3,192","2,359,720"
ethbits,"Jun 03, 2018",2.14,2.54,1.30,1.69,"82,765","2,974,910"
ethbits,"Jun 02, 2018",1.18,1.99,1.17,1.98,"4,123","1,647,340"
ethbits,"Jun 01, 2018",1.42,1.43,1.17,1.18,96,"1,980,820"
ethbits,"May 31, 2018",1.26,1.44,1.25,1.42,31,"1,746,540"
ethbits,"May 30, 2018",1.27,1.28,1.24,1.26,63,"1,765,920"
ethbits,"May 29, 2018",1.35,1.36,1.14,1.27,144,"1,882,170"
ethbits,"May 28, 2018",1.32,1.38,1.08,1.35,"1,763","1,839,940"
ethbits,"May 27, 2018",1.54,1.55,1.17,1.32,160,"2,143,580"
ethbits,"May 26, 2018",1.49,1.60,1.20,1.54,"1,656","2,078,480"
ethbits,"May 25, 2018",1.66,1.84,1.48,1.50,412,"2,315,360"
ethbits,"May 24, 2018",1.87,1.90,1.53,1.66,605,"2,602,400"
ethbits,"May 23, 2018",1.68,2.22,1.57,1.87,"3,712","2,339,460"
ethbits,"May 22, 2018",1.43,2.30,1.41,1.68,"109,918","1,989,020"
ethbits,"May 21, 2018",2.02,2.06,1.42,1.43,218,"2,806,470"
ethbits,"May 20, 2018",1.73,2.04,1.45,2.01,473,"2,409,620"
ethbits,"May 19, 2018",1.32,1.90,1.31,1.73,"2,581","1,834,460"
ethbits,"May 18, 2018",1.37,1.77,1.31,1.32,"3,904","1,911,040"
ethbits,"May 17, 2018",1.34,1.49,1.24,1.37,613,"1,858,810"
ethbits,"May 16, 2018",1.44,1.45,1.32,1.33,195,"2,009,230"
ethbits,"May 15, 2018",1.84,2.12,1.43,1.44,"1,316","2,557,810"
ethbits,"May 14, 2018",1.48,2.50,1.42,1.84,"9,714","2,055,890"
ethbits,"May 13, 2018",1.40,1.99,1.31,1.48,622,"1,951,230"
ethbits,"May 12, 2018",2.01,2.19,1.26,1.40,"3,034","2,792,850"
ethbits,"May 11, 2018",1.17,2.06,1.16,2.01,"12,811","1,635,040"
ethbits,"May 10, 2018",0.931384,1.22,0.929398,1.17,13,"1,296,120"
ethbits,"May 09, 2018",1.10,1.10,0.923871,0.931646,9,"1,536,160"
ethbits,"May 08, 2018",1.22,1.23,1.09,1.11,226,"1,694,550"
ethbits,"May 07, 2018",1.06,1.59,1.01,1.22,"8,199","1,471,630"
ethbits,"May 06, 2018",1.37,1.52,0.951382,1.06,"5,666","1,910,170"
ethbits,"May 05, 2018",1.63,1.66,0.972616,1.37,"2,283","2,266,840"
ethbits,"May 04, 2018",1.44,1.64,1.00,1.63,"4,566","2,006,600"
ethbits,"May 03, 2018",1.35,1.46,1.19,1.44,68,"1,875,510"
ethbits,"May 02, 2018",1.39,1.51,1.17,1.35,817,"1,937,870"
ethbits,"May 01, 2018",1.39,1.59,1.24,1.39,279,"1,928,930"
ethbits,"Apr 30, 2018",1.40,1.86,1.20,1.38,"1,710","1,954,590"
ethbits,"Apr 29, 2018",1.22,1.41,1.11,1.41,655,"1,692,780"
ethbits,"Apr 28, 2018",1.25,1.40,1.18,1.22,838,"1,740,500"
ethbits,"Apr 27, 2018",1.30,1.31,1.26,1.26,721,"1,814,950"
ethbits,"Apr 26, 2018",1.15,1.90,0.968797,1.30,"6,448","1,603,390"
ethbits,"Apr 25, 2018",1.07,1.19,0.979794,1.14,44,"1,491,660"
ethbits,"Apr 24, 2018",1.25,1.30,1.03,1.08,868,"1,738,620"
ethbits,"Apr 23, 2018",1.09,1.25,0.976333,1.25,"1,776","1,512,160"
ethbits,"Apr 22, 2018",0.962616,1.17,0.922597,1.09,116,"1,339,580"
ethbits,"Apr 21, 2018",1.05,1.22,0.939267,0.962616,478,"1,461,200"
ethbits,"Apr 20, 2018",1.20,1.21,0.829810,1.05,"5,792","1,668,860"
ethbits,"Apr 19, 2018",1.14,1.30,0.968375,1.26,457,"1,590,610"
ethbits,"Apr 18, 2018",0.840160,1.23,0.750731,1.14,432,"1,169,170"
ethbits,"Apr 17, 2018",0.885444,1.30,0.839092,0.839382,516,"1,232,190"
ethbits,"Apr 16, 2018",1.17,1.21,0.877690,0.884998,273,"1,625,870"
ethbits,"Apr 15, 2018",1.12,1.17,0.993910,1.17,18,"1,558,840"
ethbits,"Apr 14, 2018",1.18,1.31,0.956620,1.12,293,"1,642,150"
ethbits,"Apr 13, 2018",1.07,1.22,0.935429,1.18,640,"1,484,650"
ethbits,"Apr 12, 2018",0.694638,1.19,0.690785,1.07,523,"966,661"
ethbits,"Apr 11, 2018",0.987117,1.18,0.689467,0.696319,"1,336","1,373,680"
ethbits,"Apr 10, 2018",1.22,1.22,0.881362,0.986166,113,"1,693,410"
ethbits,"Apr 09, 2018",0.913274,1.48,0.707878,1.22,"1,673","1,270,920"
ethbits,"Apr 08, 2018",0.684754,1.19,0.684754,0.911797,"1,292","952,906"
ethbits,"Apr 07, 2018",1.10,1.14,0.644389,0.684135,70,"1,524,280"
ethbits,"Apr 06, 2018",1.05,1.13,0.939352,1.09,456,"1,462,290"
ethbits,"Apr 05, 2018",0.641978,1.07,0.580387,1.06,48,"893,378"
ethbits,"Apr 04, 2018",1.41,1.41,0.612849,0.641708,8,"1,960,920"
ethbits,"Apr 03, 2018",0.818232,1.42,0.815594,1.41,47,"1,138,660"
ethbits,"Apr 02, 2018",1.02,1.11,0.814765,0.817651,152,"1,419,760"
ethbits,"Apr 01, 2018",0.720229,1.39,0.716173,1.02,"1,409","1,002,270"
ethbits,"Mar 31, 2018",1.30,1.34,0.712106,0.720250,"1,124","1,807,780"
