Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
etherecash,"Jul 02, 2018",0.020947,0.021179,0.018881,0.019896,"68,153",-
etherecash,"Jul 01, 2018",0.019292,0.022237,0.019192,0.020945,"87,482",-
etherecash,"Jun 30, 2018",0.019673,0.023741,0.018012,0.019288,"51,735",-
etherecash,"Jun 29, 2018",0.018486,0.019984,0.018257,0.019647,"63,114",-
etherecash,"Jun 28, 2018",0.021041,0.021103,0.018371,0.018475,"63,570",-
etherecash,"Jun 27, 2018",0.020403,0.021135,0.019597,0.021034,"129,126",-
etherecash,"Jun 26, 2018",0.023309,0.023360,0.020392,0.020411,"77,485",-
etherecash,"Jun 25, 2018",0.020851,0.024604,0.020171,0.023309,"72,101",-
etherecash,"Jun 24, 2018",0.021152,0.021186,0.019228,0.020892,"64,039",-
etherecash,"Jun 23, 2018",0.019911,0.021397,0.019590,0.021155,"80,274",-
etherecash,"Jun 22, 2018",0.021700,0.025238,0.019760,0.019909,"78,712",-
etherecash,"Jun 21, 2018",0.025264,0.025645,0.020980,0.021724,"111,617",-
etherecash,"Jun 20, 2018",0.024571,0.029623,0.020666,0.025258,"21,845",-
etherecash,"Jun 19, 2018",0.026458,0.029977,0.021697,0.024556,"57,835",-
etherecash,"Jun 18, 2018",0.022649,0.026821,0.020105,0.026472,"69,757",-
etherecash,"Jun 17, 2018",0.023646,0.026068,0.021748,0.022727,"50,307",-
etherecash,"Jun 16, 2018",0.028899,0.032443,0.023584,0.023584,"61,780",-
etherecash,"Jun 15, 2018",0.026682,0.029649,0.022736,0.029004,"66,425",-
etherecash,"Jun 14, 2018",0.018100,0.032930,0.016813,0.026726,"42,946",-
etherecash,"Jun 13, 2018",0.009949,0.031492,0.009902,0.018109,"67,789",-
etherecash,"Jun 12, 2018",0.018478,0.020546,0.009888,0.009924,"28,721",-
etherecash,"Jun 11, 2018",0.017569,0.020673,0.016943,0.018488,"42,308",-
etherecash,"Jun 10, 2018",0.020349,0.023725,0.017356,0.017544,"30,446",-
etherecash,"Jun 09, 2018",0.022256,0.025499,0.017134,0.020323,"29,599",-
etherecash,"Jun 08, 2018",0.025989,0.028451,0.022096,0.022266,"26,664",-
etherecash,"Jun 07, 2018",0.036779,0.043747,0.021694,0.025970,"28,739",-
etherecash,"Jun 06, 2018",0.122702,0.122797,0.036745,0.036745,"31,788",-
etherecash,"Jun 05, 2018",0.091372,0.146025,0.060376,0.122735,"108,632",-
etherecash,"Jun 04, 2018",0.096925,0.107237,0.081663,0.091328,"70,805",-
etherecash,"Jun 03, 2018",0.100128,0.101250,0.076010,0.096880,"70,131",-
etherecash,"Jun 02, 2018",0.105190,0.107844,0.086732,0.100100,"89,528",-
etherecash,"Jun 01, 2018",0.074916,0.113362,0.074916,0.105235,"72,027",-
etherecash,"May 31, 2018",0.040609,0.122718,0.040411,0.074862,"40,049",-
etherecash,"May 30, 2018",0.050730,0.051216,0.040392,0.040613,"34,597",-
etherecash,"May 29, 2018",0.040420,0.050817,0.040420,0.050695,"1,367",-
etherecash,"May 28, 2018",0.055109,0.056483,0.040375,0.040433,"3,562",-
etherecash,"May 27, 2018",0.057066,0.066018,0.046764,0.055096,"10,990",-
etherecash,"May 26, 2018",0.016532,0.068413,0.016505,0.056703,"12,285",-
etherecash,"May 25, 2018",0.082990,0.085358,0.014912,0.016558,"32,227",-
etherecash,"May 24, 2018",0.083964,0.089640,0.080539,0.082834,"137,420",-
etherecash,"May 23, 2018",0.086813,0.130752,0.083490,0.084177,"110,637",-
etherecash,"May 22, 2018",0.099194,0.129093,0.086514,0.086903,"21,622",-
etherecash,"May 21, 2018",0.113085,0.113164,0.097729,0.097867,"117,825",-
etherecash,"May 20, 2018",0.109261,0.113818,0.098899,0.112943,"54,129",-
etherecash,"May 19, 2018",0.112882,0.113267,0.096534,0.109179,"140,721",-
etherecash,"May 18, 2018",0.096992,0.114546,0.091964,0.112900,"119,358",-
etherecash,"May 17, 2018",0.111575,0.117032,0.096352,0.096907,"101,540",-
etherecash,"May 16, 2018",0.140854,0.140969,0.101008,0.111507,"86,403",-
etherecash,"May 15, 2018",0.133058,0.155938,0.116030,0.140935,"5,650",-
etherecash,"May 14, 2018",0.120476,0.173092,0.119529,0.133286,"16,942",-
etherecash,"May 13, 2018",0.138436,0.139363,0.118627,0.120498,"139,832",-
etherecash,"May 12, 2018",0.109105,0.144763,0.108746,0.138484,"18,064",-
etherecash,"May 11, 2018",0.118005,0.129381,0.104988,0.109427,"141,046",-
etherecash,"May 10, 2018",0.124977,0.144253,0.111958,0.117864,"90,783",-
etherecash,"May 09, 2018",0.142377,0.193702,0.104930,0.125012,"56,853",-
etherecash,"May 08, 2018",0.148742,0.188953,0.124603,0.142594,"92,316",-
etherecash,"May 07, 2018",0.165630,0.227203,0.147493,0.148427,"56,047",-
etherecash,"May 06, 2018",0.186847,0.264288,0.159829,0.165511,"115,436",-
etherecash,"May 05, 2018",0.266190,0.286269,0.166349,0.186721,"141,386",-
etherecash,"May 04, 2018",0.281825,0.281825,0.161740,0.266316,"8,211",-
etherecash,"May 03, 2018",0.284304,0.295633,0.252067,0.281935,"185,142",-
etherecash,"May 02, 2018",0.281337,0.285394,0.254002,0.284294,"182,210",-
etherecash,"May 01, 2018",0.288220,0.288220,0.247290,0.281761,"172,747",-
etherecash,"Apr 30, 2018",0.309769,0.310259,0.256300,0.287968,"188,903",-
etherecash,"Apr 29, 2018",0.281360,0.325423,0.264185,0.309873,"83,646",-
etherecash,"Apr 28, 2018",0.269101,0.308003,0.268411,0.281470,"115,382",-
etherecash,"Apr 27, 2018",0.324538,0.340644,0.250914,0.270027,"69,813",-
etherecash,"Apr 26, 2018",0.283062,0.324812,0.249554,0.324090,"134,232",-
etherecash,"Apr 25, 2018",0.329958,0.330340,0.247986,0.280735,"158,098",-
etherecash,"Apr 24, 2018",0.280277,0.332216,0.280151,0.332216,"107,646",-
etherecash,"Apr 23, 2018",0.338326,0.345727,0.279673,0.280039,"55,815",-
etherecash,"Apr 22, 2018",0.332913,0.362721,0.307718,0.339010,"82,675",-
etherecash,"Apr 21, 2018",0.314573,0.414389,0.288407,0.332913,"59,287",-
etherecash,"Apr 20, 2018",0.296590,0.317389,0.261794,0.314465,"124,046",-
etherecash,"Apr 19, 2018",0.318673,0.329610,0.279009,0.296395,"67,920",-
etherecash,"Apr 18, 2018",0.292534,0.319919,0.243485,0.318437,"60,113",-
etherecash,"Apr 17, 2018",0.380853,0.388202,0.271964,0.292263,"46,428",-
etherecash,"Apr 16, 2018",0.350430,0.389374,0.287505,0.380661,"55,461",-
etherecash,"Apr 15, 2018",0.323397,0.392756,0.323397,0.350578,"189,898",-
etherecash,"Apr 14, 2018",0.318067,0.381103,0.316975,0.323050,"157,551",-
etherecash,"Apr 13, 2018",0.326138,0.391189,0.316415,0.318067,"15,030",-
etherecash,"Apr 12, 2018",0.319935,0.379759,0.299853,0.325727,"126,854",-
etherecash,"Apr 11, 2018",0.360947,0.361326,0.314244,0.320709,"47,315",-
