Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ethereum-blue,"Jul 02, 2018",0.077199,0.140679,0.076473,0.103745,"20,114","2,828,990"
ethereum-blue,"Jul 01, 2018",0.064013,0.084159,0.051672,0.077172,"5,811","2,345,760"
ethereum-blue,"Jun 30, 2018",0.096975,0.099920,0.063720,0.063983,363,"3,553,690"
ethereum-blue,"Jun 29, 2018",0.086604,0.097570,0.080284,0.096868,566,"3,173,620"
ethereum-blue,"Jun 28, 2018",0.090302,0.094202,0.079372,0.086550,"4,218","3,309,120"
ethereum-blue,"Jun 27, 2018",0.088496,0.095566,0.080888,0.090247,"2,755","3,242,950"
ethereum-blue,"Jun 26, 2018",0.089219,0.110109,0.088472,0.088643,"3,145","3,269,470"
ethereum-blue,"Jun 25, 2018",0.073084,0.103650,0.067613,0.089220,"4,927","2,678,190"
ethereum-blue,"Jun 24, 2018",0.070168,0.087019,0.060373,0.077884,"5,929","2,571,320"
ethereum-blue,"Jun 23, 2018",0.119203,0.123527,0.067790,0.070183,"10,485","4,368,240"
ethereum-blue,"Jun 22, 2018",0.128099,0.129846,0.105348,0.118590,"3,536","4,694,230"
ethereum-blue,"Jun 21, 2018",0.123924,0.128219,0.104574,0.128198,"12,566","4,541,210"
ethereum-blue,"Jun 20, 2018",0.132241,0.139810,0.120382,0.123967,"13,383","4,846,000"
ethereum-blue,"Jun 19, 2018",0.131453,0.138154,0.122301,0.132157,"3,709","4,817,140"
ethereum-blue,"Jun 18, 2018",0.121809,0.131529,0.115004,0.131525,"8,863","4,463,720"
ethereum-blue,"Jun 17, 2018",0.119467,0.128902,0.119363,0.122098,"2,862","4,377,880"
ethereum-blue,"Jun 16, 2018",0.124040,0.126231,0.113570,0.119309,"2,449","4,545,470"
ethereum-blue,"Jun 15, 2018",0.127045,0.127665,0.119708,0.124430,"2,475","4,655,590"
ethereum-blue,"Jun 14, 2018",0.120213,0.140407,0.115457,0.127142,"8,706","4,405,250"
ethereum-blue,"Jun 13, 2018",0.106818,0.134457,0.102224,0.120130,"1,541","3,914,390"
ethereum-blue,"Jun 12, 2018",0.135765,0.136068,0.105638,0.106494,"4,353","4,975,140"
ethereum-blue,"Jun 11, 2018",0.124772,0.146239,0.123647,0.135793,"8,470","4,572,290"
ethereum-blue,"Jun 10, 2018",0.160985,0.160985,0.116504,0.124584,"5,765","5,899,320"
ethereum-blue,"Jun 09, 2018",0.171741,0.174139,0.152370,0.160376,"28,579","6,293,500"
ethereum-blue,"Jun 08, 2018",0.177515,0.180532,0.170242,0.171697,"41,643","6,505,090"
ethereum-blue,"Jun 07, 2018",0.185631,0.188994,0.152598,0.177239,"30,051","6,802,510"
ethereum-blue,"Jun 06, 2018",0.186570,0.191603,0.148597,0.185641,"101,892","6,836,930"
ethereum-blue,"Jun 05, 2018",0.148184,0.187810,0.140789,0.186948,"40,691","5,430,230"
ethereum-blue,"Jun 04, 2018",0.153169,0.153680,0.134978,0.148116,"7,515","5,612,920"
ethereum-blue,"Jun 03, 2018",0.158614,0.162832,0.151317,0.153183,"10,845","5,812,450"
ethereum-blue,"Jun 02, 2018",0.150404,0.169387,0.149625,0.158633,"6,179","5,511,600"
ethereum-blue,"Jun 01, 2018",0.156325,0.161062,0.148558,0.150463,"8,494","5,728,580"
ethereum-blue,"May 31, 2018",0.154130,0.165082,0.153756,0.156162,"6,547","5,648,140"
ethereum-blue,"May 30, 2018",0.158968,0.174260,0.151041,0.154183,"3,605","5,825,410"
ethereum-blue,"May 29, 2018",0.141828,0.171815,0.139138,0.158864,"14,091","5,197,340"
ethereum-blue,"May 28, 2018",0.148163,0.168212,0.141389,0.141925,"26,496","5,429,470"
ethereum-blue,"May 27, 2018",0.164267,0.168014,0.139611,0.148142,"8,744","6,019,610"
ethereum-blue,"May 26, 2018",0.149337,0.171292,0.143757,0.164016,"4,044","5,472,510"
ethereum-blue,"May 25, 2018",0.157923,0.164563,0.147873,0.149527,"18,158","5,787,130"
ethereum-blue,"May 24, 2018",0.143395,0.167130,0.138362,0.157672,"6,224","5,254,740"
ethereum-blue,"May 23, 2018",0.158611,0.167585,0.142460,0.143787,"16,336","5,812,350"
ethereum-blue,"May 22, 2018",0.188036,0.203556,0.157722,0.158638,"8,969","6,890,640"
ethereum-blue,"May 21, 2018",0.194469,0.201491,0.178616,0.201491,"16,441","7,126,380"
ethereum-blue,"May 20, 2018",0.172260,0.212347,0.170905,0.194224,"18,596","6,312,510"
ethereum-blue,"May 19, 2018",0.176788,0.182801,0.170989,0.172125,"3,729","6,478,440"
ethereum-blue,"May 18, 2018",0.170254,0.179406,0.170254,0.176796,"7,411","6,239,000"
ethereum-blue,"May 17, 2018",0.180456,0.187354,0.169132,0.170240,"7,741","6,612,850"
