Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ethersportz,"Jul 02, 2018",0.158347,0.180041,0.157309,0.172329,"3,691","782,488"
ethersportz,"Jul 01, 2018",0.170827,0.173257,0.157925,0.158475,891,"844,159"
ethersportz,"Jun 30, 2018",0.151087,0.172751,0.151087,0.170660,"1,766","746,612"
ethersportz,"Jun 29, 2018",0.150443,0.152695,0.141552,0.151145,"2,052","743,429"
ethersportz,"Jun 28, 2018",0.157328,0.160489,0.149932,0.150579,"1,288","777,450"
ethersportz,"Jun 27, 2018",0.162444,0.172331,0.161213,0.170002,174,"802,735"
ethersportz,"Jun 26, 2018",0.168361,0.168469,0.159363,0.162645,417,"831,974"
ethersportz,"Jun 25, 2018",0.165888,0.181296,0.163346,0.168361,"5,347","819,751"
ethersportz,"Jun 24, 2018",0.204593,0.205227,0.164108,0.165337,152,"1,011,020"
ethersportz,"Jun 23, 2018",0.170539,0.208512,0.168340,0.204661,765,"842,734"
ethersportz,"Jun 22, 2018",0.191502,0.193001,0.167346,0.170815,396,"946,327"
ethersportz,"Jun 21, 2018",0.215275,0.215872,0.191738,0.192113,"4,267","1,063,800"
ethersportz,"Jun 20, 2018",0.202475,0.215266,0.195649,0.215090,700,"1,000,550"
ethersportz,"Jun 19, 2018",0.211297,0.218684,0.184405,0.202281,"5,324","1,044,140"
ethersportz,"Jun 18, 2018",0.207969,0.213768,0.202439,0.211424,201,"1,027,700"
ethersportz,"Jun 17, 2018",0.210004,0.213411,0.207005,0.208194,774,"1,037,750"
ethersportz,"Jun 16, 2018",0.213961,0.217061,0.203823,0.210110,"2,467","1,057,310"
ethersportz,"Jun 15, 2018",0.233372,0.233850,0.201273,0.214171,"10,911","1,153,230"
ethersportz,"Jun 14, 2018",0.200285,0.236534,0.197899,0.233074,784,"989,730"
ethersportz,"Jun 13, 2018",0.214454,0.238310,0.195862,0.199795,"85,942","1,059,740"
ethersportz,"Jun 12, 2018",0.244710,0.255282,0.211391,0.213603,"4,704","1,209,260"
ethersportz,"Jun 11, 2018",0.216791,0.249313,0.208413,0.244340,"7,520","1,071,300"
ethersportz,"Jun 10, 2018",0.264605,0.264605,0.210595,0.216682,"5,225","1,307,570"
ethersportz,"Jun 09, 2018",0.292470,0.295551,0.263765,0.266218,"9,611","1,445,270"
ethersportz,"Jun 08, 2018",0.301439,0.303300,0.292590,0.292590,"1,434","1,489,590"
ethersportz,"Jun 07, 2018",0.280327,0.305170,0.280030,0.301800,"5,272","1,385,260"
ethersportz,"Jun 06, 2018",0.304039,0.305230,0.272646,0.280376,"6,996","1,502,440"
ethersportz,"Jun 05, 2018",0.287255,0.304178,0.280282,0.303935,"5,898","1,419,500"
ethersportz,"Jun 04, 2018",0.305250,0.308716,0.281585,0.287294,"2,263","1,508,420"
ethersportz,"Jun 03, 2018",0.317974,0.320063,0.277323,0.305683,"40,298","1,571,300"
ethersportz,"Jun 02, 2018",0.312946,0.319004,0.270171,0.318439,"8,303","1,546,450"
ethersportz,"Jun 01, 2018",0.317169,0.335339,0.306407,0.313156,"11,313","1,567,320"
ethersportz,"May 31, 2018",0.317247,0.353330,0.303350,0.316798,"22,138","1,567,710"
ethersportz,"May 30, 2018",0.329037,0.374003,0.292689,0.317183,"46,298","1,625,970"
ethersportz,"May 29, 2018",0.352258,0.385423,0.328373,0.328971,"28,566","1,740,720"
ethersportz,"May 28, 2018",0.367739,0.371752,0.337306,0.352645,"9,278","1,817,220"
ethersportz,"May 27, 2018",0.398839,0.406989,0.363546,0.369402,"8,822","1,970,900"
ethersportz,"May 26, 2018",0.409526,0.413476,0.388129,0.398368,"7,325","2,023,710"
ethersportz,"May 25, 2018",0.407181,0.424650,0.390935,0.407395,"29,974","2,012,120"
ethersportz,"May 24, 2018",0.377961,0.408420,0.365322,0.406989,"7,917","1,867,730"
ethersportz,"May 23, 2018",0.409966,0.413554,0.353112,0.378764,"7,189","2,025,890"
ethersportz,"May 22, 2018",0.445064,0.454054,0.408572,0.410714,"22,073","2,199,330"
ethersportz,"May 21, 2018",0.492170,0.492930,0.419464,0.445581,"18,377","2,432,110"
ethersportz,"May 20, 2018",0.510292,0.520283,0.447142,0.491781,"15,757","2,521,660"
ethersportz,"May 19, 2018",0.476038,0.526362,0.470504,0.509862,"29,235","2,352,390"
ethersportz,"May 18, 2018",0.469002,0.481063,0.444015,0.476014,"5,983","2,317,620"
