Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
ethorse,"Jul 02, 2018",0.013143,0.013966,0.012944,0.013827,127,"1,321,730"
ethorse,"Jul 01, 2018",0.016382,0.016711,0.013007,0.013133,122,"1,647,480"
ethorse,"Jun 30, 2018",0.012807,0.016454,0.012807,0.016367,"1,103","1,287,970"
ethorse,"Jun 29, 2018",0.015578,0.016116,0.012799,0.012799,"1,244","1,566,590"
ethorse,"Jun 28, 2018",0.013245,0.016326,0.012930,0.015572,922,"1,332,030"
ethorse,"Jun 27, 2018",0.012913,0.013308,0.012626,0.013221,295,"1,298,560"
ethorse,"Jun 26, 2018",0.015902,0.018147,0.012937,0.012956,295,"1,599,200"
ethorse,"Jun 25, 2018",0.014715,0.018009,0.014570,0.015902,"1,950","1,479,810"
ethorse,"Jun 24, 2018",0.027531,0.028562,0.014542,0.014773,"2,759","2,768,640"
ethorse,"Jun 23, 2018",0.017500,0.039082,0.017112,0.027532,2,"1,759,880"
ethorse,"Jun 22, 2018",0.021076,0.021079,0.017146,0.017492,298,"2,119,510"
ethorse,"Jun 21, 2018",0.021403,0.022124,0.020990,0.021085,"3,082","2,152,450"
ethorse,"Jun 20, 2018",0.020250,0.021696,0.018635,0.021414,"2,661","2,036,420"
ethorse,"Jun 19, 2018",0.018362,0.023477,0.018120,0.020238,16,"1,846,570"
ethorse,"Jun 18, 2018",0.020069,0.024105,0.018298,0.018373,"1,683","2,018,220"
ethorse,"Jun 17, 2018",0.026712,0.026856,0.020049,0.020101,"1,311","2,686,310"
ethorse,"Jun 16, 2018",0.018541,0.026066,0.018538,0.025882,"3,062","1,864,560"
ethorse,"Jun 15, 2018",0.015581,0.077955,0.006211,0.018591,"2,126","1,566,870"
ethorse,"Jun 14, 2018",0.014363,0.015730,0.010168,0.015584,"19,043","1,444,450"
ethorse,"Jun 13, 2018",0.016881,0.018786,0.014093,0.014329,"8,836","1,697,620"
ethorse,"Jun 12, 2018",0.020108,0.020167,0.016598,0.016814,"2,028","2,022,180"
ethorse,"Jun 11, 2018",0.020235,0.020723,0.018463,0.020100,"5,205","2,034,970"
ethorse,"Jun 10, 2018",0.021473,0.023885,0.019870,0.020200,"8,632","2,159,480"
ethorse,"Jun 09, 2018",0.023933,0.024996,0.021431,0.021431,797,"2,406,840"
ethorse,"Jun 08, 2018",0.024085,0.024235,0.021895,0.023927,"2,216","2,422,150"
ethorse,"Jun 07, 2018",0.024181,0.024556,0.022616,0.024044,941,"2,431,730"
ethorse,"Jun 06, 2018",0.021564,0.024276,0.021187,0.024188,"4,396","2,168,570"
ethorse,"Jun 05, 2018",0.021939,0.023704,0.020048,0.021607,"2,436","2,206,340"
ethorse,"Jun 04, 2018",0.022325,0.023207,0.021772,0.021941,664,"2,245,090"
ethorse,"Jun 03, 2018",0.022934,0.025854,0.022025,0.022358,"2,201","2,306,350"
ethorse,"Jun 02, 2018",0.022893,0.023556,0.021161,0.022963,"2,125","2,302,260"
ethorse,"Jun 01, 2018",0.024729,0.024882,0.022150,0.022898,"3,806","2,486,850"
ethorse,"May 31, 2018",0.025587,0.026367,0.022334,0.024675,"4,618","2,573,180"
ethorse,"May 30, 2018",0.027799,0.028711,0.023755,0.025612,"7,031","2,795,570"
ethorse,"May 29, 2018",0.016925,0.027794,0.016925,0.027782,"14,318","1,702,120"
ethorse,"May 28, 2018",0.023344,0.023990,0.016802,0.020097,"11,869","2,347,620"
ethorse,"May 27, 2018",0.027006,0.027214,0.022991,0.023346,948,"2,715,880"
ethorse,"May 26, 2018",0.026649,0.032399,0.024885,0.026954,"8,392","2,679,990"
ethorse,"May 25, 2018",0.023476,0.031111,0.022842,0.026645,"12,642","2,360,850"
ethorse,"May 24, 2018",0.022900,0.026815,0.020404,0.023450,"14,761","2,302,950"
ethorse,"May 23, 2018",0.025025,0.025820,0.020696,0.023003,"4,467","2,516,700"
ethorse,"May 22, 2018",0.021973,0.029102,0.021557,0.025075,"26,851","2,209,770"
ethorse,"May 21, 2018",0.029365,0.029386,0.021906,0.022020,"17,183","2,953,130"
ethorse,"May 20, 2018",0.030361,0.034068,0.029250,0.029327,"3,689","3,053,250"
ethorse,"May 19, 2018",0.026715,0.033081,0.026426,0.030335,"9,417","2,686,630"
ethorse,"May 18, 2018",0.026818,0.032794,0.026055,0.026715,"18,737","2,696,970"
ethorse,"May 17, 2018",0.030320,0.033956,0.025822,0.026845,"28,131","3,049,120"
ethorse,"May 16, 2018",0.034147,0.034307,0.025907,0.030284,"13,583","3,433,280"
ethorse,"May 15, 2018",0.035212,0.035615,0.030057,0.034130,"9,493","3,540,440"
ethorse,"May 14, 2018",0.040866,0.043342,0.024479,0.035261,"29,694","4,108,880"
ethorse,"May 13, 2018",0.040978,0.045852,0.037635,0.040883,"18,283","4,120,120"
ethorse,"May 12, 2018",0.047564,0.051070,0.036507,0.041060,"13,604","4,782,330"
ethorse,"May 11, 2018",0.046220,0.055605,0.045171,0.047649,"10,209","4,647,240"
ethorse,"May 10, 2018",0.052527,0.057007,0.045234,0.046112,"41,633","5,281,390"
ethorse,"May 09, 2018",0.023873,0.052752,0.022396,0.052478,"1,276","2,400,280"
ethorse,"May 05, 2018",0.050867,0.061113,0.050701,0.060398,"1,496","5,114,430"
ethorse,"May 04, 2018",0.054395,0.059348,0.049815,0.050811,"2,839","5,469,180"
ethorse,"May 03, 2018",0.057041,0.060253,0.044525,0.054572,"4,822","5,734,600"
ethorse,"May 02, 2018",0.043768,0.057046,0.042335,0.057046,"17,238","4,397,600"
ethorse,"May 01, 2018",0.042155,0.048886,0.039943,0.043895,"37,174","4,235,520"
ethorse,"Apr 30, 2018",0.050302,0.050485,0.040336,0.042017,"41,402","5,054,130"
ethorse,"Apr 29, 2018",0.054480,0.055697,0.040954,0.050296,"58,218","5,473,930"
ethorse,"Apr 28, 2018",0.046295,0.057298,0.046295,0.047785,"6,121","4,651,470"
ethorse,"Apr 27, 2018",0.062692,0.062692,0.044450,0.050071,"57,326","6,299,050"
ethorse,"Apr 26, 2018",0.057448,0.062790,0.053802,0.062584,"12,063","5,772,080"
ethorse,"Apr 25, 2018",0.070479,0.070479,0.056890,0.056890,"11,361","7,081,420"
ethorse,"Apr 24, 2018",0.065718,0.079579,0.063618,0.070503,"55,866","6,603,090"
ethorse,"Apr 23, 2018",0.040274,0.065716,0.040274,0.065716,"46,561","4,046,590"
ethorse,"Apr 22, 2018",0.057941,0.073427,0.040424,0.040424,"125,134","5,821,610"
ethorse,"Apr 21, 2018",0.075147,0.075821,0.054104,0.057941,"57,248","7,550,420"
ethorse,"Apr 20, 2018",0.069203,0.075699,0.056151,0.075196,"34,653","6,953,210"
ethorse,"Apr 19, 2018",0.072975,0.073909,0.053240,0.069286,"75,536","7,332,260"
ethorse,"Apr 18, 2018",0.080045,0.080774,0.061373,0.070837,"30,541","8,042,560"
ethorse,"Apr 17, 2018",0.080525,0.085733,0.061062,0.080006,"87,568","8,090,770"
ethorse,"Apr 16, 2018",0.085394,0.089910,0.072048,0.080537,"31,915","8,579,980"
ethorse,"Apr 15, 2018",0.083545,0.089379,0.081192,0.085281,"23,486","8,394,240"
ethorse,"Apr 14, 2018",0.080674,0.086708,0.077651,0.083599,"23,028","8,105,810"
ethorse,"Apr 13, 2018",0.077308,0.089281,0.070646,0.078816,"56,742","7,767,510"
ethorse,"Apr 12, 2018",0.071035,0.077668,0.057404,0.077174,"27,598","7,137,300"
ethorse,"Apr 11, 2018",0.058823,0.079525,0.049595,0.071391,"104,201","5,910,300"
ethorse,"Apr 10, 2018",0.057628,0.059143,0.049562,0.058686,"21,021","5,790,180"
ethorse,"Apr 09, 2018",0.049221,0.063329,0.046706,0.057362,"30,507","4,945,500"
ethorse,"Apr 08, 2018",0.054137,0.059867,0.047828,0.049105,"16,861","5,439,490"
ethorse,"Apr 07, 2018",0.048466,0.059099,0.045312,0.054162,"28,984","4,869,620"
ethorse,"Apr 06, 2018",0.050810,0.057498,0.045419,0.048480,"63,854","5,105,120"
ethorse,"Apr 05, 2018",0.047827,0.051005,0.046489,0.051005,"21,570","4,805,460"
ethorse,"Apr 04, 2018",0.050378,0.054435,0.044817,0.047884,"14,972","5,061,790"
ethorse,"Apr 03, 2018",0.050127,0.054605,0.047100,0.050279,"24,920","5,036,540"
ethorse,"Apr 02, 2018",0.045445,0.050815,0.044622,0.050073,"16,075","4,565,390"
ethorse,"Apr 01, 2018",0.046524,0.052266,0.043552,0.045299,"10,253","4,673,830"
ethorse,"Mar 31, 2018",0.048970,0.057070,0.045926,0.046509,"35,069","4,919,540"
ethorse,"Mar 30, 2018",0.044388,0.050885,0.037008,0.049015,"31,068","4,459,260"
ethorse,"Mar 29, 2018",0.054968,0.055445,0.031486,0.044518,"48,734","5,522,130"
ethorse,"Mar 28, 2018",0.053072,0.059061,0.050319,0.054870,"6,887","5,331,680"
ethorse,"Mar 27, 2018",0.061396,0.061847,0.048789,0.053054,"5,514","6,167,840"
ethorse,"Mar 26, 2018",0.067595,0.068034,0.052130,0.061433,"24,054","6,790,640"
ethorse,"Mar 25, 2018",0.060319,0.069251,0.057896,0.067745,"4,196","6,055,180"
ethorse,"Mar 24, 2018",0.073157,0.073368,0.060310,0.061051,"9,491","7,343,190"
ethorse,"Mar 23, 2018",0.068883,0.073296,0.064751,0.072489,"9,550","6,914,160"
