Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
europecoin,"Jul 02, 2018",0.277409,0.292382,0.271012,0.288586,"1,345","2,798,690"
europecoin,"Jul 01, 2018",0.292859,0.299630,0.272130,0.277378,"1,068","2,954,480"
europecoin,"Jun 30, 2018",0.234048,0.295383,0.234035,0.292794,"4,013","2,359,510"
europecoin,"Jun 29, 2018",0.240725,0.241581,0.217225,0.233732,"4,503","2,426,750"
europecoin,"Jun 28, 2018",0.219409,0.304460,0.217622,0.240571,"15,841","2,211,770"
europecoin,"Jun 27, 2018",0.224913,0.224913,0.215954,0.219332,"7,773","2,267,180"
europecoin,"Jun 26, 2018",0.223370,0.232712,0.223306,0.225003,361,"2,251,560"
europecoin,"Jun 25, 2018",0.240366,0.243072,0.220425,0.223370,"1,760","2,422,830"
europecoin,"Jun 24, 2018",0.260789,0.267650,0.223044,0.240831,"17,944","2,628,620"
europecoin,"Jun 23, 2018",0.259629,0.270150,0.252020,0.260825,"10,613","2,616,850"
europecoin,"Jun 22, 2018",0.287520,0.288012,0.249507,0.259594,"1,297","2,897,890"
europecoin,"Jun 21, 2018",0.279308,0.289273,0.278705,0.287838,"2,714","2,815,040"
europecoin,"Jun 20, 2018",0.293842,0.297423,0.275154,0.279251,"4,775","2,961,450"
europecoin,"Jun 19, 2018",0.284822,0.302041,0.279183,0.293660,"6,781","2,870,450"
europecoin,"Jun 18, 2018",0.285384,0.301005,0.268856,0.284976,"7,441","2,876,030"
europecoin,"Jun 17, 2018",0.291472,0.292468,0.273945,0.286362,"16,486","2,937,300"
europecoin,"Jun 16, 2018",0.294387,0.295628,0.284122,0.290702,604,"2,966,590"
europecoin,"Jun 15, 2018",0.312190,0.312431,0.289647,0.295465,44,"3,145,920"
europecoin,"Jun 14, 2018",0.270912,0.312720,0.270376,0.312706,880,"2,729,890"
europecoin,"Jun 13, 2018",0.322633,0.323013,0.259358,0.268820,"5,234","3,250,980"
europecoin,"Jun 12, 2018",0.337489,0.342931,0.305076,0.321800,"15,607","3,400,570"
europecoin,"Jun 11, 2018",0.338767,0.340903,0.328591,0.337670,216,"3,413,350"
europecoin,"Jun 10, 2018",0.375494,0.379273,0.334670,0.338284,"2,104","3,783,300"
europecoin,"Jun 09, 2018",0.392491,0.413445,0.375022,0.375022,"1,421","3,954,450"
europecoin,"Jun 08, 2018",0.393115,0.413129,0.386644,0.392660,768,"3,960,630"
europecoin,"Jun 07, 2018",0.410019,0.415853,0.384927,0.392816,"3,387","4,130,820"
europecoin,"Jun 06, 2018",0.412529,0.417066,0.406862,0.409643,"1,465","4,155,980"
europecoin,"Jun 05, 2018",0.410676,0.413002,0.398589,0.412640,"1,230","4,137,190"
europecoin,"Jun 04, 2018",0.427073,0.435096,0.409831,0.410479,543,"4,302,180"
europecoin,"Jun 03, 2018",0.422131,0.436174,0.420257,0.426874,"1,720","4,252,280"
europecoin,"Jun 02, 2018",0.433634,0.444043,0.415495,0.422017,"5,164","4,368,030"
europecoin,"Jun 01, 2018",0.426274,0.434268,0.419210,0.433822,828,"4,293,780"
europecoin,"May 31, 2018",0.412322,0.438103,0.406857,0.425964,"4,679","4,153,120"
europecoin,"May 30, 2018",0.425855,0.438547,0.407308,0.412399,"2,875","4,289,310"
europecoin,"May 29, 2018",0.413514,0.429703,0.410235,0.425569,"2,675","4,164,880"
europecoin,"May 28, 2018",0.446380,0.456313,0.412394,0.413649,"4,042","4,495,480"
europecoin,"May 27, 2018",0.455289,0.458215,0.443142,0.446276,"3,572","4,585,070"
