Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
exclusivecoin,"Jul 02, 2018",0.447434,0.475944,0.426604,0.468946,"20,768","2,082,030"
exclusivecoin,"Jul 01, 2018",0.448289,0.451287,0.440353,0.447384,893,"2,085,290"
exclusivecoin,"Jun 30, 2018",0.424348,0.460590,0.414655,0.448188,"7,047","1,973,240"
exclusivecoin,"Jun 29, 2018",0.421357,0.431048,0.392249,0.423775,"1,957","1,958,670"
exclusivecoin,"Jun 28, 2018",0.443420,0.451928,0.411144,0.421088,"1,532","2,060,520"
exclusivecoin,"Jun 27, 2018",0.449548,0.463027,0.425853,0.450682,"24,977","2,088,270"
exclusivecoin,"Jun 26, 2018",0.470295,0.516370,0.439401,0.449729,"40,310","2,183,900"
exclusivecoin,"Jun 25, 2018",0.457263,0.521785,0.453925,0.470295,"88,773","2,122,680"
exclusivecoin,"Jun 24, 2018",0.462236,0.465051,0.422546,0.458147,"14,359","2,145,020"
exclusivecoin,"Jun 23, 2018",0.444685,0.465817,0.441509,0.462299,"2,335","2,062,850"
exclusivecoin,"Jun 22, 2018",0.533593,0.537479,0.442067,0.448491,"31,993","2,474,430"
exclusivecoin,"Jun 21, 2018",0.540866,0.546135,0.515470,0.534186,"18,075","2,507,300"
exclusivecoin,"Jun 20, 2018",0.582279,0.582845,0.531995,0.540752,"76,896","2,698,350"
exclusivecoin,"Jun 19, 2018",0.630482,0.631638,0.582055,0.582055,"52,241","2,920,690"
exclusivecoin,"Jun 18, 2018",0.572697,0.723111,0.562221,0.630821,"435,453","2,652,070"
exclusivecoin,"Jun 17, 2018",0.560501,0.603668,0.559092,0.574839,"5,907","2,594,730"
exclusivecoin,"Jun 16, 2018",0.565300,0.600351,0.529809,0.559019,"10,293","2,616,040"
exclusivecoin,"Jun 15, 2018",0.603970,0.606445,0.559897,0.567370,"10,317","2,794,030"
exclusivecoin,"Jun 14, 2018",0.575680,0.606912,0.565854,0.604969,"4,828","2,659,580"
exclusivecoin,"Jun 13, 2018",0.667603,0.668389,0.534382,0.575936,"42,486","3,084,260"
exclusivecoin,"Jun 12, 2018",0.688617,0.698530,0.653193,0.665879,"1,265","3,181,340"
exclusivecoin,"Jun 11, 2018",0.683514,0.710773,0.673750,0.688986,"40,396","3,157,640"
exclusivecoin,"Jun 10, 2018",0.765575,0.765575,0.673594,0.682539,"5,719","3,535,480"
exclusivecoin,"Jun 09, 2018",0.786761,0.805319,0.764613,0.764613,"5,941","3,632,070"
exclusivecoin,"Jun 08, 2018",0.815218,0.816856,0.771741,0.787098,"17,954","3,762,080"
exclusivecoin,"Jun 07, 2018",0.781210,0.841211,0.771075,0.814599,"53,436","3,603,890"
exclusivecoin,"Jun 06, 2018",0.794626,0.886039,0.754413,0.780493,"252,796","3,664,510"
exclusivecoin,"Jun 05, 2018",0.752856,0.794839,0.742599,0.794839,"13,173","3,470,790"
exclusivecoin,"Jun 04, 2018",0.805635,0.862178,0.751307,0.752495,"160,219","3,713,000"
exclusivecoin,"Jun 03, 2018",0.804714,0.821083,0.792006,0.805260,"5,722","3,707,660"
exclusivecoin,"Jun 02, 2018",0.797527,0.814978,0.765648,0.804497,"26,689","3,673,460"
exclusivecoin,"Jun 01, 2018",0.783407,0.813093,0.766229,0.797872,"25,677","3,607,370"
exclusivecoin,"May 31, 2018",0.788132,0.809634,0.770404,0.782837,"30,577","3,628,050"
exclusivecoin,"May 30, 2018",0.827736,0.839117,0.769627,0.788279,"110,795","3,809,270"
exclusivecoin,"May 29, 2018",0.776222,0.836641,0.771836,0.827179,"21,091","3,571,140"
exclusivecoin,"May 28, 2018",0.825873,0.847163,0.774234,0.776504,"15,990","3,798,450"
exclusivecoin,"May 27, 2018",0.824823,0.843390,0.800070,0.825680,"14,178","3,792,490"
exclusivecoin,"May 26, 2018",0.829906,0.917570,0.820005,0.820608,"102,915","3,814,740"
exclusivecoin,"May 25, 2018",0.890986,0.896284,0.821570,0.830991,"11,084","4,094,300"
exclusivecoin,"May 24, 2018",0.841842,0.894726,0.806733,0.891438,"37,712","3,867,340"
exclusivecoin,"May 23, 2018",0.940039,0.959423,0.829273,0.843972,"84,154","4,317,170"
exclusivecoin,"May 22, 2018",1.02,1.02,0.937747,0.941014,"28,183","4,697,280"
exclusivecoin,"May 21, 2018",1.06,1.06,1.02,1.02,"33,855","4,846,440"
exclusivecoin,"May 20, 2018",1.04,1.07,1.02,1.05,"26,414","4,767,080"
exclusivecoin,"May 19, 2018",1.02,1.06,1.02,1.04,"11,501","4,681,500"
exclusivecoin,"May 18, 2018",0.996411,1.02,0.968258,1.02,"30,842","4,569,280"
exclusivecoin,"May 17, 2018",1.06,1.09,0.990533,0.995538,"20,258","4,843,110"
exclusivecoin,"May 16, 2018",1.05,1.14,0.989650,1.05,"175,786","4,831,010"
exclusivecoin,"May 15, 2018",1.09,1.12,1.04,1.05,"20,683","5,006,190"
exclusivecoin,"May 14, 2018",1.03,1.12,0.992877,1.09,"145,982","4,721,550"
exclusivecoin,"May 13, 2018",0.996667,1.41,0.991051,1.03,"74,519","4,563,690"
exclusivecoin,"May 12, 2018",1.02,1.04,0.974132,0.997013,"36,298","4,688,270"
exclusivecoin,"May 11, 2018",1.14,1.14,1.01,1.03,"72,463","5,238,020"
exclusivecoin,"May 10, 2018",1.19,1.21,1.14,1.14,"29,184","5,436,990"
exclusivecoin,"May 09, 2018",1.19,1.22,1.14,1.19,"45,228","5,440,880"
exclusivecoin,"May 08, 2018",1.23,1.24,1.16,1.19,"32,246","5,630,800"
exclusivecoin,"May 07, 2018",1.30,1.30,1.18,1.23,"67,451","5,924,920"
exclusivecoin,"May 06, 2018",1.32,1.33,1.24,1.30,"103,073","6,015,760"
exclusivecoin,"May 05, 2018",1.32,1.38,1.27,1.32,"236,638","6,037,140"
exclusivecoin,"May 04, 2018",1.34,1.34,1.27,1.32,"93,793","6,139,410"
exclusivecoin,"May 03, 2018",1.29,1.37,1.28,1.34,"94,191","5,892,860"
exclusivecoin,"May 02, 2018",1.28,1.33,1.23,1.29,"315,770","5,843,150"
exclusivecoin,"May 01, 2018",1.31,1.31,1.21,1.28,"73,511","5,978,040"
exclusivecoin,"Apr 30, 2018",1.33,1.35,1.27,1.31,"120,054","6,058,200"
exclusivecoin,"Apr 29, 2018",1.33,1.43,1.30,1.35,"354,315","6,069,320"
exclusivecoin,"Apr 28, 2018",1.26,1.36,1.26,1.33,"56,569","5,762,100"
exclusivecoin,"Apr 27, 2018",1.32,1.42,1.29,1.29,"386,404","6,021,690"
exclusivecoin,"Apr 26, 2018",1.27,1.34,1.20,1.34,"135,171","5,789,890"
exclusivecoin,"Apr 25, 2018",1.41,1.41,1.14,1.27,"115,061","6,402,990"
exclusivecoin,"Apr 24, 2018",1.32,1.41,1.31,1.41,"249,564","5,993,650"
exclusivecoin,"Apr 23, 2018",1.27,1.44,1.27,1.32,"864,016","5,794,620"
exclusivecoin,"Apr 22, 2018",1.31,1.33,1.26,1.28,"93,120","5,953,960"
exclusivecoin,"Apr 21, 2018",1.33,1.37,1.24,1.31,"493,547","6,066,660"
exclusivecoin,"Apr 20, 2018",1.24,1.34,1.22,1.32,"154,673","5,640,020"
exclusivecoin,"Apr 19, 2018",1.18,1.25,1.18,1.24,"244,802","5,344,870"
exclusivecoin,"Apr 18, 2018",1.11,1.21,1.11,1.17,"245,497","5,043,760"
exclusivecoin,"Apr 17, 2018",1.15,1.16,1.10,1.11,"87,984","5,223,490"
exclusivecoin,"Apr 16, 2018",1.22,1.23,1.12,1.15,"142,976","5,529,530"
exclusivecoin,"Apr 15, 2018",1.20,1.23,1.17,1.22,"193,585","5,441,030"
exclusivecoin,"Apr 14, 2018",1.17,1.24,1.13,1.20,"247,991","5,316,650"
exclusivecoin,"Apr 13, 2018",1.09,1.21,1.04,1.16,"651,478","4,961,310"
exclusivecoin,"Apr 12, 2018",1.01,1.13,0.977182,1.09,"1,124,440","4,562,860"
exclusivecoin,"Apr 11, 2018",0.965858,1.01,0.905176,0.994222,"775,043","4,378,580"
exclusivecoin,"Apr 10, 2018",0.879845,0.976434,0.859223,0.943131,"1,175,420","3,987,430"
exclusivecoin,"Apr 09, 2018",0.916917,1.00,0.871616,0.879128,"1,518,120","4,154,160"
exclusivecoin,"Apr 08, 2018",0.877598,0.947640,0.853070,0.915434,"421,765","3,974,800"
exclusivecoin,"Apr 07, 2018",0.807362,0.901664,0.797786,0.876804,"477,365","3,655,580"
exclusivecoin,"Apr 06, 2018",0.818773,0.827579,0.786567,0.806399,"31,385","3,706,110"
exclusivecoin,"Apr 05, 2018",0.829494,0.845032,0.797845,0.822967,"41,667","3,753,440"
exclusivecoin,"Apr 04, 2018",0.920156,0.936762,0.815624,0.829146,"105,038","4,162,370"
exclusivecoin,"Apr 03, 2018",0.824151,1.21,0.803624,0.920791,"3,425,650","3,726,910"
exclusivecoin,"Apr 02, 2018",0.814133,0.835663,0.794515,0.823593,"96,447","3,680,460"
exclusivecoin,"Apr 01, 2018",0.851808,0.942062,0.745080,0.809710,"1,032,260","3,849,580"
exclusivecoin,"Mar 31, 2018",0.791607,0.854945,0.777967,0.851833,"16,928","3,576,430"
exclusivecoin,"Mar 30, 2018",0.811003,0.821307,0.746310,0.791487,"23,398","3,662,950"
exclusivecoin,"Mar 29, 2018",0.938237,0.940637,0.790141,0.813025,"34,788","4,236,340"
exclusivecoin,"Mar 28, 2018",0.957191,1.01,0.932584,0.937140,"51,663","4,320,630"
exclusivecoin,"Mar 27, 2018",0.983637,1.04,0.924746,0.979024,"115,859","4,438,660"
