Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
fastcoin,"Jul 02, 2018",0.002522,0.002656,0.002399,0.002643,86,"395,700"
fastcoin,"Jul 01, 2018",0.002555,0.002569,0.002514,0.002530,4,"400,903"
fastcoin,"Jun 30, 2018",0.002420,0.002563,0.002352,0.002554,778,"379,715"
fastcoin,"Jun 29, 2018",0.002347,0.002458,0.002205,0.002417,59,"368,337"
fastcoin,"Jun 28, 2018",0.002454,0.002461,0.002333,0.002346,386,"384,996"
fastcoin,"Jun 27, 2018",0.002432,0.002497,0.002307,0.002453,"1,228","381,637"
fastcoin,"Jun 26, 2018",0.002687,0.002806,0.002289,0.002433,"1,017","421,577"
fastcoin,"Jun 25, 2018",0.002891,0.003095,0.002645,0.002687,160,"453,604"
fastcoin,"Jun 24, 2018",0.003022,0.003027,0.002581,0.002896,989,"474,142"
fastcoin,"Jun 23, 2018",0.003086,0.003206,0.002942,0.003022,206,"484,312"
fastcoin,"Jun 22, 2018",0.003760,0.003790,0.003032,0.003086,722,"590,023"
fastcoin,"Jun 21, 2018",0.003781,0.003926,0.003750,0.003764,225,"593,261"
fastcoin,"Jun 20, 2018",0.003040,0.004730,0.002964,0.003780,"2,145","476,976"
fastcoin,"Jun 19, 2018",0.002356,0.003038,0.002343,0.003038,297,"369,621"
fastcoin,"Jun 18, 2018",0.002397,0.002700,0.002186,0.002357,118,"376,052"
fastcoin,"Jun 17, 2018",0.002415,0.002426,0.002397,0.002405,5,"378,999"
fastcoin,"Jun 16, 2018",0.002440,0.002460,0.002354,0.002409,7,"382,929"
fastcoin,"Jun 15, 2018",0.002525,0.002528,0.002436,0.002449,24,"396,148"
fastcoin,"Jun 14, 2018",0.002465,0.002541,0.002401,0.002529,12,"386,722"
fastcoin,"Jun 13, 2018",0.002765,0.002785,0.002438,0.002466,69,"433,844"
fastcoin,"Jun 12, 2018",0.003031,0.003031,0.002668,0.002758,94,"475,528"
fastcoin,"Jun 11, 2018",0.002913,0.003048,0.002805,0.003032,114,"457,152"
fastcoin,"Jun 10, 2018",0.003227,0.003227,0.002878,0.002909,109,"506,409"
fastcoin,"Jun 09, 2018",0.003280,0.003304,0.003223,0.003223,80,"514,623"
fastcoin,"Jun 08, 2018",0.003303,0.003387,0.003281,0.003281,161,"518,361"
fastcoin,"Jun 07, 2018",0.003599,0.003642,0.003290,0.003301,122,"564,680"
fastcoin,"Jun 06, 2018",0.003583,0.003612,0.002962,0.003595,560,"562,257"
fastcoin,"Jun 05, 2018",0.003301,0.003704,0.003248,0.003584,148,"517,973"
fastcoin,"Jun 04, 2018",0.003315,0.003352,0.003143,0.003299,155,"520,141"
fastcoin,"Jun 03, 2018",0.003283,0.003322,0.003268,0.003313,9,"515,144"
fastcoin,"Jun 02, 2018",0.003382,0.003594,0.003278,0.003282,66,"530,756"
fastcoin,"Jun 01, 2018",0.003221,0.003426,0.003192,0.003384,165,"505,481"
fastcoin,"May 31, 2018",0.003618,0.003677,0.003199,0.003219,486,"567,636"
fastcoin,"May 30, 2018",0.003210,0.003620,0.003151,0.003618,168,"503,657"
fastcoin,"May 29, 2018",0.003630,0.003709,0.003196,0.003208,"1,236","569,664"
fastcoin,"May 28, 2018",0.003967,0.004076,0.003537,0.003632,679,"622,400"
fastcoin,"May 27, 2018",0.004254,0.004254,0.003850,0.003966,148,"667,565"
fastcoin,"May 26, 2018",0.004481,0.004574,0.004222,0.004252,277,"703,093"
fastcoin,"May 25, 2018",0.004840,0.004897,0.004430,0.004487,172,"759,487"
fastcoin,"May 24, 2018",0.004737,0.004865,0.004584,0.004831,5,"743,347"
fastcoin,"May 23, 2018",0.004802,0.004983,0.004707,0.004749,25,"753,508"
fastcoin,"May 22, 2018",0.005297,0.005689,0.004780,0.004807,368,"831,144"
fastcoin,"May 21, 2018",0.005287,0.005577,0.005248,0.005298,40,"829,601"
fastcoin,"May 20, 2018",0.005277,0.005409,0.005150,0.005280,50,"828,043"
fastcoin,"May 19, 2018",0.005767,0.005783,0.005166,0.005273,108,"904,961"
fastcoin,"May 18, 2018",0.006220,0.006220,0.005007,0.005768,249,"976,016"
fastcoin,"May 17, 2018",0.005593,0.006993,0.005358,0.006215,"2,164","877,678"
fastcoin,"May 16, 2018",0.005601,0.005781,0.004872,0.005590,599,"878,852"
fastcoin,"May 15, 2018",0.005205,0.005720,0.005101,0.005604,522,"816,684"
fastcoin,"May 14, 2018",0.006083,0.006096,0.004842,0.005214,881,"954,536"
fastcoin,"May 13, 2018",0.006097,0.006765,0.005980,0.006084,258,"956,664"
fastcoin,"May 12, 2018",0.006128,0.008284,0.005310,0.006099,"1,154","961,613"
fastcoin,"May 11, 2018",0.007592,0.007592,0.004982,0.006146,"1,435","1,191,270"
fastcoin,"May 10, 2018",0.006240,0.009067,0.006216,0.007583,"2,472","979,183"
fastcoin,"May 09, 2018",0.006531,0.006534,0.005755,0.006242,567,"1,024,840"
fastcoin,"May 08, 2018",0.005620,0.006833,0.005171,0.006541,"2,598","881,873"
fastcoin,"May 07, 2018",0.007499,0.007503,0.005418,0.005608,517,"1,176,640"
fastcoin,"May 06, 2018",0.005602,0.008577,0.005473,0.007493,"3,912","879,082"
