Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
fidelium,"Jul 02, 2018",0.033320,0.034257,0.029095,0.034091,"165,595","3,753,070"
fidelium,"Jul 01, 2018",0.033150,0.035878,0.032869,0.033316,"38,366","3,734,000"
fidelium,"Jun 30, 2018",0.034313,0.037381,0.030074,0.033654,"152,769","3,864,960"
fidelium,"Jun 29, 2018",0.038204,0.038741,0.026561,0.034267,"248,048","4,265,010"
fidelium,"Jun 28, 2018",0.041527,0.041987,0.036616,0.038121,"237,054","4,635,950"
fidelium,"Jun 27, 2018",0.041651,0.041884,0.040087,0.041512,"119,780","4,647,140"
fidelium,"Jun 26, 2018",0.042237,0.042679,0.040527,0.041667,"49,342","4,712,590"
fidelium,"Jun 25, 2018",0.034813,0.042385,0.034732,0.042237,"122,058","3,884,190"
fidelium,"Jun 24, 2018",0.036199,0.036257,0.033219,0.034880,"7,756","4,038,830"
fidelium,"Jun 23, 2018",0.034920,0.036492,0.034014,0.036265,"77,923","3,896,160"
fidelium,"Jun 22, 2018",0.038743,0.039241,0.034480,0.034915,"83,479","4,322,770"
fidelium,"Jun 21, 2018",0.039294,0.039963,0.036594,0.038786,"75,668","4,384,150"
fidelium,"Jun 20, 2018",0.039381,0.040289,0.035994,0.039285,"102,736","4,393,980"
fidelium,"Jun 19, 2018",0.037756,0.040317,0.036089,0.039357,"92,618","4,212,280"
fidelium,"Jun 18, 2018",0.036337,0.038047,0.036037,0.037777,"8,931","4,053,920"
fidelium,"Jun 17, 2018",0.035120,0.036791,0.034397,0.036461,"105,138","3,918,180"
fidelium,"Jun 16, 2018",0.036670,0.038425,0.033150,0.036069,"128,697","4,091,070"
fidelium,"Jun 15, 2018",0.056538,0.056606,0.031848,0.036804,"139,375","6,296,370"
fidelium,"Jun 14, 2018",0.055674,0.056666,0.046915,0.056632,"152,645","6,197,670"
fidelium,"Jun 13, 2018",0.051479,0.082517,0.050730,0.055698,"19,533","5,719,590"
fidelium,"Jun 12, 2018",0.058337,0.058337,0.050878,0.051346,"23,825","6,481,570"
fidelium,"Jun 11, 2018",0.049392,0.058671,0.048954,0.058369,"96,706","5,487,730"
fidelium,"Jun 10, 2018",0.056721,0.056721,0.048874,0.049322,"28,716","6,302,010"
fidelium,"Jun 09, 2018",0.052226,0.060720,0.051765,0.056650,"972,893","5,802,600"
fidelium,"Jun 08, 2018",0.053522,0.055897,0.050259,0.052249,"822,610","5,946,590"
fidelium,"Jun 07, 2018",0.070078,0.118032,0.050338,0.053482,"385,015","7,786,030"
fidelium,"Jun 06, 2018",0.067004,0.072043,0.051216,0.070012,"364,083","7,444,510"
fidelium,"Jun 05, 2018",0.077432,0.077516,0.063771,0.067024,"300,349","8,603,020"
fidelium,"Jun 04, 2018",0.086571,0.087035,0.064774,0.076128,"322,407","9,618,460"
fidelium,"Jun 03, 2018",0.086223,0.087212,0.085284,0.086608,"221,191","9,579,790"
fidelium,"Jun 02, 2018",0.088922,0.093113,0.083042,0.086204,"318,376","9,879,630"
fidelium,"Jun 01, 2018",0.093287,0.097549,0.088142,0.088960,"301,961","10,364,600"
fidelium,"May 31, 2018",0.098050,0.099680,0.077859,0.088284,"377,255",-
fidelium,"May 30, 2018",0.115627,0.116952,0.092178,0.097584,"218,765",-
fidelium,"May 29, 2018",0.121844,0.122233,0.102983,0.115549,"239,610",-
fidelium,"May 28, 2018",0.147643,0.165960,0.114855,0.121887,"104,208",-
fidelium,"May 27, 2018",0.136433,0.148028,0.134551,0.147608,"14,872",-
fidelium,"May 26, 2018",0.152207,0.152207,0.135638,0.136372,"8,346",-
fidelium,"May 25, 2018",0.139533,0.152247,0.135095,0.152247,"2,222",-
fidelium,"May 24, 2018",0.138282,0.146657,0.134251,0.139271,"17,104",-
fidelium,"May 23, 2018",0.155046,0.155491,0.137492,0.138603,"18,972",-
fidelium,"May 22, 2018",0.187079,0.189501,0.155066,0.155205,"81,956",-
fidelium,"May 21, 2018",0.195749,0.195867,0.186454,0.187113,"4,116",-
fidelium,"May 20, 2018",0.206958,0.206958,0.191393,0.195548,"5,915",-
fidelium,"May 19, 2018",0.217508,0.221303,0.200595,0.206804,"12,377",-
fidelium,"May 18, 2018",0.275057,0.275057,0.214195,0.217541,"7,547",-
fidelium,"May 17, 2018",0.282591,0.333750,0.273240,0.274816,"120,715",-
fidelium,"May 16, 2018",0.277881,0.323886,0.233138,0.281585,"229,599",-
fidelium,"May 15, 2018",0.249076,0.346039,0.220857,0.278077,"728,889",-
fidelium,"May 14, 2018",0.206385,0.254164,0.192070,0.249493,"278,489",-
fidelium,"May 13, 2018",0.182097,0.207949,0.177059,0.206423,"39,655",-
fidelium,"May 12, 2018",0.180120,0.185628,0.175733,0.182158,201,-
fidelium,"May 11, 2018",0.179403,0.196557,0.173121,0.180649,"504,923",-
fidelium,"May 10, 2018",0.190014,0.194626,0.179016,0.179189,"483,293",-
fidelium,"May 09, 2018",0.191338,0.193389,0.183927,0.190067,"516,318",-
fidelium,"May 08, 2018",0.200451,0.201036,0.188252,0.191631,"268,916",-
fidelium,"May 07, 2018",0.194218,0.205216,0.186184,0.200027,"218,638",-
fidelium,"May 06, 2018",0.203962,0.210076,0.184184,0.194079,"77,367",-
fidelium,"May 05, 2018",0.225845,0.230013,0.195984,0.203825,"407,281",-
fidelium,"May 04, 2018",0.241663,0.242271,0.216881,0.225952,"277,142",-
fidelium,"May 03, 2018",0.240589,0.242910,0.226240,0.241756,"498,363",-
fidelium,"May 02, 2018",0.237528,0.241511,0.235052,0.240581,"478,373",-
fidelium,"May 01, 2018",0.234865,0.239574,0.226487,0.237846,"503,329",-
fidelium,"Apr 30, 2018",0.250876,0.253018,0.233413,0.234663,"372,384",-
fidelium,"Apr 29, 2018",0.234269,0.253253,0.234269,0.250977,"356,043",-
fidelium,"Apr 28, 2018",0.221920,0.244953,0.221355,0.234358,"383,770",-
fidelium,"Apr 27, 2018",0.223000,0.235027,0.221097,0.222676,"521,081",-
fidelium,"Apr 26, 2018",0.211136,0.226583,0.207369,0.222692,"203,344",-
fidelium,"Apr 25, 2018",0.234364,0.234364,0.209568,0.209783,"213,320",-
fidelium,"Apr 24, 2018",0.220729,0.245181,0.214092,0.235645,"234,004",-
fidelium,"Apr 23, 2018",0.167931,0.231244,0.153104,0.221463,"285,315",-
fidelium,"Apr 22, 2018",0.168314,0.199705,0.160733,0.168082,"72,089",-
fidelium,"Apr 21, 2018",0.167270,0.172760,0.162756,0.168314,"58,585",-
fidelium,"Apr 20, 2018",0.177091,0.189738,0.166855,0.166916,"104,010",-
fidelium,"Apr 19, 2018",0.192173,0.192176,0.176646,0.177114,"110,473",-
fidelium,"Apr 18, 2018",0.215655,0.217882,0.189808,0.192280,"124,596",-
fidelium,"Apr 17, 2018",0.218031,0.223299,0.215640,0.215640,"123,002",-
fidelium,"Apr 16, 2018",0.221432,0.221468,0.217740,0.217783,"76,937",-
