Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
filecoin,"Jul 02, 2018",6.72,7.22,6.44,7.00,"789,823",-
filecoin,"Jul 01, 2018",6.92,7.25,6.54,6.66,"708,681",-
filecoin,"Jun 30, 2018",6.30,7.05,6.27,7.01,"729,953",-
filecoin,"Jun 29, 2018",6.34,6.67,6.23,6.35,"689,758",-
filecoin,"Jun 28, 2018",6.82,6.85,6.32,6.32,"642,284",-
filecoin,"Jun 27, 2018",6.43,6.84,5.97,6.75,"718,097",-
filecoin,"Jun 26, 2018",6.11,7.92,5.96,6.41,"164,652",-
filecoin,"Jun 25, 2018",6.37,6.38,5.84,6.11,"625,378",-
filecoin,"Jun 24, 2018",6.93,7.12,6.18,6.39,"662,900",-
filecoin,"Jun 23, 2018",6.88,7.19,6.73,6.95,"780,120",-
filecoin,"Jun 22, 2018",7.52,7.52,6.72,6.85,"772,813",-
filecoin,"Jun 21, 2018",7.32,7.53,7.02,7.51,"778,614",-
filecoin,"Jun 20, 2018",6.94,7.43,6.93,7.32,"800,680",-
filecoin,"Jun 19, 2018",7.48,8.08,6.84,6.94,"656,566",-
filecoin,"Jun 18, 2018",7.15,7.53,7.09,7.49,"751,273",-
filecoin,"Jun 17, 2018",7.23,7.28,7.15,7.17,"707,490",-
filecoin,"Jun 16, 2018",7.20,7.28,7.05,7.22,"718,638",-
filecoin,"Jun 15, 2018",8.04,8.16,6.95,7.23,"733,508",-
filecoin,"Jun 14, 2018",7.60,8.40,7.54,8.12,"1,179,330",-
filecoin,"Jun 13, 2018",6.99,8.02,6.89,7.61,"946,480",-
filecoin,"Jun 12, 2018",8.06,8.25,6.86,6.97,"814,547",-
filecoin,"Jun 11, 2018",8.17,8.42,6.76,8.09,"878,083",-
filecoin,"Jun 10, 2018",8.91,8.91,8.05,8.16,"925,046",-
filecoin,"Jun 09, 2018",8.70,9.11,8.69,8.90,"969,478",-
filecoin,"Jun 08, 2018",9.13,9.19,8.67,8.74,"890,908",-
filecoin,"Jun 07, 2018",8.96,9.30,8.83,9.13,"945,864",-
filecoin,"Jun 06, 2018",8.99,9.55,8.66,9.00,"794,668",-
filecoin,"Jun 05, 2018",9.12,9.32,8.74,9.08,"420,925",-
filecoin,"Jun 04, 2018",9.43,9.64,8.86,9.25,"460,949",-
filecoin,"Jun 03, 2018",9.66,9.96,9.40,9.47,"480,322",-
filecoin,"Jun 02, 2018",9.16,9.83,8.66,9.67,"550,643",-
filecoin,"Jun 01, 2018",8.42,9.15,8.38,8.99,"448,418",-
filecoin,"May 31, 2018",8.63,9.25,8.09,8.32,"420,755",-
filecoin,"May 30, 2018",8.73,9.53,8.57,8.74,"451,015",-
filecoin,"May 29, 2018",8.19,9.65,7.89,8.73,"349,828",-
filecoin,"May 28, 2018",9.34,9.40,7.89,8.30,"437,465",-
filecoin,"May 27, 2018",8.85,9.43,8.83,9.23,"451,164",-
filecoin,"May 26, 2018",9.30,9.67,8.65,9.27,"442,956",-
filecoin,"May 25, 2018",10.71,10.96,8.61,9.22,"464,096",-
filecoin,"May 24, 2018",10.06,10.75,8.40,10.67,"332,725",-
filecoin,"May 23, 2018",10.29,11.11,9.64,10.14,"643,612",-
filecoin,"May 22, 2018",11.19,11.68,10.33,10.38,"460,149",-
filecoin,"May 21, 2018",11.16,12.34,8.63,11.08,"535,286",-
filecoin,"May 20, 2018",11.05,11.65,10.86,11.11,"523,799",-
filecoin,"May 19, 2018",11.54,11.63,10.17,11.03,"593,852",-
filecoin,"May 18, 2018",10.93,12.02,10.63,11.57,"161,473",-
filecoin,"May 17, 2018",11.05,11.27,10.75,10.85,"546,388",-
filecoin,"May 16, 2018",12.44,12.45,10.30,10.99,"550,250",-
filecoin,"May 15, 2018",13.08,13.20,10.87,12.44,"695,785",-
filecoin,"May 14, 2018",13.39,13.54,12.67,13.00,"439,894",-
filecoin,"May 13, 2018",12.91,13.74,12.69,13.40,"148,997",-
filecoin,"May 12, 2018",12.44,13.21,11.34,12.91,"885,292",-
filecoin,"May 11, 2018",13.76,13.84,12.34,12.48,"757,980",-
filecoin,"May 10, 2018",13.96,14.41,13.69,13.74,"903,479",-
filecoin,"May 09, 2018",14.06,14.23,13.57,14.03,"848,249",-
filecoin,"May 08, 2018",14.09,14.31,13.75,14.06,"954,299",-
filecoin,"May 07, 2018",14.76,14.83,13.94,14.11,"884,658",-
filecoin,"May 06, 2018",14.86,15.49,14.36,14.74,"1,257,520",-
filecoin,"May 05, 2018",14.53,15.27,14.53,14.87,"1,109,340",-
filecoin,"May 04, 2018",14.58,15.03,14.50,14.69,"1,041,700",-
filecoin,"May 03, 2018",14.50,14.85,14.33,14.76,"1,289,080",-
filecoin,"May 02, 2018",14.45,14.60,13.96,14.49,"1,050,700",-
filecoin,"May 01, 2018",14.59,14.60,13.97,14.60,"1,189,140",-
filecoin,"Apr 30, 2018",15.47,15.47,14.43,14.49,"987,335",-
