Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
fujicoin,"Jul 02, 2018",0.000361,0.000398,0.000317,0.000333,923,"472,736"
fujicoin,"Jul 01, 2018",0.000389,0.000392,0.000325,0.000361,134,"510,206"
fujicoin,"Jun 30, 2018",0.000305,0.000390,0.000283,0.000389,"1,806","400,177"
fujicoin,"Jun 29, 2018",0.000250,0.000340,0.000241,0.000305,708,"327,644"
fujicoin,"Jun 28, 2018",0.000338,0.000367,0.000249,0.000250,"2,069","442,921"
fujicoin,"Jun 27, 2018",0.000369,0.000371,0.000274,0.000338,"3,283","483,848"
fujicoin,"Jun 26, 2018",0.000367,0.000378,0.000351,0.000369,206,"481,429"
fujicoin,"Jun 25, 2018",0.000360,0.000377,0.000307,0.000367,798,"472,041"
fujicoin,"Jun 24, 2018",0.000420,0.000420,0.000346,0.000361,92,"550,260"
fujicoin,"Jun 23, 2018",0.000423,0.000430,0.000367,0.000421,400,"555,034"
fujicoin,"Jun 22, 2018",0.000450,0.000451,0.000322,0.000413,997,"590,079"
fujicoin,"Jun 21, 2018",0.000405,0.000471,0.000402,0.000451,"1,165","530,372"
fujicoin,"Jun 20, 2018",0.000433,0.000434,0.000336,0.000404,"1,902","568,115"
fujicoin,"Jun 19, 2018",0.000396,0.000474,0.000348,0.000433,598,"519,155"
fujicoin,"Jun 18, 2018",0.000389,0.000406,0.000336,0.000396,"1,491","509,355"
fujicoin,"Jun 17, 2018",0.000395,0.000396,0.000330,0.000390,411,"517,645"
fujicoin,"Jun 16, 2018",0.000389,0.000410,0.000380,0.000395,490,"509,568"
fujicoin,"Jun 15, 2018",0.000397,0.000443,0.000347,0.000390,"2,066","521,086"
fujicoin,"Jun 14, 2018",0.000388,0.000423,0.000352,0.000398,"1,096","508,730"
fujicoin,"Jun 13, 2018",0.000397,0.000446,0.000377,0.000388,376,"520,523"
fujicoin,"Jun 12, 2018",0.000487,0.000487,0.000392,0.000396,767,"637,949"
fujicoin,"Jun 11, 2018",0.000469,0.000516,0.000402,0.000487,"1,404","614,642"
fujicoin,"Jun 10, 2018",0.000547,0.000556,0.000406,0.000468,"3,179","717,486"
fujicoin,"Jun 09, 2018",0.000466,0.000569,0.000464,0.000547,446,"610,409"
fujicoin,"Jun 08, 2018",0.000534,0.000535,0.000466,0.000466,466,"699,875"
fujicoin,"Jun 07, 2018",0.000488,0.000562,0.000482,0.000534,646,"639,140"
fujicoin,"Jun 06, 2018",0.000488,0.000561,0.000479,0.000487,979,"639,654"
fujicoin,"Jun 05, 2018",0.000498,0.000534,0.000451,0.000488,516,"653,028"
fujicoin,"Jun 04, 2018",0.000539,0.000605,0.000460,0.000498,399,"707,121"
fujicoin,"Jun 03, 2018",0.000542,0.000551,0.000519,0.000539,609,"711,018"
fujicoin,"Jun 02, 2018",0.000527,0.000591,0.000482,0.000542,817,"690,916"
fujicoin,"Jun 01, 2018",0.000524,0.000600,0.000468,0.000527,"1,482","686,968"
fujicoin,"May 31, 2018",0.000590,0.000590,0.000520,0.000524,740,"774,057"
fujicoin,"May 30, 2018",0.000535,0.000595,0.000525,0.000591,671,"700,994"
fujicoin,"May 29, 2018",0.000532,0.000537,0.000497,0.000534,"1,749","696,971"
fujicoin,"May 28, 2018",0.000528,0.000579,0.000497,0.000532,637,"691,670"
fujicoin,"May 27, 2018",0.000513,0.000600,0.000506,0.000528,"1,229","673,113"
fujicoin,"May 26, 2018",0.000604,0.000614,0.000510,0.000513,"1,058","791,236"
fujicoin,"May 25, 2018",0.000607,0.000618,0.000518,0.000604,"2,174","796,002"
fujicoin,"May 24, 2018",0.000578,0.000613,0.000518,0.000606,"2,051","757,417"
