Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
funcoin,"Jul 02, 2018",0.006430,0.006430,0.006430,0.006430,1,"37,606"
funcoin,"Jul 01, 2018",0.005470,0.006480,0.005470,0.006430,31,"31,992"
funcoin,"Jun 30, 2018",0.005470,0.005470,0.005470,0.005470,1,"31,992"
funcoin,"Jun 29, 2018",0.006890,0.006890,0.005470,0.005470,6,"40,297"
funcoin,"Jun 28, 2018",0.005630,0.006890,0.005630,0.006890,32,"32,928"
funcoin,"Jun 27, 2018",0.008420,0.008420,0.005630,0.005630,83,"49,245"
funcoin,"Jun 26, 2018",0.005810,0.008420,0.005630,0.008420,239,"33,980"
funcoin,"Jun 25, 2018",0.008630,0.008850,0.005810,0.005810,38,"50,473"
funcoin,"Jun 24, 2018",0.008630,0.008630,0.008630,0.008630,2,"50,473"
funcoin,"Jun 23, 2018",0.010130,0.010130,0.008630,0.008630,2,"59,246"
funcoin,"Jun 22, 2018",0.013620,0.013620,0.010130,0.010130,2,"79,658"
funcoin,"Jun 21, 2018",0.010870,0.013620,0.010870,0.013620,5,"63,574"
funcoin,"Jun 20, 2018",0.011397,0.011402,0.010870,0.010870,49,"66,658"
funcoin,"Jun 19, 2018",0.012024,0.012204,0.011370,0.011394,165,"70,323"
funcoin,"Jun 18, 2018",0.011453,0.029550,0.011017,0.012029,144,"66,982"
funcoin,"Jun 17, 2018",0.011307,0.011507,0.008643,0.011469,2,"66,133"
funcoin,"Jun 16, 2018",0.011501,0.027997,0.011292,0.011292,46,"67,268"
funcoin,"Jun 15, 2018",0.011050,0.029793,0.010983,0.011510,169,"64,624"
funcoin,"Jun 14, 2018",0.010924,0.011066,0.010920,0.011054,3,"63,892"
funcoin,"Jun 13, 2018",0.007444,0.011630,0.004783,0.010925,3,"43,534"
funcoin,"Jun 12, 2018",0.003293,0.007519,0.003258,0.007429,5,"19,258"
funcoin,"Jun 11, 2018",0.006322,0.006347,0.002889,0.003312,415,"36,974"
funcoin,"Jun 10, 2018",0.009764,0.012220,0.006316,0.006316,276,"57,106"
funcoin,"Jun 09, 2018",0.013911,0.014082,0.003281,0.009745,4,"81,359"
funcoin,"Jun 08, 2018",0.002392,0.014108,0.002353,0.013938,94,"13,991"
funcoin,"Jun 07, 2018",0.011096,0.011134,0.002383,0.002383,94,"64,895"
funcoin,"Jun 06, 2018",0.014031,0.014192,0.006670,0.011096,2,"82,064"
funcoin,"Jun 05, 2018",0.013780,0.014129,0.013698,0.013967,0,"80,596"
funcoin,"Jun 04, 2018",0.013860,0.013860,0.013779,0.013781,2,"81,061"
funcoin,"Jun 03, 2018",0.013058,0.013860,0.013038,0.013860,2,"76,370"
funcoin,"Jun 02, 2018",0.011194,0.013072,0.011146,0.013057,2,"65,467"
funcoin,"Jun 01, 2018",0.011088,0.011274,0.010900,0.011197,4,"64,847"
funcoin,"May 31, 2018",0.012408,0.013580,0.011012,0.011080,13,"72,572"
funcoin,"May 30, 2018",0.012097,0.012524,0.012091,0.012410,2,"70,751"
funcoin,"May 29, 2018",0.010330,0.012160,0.010285,0.012095,2,"60,418"
funcoin,"May 28, 2018",0.011127,0.011128,0.010309,0.010333,11,"65,078"
funcoin,"May 27, 2018",0.012731,0.012731,0.011103,0.011126,93,"74,461"
funcoin,"May 26, 2018",0.009018,0.012787,0.008948,0.012730,6,"52,741"
funcoin,"May 25, 2018",0.009930,0.010033,0.008743,0.008984,24,"58,076"
funcoin,"May 24, 2018",0.011456,0.012687,0.009782,0.009937,131,"67,000"
funcoin,"May 23, 2018",0.013846,0.017561,0.011411,0.011471,32,"80,977"
funcoin,"May 22, 2018",0.014205,0.014205,0.003647,0.013857,237,"83,081"
funcoin,"May 21, 2018",0.015854,0.015901,0.003694,0.014188,"15,350","92,722"
funcoin,"May 20, 2018",0.016608,0.016825,0.014834,0.015840,4,"97,131"
funcoin,"May 19, 2018",0.011739,0.016602,0.011495,0.016602,2,"68,655"
funcoin,"May 18, 2018",0.013747,0.014188,0.008906,0.011750,303,"80,399"
funcoin,"May 17, 2018",0.013336,0.014790,0.013203,0.013703,"15,079","77,998"
