Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
futurexe,"Jun 30, 2018",0.000124,0.000129,0.000124,0.000128,"470,413",29
futurexe,"Jun 29, 2018",0.000117,0.000171,0.000115,0.000123,"455,012",28
futurexe,"Jun 28, 2018",0.000067,0.000122,0.000064,0.000117,"419,318",16
futurexe,"Jun 27, 2018",0.000101,0.000117,0.000061,0.000067,"2,831",24
futurexe,"Jun 26, 2018",0.000076,0.000102,0.000066,0.000101,555,18
futurexe,"Jun 25, 2018",0.000122,0.000124,0.000061,0.000076,778,29
futurexe,"Jun 24, 2018",0.000062,0.000124,0.000058,0.000122,426,15
futurexe,"Jun 23, 2018",0.000097,0.000122,0.000061,0.000062,"2,011",23
futurexe,"Jun 22, 2018",0.000080,0.000110,0.000069,0.000097,"1,129",19
futurexe,"Jun 21, 2018",0.000133,0.000133,0.000069,0.000080,"2,008",31
futurexe,"Jun 20, 2018",0.000068,0.000136,0.000066,0.000133,"8,738",16
futurexe,"Jun 19, 2018",0.000068,0.000202,0.000067,0.000068,"402,425",16
futurexe,"Jun 18, 2018",0.000085,0.000133,0.000064,0.000068,"4,589",20
futurexe,"Jun 17, 2018",0.000062,0.000085,0.000061,0.000085,"1,450",15
futurexe,"Jun 16, 2018",0.000053,0.000103,0.000053,0.000062,737,12
futurexe,"Jun 15, 2018",0.000068,0.000068,0.000053,0.000053,199,16
futurexe,"Jun 14, 2018",0.000062,0.000068,0.000061,0.000068,133,15
futurexe,"Jun 13, 2018",0.000059,0.000102,0.000058,0.000062,653,14
futurexe,"Jun 12, 2018",0.000073,0.000133,0.000059,0.000059,"2,612",17
futurexe,"Jun 11, 2018",0.000066,0.000115,0.000065,0.000073,"1,144",16
futurexe,"Jun 10, 2018",0.000070,0.000078,0.000064,0.000066,708,17
futurexe,"Jun 09, 2018",0.000077,0.000131,0.000070,0.000070,989,18
futurexe,"Jun 08, 2018",0.000076,0.000151,0.000075,0.000077,645,18
futurexe,"Jun 07, 2018",0.000077,0.000126,0.000075,0.000076,"1,815",18
futurexe,"Jun 06, 2018",0.000134,0.000138,0.000075,0.000077,"1,330",32
futurexe,"Jun 05, 2018",0.000068,0.000139,0.000064,0.000134,"6,562",16
futurexe,"Jun 04, 2018",0.000076,0.000077,0.000061,0.000068,"1,293",18
futurexe,"Jun 03, 2018",0.000075,0.000079,0.000071,0.000076,"1,578",18
futurexe,"Jun 02, 2018",0.000075,0.000078,0.000074,0.000075,"4,494",18
futurexe,"Jun 01, 2018",0.000135,0.000140,0.000075,0.000075,"16,969",32
futurexe,"May 31, 2018",0.000074,0.000151,0.000074,0.000083,"21,418",17
futurexe,"May 30, 2018",0.000078,0.000292,0.000073,0.000074,"405,503",18
futurexe,"May 29, 2018",0.000142,0.000148,0.000071,0.000146,"53,334",34
futurexe,"May 28, 2018",0.001836,0.001853,0.000071,0.000142,"51,768",432
futurexe,"May 27, 2018",0.001949,0.001949,0.001809,0.001836,82,459
futurexe,"May 26, 2018",0.002239,0.002355,0.001261,0.001949,265,527
futurexe,"May 25, 2018",0.002083,0.002331,0.001593,0.002241,382,490
futurexe,"May 24, 2018",0.002557,0.002849,0.000752,0.002079,"1,575",602
futurexe,"May 23, 2018",0.003121,0.003166,0.002430,0.002563,226,735
futurexe,"May 22, 2018",0.003375,0.003595,0.002758,0.003125,227,795
futurexe,"May 21, 2018",0.004257,0.004922,0.001708,0.003376,"2,900","1,002"
futurexe,"May 20, 2018",0.004617,0.004641,0.004044,0.004251,14,"1,087"
futurexe,"May 19, 2018",0.004717,0.004723,0.004122,0.004614,145,"1,110"
futurexe,"May 18, 2018",0.004798,0.006963,0.004657,0.004717,179,"1,130"
futurexe,"May 17, 2018",0.004983,0.007051,0.004029,0.004796,224,"1,173"
futurexe,"May 16, 2018",0.007521,0.007528,0.004485,0.004980,697,"1,771"
futurexe,"May 15, 2018",0.004470,0.007852,0.003810,0.007525,406,"1,052"
futurexe,"May 14, 2018",0.004867,0.005799,0.004440,0.004477,38,"1,146"
futurexe,"May 13, 2018",0.005181,0.005216,0.004803,0.004867,17,"1,220"
futurexe,"May 12, 2018",0.005876,0.005924,0.003303,0.005183,242,"1,383"
futurexe,"May 11, 2018",0.006327,0.006327,0.004347,0.005894,38,"1,489"
futurexe,"May 10, 2018",0.003726,0.006393,0.003718,0.006319,611,877
futurexe,"May 09, 2018",0.004584,0.004648,0.003695,0.003727,278,"1,079"
futurexe,"May 08, 2018",0.004095,0.004596,0.003978,0.004051,170,964
futurexe,"May 07, 2018",0.004230,0.005399,0.004064,0.004083,59,996
futurexe,"May 06, 2018",0.005131,0.005181,0.004191,0.004227,305,"1,208"
futurexe,"May 05, 2018",0.005322,0.005419,0.004221,0.005128,104,"1,253"
futurexe,"May 04, 2018",0.005558,0.005784,0.004823,0.005325,296,"1,309"
futurexe,"May 03, 2018",0.006200,0.007605,0.005241,0.005561,211,"1,459"
futurexe,"May 02, 2018",0.004830,0.006802,0.004300,0.006200,789,"1,137"
futurexe,"May 01, 2018",0.005271,0.005573,0.003562,0.004838,264,"1,241"
futurexe,"Apr 30, 2018",0.006136,0.006268,0.003011,0.005264,"1,931","1,445"
futurexe,"Apr 29, 2018",0.007403,0.038716,0.005946,0.006137,"4,494","1,743"
futurexe,"Apr 28, 2018",0.009610,0.037730,0.005016,0.007404,"13,336","2,262"
