Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
fuzex,"Jul 02, 2018",0.032762,0.036677,0.032240,0.036677,"81,052","23,927,200"
fuzex,"Jul 01, 2018",0.031126,0.032888,0.030353,0.032745,"54,382","22,731,800"
fuzex,"Jun 30, 2018",0.030482,0.032019,0.028778,0.031138,"106,712","22,261,700"
fuzex,"Jun 29, 2018",0.032635,0.033361,0.027720,0.030422,"49,830","23,834,300"
fuzex,"Jun 28, 2018",0.027984,0.033632,0.027840,0.032494,"54,117","20,437,400"
fuzex,"Jun 27, 2018",0.027421,0.030576,0.027322,0.027930,"57,268","20,026,100"
fuzex,"Jun 26, 2018",0.027254,0.028950,0.026946,0.027042,"37,715","19,904,300"
fuzex,"Jun 25, 2018",0.027943,0.029075,0.026104,0.027243,"60,761","20,407,600"
fuzex,"Jun 24, 2018",0.031057,0.031128,0.024623,0.028423,"54,376","22,682,100"
fuzex,"Jun 23, 2018",0.029332,0.031240,0.028541,0.031039,"27,803","21,422,000"
fuzex,"Jun 22, 2018",0.034073,0.034370,0.026588,0.028681,"76,059","24,884,300"
fuzex,"Jun 21, 2018",0.032825,0.035024,0.032265,0.034061,"41,900","23,972,500"
fuzex,"Jun 20, 2018",0.033001,0.033742,0.031122,0.032963,"49,566","24,101,300"
fuzex,"Jun 19, 2018",0.032340,0.033856,0.030863,0.032792,"77,610","23,618,600"
fuzex,"Jun 18, 2018",0.033887,0.034165,0.031308,0.032176,"47,021","24,714,500"
fuzex,"Jun 17, 2018",0.031958,0.034431,0.031572,0.033968,"24,250","23,307,200"
fuzex,"Jun 16, 2018",0.032882,0.033623,0.030379,0.031779,"68,124","23,981,600"
fuzex,"Jun 15, 2018",0.037977,0.038093,0.031797,0.033404,"120,221","27,696,800"
fuzex,"Jun 14, 2018",0.029351,0.038324,0.029340,0.038298,"107,577","21,406,200"
fuzex,"Jun 13, 2018",0.033520,0.035218,0.028716,0.029327,"83,310","24,446,400"
fuzex,"Jun 12, 2018",0.039214,0.039642,0.033138,0.033493,"56,177","28,598,800"
fuzex,"Jun 11, 2018",0.039071,0.042294,0.036948,0.039221,"117,315","28,494,300"
fuzex,"Jun 10, 2018",0.050482,0.056138,0.038705,0.039843,"240,373","36,816,700"
fuzex,"Jun 09, 2018",0.054085,0.057490,0.047410,0.051776,"146,681","39,444,400"
fuzex,"Jun 08, 2018",0.050189,0.088172,0.040786,0.054072,"1,789,860","36,602,800"
fuzex,"Jun 07, 2018",0.051844,0.053095,0.048924,0.050169,"1,763,920","37,809,400"
fuzex,"Jun 06, 2018",0.049487,0.051987,0.048743,0.051846,"675,764","36,090,400"
fuzex,"Jun 05, 2018",0.045699,0.050243,0.044046,0.049506,"680,428","33,328,500"
fuzex,"Jun 04, 2018",0.047803,0.053564,0.043868,0.045692,"249,686","34,862,600"
fuzex,"Jun 03, 2018",0.043740,0.051761,0.043724,0.047628,"1,142,250","31,899,400"
fuzex,"Jun 02, 2018",0.042699,0.045505,0.041458,0.043764,"178,602","31,140,000"
fuzex,"Jun 01, 2018",0.041076,0.044658,0.039790,0.042195,"195,529","29,956,600"
fuzex,"May 31, 2018",0.038040,0.043235,0.037672,0.041095,"222,032","27,742,800"
fuzex,"May 30, 2018",0.038275,0.044574,0.037185,0.038025,"121,168","27,913,700"
fuzex,"May 29, 2018",0.035188,0.044855,0.032389,0.038240,"379,083","25,660,300"
fuzex,"May 28, 2018",0.044310,0.044310,0.034242,0.035313,"1,002,450","32,297,800"
fuzex,"May 27, 2018",0.041676,0.047321,0.038227,0.044312,"844,037","30,378,100"
fuzex,"May 26, 2018",0.034954,0.043445,0.028971,0.039587,"566,363","25,478,500"
fuzex,"May 25, 2018",0.040106,0.040190,0.034105,0.034796,"134,691","29,233,500"
fuzex,"May 24, 2018",0.043828,0.044970,0.036257,0.040081,"159,867","31,946,700"
fuzex,"May 23, 2018",0.047953,0.049674,0.040800,0.044670,"235,263","34,953,600"
fuzex,"May 22, 2018",0.057314,0.057314,0.046786,0.049205,"182,395",-
fuzex,"May 21, 2018",0.069916,0.073036,0.054969,0.057397,"263,201",-
fuzex,"May 20, 2018",0.074946,0.075966,0.070209,0.070239,"167,696",-
fuzex,"May 19, 2018",0.072121,0.078177,0.071874,0.074226,"250,053",-
fuzex,"May 18, 2018",0.071426,0.078664,0.068284,0.071980,"274,753",-
fuzex,"May 17, 2018",0.080435,0.085824,0.071053,0.071859,"301,197",-
fuzex,"May 16, 2018",0.081905,0.084779,0.070299,0.080348,"542,315",-
fuzex,"May 15, 2018",0.093913,0.100630,0.082191,0.082772,"550,413",-
fuzex,"May 14, 2018",0.086902,0.100100,0.074323,0.093497,"451,061",-
fuzex,"May 13, 2018",0.077543,0.095012,0.076029,0.086932,"324,606",-
fuzex,"May 12, 2018",0.078323,0.088954,0.072048,0.077631,"348,495",-
fuzex,"May 11, 2018",0.057376,0.085893,0.056823,0.078484,"442,541",-
fuzex,"May 10, 2018",0.033858,0.062633,0.033826,0.057331,"225,465",-
