Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
garlicoin,"Jul 02, 2018",0.013848,0.017100,0.013339,0.014616,"4,535","134,018"
garlicoin,"Jul 01, 2018",0.012968,0.014628,0.012519,0.013841,984,"125,502"
garlicoin,"Jun 30, 2018",0.012787,0.015122,0.012785,0.012964,"1,591","123,746"
garlicoin,"Jun 29, 2018",0.014223,0.015413,0.012147,0.012769,"1,107","137,648"
garlicoin,"Jun 28, 2018",0.012420,0.022207,0.012164,0.014214,"3,342","120,203"
garlicoin,"Jun 27, 2018",0.012744,0.014997,0.011938,0.012404,"1,466","123,330"
garlicoin,"Jun 26, 2018",0.012499,0.013856,0.012106,0.012773,"1,216","120,965"
garlicoin,"Jun 25, 2018",0.012471,0.013683,0.012009,0.012499,950,"120,687"
garlicoin,"Jun 24, 2018",0.013536,0.013559,0.011531,0.012486,636,"131,002"
garlicoin,"Jun 23, 2018",0.012526,0.014125,0.011910,0.013539,"3,011","121,227"
garlicoin,"Jun 22, 2018",0.014301,0.014325,0.012258,0.012516,941,"138,399"
garlicoin,"Jun 21, 2018",0.014358,0.015838,0.014118,0.014317,"1,494","138,949"
garlicoin,"Jun 20, 2018",0.013927,0.014733,0.013195,0.014355,"2,229","134,779"
garlicoin,"Jun 19, 2018",0.013612,0.013988,0.013329,0.013918,251,"131,732"
garlicoin,"Jun 18, 2018",0.014314,0.015153,0.013057,0.013619,625,"138,526"
garlicoin,"Jun 17, 2018",0.014032,0.018372,0.013961,0.014360,"1,360","135,796"
garlicoin,"Jun 16, 2018",0.013529,0.015293,0.013409,0.013997,980,"130,930"
garlicoin,"Jun 15, 2018",0.014916,0.014929,0.012238,0.013577,658,"144,350"
garlicoin,"Jun 14, 2018",0.013225,0.014965,0.010453,0.014935,"2,443","127,993"
garlicoin,"Jun 13, 2018",0.013738,0.014813,0.010546,0.013232,"2,216","132,949"
garlicoin,"Jun 12, 2018",0.016946,0.017247,0.012746,0.013701,"1,875","163,997"
garlicoin,"Jun 11, 2018",0.017634,0.018556,0.015637,0.016937,"2,752","170,657"
garlicoin,"Jun 10, 2018",0.019355,0.020373,0.017225,0.017608,"2,653","187,313"
garlicoin,"Jun 09, 2018",0.022496,0.023155,0.019409,0.019409,"3,530","217,707"
garlicoin,"Jun 08, 2018",0.024083,0.024083,0.022524,0.022524,"1,006","233,068"
garlicoin,"Jun 07, 2018",0.023181,0.027428,0.022959,0.024056,"6,573","224,339"
garlicoin,"Jun 06, 2018",0.022885,0.023411,0.022196,0.023170,950,"221,478"
garlicoin,"Jun 05, 2018",0.022728,0.023954,0.019565,0.022894,"2,620","219,953"
garlicoin,"Jun 04, 2018",0.024463,0.024468,0.022678,0.022713,"1,658","236,751"
garlicoin,"Jun 03, 2018",0.026362,0.026759,0.023960,0.024424,775,"255,127"
garlicoin,"Jun 02, 2018",0.023580,0.026754,0.023477,0.026399,"2,335","228,200"
garlicoin,"Jun 01, 2018",0.024675,0.027058,0.023458,0.023585,"1,963","238,800"
garlicoin,"May 31, 2018",0.026672,0.027414,0.024488,0.024651,"2,769","258,121"
garlicoin,"May 30, 2018",0.026201,0.026740,0.025073,0.026693,"1,178","253,568"
garlicoin,"May 29, 2018",0.025358,0.027175,0.024842,0.026184,"1,684","245,411"
garlicoin,"May 28, 2018",0.030149,0.030955,0.024758,0.025369,"4,135","291,774"
