Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
geertcoin,"Jul 02, 2018",0.004887,0.005518,0.004879,0.005484,83,"24,880"
geertcoin,"Jul 01, 2018",0.004928,0.004928,0.004839,0.004886,157,"25,091"
geertcoin,"Jun 30, 2018",0.005522,0.005754,0.005521,0.005652,564,"28,112"
geertcoin,"Jun 29, 2018",0.004703,0.005609,0.004669,0.005514,666,"23,944"
geertcoin,"Jun 27, 2018",0.005290,0.005321,0.005255,0.005293,223,"26,932"
geertcoin,"Jun 26, 2018",0.004998,0.005426,0.004965,0.005292,522,"25,448"
geertcoin,"Jun 25, 2018",0.003690,0.005401,0.003658,0.004998,207,"18,788"
geertcoin,"Jun 24, 2018",0.003507,0.003754,0.003507,0.003697,18,"17,855"
geertcoin,"Jun 22, 2018",0.005756,0.005756,0.004553,0.005216,3,"29,306"
geertcoin,"Jun 21, 2018",0.004523,0.005763,0.004523,0.005763,646,"23,030"
geertcoin,"Jun 20, 2018",0.005269,0.005748,0.004057,0.004523,"1,813","26,825"
geertcoin,"Jun 19, 2018",0.005765,0.005844,0.005242,0.005266,305,"29,352"
geertcoin,"Jun 18, 2018",0.004537,0.006743,0.004093,0.005768,212,"23,100"
geertcoin,"Jun 17, 2018",0.005110,0.005142,0.003706,0.004553,109,"26,017"
geertcoin,"Jun 16, 2018",0.005009,0.005197,0.004994,0.005097,66,"25,503"
geertcoin,"Jun 15, 2018",0.005616,0.005651,0.004971,0.005028,501,"28,594"
geertcoin,"Jun 14, 2018",0.005288,0.006505,0.005104,0.005626,395,"26,922"
geertcoin,"Jun 13, 2018",0.005793,0.005816,0.004954,0.005290,362,"29,494"
geertcoin,"Jun 12, 2018",0.005992,0.006977,0.005595,0.005778,"1,019","30,507"
geertcoin,"Jun 11, 2018",0.005974,0.006074,0.005164,0.005995,"1,734","30,416"
geertcoin,"Jun 10, 2018",0.006273,0.007388,0.005892,0.005966,"3,112","31,935"
geertcoin,"Jun 09, 2018",0.006629,0.008784,0.006023,0.006265,"3,322","33,751"
geertcoin,"Jun 08, 2018",0.005222,0.016911,0.004762,0.006632,"16,512","26,585"
geertcoin,"Jun 07, 2018",0.005360,0.005424,0.004614,0.005218,567,"27,287"
geertcoin,"Jun 06, 2018",0.005260,0.005382,0.005176,0.005355,115,"26,782"
geertcoin,"Jun 05, 2018",0.005627,0.005633,0.005115,0.005262,35,"28,647"
geertcoin,"Jun 04, 2018",0.006213,0.006229,0.005080,0.005624,193,"31,631"
geertcoin,"Jun 03, 2018",0.004920,0.006335,0.004837,0.006210,339,"25,049"
geertcoin,"Jun 02, 2018",0.005337,0.005377,0.004915,0.004919,22,"27,171"
geertcoin,"Jun 01, 2018",0.005774,0.005846,0.005255,0.005339,83,"29,396"
geertcoin,"May 30, 2018",0.004927,0.004983,0.004821,0.004832,24,"25,083"
geertcoin,"May 29, 2018",0.006051,0.006072,0.004787,0.004923,34,"30,806"
geertcoin,"May 28, 2018",0.004995,0.006185,0.004169,0.006053,288,"25,430"
geertcoin,"May 27, 2018",0.003888,0.005376,0.003834,0.004994,190,"19,793"
geertcoin,"May 26, 2018",0.004406,0.004909,0.003865,0.003886,103,"22,432"
geertcoin,"May 25, 2018",0.004825,0.004889,0.004364,0.004412,38,"24,566"
geertcoin,"May 24, 2018",0.004888,0.005019,0.004730,0.004899,29,"24,884"
geertcoin,"May 23, 2018",0.004962,0.005177,0.004856,0.004900,160,"25,263"
geertcoin,"May 22, 2018",0.004083,0.005509,0.004021,0.004967,105,"20,787"
geertcoin,"May 21, 2018",0.004950,0.006297,0.004028,0.004084,382,"25,200"
