Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
global-tour-coin,"Jul 02, 2018",0.003173,0.003175,0.002652,0.002775,277,"94,841"
global-tour-coin,"Jul 01, 2018",0.002619,0.003196,0.002597,0.003173,768,"78,269"
global-tour-coin,"Jun 30, 2018",0.003351,0.003492,0.002591,0.002618,282,"100,142"
global-tour-coin,"Jun 29, 2018",0.003404,0.003422,0.002412,0.003346,"3,602","101,728"
global-tour-coin,"Jun 28, 2018",0.002883,0.003542,0.002796,0.003402,186,"86,163"
global-tour-coin,"Jun 27, 2018",0.003040,0.003192,0.002879,0.002882,"1,386","90,863"
global-tour-coin,"Jun 26, 2018",0.002499,0.003116,0.002482,0.003041,602,"74,696"
global-tour-coin,"Jun 25, 2018",0.002645,0.002653,0.002497,0.002499,9,"79,045"
global-tour-coin,"Jun 24, 2018",0.002282,0.002690,0.002099,0.002650,248,"68,193"
global-tour-coin,"Jun 23, 2018",0.002965,0.003011,0.002195,0.002282,154,"88,630"
global-tour-coin,"Jun 22, 2018",0.002484,0.003179,0.002259,0.002965,297,"74,252"
global-tour-coin,"Jun 21, 2018",0.002701,0.002975,0.002478,0.002487,58,"80,713"
global-tour-coin,"Jun 20, 2018",0.002770,0.003259,0.002700,0.002700,112,"82,774"
global-tour-coin,"Jun 19, 2018",0.003298,0.003306,0.002748,0.002768,349,"98,563"
global-tour-coin,"Jun 18, 2018",0.002656,0.003315,0.002634,0.003300,271,"79,370"
global-tour-coin,"Jun 17, 2018",0.002807,0.002828,0.002593,0.002665,56,"83,894"
global-tour-coin,"Jun 16, 2018",0.002826,0.002838,0.002509,0.002800,19,"84,453"
global-tour-coin,"Jun 15, 2018",0.002857,0.002982,0.002241,0.002836,"1,051","85,383"
global-tour-coin,"Jun 14, 2018",0.002781,0.002875,0.002735,0.002862,7,"83,103"
global-tour-coin,"Jun 13, 2018",0.002893,0.002896,0.002729,0.002782,176,"86,478"
global-tour-coin,"Jun 12, 2018",0.002755,0.002755,0.002731,0.002740,37,"82,340"
global-tour-coin,"Jun 11, 2018",0.002913,0.002932,0.002677,0.002756,37,"87,074"
global-tour-coin,"Jun 10, 2018",0.003302,0.003302,0.002867,0.002909,49,"98,699"
global-tour-coin,"Jun 09, 2018",0.003356,0.003381,0.003036,0.003298,29,"100,300"
global-tour-coin,"Jun 08, 2018",0.002996,0.003372,0.002975,0.003357,690,"89,548"
global-tour-coin,"Jun 07, 2018",0.003446,0.003487,0.002984,0.002994,300,"102,978"
global-tour-coin,"Jun 06, 2018",0.002973,0.003460,0.002856,0.003442,291,"88,865"
global-tour-coin,"Jun 05, 2018",0.003226,0.003266,0.002731,0.002974,315,"96,417"
global-tour-coin,"Jun 04, 2018",0.002929,0.003225,0.002764,0.003224,37,"87,552"
global-tour-coin,"Jun 03, 2018",0.003359,0.003367,0.002888,0.002928,52,"100,402"
global-tour-coin,"Jun 02, 2018",0.003307,0.003370,0.002766,0.003358,3,"98,847"
global-tour-coin,"Jun 01, 2018",0.002622,0.003316,0.002618,0.003309,177,"78,367"
global-tour-coin,"May 31, 2018",0.002584,0.003246,0.002571,0.002620,"1,312","77,227"
global-tour-coin,"May 30, 2018",0.002986,0.003020,0.002557,0.002584,343,"89,239"
global-tour-coin,"May 29, 2018",0.003203,0.003215,0.002778,0.002984,293,"95,739"
global-tour-coin,"May 28, 2018",0.003232,0.003265,0.002887,0.003204,287,"96,595"
global-tour-coin,"May 27, 2018",0.003081,0.003240,0.002905,0.003231,190,"92,075"
global-tour-coin,"May 26, 2018",0.003435,0.003507,0.003063,0.003079,4,"102,671"
global-tour-coin,"May 25, 2018",0.003479,0.003520,0.003188,0.003440,59,"103,974"
global-tour-coin,"May 24, 2018",0.003459,0.003552,0.003129,0.003472,245,"103,380"
global-tour-coin,"May 23, 2018",0.003878,0.003903,0.003338,0.003468,316,"115,894"
global-tour-coin,"May 22, 2018",0.004204,0.004207,0.004037,0.004046,1,"125,642"
global-tour-coin,"May 21, 2018",0.004264,0.004290,0.003941,0.004205,41,"127,431"
global-tour-coin,"May 20, 2018",0.004123,0.004291,0.004096,0.004258,243,"123,217"
global-tour-coin,"May 19, 2018",0.004284,0.004701,0.003702,0.004120,"1,313","128,045"
global-tour-coin,"May 18, 2018",0.004201,0.004300,0.003389,0.004285,901,"125,545"
global-tour-coin,"May 17, 2018",0.004258,0.004938,0.004172,0.004197,"2,971","127,250"
global-tour-coin,"May 16, 2018",0.004583,0.005137,0.004212,0.004255,301,"136,960"
global-tour-coin,"May 15, 2018",0.003897,0.005567,0.003897,0.004585,"1,956","116,485"
global-tour-coin,"May 14, 2018",0.004345,0.004412,0.004163,0.004379,5,"129,865"
global-tour-coin,"May 13, 2018",0.004742,0.004774,0.004284,0.004346,285,"141,724"
global-tour-coin,"May 12, 2018",0.004114,0.004788,0.004047,0.004744,376,"122,942"
global-tour-coin,"May 11, 2018",0.004067,0.004247,0.003919,0.004126,395,"121,554"
global-tour-coin,"May 10, 2018",0.004564,0.004587,0.004058,0.004062,240,"136,400"
global-tour-coin,"May 09, 2018",0.005335,0.005505,0.004342,0.004565,"2,009","159,461"
global-tour-coin,"May 08, 2018",0.005620,0.005672,0.005308,0.005344,192,"167,971"
global-tour-coin,"May 07, 2018",0.006057,0.006060,0.005525,0.005608,98,"181,017"
global-tour-coin,"May 06, 2018",0.007568,0.007639,0.005718,0.006052,553,"226,190"
global-tour-coin,"May 05, 2018",0.006203,0.007870,0.005802,0.007563,"3,269","185,400"
global-tour-coin,"May 04, 2018",0.005459,0.006333,0.005355,0.006206,597,"163,146"
global-tour-coin,"May 03, 2018",0.005716,0.005748,0.005144,0.005461,"1,012","170,833"
global-tour-coin,"May 02, 2018",0.005904,0.005910,0.005409,0.005716,815,"176,460"
global-tour-coin,"May 01, 2018",0.005452,0.007362,0.004500,0.005913,"7,521","162,949"
global-tour-coin,"Apr 30, 2018",0.004889,0.005517,0.004758,0.005447,159,"146,113"
global-tour-coin,"Apr 29, 2018",0.005420,0.005552,0.004883,0.004890,217,"162,001"
global-tour-coin,"Apr 28, 2018",0.004636,0.005645,0.004624,0.005422,844,"138,562"
global-tour-coin,"Apr 27, 2018",0.005764,0.006181,0.003684,0.004652,"1,176","172,277"
global-tour-coin,"Apr 26, 2018",0.005495,0.006048,0.003198,0.006035,"7,109","164,233"
global-tour-coin,"Apr 25, 2018",0.005916,0.006237,0.005319,0.005450,642,"176,808"
global-tour-coin,"Apr 24, 2018",0.006515,0.006973,0.005595,0.005956,"3,554","194,723"
global-tour-coin,"Apr 23, 2018",0.005796,0.006517,0.005477,0.006510,"2,850","173,215"
global-tour-coin,"Apr 22, 2018",0.006785,0.006882,0.005777,0.005807,"1,803","202,801"
global-tour-coin,"Apr 21, 2018",0.006189,0.007083,0.006142,0.006785,725,"184,983"
global-tour-coin,"Apr 20, 2018",0.006698,0.006755,0.005715,0.006187,"2,712","200,178"
global-tour-coin,"Apr 19, 2018",0.005878,0.006872,0.005700,0.006693,"5,036","175,688"
global-tour-coin,"Apr 18, 2018",0.005843,0.006230,0.005532,0.005874,"3,270","174,636"
global-tour-coin,"Apr 17, 2018",0.006520,0.006520,0.005819,0.005838,184,"194,868"
global-tour-coin,"Apr 16, 2018",0.005842,0.008763,0.005573,0.006517,"9,162","174,593"
global-tour-coin,"Apr 15, 2018",0.006001,0.006278,0.005835,0.005844,"1,018","179,352"
global-tour-coin,"Apr 14, 2018",0.006451,0.006604,0.005819,0.005994,114,"192,801"
global-tour-coin,"Apr 13, 2018",0.006018,0.006882,0.005379,0.006451,"5,464","179,860"
global-tour-coin,"Apr 12, 2018",0.005140,0.006387,0.004599,0.006010,"2,666","153,631"
global-tour-coin,"Apr 11, 2018",0.004782,0.006091,0.004780,0.005153,"5,742","142,912"
global-tour-coin,"Apr 10, 2018",0.004529,0.004806,0.004498,0.004777,222,"135,374"
global-tour-coin,"Apr 09, 2018",0.004566,0.005019,0.004434,0.004526,84,"136,477"
global-tour-coin,"Apr 08, 2018",0.004488,0.004666,0.004488,0.004559,35,"134,128"
global-tour-coin,"Apr 07, 2018",0.004171,0.004647,0.004165,0.004484,60,"124,674"
global-tour-coin,"Apr 06, 2018",0.005015,0.005067,0.004130,0.004166,85,"149,871"
global-tour-coin,"Apr 05, 2018",0.004754,0.005321,0.004603,0.005040,174,"142,092"
global-tour-coin,"Apr 04, 2018",0.005562,0.006207,0.004415,0.004752,"2,612","166,242"
global-tour-coin,"Apr 03, 2018",0.006062,0.006172,0.005474,0.005566,"1,996","181,186"
global-tour-coin,"Apr 02, 2018",0.006006,0.006195,0.005837,0.006058,"2,058","179,508"
global-tour-coin,"Apr 01, 2018",0.005890,0.006007,0.005546,0.005977,220,"176,046"
global-tour-coin,"Mar 31, 2018",0.005948,0.006165,0.005755,0.005890,589,"177,780"
global-tour-coin,"Mar 30, 2018",0.006234,0.006264,0.005745,0.005947,238,"186,310"
global-tour-coin,"Mar 29, 2018",0.006432,0.006708,0.006067,0.006249,282,"192,248"
global-tour-coin,"Mar 28, 2018",0.006697,0.007224,0.006363,0.006425,997,"200,145"
global-tour-coin,"Mar 27, 2018",0.007352,0.007476,0.006690,0.006698,322,"219,737"
global-tour-coin,"Mar 26, 2018",0.007174,0.007698,0.006745,0.007363,"1,363","214,409"
global-tour-coin,"Mar 25, 2018",0.007738,0.007819,0.007050,0.007179,"1,258","231,263"
global-tour-coin,"Mar 24, 2018",0.008734,0.008743,0.007827,0.007846,630,"261,026"
global-tour-coin,"Mar 23, 2018",0.007657,0.008608,0.007558,0.008608,531,"228,853"
global-tour-coin,"Mar 22, 2018",0.008273,0.008436,0.007522,0.007657,"1,247","247,254"
global-tour-coin,"Mar 21, 2018",0.008370,0.009258,0.007936,0.008288,"2,711","250,160"
global-tour-coin,"Mar 20, 2018",0.007847,0.008645,0.007595,0.008355,"1,229","234,531"
global-tour-coin,"Mar 19, 2018",0.007453,0.007985,0.007407,0.007761,84,"222,756"
global-tour-coin,"Mar 18, 2018",0.007650,0.007650,0.006751,0.007485,277,"228,638"
global-tour-coin,"Mar 17, 2018",0.007886,0.008319,0.007515,0.007669,424,"235,702"
global-tour-coin,"Mar 16, 2018",0.007517,0.008375,0.007236,0.007873,722,"224,668"
global-tour-coin,"Mar 15, 2018",0.007797,0.008999,0.007272,0.007521,"3,224","233,024"
global-tour-coin,"Mar 14, 2018",0.008692,0.008915,0.007596,0.007800,"2,860","259,777"
global-tour-coin,"Mar 13, 2018",0.008271,0.008818,0.008164,0.008691,"1,757","247,192"
global-tour-coin,"Mar 12, 2018",0.008399,0.009793,0.008019,0.008319,"1,945","251,025"
global-tour-coin,"Mar 11, 2018",0.008512,0.009018,0.007910,0.008426,"1,581","254,402"
global-tour-coin,"Mar 10, 2018",0.008056,0.009316,0.007968,0.008541,"2,729","240,770"
global-tour-coin,"Mar 09, 2018",0.008364,0.008485,0.007549,0.008052,347,"249,980"
global-tour-coin,"Mar 08, 2018",0.008803,0.008935,0.008156,0.008417,631,"263,087"
global-tour-coin,"Mar 07, 2018",0.009218,0.009357,0.008084,0.008815,336,"275,510"
global-tour-coin,"Mar 06, 2018",0.010010,0.010847,0.009122,0.009230,"2,155","299,161"
global-tour-coin,"Mar 05, 2018",0.010003,0.010606,0.009934,0.010037,194,"298,961"
global-tour-coin,"Mar 04, 2018",0.010067,0.011140,0.008807,0.010010,"5,965","300,878"
global-tour-coin,"Mar 03, 2018",0.010138,0.010586,0.009931,0.010084,212,"302,993"
global-tour-coin,"Mar 02, 2018",0.010467,0.010704,0.009112,0.010150,"1,376","312,846"
global-tour-coin,"Mar 01, 2018",0.008879,0.010831,0.008810,0.010495,"9,706","265,385"
global-tour-coin,"Feb 28, 2018",0.010878,0.011076,0.008859,0.008866,"5,536","325,106"
global-tour-coin,"Feb 27, 2018",0.008249,0.011021,0.008034,0.010890,"7,513","246,551"
global-tour-coin,"Feb 26, 2018",0.007573,0.008332,0.007339,0.008226,911,"226,348"
