Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
gochain,"Jul 02, 2018",0.031085,0.036215,0.027647,0.034631,"2,028,870",-
gochain,"Jul 01, 2018",0.025841,0.031328,0.025078,0.031018,"889,228",-
gochain,"Jun 30, 2018",0.022909,0.025864,0.022811,0.025822,"147,171",-
gochain,"Jun 29, 2018",0.021278,0.023573,0.021009,0.022907,"485,051",-
gochain,"Jun 28, 2018",0.023296,0.023935,0.021185,0.021283,"696,126",-
gochain,"Jun 27, 2018",0.022239,0.023416,0.020774,0.023305,"781,872",-
gochain,"Jun 26, 2018",0.024830,0.024969,0.021441,0.022325,"831,911",-
gochain,"Jun 25, 2018",0.025543,0.026012,0.023833,0.024863,"484,469",-
gochain,"Jun 24, 2018",0.027606,0.028168,0.022913,0.025619,"384,430",-
gochain,"Jun 23, 2018",0.024933,0.028122,0.023772,0.026939,"263,845",-
gochain,"Jun 22, 2018",0.029945,0.032964,0.023936,0.024943,"859,043",-
gochain,"Jun 21, 2018",0.027924,0.032595,0.027784,0.029454,"802,701",-
gochain,"Jun 20, 2018",0.024632,0.034451,0.022330,0.027954,"5,513,710",-
gochain,"Jun 19, 2018",0.019224,0.025559,0.018866,0.024581,"1,855,710",-
gochain,"Jun 18, 2018",0.020104,0.020583,0.017369,0.019205,"1,502,800",-
gochain,"Jun 17, 2018",0.020424,0.021126,0.019761,0.020141,"979,390",-
gochain,"Jun 16, 2018",0.021748,0.021820,0.019230,0.020578,"1,233,170",-
gochain,"Jun 15, 2018",0.022888,0.022901,0.019837,0.021820,"1,599,050",-
gochain,"Jun 14, 2018",0.023372,0.023939,0.017954,0.022912,"2,490,340",-
gochain,"Jun 13, 2018",0.022758,0.024636,0.022153,0.023339,"1,495,680",-
