Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
golem-network-tokens,"Jul 02, 2018",0.335099,0.380293,0.326486,0.376438,"13,541,700","281,229,000"
golem-network-tokens,"Jul 01, 2018",0.363117,0.363117,0.325399,0.336770,"8,100,870","304,743,000"
golem-network-tokens,"Jun 30, 2018",0.309076,0.366530,0.301204,0.362737,"21,233,000","259,390,000"
golem-network-tokens,"Jun 29, 2018",0.278874,0.309978,0.274018,0.309978,"8,977,810","234,043,000"
golem-network-tokens,"Jun 28, 2018",0.296145,0.313664,0.276505,0.279116,"6,960,170","248,537,000"
golem-network-tokens,"Jun 27, 2018",0.293389,0.300351,0.288893,0.296054,"4,836,360","246,225,000"
golem-network-tokens,"Jun 26, 2018",0.336665,0.336665,0.293621,0.293621,"8,379,990","282,544,000"
golem-network-tokens,"Jun 25, 2018",0.283894,0.339784,0.277935,0.337388,"8,709,120","238,256,000"
golem-network-tokens,"Jun 24, 2018",0.308890,0.308890,0.265048,0.284483,"5,652,340","259,233,000"
golem-network-tokens,"Jun 23, 2018",0.313783,0.318717,0.305251,0.308850,"3,543,870","263,340,000"
golem-network-tokens,"Jun 22, 2018",0.361778,0.363993,0.307088,0.313350,"5,717,510","303,620,000"
golem-network-tokens,"Jun 21, 2018",0.369609,0.375824,0.359949,0.361935,"4,282,960","310,191,000"
golem-network-tokens,"Jun 20, 2018",0.384587,0.385093,0.355858,0.368640,"7,774,320","322,762,000"
golem-network-tokens,"Jun 19, 2018",0.386958,0.391058,0.379884,0.384456,"6,574,050","324,751,000"
golem-network-tokens,"Jun 18, 2018",0.379933,0.386356,0.368739,0.386356,"4,700,850","318,855,000"
golem-network-tokens,"Jun 17, 2018",0.382220,0.385251,0.377672,0.380121,"3,704,050","320,775,000"
golem-network-tokens,"Jun 16, 2018",0.382363,0.393518,0.374892,0.381962,"5,550,460","320,895,000"
golem-network-tokens,"Jun 15, 2018",0.393366,0.411678,0.378523,0.382869,"9,432,040","330,129,000"
golem-network-tokens,"Jun 14, 2018",0.373982,0.393678,0.365970,0.392986,"10,545,000","313,861,000"
golem-network-tokens,"Jun 13, 2018",0.409486,0.414294,0.350229,0.369089,"10,066,600","343,658,000"
golem-network-tokens,"Jun 12, 2018",0.453389,0.461877,0.399170,0.402544,"10,173,200","380,503,000"
golem-network-tokens,"Jun 11, 2018",0.440202,0.453605,0.411291,0.453605,"11,114,700","369,436,000"
golem-network-tokens,"Jun 10, 2018",0.522428,0.522428,0.417638,0.434229,"13,397,200","438,444,000"
golem-network-tokens,"Jun 09, 2018",0.548056,0.553993,0.521541,0.521541,"7,635,800","459,952,000"
golem-network-tokens,"Jun 08, 2018",0.569384,0.569384,0.537508,0.547897,"10,786,000","477,851,000"
golem-network-tokens,"Jun 07, 2018",0.579311,0.592389,0.567057,0.568808,"11,887,100","486,182,000"
golem-network-tokens,"Jun 06, 2018",0.587052,0.597687,0.568331,0.579370,"13,811,400","492,678,000"
golem-network-tokens,"Jun 05, 2018",0.585776,0.590938,0.561778,0.586887,"15,753,900","491,607,000"
golem-network-tokens,"Jun 04, 2018",0.623927,0.649624,0.576611,0.585820,"29,901,000","523,625,000"
golem-network-tokens,"Jun 03, 2018",0.618547,0.629541,0.612100,0.624821,"22,376,900","519,110,000"
golem-network-tokens,"Jun 02, 2018",0.617899,0.632309,0.607715,0.618990,"26,198,600","518,567,000"
golem-network-tokens,"Jun 01, 2018",0.609355,0.637755,0.599345,0.618659,"34,103,700","511,396,000"
golem-network-tokens,"May 31, 2018",0.648529,0.669637,0.599417,0.608989,"68,145,600","544,273,000"
golem-network-tokens,"May 30, 2018",0.529135,0.650313,0.529135,0.641308,"64,120,000","444,073,000"
golem-network-tokens,"May 29, 2018",0.465621,0.549594,0.462813,0.528271,"25,683,000","390,769,000"
golem-network-tokens,"May 28, 2018",0.479164,0.502102,0.454269,0.464292,"21,421,600","402,135,000"
golem-network-tokens,"May 27, 2018",0.464329,0.483928,0.454237,0.477856,"10,850,900","387,651,000"
golem-network-tokens,"May 26, 2018",0.471580,0.478818,0.463127,0.464427,"9,468,260","393,704,000"
golem-network-tokens,"May 25, 2018",0.479146,0.511620,0.466632,0.472034,"21,529,900","400,021,000"
golem-network-tokens,"May 24, 2018",0.473256,0.511279,0.447210,0.478798,"13,657,300","395,104,000"
golem-network-tokens,"May 23, 2018",0.505633,0.520478,0.455927,0.473520,"17,774,800","422,134,000"
golem-network-tokens,"May 22, 2018",0.531115,0.543549,0.492687,0.510563,"13,374,300","443,408,000"
golem-network-tokens,"May 21, 2018",0.532782,0.540224,0.515501,0.531322,"7,983,570","444,799,000"
golem-network-tokens,"May 20, 2018",0.517648,0.541840,0.513203,0.532384,"8,750,250","432,165,000"
golem-network-tokens,"May 19, 2018",0.522127,0.525349,0.509007,0.517208,"7,340,840","435,904,000"
golem-network-tokens,"May 18, 2018",0.518000,0.520917,0.498920,0.520917,"11,923,400","432,458,000"
golem-network-tokens,"May 17, 2018",0.555707,0.590529,0.513521,0.517768,"15,955,100","463,939,000"
golem-network-tokens,"May 16, 2018",0.568568,0.591516,0.525590,0.555121,"16,365,700","474,676,000"
golem-network-tokens,"May 15, 2018",0.622495,0.622686,0.565437,0.570059,"12,900,700","519,324,000"
golem-network-tokens,"May 14, 2018",0.630726,0.640955,0.585353,0.624987,"27,557,000","526,190,000"
golem-network-tokens,"May 13, 2018",0.573967,0.628283,0.558187,0.618336,"27,229,400","478,839,000"
golem-network-tokens,"May 12, 2018",0.575790,0.601992,0.525369,0.574128,"27,725,500","480,360,000"
golem-network-tokens,"May 11, 2018",0.646870,0.675238,0.549559,0.577102,"45,789,400","539,659,000"
golem-network-tokens,"May 10, 2018",0.710792,0.712645,0.638076,0.642644,"25,487,300","592,986,000"
golem-network-tokens,"May 09, 2018",0.739774,0.739774,0.672894,0.710575,"30,652,400","617,165,000"
golem-network-tokens,"May 08, 2018",0.775386,0.775586,0.728316,0.743799,"27,712,500","646,875,000"
golem-network-tokens,"May 07, 2018",0.748631,0.816808,0.748201,0.775338,"82,055,800","624,555,000"
golem-network-tokens,"May 06, 2018",0.789530,0.790104,0.736051,0.748374,"30,187,900","658,675,000"
golem-network-tokens,"May 05, 2018",0.798926,0.803934,0.780985,0.789487,"35,525,800","666,513,000"
golem-network-tokens,"May 04, 2018",0.839145,0.862035,0.761500,0.801007,"106,960,000","700,066,000"
golem-network-tokens,"May 03, 2018",0.733259,0.911248,0.701893,0.815141,"521,277,000","611,730,000"
golem-network-tokens,"May 02, 2018",0.575133,0.780607,0.559938,0.697526,"115,785,000","479,812,000"
golem-network-tokens,"May 01, 2018",0.556414,0.593539,0.551815,0.577077,"33,778,300","464,195,000"
golem-network-tokens,"Apr 30, 2018",0.592992,0.593844,0.553274,0.556403,"15,580,300","494,710,000"
golem-network-tokens,"Apr 29, 2018",0.603775,0.611882,0.569850,0.594552,"24,486,000","503,707,000"
golem-network-tokens,"Apr 28, 2018",0.583951,0.612709,0.583951,0.605093,"25,867,400","487,168,000"
golem-network-tokens,"Apr 27, 2018",0.546754,0.714944,0.538283,0.588227,"154,071,000","456,136,000"
golem-network-tokens,"Apr 26, 2018",0.542237,0.584550,0.500346,0.552330,"48,797,600","452,367,000"
golem-network-tokens,"Apr 25, 2018",0.620582,0.620582,0.504734,0.523048,"42,323,700","517,728,000"
golem-network-tokens,"Apr 24, 2018",0.597546,0.636428,0.588694,0.626763,"68,198,400","498,510,000"
golem-network-tokens,"Apr 23, 2018",0.566490,0.666262,0.564051,0.602848,"101,940,000","472,601,000"
golem-network-tokens,"Apr 22, 2018",0.519033,0.599508,0.499650,0.574534,"62,680,600","433,009,000"
golem-network-tokens,"Apr 21, 2018",0.465092,0.540139,0.446046,0.533376,"83,985,000","388,009,000"
golem-network-tokens,"Apr 20, 2018",0.451153,0.466461,0.429197,0.463959,"26,255,600","376,380,000"
golem-network-tokens,"Apr 19, 2018",0.444484,0.456704,0.427522,0.451066,"30,695,700","370,816,000"
golem-network-tokens,"Apr 18, 2018",0.420961,0.446795,0.420092,0.446613,"27,661,500","351,192,000"
golem-network-tokens,"Apr 17, 2018",0.408813,0.424397,0.400096,0.421045,"23,943,600","341,057,000"
golem-network-tokens,"Apr 16, 2018",0.427302,0.427302,0.396743,0.408273,"23,719,200","356,482,000"
golem-network-tokens,"Apr 15, 2018",0.423400,0.440465,0.401612,0.428294,"60,301,300","353,227,000"
golem-network-tokens,"Apr 14, 2018",0.487712,0.487712,0.414947,0.425973,"62,300,500","406,880,000"
golem-network-tokens,"Apr 13, 2018",0.298908,0.822031,0.286573,0.486924,"356,189,000","249,367,000"
golem-network-tokens,"Apr 12, 2018",0.280378,0.305693,0.257012,0.299937,"14,213,300","233,908,000"
golem-network-tokens,"Apr 11, 2018",0.283872,0.293462,0.264361,0.280802,"16,304,300","236,823,000"
golem-network-tokens,"Apr 10, 2018",0.294199,0.298733,0.223254,0.287536,"51,350,600","245,439,000"
golem-network-tokens,"Apr 09, 2018",0.203097,0.271025,0.196135,0.249145,"15,521,400","169,436,000"
golem-network-tokens,"Apr 08, 2018",0.194653,0.204678,0.193432,0.203606,"5,622,260","162,392,000"
golem-network-tokens,"Apr 07, 2018",0.186584,0.210911,0.185818,0.194332,"5,403,980","155,660,000"
golem-network-tokens,"Apr 06, 2018",0.195025,0.196211,0.182627,0.186843,"5,137,500","162,702,000"
golem-network-tokens,"Apr 05, 2018",0.197502,0.198049,0.190067,0.195989,"5,545,630","164,768,000"
golem-network-tokens,"Apr 04, 2018",0.219717,0.219717,0.196192,0.197561,"5,480,790","183,301,000"
golem-network-tokens,"Apr 03, 2018",0.208207,0.222042,0.205530,0.219642,"6,679,420","173,699,000"
golem-network-tokens,"Apr 02, 2018",0.193728,0.208239,0.192994,0.207950,"5,375,110","161,620,000"
golem-network-tokens,"Apr 01, 2018",0.201298,0.205354,0.182331,0.192915,"5,596,180","167,935,000"
golem-network-tokens,"Mar 31, 2018",0.192890,0.209758,0.190796,0.200908,"5,576,330","160,921,000"
golem-network-tokens,"Mar 30, 2018",0.213755,0.215329,0.188821,0.192858,"6,130,390","178,327,000"
golem-network-tokens,"Mar 29, 2018",0.258210,0.263847,0.210597,0.214868,"6,950,760","215,414,000"
golem-network-tokens,"Mar 28, 2018",0.235419,0.258896,0.234533,0.257964,"7,489,990","196,401,000"
golem-network-tokens,"Mar 27, 2018",0.251028,0.254914,0.227004,0.235863,"5,495,980","209,423,000"
golem-network-tokens,"Mar 26, 2018",0.252940,0.254019,0.223723,0.250764,"6,841,170","211,018,000"
golem-network-tokens,"Mar 25, 2018",0.240091,0.260978,0.237006,0.253141,"6,928,530","200,299,000"
golem-network-tokens,"Mar 24, 2018",0.251439,0.256728,0.236117,0.243638,"6,753,610","209,766,000"
golem-network-tokens,"Mar 23, 2018",0.246034,0.248754,0.233033,0.248754,"5,938,710","205,257,000"
golem-network-tokens,"Mar 22, 2018",0.250747,0.259073,0.241256,0.246025,"6,172,200","209,189,000"
golem-network-tokens,"Mar 21, 2018",0.252803,0.265013,0.248350,0.250973,"6,593,470","210,904,000"
golem-network-tokens,"Mar 20, 2018",0.250263,0.253248,0.221438,0.252567,"7,422,830","208,785,000"
