Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
granitecoin,"Jul 02, 2018",0.003935,0.004055,0.003831,0.004030,332,"155,231"
granitecoin,"Jul 01, 2018",0.003896,0.003963,0.003834,0.003934,10,"153,708"
granitecoin,"Jun 30, 2018",0.003289,0.003917,0.003288,0.003895,317,"129,566"
granitecoin,"Jun 29, 2018",0.003228,0.003341,0.003075,0.003284,27,"127,062"
granitecoin,"Jun 28, 2018",0.003496,0.003507,0.003207,0.003226,21,"137,637"
granitecoin,"Jun 27, 2018",0.003223,0.003512,0.003202,0.003495,99,"126,859"
granitecoin,"Jun 26, 2018",0.003374,0.003473,0.003077,0.003224,450,"132,809"
granitecoin,"Jun 25, 2018",0.003321,0.003411,0.003292,0.003374,19,"130,724"
granitecoin,"Jun 24, 2018",0.003330,0.003379,0.003147,0.003328,7,"131,057"
granitecoin,"Jun 23, 2018",0.003389,0.003444,0.003293,0.003330,8,"133,368"
granitecoin,"Jun 22, 2018",0.003962,0.003968,0.003329,0.003389,13,"155,889"
granitecoin,"Jun 21, 2018",0.003781,0.003990,0.003713,0.003966,35,"148,770"
granitecoin,"Jun 20, 2018",0.003850,0.003864,0.003698,0.003780,193,"151,494"
granitecoin,"Jun 19, 2018",0.003769,0.003852,0.003560,0.003848,55,"148,282"
granitecoin,"Jun 18, 2018",0.003692,0.003771,0.003483,0.003771,19,"145,249"
granitecoin,"Jun 17, 2018",0.004047,0.004075,0.003692,0.003705,15,"159,213"
granitecoin,"Jun 16, 2018",0.003596,0.004075,0.003455,0.004037,34,"141,458"
granitecoin,"Jun 15, 2018",0.004318,0.004324,0.003408,0.003610,509,"169,510"
granitecoin,"Jun 14, 2018",0.003855,0.004346,0.003847,0.004326,4,"151,312"
granitecoin,"Jun 13, 2018",0.004411,0.004416,0.003784,0.003857,122,"173,128"
granitecoin,"Jun 12, 2018",0.004752,0.004752,0.003904,0.004399,411,"186,254"
granitecoin,"Jun 11, 2018",0.005217,0.005250,0.004060,0.004755,470,"204,209"
granitecoin,"Jun 10, 2018",0.004954,0.005828,0.004750,0.005210,37,"193,896"
granitecoin,"Jun 09, 2018",0.006636,0.006652,0.004947,0.004947,252,"259,165"
granitecoin,"Jun 08, 2018",0.004917,0.006668,0.004890,0.006638,702,"192,035"
granitecoin,"Jun 07, 2018",0.006049,0.006121,0.004896,0.004913,266,"236,018"
granitecoin,"Jun 06, 2018",0.005794,0.006075,0.005036,0.006043,153,"226,080"
granitecoin,"Jun 05, 2018",0.006602,0.006609,0.004437,0.005796,300,"257,243"
granitecoin,"Jun 04, 2018",0.006553,0.006704,0.006530,0.006599,27,"255,316"
granitecoin,"Jun 03, 2018",0.006184,0.007030,0.004687,0.006550,289,"240,704"
granitecoin,"Jun 02, 2018",0.006840,0.007057,0.004566,0.006183,537,"265,943"
granitecoin,"Jun 01, 2018",0.006593,0.006906,0.006580,0.006843,6,"256,319"
granitecoin,"May 31, 2018",0.007678,0.007678,0.006547,0.006588,84,"298,222"
