Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
guccionecoin,"Jul 02, 2018",0.001777,0.001861,0.001759,0.001850,280,"36,048"
guccionecoin,"Jul 01, 2018",0.001916,0.002169,0.001776,0.001777,658,"38,871"
guccionecoin,"Jun 30, 2018",0.001799,0.001923,0.001778,0.001916,32,"36,502"
guccionecoin,"Jun 29, 2018",0.001761,0.001828,0.001644,0.001797,68,"35,714"
guccionecoin,"Jun 28, 2018",0.001779,0.001834,0.001691,0.001701,131,"36,085"
guccionecoin,"Jun 27, 2018",0.001824,0.001957,0.001772,0.001778,8,"37,003"
guccionecoin,"Jun 26, 2018",0.001812,0.001994,0.001800,0.001825,9,"36,756"
guccionecoin,"Jun 25, 2018",0.001784,0.001832,0.001768,0.001812,112,"36,183"
guccionecoin,"Jun 24, 2018",0.001788,0.001814,0.001694,0.001787,47,"36,278"
guccionecoin,"Jun 23, 2018",0.001755,0.001958,0.001752,0.001789,86,"35,602"
guccionecoin,"Jun 22, 2018",0.001947,0.001984,0.001724,0.001755,125,"39,501"
guccionecoin,"Jun 21, 2018",0.001958,0.002030,0.001945,0.001949,27,"39,718"
guccionecoin,"Jun 20, 2018",0.001959,0.002028,0.001910,0.001958,31,"39,738"
guccionecoin,"Jun 19, 2018",0.002086,0.002092,0.001942,0.001958,170,"42,323"
guccionecoin,"Jun 18, 2018",0.001878,0.002225,0.001863,0.002087,283,"38,104"
guccionecoin,"Jun 17, 2018",0.002024,0.002033,0.001879,0.001885,53,"41,051"
guccionecoin,"Jun 16, 2018",0.001927,0.002038,0.001845,0.002018,356,"39,082"
guccionecoin,"Jun 15, 2018",0.001927,0.001982,0.001880,0.001934,124,"39,084"
guccionecoin,"Jun 14, 2018",0.001833,0.001950,0.001829,0.001930,162,"37,176"
guccionecoin,"Jun 13, 2018",0.001909,0.002112,0.001814,0.001833,98,"38,727"
guccionecoin,"Jun 12, 2018",0.001997,0.002060,0.001887,0.001904,23,"40,518"
guccionecoin,"Jun 11, 2018",0.001965,0.002241,0.001937,0.001998,71,"39,858"
guccionecoin,"Jun 10, 2018",0.002777,0.002777,0.001941,0.001962,233,"56,333"
guccionecoin,"Jun 09, 2018",0.002669,0.003203,0.002434,0.002773,330,"54,152"
guccionecoin,"Jun 08, 2018",0.002843,0.003142,0.002651,0.002671,53,"57,662"
guccionecoin,"Jun 07, 2018",0.002833,0.003087,0.002832,0.002840,73,"57,469"
guccionecoin,"Jun 06, 2018",0.003202,0.003223,0.002506,0.002830,68,"64,955"
guccionecoin,"Jun 05, 2018",0.002626,0.003779,0.002362,0.003203,554,"53,266"
guccionecoin,"Jun 04, 2018",0.002467,0.002896,0.002399,0.002625,266,"50,041"
guccionecoin,"Jun 03, 2018",0.002520,0.002935,0.002382,0.002466,208,"51,109"
guccionecoin,"Jun 02, 2018",0.002255,0.002522,0.002205,0.002519,88,"45,744"
guccionecoin,"Jun 01, 2018",0.002697,0.002708,0.002143,0.002256,201,"54,710"
guccionecoin,"May 31, 2018",0.002953,0.002960,0.002337,0.002695,"2,017","59,905"
guccionecoin,"May 30, 2018",0.003284,0.003393,0.002632,0.002954,"5,176","66,626"
guccionecoin,"May 29, 2018",0.002847,0.003650,0.002832,0.003282,28,"57,761"
guccionecoin,"May 28, 2018",0.003012,0.004224,0.002848,0.002848,478,"61,092"
guccionecoin,"May 27, 2018",0.003447,0.003945,0.003007,0.003011,590,"69,934"
guccionecoin,"May 26, 2018",0.004854,0.005062,0.003427,0.003446,"1,675","98,469"
guccionecoin,"May 25, 2018",0.008017,0.010136,0.004587,0.004861,"2,250","162,620"
guccionecoin,"May 24, 2018",0.008196,0.009737,0.008001,0.008001,53,"166,266"
guccionecoin,"May 23, 2018",0.007043,0.008743,0.006425,0.008217,57,"142,871"
guccionecoin,"May 22, 2018",0.007399,0.008982,0.007011,0.007050,54,"150,088"
guccionecoin,"May 21, 2018",0.006992,0.016839,0.006941,0.007400,"2,342","141,846"
guccionecoin,"May 20, 2018",0.007833,0.010528,0.006844,0.006984,812,"158,900"
guccionecoin,"May 19, 2018",0.005850,0.007906,0.005804,0.007827,338,"118,663"
guccionecoin,"May 18, 2018",0.006543,0.006543,0.005512,0.005851,53,"132,733"
guccionecoin,"May 17, 2018",0.006094,0.007066,0.005072,0.006537,588,"123,626"
guccionecoin,"May 16, 2018",0.006110,0.006147,0.005938,0.006091,10,"123,945"
guccionecoin,"May 15, 2018",0.006246,0.006350,0.006078,0.006114,11,"126,696"
guccionecoin,"May 14, 2018",0.005388,0.006453,0.005174,0.006256,50,"109,298"
guccionecoin,"May 13, 2018",0.005312,0.005429,0.005296,0.005389,304,"107,766"
guccionecoin,"May 12, 2018",0.005289,0.005332,0.005289,0.005331,8,"107,286"
guccionecoin,"May 11, 2018",0.005694,0.005694,0.005269,0.005304,8,"115,504"
guccionecoin,"May 10, 2018",0.005888,0.005900,0.005682,0.005687,1,"119,440"
guccionecoin,"May 09, 2018",0.005795,0.005889,0.005665,0.005862,8,"117,562"
guccionecoin,"May 08, 2018",0.005814,0.005823,0.005804,0.005804,8,"117,941"
guccionecoin,"May 07, 2018",0.005960,0.005964,0.005709,0.005785,1,"120,912"
guccionecoin,"May 06, 2018",0.006389,0.006448,0.005876,0.005956,1,"129,597"
guccionecoin,"May 05, 2018",0.006203,0.006473,0.006194,0.006384,1,"125,837"
guccionecoin,"May 04, 2018",0.006628,0.006628,0.006138,0.006206,1,"134,461"
guccionecoin,"May 03, 2018",0.005716,0.006663,0.005695,0.006631,2,"115,950"
guccionecoin,"May 02, 2018",0.005632,0.006245,0.005572,0.005716,17,"114,241"
guccionecoin,"May 01, 2018",0.005729,0.005729,0.005497,0.005640,5,"116,222"
guccionecoin,"Apr 30, 2018",0.006319,0.006358,0.005695,0.005724,16,"128,175"
guccionecoin,"Apr 29, 2018",0.005882,0.005883,0.005827,0.005830,5,"119,323"
guccionecoin,"Apr 28, 2018",0.006063,0.006411,0.006047,0.006368,6,"122,983"
guccionecoin,"Apr 27, 2018",0.005764,0.006372,0.005669,0.006083,6,"116,930"
guccionecoin,"Apr 26, 2018",0.006027,0.006086,0.005483,0.005756,7,"122,257"
guccionecoin,"Apr 25, 2018",0.006595,0.006627,0.005969,0.005977,1,"133,776"
guccionecoin,"Apr 24, 2018",0.005533,0.006640,0.005531,0.006640,2,"112,249"
guccionecoin,"Apr 23, 2018",0.006059,0.006115,0.005477,0.005529,24,"122,910"
guccionecoin,"Apr 22, 2018",0.005625,0.006197,0.005514,0.006071,1,"114,102"
guccionecoin,"Apr 21, 2018",0.005570,0.005652,0.005408,0.005625,3,"112,998"
guccionecoin,"Apr 20, 2018",0.005209,0.005620,0.005188,0.005568,1,"105,675"
guccionecoin,"Apr 19, 2018",0.005144,0.005210,0.005121,0.005206,1,"104,339"
guccionecoin,"Apr 18, 2018",0.004975,0.005172,0.004965,0.005140,2,"100,911"
guccionecoin,"Apr 17, 2018",0.005152,0.005782,0.004954,0.004970,7,"104,504"
guccionecoin,"Apr 16, 2018",0.005258,0.005287,0.005067,0.005149,9,"106,652"
guccionecoin,"Apr 15, 2018",0.005201,0.006006,0.005201,0.005260,4,"105,501"
guccionecoin,"Apr 14, 2018",0.005227,0.005250,0.005134,0.005195,1,"106,036"
guccionecoin,"Apr 13, 2018",0.005226,0.005424,0.005130,0.005392,1,"106,014"
guccionecoin,"Apr 12, 2018",0.004585,0.005247,0.004463,0.005219,1,"93,001"
guccionecoin,"Apr 11, 2018",0.004508,0.004596,0.004496,0.004596,1,"91,456"
guccionecoin,"Apr 10, 2018",0.004462,0.004943,0.004391,0.004504,3,"90,512"
guccionecoin,"Apr 09, 2018",0.004566,0.004660,0.004347,0.004458,1,"92,631"
guccionecoin,"Apr 08, 2018",0.004350,0.005109,0.004350,0.004559,10,"88,236"
guccionecoin,"Apr 07, 2018",0.004171,0.004435,0.004165,0.004346,45,"84,620"
guccionecoin,"Apr 06, 2018",0.004267,0.004307,0.004110,0.004166,43,"86,564"
guccionecoin,"Apr 05, 2018",0.004347,0.004374,0.004208,0.004320,14,"88,176"
guccionecoin,"Apr 04, 2018",0.004746,0.004746,0.004305,0.004345,14,"96,285"
guccionecoin,"Apr 03, 2018",0.004441,0.004795,0.004427,0.004750,15,"90,088"
guccionecoin,"Apr 02, 2018",0.005119,0.005324,0.004354,0.004438,44,"103,839"
guccionecoin,"Apr 01, 2018",0.004782,0.005224,0.004615,0.005094,9,"96,996"
guccionecoin,"Mar 31, 2018",0.004718,0.004966,0.004704,0.004782,9,"95,700"
