Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
halalchain,"Jul 02, 2018",0.085280,0.092034,0.063356,0.087429,"1,077,360",-
halalchain,"Jul 01, 2018",0.090008,0.090480,0.056988,0.085584,"1,058,880",-
halalchain,"Jun 30, 2018",0.081394,0.103247,0.080906,0.090998,"1,122,540",-
halalchain,"Jun 29, 2018",0.086189,0.101972,0.063705,0.083919,"998,622",-
halalchain,"Jun 28, 2018",0.082931,0.106058,0.082931,0.086218,"1,049,650",-
halalchain,"Jun 27, 2018",0.087255,0.097490,0.081731,0.083912,"1,075,260",-
halalchain,"Jun 26, 2018",0.093092,0.099243,0.081978,0.087184,"1,056,020",-
halalchain,"Jun 25, 2018",0.093033,0.105289,0.080277,0.090961,"620,395",-
halalchain,"Jun 24, 2018",0.104431,0.104510,0.085495,0.093799,"387,666",-
halalchain,"Jun 23, 2018",0.081735,0.108524,0.076016,0.103644,"608,030",-
halalchain,"Jun 22, 2018",0.111361,0.118624,0.075279,0.082745,"525,585",-
halalchain,"Jun 21, 2018",0.112264,0.114643,0.100099,0.110193,"514,597",-
halalchain,"Jun 20, 2018",0.112043,0.113517,0.096433,0.112649,"527,424",-
halalchain,"Jun 19, 2018",0.097575,0.116240,0.096642,0.111185,"534,674",-
halalchain,"Jun 18, 2018",0.086257,0.108436,0.076340,0.097624,"465,817",-
halalchain,"Jun 17, 2018",0.094597,0.101660,0.080007,0.085936,"405,359",-
halalchain,"Jun 16, 2018",0.079275,0.096168,0.078679,0.094366,"486,909",-
halalchain,"Jun 15, 2018",0.078465,0.091142,0.076243,0.079561,"352,250",-
halalchain,"Jun 14, 2018",0.073483,0.080556,0.068496,0.078589,"285,571",-
halalchain,"Jun 13, 2018",0.076345,0.078271,0.065370,0.073514,"314,026",-
halalchain,"Jun 12, 2018",0.082927,0.085183,0.073616,0.076150,"324,512",-
halalchain,"Jun 11, 2018",0.087361,0.090120,0.074870,0.083023,"356,187",-
halalchain,"Jun 10, 2018",0.106388,0.106388,0.081806,0.087250,"463,625",-
halalchain,"Jun 09, 2018",0.112470,0.114031,0.103583,0.106477,"437,658",-
halalchain,"Jun 08, 2018",0.111720,0.117574,0.100574,0.109729,"461,971",-
halalchain,"Jun 07, 2018",0.116036,0.120064,0.104417,0.113597,"504,710",-
halalchain,"Jun 06, 2018",0.105902,0.117047,0.097121,0.113076,"515,388",-
halalchain,"Jun 05, 2018",0.103831,0.113363,0.097467,0.107880,"418,787",-
halalchain,"Jun 04, 2018",0.122760,0.122764,0.098814,0.103465,"283,157",-
halalchain,"Jun 03, 2018",0.114806,0.122718,0.105819,0.113130,"441,225",-
halalchain,"Jun 02, 2018",0.112540,0.122053,0.110170,0.117874,"500,987",-
halalchain,"Jun 01, 2018",0.112014,0.118134,0.094159,0.113012,"395,804",-
halalchain,"May 31, 2018",0.108873,0.114770,0.108216,0.111868,"306,440",-
halalchain,"May 30, 2018",0.113843,0.119828,0.107413,0.112391,"378,195",-
halalchain,"May 29, 2018",0.111811,0.124101,0.104509,0.113549,"407,236",-
halalchain,"May 28, 2018",0.120271,0.122244,0.105086,0.108896,"401,624",-
halalchain,"May 27, 2018",0.124170,0.124396,0.119311,0.120437,"625,913",-
halalchain,"May 26, 2018",0.122672,0.133591,0.110221,0.122419,"439,922",-
halalchain,"May 25, 2018",0.122529,0.133097,0.119123,0.123205,"571,882",-
halalchain,"May 24, 2018",0.111948,0.134524,0.108119,0.122881,"492,615",-
halalchain,"May 23, 2018",0.150759,0.152414,0.107457,0.120664,"488,685",-
halalchain,"May 22, 2018",0.169533,0.171295,0.150376,0.150833,"528,602",-
halalchain,"May 21, 2018",0.180028,0.182349,0.167573,0.171043,"667,907",-
halalchain,"May 20, 2018",0.167053,0.194459,0.166533,0.180111,"425,630",-
halalchain,"May 19, 2018",0.182108,0.191244,0.167287,0.167434,"526,083",-
halalchain,"May 18, 2018",0.176312,0.189479,0.158190,0.181531,"699,018",-
halalchain,"May 17, 2018",0.168073,0.194966,0.158142,0.173857,"954,066",-
halalchain,"May 16, 2018",0.179143,0.186824,0.161580,0.169637,"758,720",-
halalchain,"May 15, 2018",0.169921,0.235318,0.161627,0.179219,"1,060,550",-
halalchain,"May 14, 2018",0.179760,0.181339,0.149178,0.170313,"454,418",-
halalchain,"May 13, 2018",0.144790,0.185586,0.142293,0.180575,"669,580",-
halalchain,"May 12, 2018",0.152845,0.163562,0.135591,0.144093,"526,344",-
halalchain,"May 11, 2018",0.168712,0.174829,0.139454,0.157657,"601,844",-
halalchain,"May 10, 2018",0.176874,0.186730,0.168442,0.170771,"734,366",-
halalchain,"May 09, 2018",0.181891,0.193201,0.169107,0.180019,"625,032",-
halalchain,"May 08, 2018",0.173147,0.196251,0.162175,0.182082,"477,205",-
halalchain,"May 07, 2018",0.184771,0.203728,0.158745,0.166508,"609,411",-
halalchain,"May 06, 2018",0.209100,0.214362,0.166119,0.180665,"693,309",-
halalchain,"May 05, 2018",0.217918,0.242203,0.195403,0.214938,"1,274,770",-
halalchain,"May 04, 2018",0.159787,0.226613,0.154487,0.216150,"1,297,670",-
halalchain,"May 03, 2018",0.142537,0.162896,0.139770,0.159828,"599,491",-
halalchain,"May 02, 2018",0.144150,0.168232,0.131449,0.146135,"574,319",-
halalchain,"May 01, 2018",0.144363,0.149725,0.125992,0.148833,"578,871",-
halalchain,"Apr 30, 2018",0.163635,0.176706,0.128354,0.128354,"490,628",-
halalchain,"Apr 29, 2018",0.173549,0.174418,0.132470,0.154055,"656,973",-
halalchain,"Apr 28, 2018",0.172880,0.179297,0.164045,0.171290,"636,740",-
halalchain,"Apr 27, 2018",0.172334,0.214527,0.158277,0.173377,"682,912",-
halalchain,"Apr 26, 2018",0.144915,0.173722,0.141015,0.172259,"98,841",-
halalchain,"Apr 25, 2018",0.196211,0.196686,0.140031,0.144563,"175,980",-
halalchain,"Apr 24, 2018",0.207697,0.238623,0.190455,0.196586,"218,680",-
halalchain,"Apr 23, 2018",0.238155,0.289263,0.189055,0.207655,"579,151",-
halalchain,"Apr 22, 2018",0.116954,0.351066,0.110130,0.233470,"1,095,720",-
halalchain,"Apr 21, 2018",0.117826,0.123104,0.103187,0.116860,"97,044",-
halalchain,"Apr 20, 2018",0.093437,0.118292,0.093317,0.117763,"114,575",-
halalchain,"Apr 19, 2018",0.087326,0.098397,0.084293,0.093412,"79,159",-
halalchain,"Apr 18, 2018",0.079790,0.089039,0.079787,0.087292,"43,214",-
halalchain,"Apr 17, 2018",0.083723,0.088098,0.079520,0.079779,"24,595",-
halalchain,"Apr 16, 2018",0.092461,0.092486,0.082575,0.083663,"27,658",-
halalchain,"Apr 15, 2018",0.091272,0.096879,0.089394,0.092488,"32,348",-
halalchain,"Apr 14, 2018",0.086352,0.101388,0.084601,0.091201,"29,257",-
halalchain,"Apr 13, 2018",0.070196,0.102357,0.070196,0.087234,"81,760",-
halalchain,"Apr 12, 2018",0.062498,0.071295,0.061449,0.070142,"49,239",-
halalchain,"Apr 11, 2018",0.062413,0.064991,0.060778,0.062539,"18,634",-
halalchain,"Apr 10, 2018",0.070797,0.072074,0.059265,0.062406,"41,329",-
halalchain,"Apr 09, 2018",0.071130,0.082595,0.070585,0.070793,"16,239",-
halalchain,"Apr 08, 2018",0.071887,0.074070,0.065089,0.071085,"42,635",-
halalchain,"Apr 07, 2018",0.070352,0.076144,0.070253,0.071866,"16,212",-
halalchain,"Apr 06, 2018",0.066633,0.078129,0.066633,0.070320,"22,975",-
halalchain,"Apr 05, 2018",0.074548,0.075426,0.065482,0.066760,"26,278",-
halalchain,"Apr 04, 2018",0.085879,0.085879,0.073955,0.074541,"28,532",-
halalchain,"Apr 03, 2018",0.088012,0.088076,0.083607,0.085864,"10,664",-
halalchain,"Apr 02, 2018",0.076425,0.090210,0.076356,0.087976,"6,042",-
halalchain,"Apr 01, 2018",0.088477,0.103652,0.075265,0.076426,"12,071",-
halalchain,"Mar 31, 2018",0.088354,0.096143,0.087690,0.088510,"83,124",-
halalchain,"Mar 30, 2018",0.094815,0.097989,0.085876,0.088355,"35,691",-
halalchain,"Mar 29, 2018",0.110639,0.112784,0.089318,0.094872,"16,397",-
halalchain,"Mar 28, 2018",0.110609,0.113361,0.105244,0.110529,"100,276",-
halalchain,"Mar 27, 2018",0.121544,0.131438,0.098981,0.110633,"632,404",-
halalchain,"Mar 26, 2018",0.121493,0.134030,0.097011,0.113706,"647,108",-
halalchain,"Mar 25, 2018",0.108993,0.127880,0.107129,0.121585,"730,671",-
halalchain,"Mar 24, 2018",0.127201,0.133374,0.106746,0.111324,"831,566",-
halalchain,"Mar 23, 2018",0.111225,0.128832,0.096833,0.126268,"699,641",-
halalchain,"Mar 22, 2018",0.144279,0.148248,0.101389,0.103733,"641,181",-
halalchain,"Mar 21, 2018",0.138063,0.149440,0.108749,0.142978,"959,608",-
halalchain,"Mar 20, 2018",0.126762,0.138692,0.114238,0.133928,"722,857",-
halalchain,"Mar 19, 2018",0.127058,0.134248,0.119542,0.127726,"222,291",-
halalchain,"Mar 18, 2018",0.158857,0.163279,0.112772,0.127413,"883,902",-
halalchain,"Mar 17, 2018",0.149677,0.170671,0.141938,0.162697,"1,327,550",-
halalchain,"Mar 16, 2018",0.158256,0.166953,0.141242,0.146299,"1,091,770",-
halalchain,"Mar 15, 2018",0.171116,0.171116,0.132816,0.146000,"1,092,590",-
halalchain,"Mar 14, 2018",0.176648,0.192538,0.154990,0.159440,"1,012,770",-
halalchain,"Mar 13, 2018",0.181429,0.196370,0.170474,0.174178,"1,638,680",-
halalchain,"Mar 12, 2018",0.197210,0.199353,0.167826,0.184502,"1,408,720",-
halalchain,"Mar 11, 2018",0.172204,0.200892,0.164500,0.197761,"1,733,650",-
halalchain,"Mar 10, 2018",0.183182,0.205542,0.168655,0.176751,"1,836,540",-
halalchain,"Mar 09, 2018",0.185134,0.204935,0.162023,0.186207,"1,526,370",-
halalchain,"Mar 08, 2018",0.177557,0.214350,0.165072,0.199944,"2,727,480",-
halalchain,"Mar 07, 2018",0.215546,0.224865,0.148754,0.172222,"1,491,930",-
halalchain,"Mar 06, 2018",0.251307,0.251307,0.166376,0.215772,"2,127,380",-
halalchain,"Mar 05, 2018",0.291938,0.304795,0.225340,0.251904,"1,526,050",-
halalchain,"Mar 04, 2018",0.265192,0.304083,0.249058,0.293242,"1,706,100",-
halalchain,"Mar 03, 2018",0.269207,0.304811,0.262527,0.276022,"1,726,100",-
halalchain,"Mar 02, 2018",0.287408,0.303882,0.255138,0.269454,"1,964,310",-
halalchain,"Mar 01, 2018",0.286202,0.305340,0.244130,0.287913,"2,170,420",-
halalchain,"Feb 28, 2018",0.304017,0.314801,0.250060,0.261808,"1,954,190",-
halalchain,"Feb 27, 2018",0.299668,0.318542,0.277568,0.306889,"2,069,430",-
halalchain,"Feb 26, 2018",0.283091,0.319689,0.278189,0.314532,"2,182,470",-
halalchain,"Feb 25, 2018",0.285480,0.301949,0.271737,0.285141,"2,002,770",-
halalchain,"Feb 24, 2018",0.306975,0.325571,0.275805,0.283348,"1,807,090",-
halalchain,"Feb 23, 2018",0.294724,0.317756,0.273248,0.305627,"1,933,570",-
halalchain,"Feb 22, 2018",0.315633,0.339699,0.277520,0.289105,"2,178,730",-
halalchain,"Feb 21, 2018",0.347241,0.348022,0.210092,0.319611,"2,071,630",-
halalchain,"Feb 20, 2018",0.346988,0.364705,0.276612,0.347692,"2,742,360",-
halalchain,"Feb 19, 2018",0.332178,0.361940,0.319445,0.344118,"2,959,610",-
halalchain,"Feb 18, 2018",0.387125,0.395618,0.325146,0.327950,"2,683,130",-
halalchain,"Feb 17, 2018",0.372994,0.407502,0.358232,0.387320,"2,251,990",-
halalchain,"Feb 16, 2018",0.387194,0.418852,0.341985,0.364190,"2,324,860",-
halalchain,"Feb 15, 2018",0.373689,0.409198,0.340284,0.386309,"3,293,120",-
