Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hat-exchange,"Jul 02, 2018",0.784935,0.893549,0.775427,0.806463,"1,071","1,138,060"
hat-exchange,"Jul 01, 2018",0.796409,0.807744,0.780336,0.784382,720,"1,154,980"
hat-exchange,"Jun 30, 2018",0.733558,0.820007,0.733558,0.796028,836,"1,064,130"
hat-exchange,"Jun 29, 2018",0.697935,0.742986,0.593872,0.732668,"2,077","1,012,450"
hat-exchange,"Jun 28, 2018",0.761905,0.874444,0.618351,0.697519,"1,080","1,106,400"
hat-exchange,"Jun 27, 2018",0.839457,0.908237,0.740934,0.761453,"1,542","1,219,010"
hat-exchange,"Jun 26, 2018",0.848574,0.855603,0.777430,0.840581,"2,157","1,232,090"
hat-exchange,"Jun 25, 2018",0.795910,0.857808,0.785017,0.848574,"2,746","1,155,500"
hat-exchange,"Jun 24, 2018",0.810135,0.825604,0.724526,0.798059,369,"1,176,280"
hat-exchange,"Jun 23, 2018",0.926511,0.943291,0.697057,0.810274,654,"1,346,180"
hat-exchange,"Jun 22, 2018",0.952887,1.16,0.805869,0.926237,948,"1,386,930"
hat-exchange,"Jun 21, 2018",0.807851,0.955997,0.807851,0.953781,"2,366","1,180,030"
hat-exchange,"Jun 20, 2018",0.827124,0.827716,0.683579,0.807903,"2,475","1,208,180"
hat-exchange,"Jun 19, 2018",0.896516,0.908768,0.808141,0.826610,"1,713","1,310,500"
hat-exchange,"Jun 18, 2018",0.843460,0.929067,0.825646,0.897015,496,"1,233,790"
hat-exchange,"Jun 17, 2018",0.747904,0.903605,0.631725,0.845320,"2,263","1,094,770"
hat-exchange,"Jun 16, 2018",0.730763,0.781042,0.729433,0.746704,"3,301","1,077,080"
hat-exchange,"Jun 15, 2018",0.731142,0.772353,0.684482,0.733263,"1,314","1,077,760"
hat-exchange,"Jun 14, 2018",0.802790,0.844410,0.653168,0.732213,"4,191","1,183,820"
hat-exchange,"Jun 13, 2018",0.943088,0.977313,0.656950,0.802544,"5,961","1,390,740"
hat-exchange,"Jun 12, 2018",0.996543,1.01,0.930888,0.940612,"6,715","1,484,200"
hat-exchange,"Jun 11, 2018",0.989940,1.06,0.951327,0.996828,"4,503","1,474,720"
hat-exchange,"Jun 10, 2018",1.14,1.16,0.979736,0.988432,"1,958","1,702,950"
hat-exchange,"Jun 09, 2018",1.11,1.22,1.11,1.14,611,"1,654,920"
hat-exchange,"Jun 08, 2018",1.20,1.41,1.03,1.11,"6,624","1,795,800"
hat-exchange,"Jun 07, 2018",1.26,1.45,1.14,1.20,"7,811","1,892,910"
hat-exchange,"Jun 06, 2018",0.914956,1.84,0.914316,1.26,"53,968","1,370,680"
hat-exchange,"Jun 05, 2018",0.964113,0.966006,0.828524,0.915344,"7,187","1,444,610"
hat-exchange,"Jun 04, 2018",1.04,1.06,0.930472,0.963876,"5,589","1,556,180"
hat-exchange,"Jun 03, 2018",1.08,1.10,1.03,1.04,"4,122","1,625,200"
hat-exchange,"Jun 02, 2018",1.08,1.10,1.05,1.08,"1,225","1,885,190"
hat-exchange,"Jun 01, 2018",1.06,1.09,1.04,1.08,"1,526","1,593,440"
hat-exchange,"May 31, 2018",1.06,1.09,1.04,1.06,"1,052","1,595,580"
hat-exchange,"May 30, 2018",1.03,1.11,1.03,1.07,"1,512","1,550,020"
hat-exchange,"May 29, 2018",1.04,1.14,1.02,1.03,"1,928","1,564,620"
hat-exchange,"May 28, 2018",1.25,1.26,0.919923,1.05,"5,497","1,871,480"
hat-exchange,"May 27, 2018",1.27,1.35,1.24,1.25,"4,801","1,904,230"
hat-exchange,"May 26, 2018",1.41,1.41,1.26,1.27,"5,288","2,102,890"
hat-exchange,"May 25, 2018",1.34,1.41,1.31,1.41,922,"2,003,410"
hat-exchange,"May 24, 2018",1.28,1.39,1.25,1.34,"2,972","1,910,490"
hat-exchange,"May 23, 2018",1.46,1.47,1.27,1.28,"10,832","2,184,550"
hat-exchange,"May 22, 2018",1.52,1.59,1.44,1.46,"4,316","2,267,640"
hat-exchange,"May 21, 2018",1.51,1.54,1.45,1.52,"6,245","2,265,300"
hat-exchange,"May 20, 2018",1.48,1.55,1.43,1.51,"7,422","2,207,870"
hat-exchange,"May 19, 2018",1.61,1.62,1.47,1.48,"1,917","2,403,010"
hat-exchange,"May 18, 2018",1.59,1.71,1.54,1.61,"6,209","2,378,550"
hat-exchange,"May 17, 2018",1.78,1.87,1.58,1.59,"5,230","2,676,690"
hat-exchange,"May 16, 2018",1.89,1.89,1.73,1.78,"4,559","2,832,590"
hat-exchange,"May 15, 2018",1.90,1.99,1.78,1.89,"11,606","2,848,910"
hat-exchange,"May 14, 2018",1.93,1.95,1.45,1.90,"5,628","2,905,250"
hat-exchange,"May 13, 2018",1.95,1.99,1.72,1.93,"7,050","2,944,310"
hat-exchange,"May 12, 2018",1.49,2.04,1.49,1.96,"17,008","2,239,310"
hat-exchange,"May 11, 2018",1.76,1.76,1.48,1.49,"4,167","2,660,330"
hat-exchange,"May 10, 2018",1.90,1.92,1.65,1.76,"10,708","2,884,680"
hat-exchange,"May 09, 2018",1.84,1.95,1.62,1.90,"4,770","2,785,940"
hat-exchange,"May 08, 2018",1.91,2.11,1.84,1.84,"4,067","2,893,340"
hat-exchange,"May 07, 2018",1.87,1.93,1.70,1.90,"6,249","2,836,540"
hat-exchange,"May 06, 2018",1.72,1.91,1.63,1.87,"10,654","2,602,950"
hat-exchange,"May 05, 2018",1.84,1.94,1.68,1.72,"13,240","2,779,790"
hat-exchange,"May 04, 2018",1.90,1.92,1.64,1.84,"13,116","10,072,500"
hat-exchange,"May 03, 2018",2.00,2.02,1.78,1.90,"24,446","10,583,200"
hat-exchange,"May 02, 2018",2.01,2.13,1.97,2.00,"9,422","10,678,000"
hat-exchange,"May 01, 2018",2.00,2.08,1.85,2.02,"3,962","10,603,900"
hat-exchange,"Apr 30, 2018",2.19,2.30,1.99,2.00,"21,402","11,599,400"
hat-exchange,"Apr 29, 2018",2.37,2.47,2.04,2.19,"31,363","12,538,400"
hat-exchange,"Apr 28, 2018",2.31,2.48,2.31,2.37,"10,342","12,263,100"
hat-exchange,"Apr 27, 2018",2.44,2.48,2.32,2.32,"6,913","12,896,400"
hat-exchange,"Apr 26, 2018",2.32,2.44,2.25,2.44,"6,061","12,237,900"
hat-exchange,"Apr 25, 2018",2.71,2.71,2.28,2.30,"25,910","14,333,700"
hat-exchange,"Apr 24, 2018",2.34,2.77,2.34,2.74,"30,294","12,360,400"
hat-exchange,"Apr 23, 2018",2.42,2.43,2.11,2.36,"26,841","3,620,970"
hat-exchange,"Apr 22, 2018",2.55,2.70,2.20,2.43,"18,517","3,805,550"
hat-exchange,"Apr 21, 2018",2.50,2.62,2.10,2.55,"14,860","3,741,540"
hat-exchange,"Apr 20, 2018",1.89,2.51,1.87,2.50,"44,671","2,823,580"
hat-exchange,"Apr 19, 2018",1.91,1.95,1.73,1.86,"16,418","2,861,610"
hat-exchange,"Apr 18, 2018",1.94,2.06,1.80,1.91,"14,523","2,902,500"
hat-exchange,"Apr 17, 2018",2.08,2.15,1.94,1.94,"7,882","3,107,540"
hat-exchange,"Apr 16, 2018",2.14,2.16,1.92,2.08,"13,511","3,203,450"
hat-exchange,"Apr 15, 2018",2.21,2.37,1.84,2.14,"23,912","3,305,260"
hat-exchange,"Apr 14, 2018",2.16,2.37,2.07,2.21,"8,014","3,232,140"
hat-exchange,"Apr 13, 2018",2.31,2.33,2.08,2.16,"7,725","3,449,250"
hat-exchange,"Apr 12, 2018",2.02,2.30,1.51,2.30,"20,911","3,012,690"
hat-exchange,"Apr 11, 2018",2.08,2.08,1.94,2.03,"9,347","3,105,700"
hat-exchange,"Apr 10, 2018",1.95,2.18,1.89,2.08,"7,980","2,920,520"
hat-exchange,"Apr 09, 2018",2.04,2.14,1.92,1.95,"3,778","3,046,460"
hat-exchange,"Apr 08, 2018",2.23,2.50,2.02,2.03,"4,029","3,332,510"
hat-exchange,"Apr 07, 2018",2.15,2.44,2.11,2.23,"2,202","3,207,540"
hat-exchange,"Apr 06, 2018",2.03,2.15,1.82,2.14,"8,389","3,035,340"
hat-exchange,"Apr 05, 2018",2.11,2.36,1.96,2.04,"7,844","3,159,580"
hat-exchange,"Apr 04, 2018",2.35,2.35,2.06,2.11,"1,214","3,512,920"
hat-exchange,"Apr 03, 2018",2.47,2.74,2.33,2.35,"8,571","3,692,290"
hat-exchange,"Apr 02, 2018",2.26,2.47,2.05,2.47,"5,929","3,381,580"
hat-exchange,"Apr 01, 2018",2.38,2.42,1.93,2.25,"14,263","3,554,110"
hat-exchange,"Mar 31, 2018",1.83,2.38,1.83,2.38,"9,306","2,732,450"
hat-exchange,"Mar 30, 2018",1.96,2.07,1.74,1.83,"4,391","2,935,830"
hat-exchange,"Mar 29, 2018",2.47,2.47,1.84,1.97,"5,477","3,690,980"
hat-exchange,"Mar 28, 2018",2.34,2.50,2.20,2.47,"9,512","3,496,740"
hat-exchange,"Mar 27, 2018",2.42,2.56,2.25,2.34,"10,573","3,622,840"
hat-exchange,"Mar 26, 2018",2.42,2.72,2.07,2.43,"11,108","3,613,940"
hat-exchange,"Mar 25, 2018",2.28,2.51,2.19,2.42,"6,605","3,410,240"
hat-exchange,"Mar 24, 2018",2.33,2.60,2.31,2.31,"13,428","3,484,830"
hat-exchange,"Mar 23, 2018",2.51,2.51,2.25,2.30,"2,230","3,751,890"
hat-exchange,"Mar 22, 2018",2.64,2.73,2.36,2.51,"10,283","3,944,560"
hat-exchange,"Mar 21, 2018",2.82,2.94,2.58,2.62,"2,761","4,209,770"
hat-exchange,"Mar 20, 2018",2.97,3.05,2.72,2.81,"10,119","4,439,460"
hat-exchange,"Mar 19, 2018",2.26,2.94,2.26,2.94,"10,427","3,380,400"
hat-exchange,"Mar 18, 2018",2.28,2.46,1.94,2.27,"10,312","3,404,300"
hat-exchange,"Mar 17, 2018",2.49,2.49,2.24,2.28,"1,645","3,726,330"
hat-exchange,"Mar 16, 2018",2.43,2.73,2.36,2.49,"2,671","3,624,760"
hat-exchange,"Mar 15, 2018",2.78,3.76,2.29,2.43,"8,136","4,149,370"
hat-exchange,"Mar 14, 2018",3.11,3.17,2.61,2.78,"10,830","4,650,490"
hat-exchange,"Mar 13, 2018",3.02,3.13,2.85,3.11,"5,421","4,513,870"
hat-exchange,"Mar 12, 2018",3.00,3.47,3.00,3.03,"15,005","4,479,350"
hat-exchange,"Mar 11, 2018",3.23,3.34,2.56,3.27,"20,827","4,825,700"
hat-exchange,"Mar 10, 2018",3.00,3.58,2.75,3.24,"12,810","4,482,750"
hat-exchange,"Mar 09, 2018",3.19,3.23,2.57,3.00,"10,167","4,767,600"
hat-exchange,"Mar 08, 2018",3.25,3.64,3.03,3.20,"29,066","4,864,450"
hat-exchange,"Mar 07, 2018",2.94,3.59,2.93,3.26,"35,181","4,397,980"
hat-exchange,"Mar 06, 2018",3.43,3.65,2.86,2.94,"22,771","5,119,310"
hat-exchange,"Mar 05, 2018",3.26,3.62,3.20,3.43,"14,012","4,868,450"
hat-exchange,"Mar 04, 2018",3.51,3.85,2.97,3.34,"19,425","5,250,480"
hat-exchange,"Mar 03, 2018",3.81,3.83,3.39,3.52,"27,120","5,696,450"
hat-exchange,"Mar 02, 2018",3.85,4.27,3.76,3.82,"41,655","5,756,810"
hat-exchange,"Mar 01, 2018",3.95,4.23,3.74,3.86,"30,407","5,906,430"
hat-exchange,"Feb 28, 2018",4.41,4.71,3.46,3.95,"77,838","6,587,650"
hat-exchange,"Feb 27, 2018",3.03,4.51,2.93,4.41,"94,280","4,532,270"
hat-exchange,"Feb 26, 2018",3.11,3.21,2.74,3.02,"34,492","4,642,710"
hat-exchange,"Feb 25, 2018",3.30,3.57,2.57,3.10,"69,572","4,933,180"
