Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
haven-protocol,"Jul 02, 2018",0.928483,1.01,0.855632,0.912040,"45,398","3,029,310"
haven-protocol,"Jul 01, 2018",0.969259,0.969259,0.903548,0.915426,"16,949","3,142,180"
haven-protocol,"Jun 30, 2018",0.932348,0.974706,0.925975,0.968818,"20,924","3,003,090"
haven-protocol,"Jun 29, 2018",0.890640,0.947098,0.880917,0.931077,"16,255","2,850,140"
haven-protocol,"Jun 28, 2018",0.968191,0.981782,0.884809,0.889893,"25,976","3,078,050"
haven-protocol,"Jun 27, 2018",0.918971,1.01,0.914354,0.975923,"69,769","2,902,340"
haven-protocol,"Jun 26, 2018",0.918428,0.993055,0.908737,0.925402,"45,575","2,881,390"
haven-protocol,"Jun 25, 2018",0.853426,0.999723,0.817964,0.918428,"31,854","2,659,300"
haven-protocol,"Jun 24, 2018",0.866755,0.896790,0.773081,0.854969,"17,557","2,682,650"
haven-protocol,"Jun 23, 2018",0.863216,0.936099,0.805633,0.867154,"23,120","2,653,510"
haven-protocol,"Jun 22, 2018",1.01,1.13,0.859965,0.863037,"21,011","3,074,590"
haven-protocol,"Jun 21, 2018",1.09,1.22,0.923807,1.01,"58,024","3,301,480"
haven-protocol,"Jun 20, 2018",1.04,1.24,0.851339,1.09,"53,743","3,144,010"
haven-protocol,"Jun 19, 2018",1.15,1.20,0.841478,1.04,"48,338","3,448,210"
haven-protocol,"Jun 18, 2018",1.20,1.22,1.11,1.22,"32,067","3,563,130"
haven-protocol,"Jun 17, 2018",1.20,1.31,1.19,1.20,"25,044","3,538,620"
haven-protocol,"Jun 16, 2018",1.29,1.35,1.16,1.20,"21,258","3,786,760"
haven-protocol,"Jun 15, 2018",1.46,1.47,1.28,1.30,"16,258","4,249,560"
haven-protocol,"Jun 14, 2018",1.20,1.60,1.14,1.55,"74,028","3,456,080"
haven-protocol,"Jun 13, 2018",1.38,1.45,1.16,1.31,"41,015","3,946,360"
haven-protocol,"Jun 12, 2018",1.65,1.69,1.37,1.37,"35,015","4,681,460"
haven-protocol,"Jun 11, 2018",1.55,1.64,1.48,1.64,"50,782","4,377,350"
haven-protocol,"Jun 10, 2018",1.75,1.76,1.50,1.53,"43,265","4,905,000"
haven-protocol,"Jun 09, 2018",1.94,1.98,1.77,1.79,"29,241","5,377,200"
haven-protocol,"Jun 08, 2018",2.06,2.07,1.92,1.94,"41,022","5,668,600"
haven-protocol,"Jun 07, 2018",1.89,2.23,1.89,2.06,"107,285","5,177,240"
haven-protocol,"Jun 06, 2018",1.99,2.04,1.80,1.89,"36,213","5,398,130"
haven-protocol,"Jun 05, 2018",1.77,2.06,1.74,1.98,"72,792","4,765,480"
haven-protocol,"Jun 04, 2018",2.14,2.16,1.74,1.77,"72,787","5,724,490"
haven-protocol,"Jun 03, 2018",2.28,2.43,2.14,2.14,"68,989","6,026,180"
haven-protocol,"Jun 02, 2018",2.18,2.35,2.09,2.27,"85,841","5,720,280"
haven-protocol,"Jun 01, 2018",2.11,2.32,2.09,2.16,"145,881","5,498,660"
haven-protocol,"May 31, 2018",1.57,2.30,1.56,2.13,"292,402","4,049,350"
haven-protocol,"May 30, 2018",1.58,1.74,1.52,1.57,"30,734","4,043,740"
haven-protocol,"May 29, 2018",1.60,1.80,1.44,1.59,"45,169","4,073,900"
haven-protocol,"May 28, 2018",1.84,1.85,1.42,1.59,"51,508","4,638,460"
haven-protocol,"May 27, 2018",2.02,2.02,1.84,1.84,"36,936","5,027,180"
haven-protocol,"May 26, 2018",2.05,2.14,2.00,2.01,"34,182","5,079,630"
haven-protocol,"May 25, 2018",2.07,2.10,2.01,2.06,"39,846","5,083,150"
haven-protocol,"May 24, 2018",1.96,2.12,1.92,2.07,"54,153","4,764,630"
haven-protocol,"May 23, 2018",2.26,2.35,1.95,1.97,"52,513","5,441,190"
haven-protocol,"May 22, 2018",2.66,2.66,2.26,2.26,"52,301","6,337,800"
haven-protocol,"May 21, 2018",2.78,2.85,2.20,2.65,"135,131","6,571,710"
