Coin,Date,Open*,High,Low,Close**,Volume,Market Cap
hedge,"Jul 02, 2018",1.01,1.05,0.996054,1.05,9,"3,733,820"
hedge,"Jul 01, 2018",0.998085,1.01,0.989600,1.01,9,"3,702,570"
hedge,"Jun 30, 2018",1.55,1.62,0.991605,0.997861,274,"5,754,520"
hedge,"Jun 29, 2018",1.76,1.77,1.47,1.55,168,"6,526,130"
hedge,"Jun 25, 2018",2.36,2.39,2.35,2.39,4,"8,742,030"
hedge,"Jun 24, 2018",1.89,2.40,1.78,2.36,4,"6,996,530"
hedge,"Jun 23, 2018",1.87,1.91,1.86,1.89,34,"6,928,700"
hedge,"Jun 22, 2018",2.05,2.06,1.93,1.94,1,"7,612,690"
hedge,"Jun 21, 2018",2.73,2.75,2.05,2.05,1,"10,145,800"
hedge,"Jun 20, 2018",1.67,2.74,1.33,2.73,421,"6,192,770"
hedge,"Jun 19, 2018",1.34,1.68,1.34,1.67,"1,090","4,983,140"
hedge,"Jun 15, 2018",1.49,1.49,1.45,1.45,1,"5,514,830"
hedge,"Jun 14, 2018",2.18,2.32,1.41,1.49,59,"8,092,940"
hedge,"Jun 13, 2018",1.43,2.20,1.42,2.18,67,"5,316,020"
hedge,"Jun 11, 2018",2.43,2.45,2.40,2.43,2,"9,027,250"
hedge,"Jun 10, 2018",1.54,2.45,1.40,2.43,72,"5,716,210"
hedge,"Jun 08, 2018",1.59,1.60,1.57,1.59,3,"5,912,250"
hedge,"Jun 07, 2018",2.70,2.74,1.53,1.59,239,"10,026,900"
hedge,"Jun 06, 2018",2.69,2.71,2.65,2.70,3,"9,983,890"
hedge,"Jun 05, 2018",3.44,3.44,2.65,2.69,49,"12,761,700"
hedge,"Jun 04, 2018",4.32,4.33,2.68,3.44,32,"16,014,600"
hedge,"Jun 03, 2018",3.31,4.33,3.31,4.31,199,"12,287,800"
hedge,"Jun 02, 2018",2.65,2.71,2.64,2.69,13,"9,836,710"
hedge,"Jun 01, 2018",2.64,2.68,2.60,2.65,20,"9,804,850"
hedge,"May 31, 2018",3.69,3.69,2.62,2.64,2,"13,692,000"
hedge,"May 30, 2018",2.77,3.77,2.65,3.69,2,"10,272,600"
hedge,"May 29, 2018",3.10,3.87,2.74,2.77,154,"11,513,600"
